time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.67595, 109.53060,  -1.10461,   0.97358, 118.45118,   0.00077,   1.19655, 134.69086,   2.10768,   1.37132, 141.06966,   1.12305,   6.07712, 131.36824,   0.90402,  11.41822, 131.50170,   0.66548,  16.76655, 109.44622,  -8.09991,  21.62964,  89.22159, -16.11428,  -3.82728, 131.36723,   1.96229,  -9.00912, 131.19936,   3.27487, -17.47524, 108.39103,   3.26592, -24.82396,  90.63107,  14.55711,   6.36845,  91.48635,  -3.40109,   5.56341,  54.41381,   8.94036,   4.31468,  26.35987, -20.91295,   6.06434,  14.79297, -22.05706,  -6.55681,  92.01286,  -3.12708,  -3.55227,  53.32278,   1.49719,   0.36090,  14.00445,  -9.39131,  -0.71430,   5.81968,  -1.02369
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.17535, 109.51781,  -0.89814,   0.29572, 118.42789,   0.31968,   0.59205, 134.64396,   2.59284,   0.74948, 141.03071,   1.65801,   5.43829, 131.32821,   1.24065,  10.76497, 131.49709,   0.79345,  16.16759, 110.93116, -11.02750,  21.32370,  92.02300, -21.64877,  -4.43878, 131.32836,   2.52931,  -9.58705, 131.25596,   3.97588, -18.49835, 108.64017,   4.98089, -25.30127,  93.95060,  20.30564,   6.44435,  91.68761,  -3.35924,   4.98038,  55.47281,  11.25846,   3.59592,  23.05635, -13.78269,   5.91232,  11.60568, -12.48655,  -6.49322,  91.81517,  -3.22647,  -3.63993,  52.88197,  -1.38291,   0.15191,  13.38998, -11.66921,  -1.02426,   4.61474,  -3.93776
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.15458, 109.47634,  -0.60913,  -0.14978, 118.36589,   0.75577,   0.19651, 134.55449,   3.21041,   0.34768, 140.95060,   2.34079,   5.02195, 131.24798,   1.76450,  10.32703, 131.43379,   1.11358,  15.67189, 112.56120, -13.27874,  21.60527,  94.97246, -25.62161,  -4.83957, 131.24654,   3.16719,  -9.96324, 131.23461,   4.70029, -19.34852, 108.90544,   6.98509, -25.28083,  97.28529,  25.05967,   6.49060,  91.81545,  -3.29393,   4.64630,  56.01546,  12.27179,   2.91757,  19.36042,  -5.98259,   5.35176,   8.58073,  -1.97802,  -6.44752,  91.69888,  -3.37232,  -3.58484,  52.72757,  -3.98524,   0.10219,  13.10102, -13.78044,  -1.24779,   3.81671,  -6.69929
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.32407, 109.44343,  -0.41974,  -0.37361, 118.31679,   1.04590,   0.02532, 134.48240,   3.64013,   0.17734, 140.88986,   2.85876,   4.83219, 131.17935,   2.12607,  10.11380, 131.40073,   1.31510,  15.41104, 114.23659, -15.09258,  22.07862,  98.00372, -28.83860,  -5.01764, 131.18480,   3.60862, -10.11737, 131.23781,   5.21874, -19.84240, 109.24743,   8.92577, -24.98909, 100.40488,  28.73061,   6.51237,  91.87601,  -3.23437,   4.66247,  55.86160,  11.82791,   2.54042,  16.08647,   2.17189,   4.29553,   6.64667,   8.95226,  -6.42207,  91.64750,  -3.48466,  -3.40947,  52.78327,  -6.28289,   0.25517,  13.13906, -16.01481,  -1.41959,   3.45890,  -9.56088
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.26952, 109.44858,  -0.44459,  -0.29004, 118.32208,   1.02092,   0.15852, 134.47890,   3.66138,   0.32164, 140.89817,   2.98647,   4.94517, 131.17370,   2.08905,  10.20796, 131.46975,   1.18490,  15.46821, 115.83627, -16.69818,  22.69876, 100.87662, -31.55898,  -4.88933, 131.18866,   3.67003,  -9.96309, 131.33243,   5.35490, -19.85499, 109.70747,  10.49363, -24.28010, 103.14461,  31.33249,   6.50346,  91.84067,  -3.15779,   4.80975,  55.16877,  10.24502,   2.67561,  14.24063,   9.87660,   3.43511,   6.85804,  18.99166,  -6.42836,  91.68140,  -3.55432,  -3.12973,  52.98151,  -7.88696,   0.58524,  13.60875, -18.64742,  -1.35187,   3.65700, -12.69983
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.10287, 109.47235,  -0.58058,  -0.06462, 118.35502,   0.82792,   0.36647, 134.51549,   3.44882,   0.54287, 140.94790,   2.91748,   5.15074, 131.21823,   1.85275,  10.40295, 131.62289,   0.92941,  15.68627, 117.15831, -17.90521,  23.27235, 103.24637, -33.58401,  -4.67463, 131.21517,   3.48964,  -9.72581, 131.44114,   5.23232, -19.62255, 110.26031,  11.96450, -23.47987, 105.11771,  33.30896,   6.47763,  91.75663,  -3.05519,   4.83271,  54.64322,   9.07827,   3.12360,  14.38217,  16.55692,   3.03163,   9.16085,  27.08749,  -6.44896,  91.75881,  -3.61902,  -3.19852,  53.14528,  -8.69480,   0.37048,  14.51406, -21.91201,  -1.44366,   4.36907, -16.25943
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.04568, 109.48738,  -0.67739,  -0.00206, 118.37560,   0.69550,   0.34741, 134.53544,   3.33242,   0.53874, 140.97663,   2.92780,   5.15000, 131.26262,   1.74109,  10.40133, 131.70469,   0.82993,  15.82935, 118.02318, -18.54102,  23.54943, 104.81911, -34.75732,  -4.67790, 131.21100,   3.36183,  -9.73085, 131.41230,   5.10241, -19.34363, 110.59367,  13.23102, -22.88626, 106.36256,  34.82867,   6.46737,  91.72552,  -2.99472,   4.66854,  55.12402,  10.58564,   3.07045,  15.56514,  21.18490,   2.88818,  12.09773,  32.41466,  -6.45464,  91.78573,  -3.65251,  -3.65535,  53.18582,  -9.08802,  -0.28855,  15.76732, -25.46861,  -1.80584,   5.44199, -20.06038
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.06844, 109.49731,  -0.74550,  -0.04676, 118.39080,   0.59333,   0.23194, 134.55860,   3.18957,   0.40475, 141.00425,   2.85344,   5.05494, 131.29817,   1.63497,  10.31475, 131.69624,   0.75292,  15.94763, 118.25938, -18.73047,  23.54931, 105.32509, -35.21785,  -4.78204, 131.21698,   3.19840,  -9.85747, 131.32863,   4.88067, -18.91411, 110.63102,  13.90740, -22.35130, 106.56531,  35.55380,   6.46935,  91.73168,  -2.96203,   4.49433,  55.49048,  11.52961,   2.86143,  16.16798,  22.96976,   2.73281,  13.36384,  34.38396,  -6.45028,  91.77681,  -3.66622,  -3.99066,  53.22014,  -9.55414,  -0.61162,  17.37646, -29.14025,  -2.07250,   6.82012, -24.18112
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.18732, 109.50925,  -0.83660,  -0.20753, 118.41322,   0.43067,   0.08172, 134.61326,   2.81627,   0.22234, 141.05981,   2.48247,   4.90428, 131.32850,   1.31233,  10.17752, 131.60907,   0.46598,  16.09914, 117.75388, -18.63504,  23.37821, 104.54720, -35.05193,  -4.93533, 131.27653,   2.86036, -10.02402, 131.30473,   4.50566, -18.33232, 110.30285,  13.54935, -21.86643, 105.32320,  34.98819,   6.48542,  91.78017,  -2.94081,   4.40421,  55.81799,  12.21579,   2.89701,  16.01873,  21.88794,   2.66335,  12.40184,  33.06949,  -6.43322,  91.72499,  -3.66206,  -4.00567,  53.27820, -10.24121,  -0.56602,  19.29914, -32.89944,  -2.18591,   8.37265, -28.88056
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.44953, 109.50197,  -0.82285,  -0.54982, 118.41452,   0.37869,  -0.18113, 134.66831,   2.35209,  -0.05830, 141.11029,   1.93373,   4.62564, 131.32258,   0.93446,   9.91255, 131.41907,   0.13364,  16.12186, 116.50722, -18.05871,  22.97161, 102.47788, -33.97016,  -5.21468, 131.35864,   2.47848, -10.31525, 131.31147,   4.08610, -17.84047, 109.60829,  12.10097, -21.58377, 102.73841,  32.97448,   6.52156,  91.89224,  -2.96166,   4.27216,  57.05844,  14.61328,   3.18940,  16.29822,  18.76484,   2.61063,  10.98907,  29.23583,  -6.39629,  91.61495,  -3.64503,  -4.13959,  53.28558, -10.93209,  -0.62626,  21.27158, -36.28091,  -2.47736,   9.89056, -33.99847
