time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   2.09674, 109.63981,-451.25239,   2.33681, 118.58731,-450.37382,   1.00047, 134.68776,-447.68948,   0.59105, 141.07863,-446.86587,   6.24608, 131.76878,-448.21075,  11.52826, 131.31275,-447.50886,  21.00354, 109.20786,-443.83826,  19.93600,  91.33890,-430.55383,  -3.67282, 131.03661,-448.75532,  -8.83963, 129.67190,-448.96551, -13.43373, 107.20529,-457.09206, -17.12861,  85.22390,-457.37027,   7.11742,  91.30517,-452.63325,  11.07139,  52.67893,-448.19342,  12.32718,  31.10133,-483.01630,  12.49973,  19.84242,-486.38836,  -5.77162,  92.30011,-452.08778,  -5.96348,  55.50082,-438.93068,  -0.68878,  15.25227,-444.59063,  -2.69705,   7.90649,-435.63687
   0.03333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.90806, 109.67190,-451.61162,   2.09223, 118.63446,-450.88658,   0.85258, 134.75261,-448.26276,   0.46235, 141.14989,-447.48060,   6.08024, 131.80579,-448.80710,  11.36912, 131.34726,-448.15935,  20.66787, 109.00091,-445.69866,  20.59113,  90.06041,-433.94422,  -3.84558, 131.11984,-449.28100,  -9.01413, 129.74868,-449.37324, -14.12863, 106.82305,-455.70983, -17.69480,  84.91841,-453.61688,   7.15287,  91.36688,-452.44317,  10.85700,  53.22378,-444.78054,  11.85718,  30.95792,-479.17580,  12.37638,  19.44507,-481.48843,  -5.75449,  92.22945,-452.17776,  -6.06271,  54.61644,-441.57112,  -0.43299,  14.53793,-448.03810,  -2.45186,   7.23256,-439.05371
   0.06667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.65069, 109.69612,-451.91550,   1.76114, 118.66990,-451.32709,   0.67026, 134.81262,-448.78972,   0.30951, 141.21331,-448.02143,   5.87065, 131.81270,-449.30444,  11.16395, 131.34855,-448.69810,  20.36083, 108.84881,-447.66855,  21.22699,  89.05744,-437.44765,  -4.06002, 131.22016,-449.80221,  -9.23473, 129.86933,-449.81364, -14.84945, 106.57512,-454.02675, -18.19643,  85.00143,-449.52288,   7.19557,  91.46294,-452.19621,  10.44407,  53.93999,-441.76511,  11.25240,  29.67660,-474.78688,  12.13425,  17.98339,-475.59603,  -5.72547,  92.12664,-452.34004,  -5.88879,  53.88868,-444.26751,  -0.26284,  13.90533,-451.30191,  -2.28000,   6.57194,-442.33999
   0.10000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.34337, 109.71132,-452.09400,   1.35904, 118.69074,-451.58706,   0.41048, 134.85077,-449.10318,   0.09425, 141.25239,-448.32310,   5.58435, 131.79939,-449.58147,  10.88041, 131.32531,-449.00783,  20.00045, 108.77588,-449.48582,  21.77017,  88.31638,-440.81445,  -4.34881, 131.30097,-450.13012,  -9.53692, 130.00341,-450.08124, -15.56011, 106.50597,-451.94858, -18.69016,  85.51874,-445.11852,   7.23728,  91.58637,-451.94806,   9.79114,  54.76503,-439.10286,  10.66467,  27.47312,-469.66741,  11.75740,  15.81628,-468.62456,  -5.68154,  91.99897,-452.53844,  -5.69489,  53.34763,-446.75850,  -0.16680,  13.46520,-454.41588,  -2.16706,   6.09913,-445.47700
   0.13333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   1.05507, 109.71805,-452.13205,   0.97908, 118.69801,-451.64038,   0.15014, 134.86367,-449.15037,  -0.12062, 141.26362,-448.34007,   5.30129, 131.77357,-449.62531,  10.60142, 131.28284,-449.10589,  19.65451, 108.78466,-451.04355,  22.26062,  87.83573,-443.88353,  -4.63485, 131.35030,-450.18314,  -9.83933, 130.12303,-450.08472, -16.20940, 106.64746,-449.62071, -19.06837,  86.48149,-440.56142,   7.26967,  91.70366,-451.76635,   9.14762,  55.61118,-436.89562,  10.42072,  24.60256,-463.66590,  11.31243,  13.28049,-460.63619,  -5.63359,  91.87981,-452.70955,  -5.48949,  52.97569,-448.99705,  -0.08947,  13.20341,-457.29211,  -2.09733,   5.75232,-448.42569
   0.16667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.86151, 109.71923,-452.10433,   0.72786, 118.69829,-451.60852,   0.00462, 134.87367,-449.14884,  -0.22645, 141.27211,-448.31471,   5.13546, 131.74995,-449.62368,  10.43987, 131.23456,-449.17688,  19.42078, 108.87538,-452.53707,  22.77375,  87.58378,-446.85014,  -4.80380, 131.38882,-450.16935, -10.02355, 130.23228,-450.03080, -16.71163, 106.98519,-447.43506, -19.22464,  87.87704,-436.23353,   7.28446,  91.78089,-451.61977,   8.65902,  56.33328,-435.22128,  10.31345,  21.56585,-456.86134,  10.85513,  10.97694,-451.78738,  -5.59445,  91.80225,-452.86386,  -5.21104,  52.77702,-450.81000,  -0.02327,  13.20603,-460.13879,  -2.02953,   5.71510,-451.30564
   0.20000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.79189, 109.71842,-452.03239,   0.64441, 118.69600,-451.51423,   0.00138, 134.87867,-449.08038,  -0.20471, 141.27640,-448.23430,   5.11666, 131.72981,-449.55689,  10.42249, 131.16942,-449.18776,  19.28266, 109.01155,-453.92135,  23.31276,  87.48686,-449.75464,  -4.82493, 131.41506,-450.08870, -10.05532, 130.31307,-449.91237, -17.03620, 107.42855,-445.50085, -19.19301,  89.57951,-432.32243,   7.28359,  91.80538,-451.52867,   8.40232,  56.90358,-433.98030,  10.28616,  18.86311,-449.11889,  10.57093,   9.23860,-442.37713,  -5.57417,  91.77799,-452.97500,  -4.99840,  52.70594,-452.36073,   0.07930,  13.45688,-463.01584,  -1.94430,   5.96607,-454.18655
   0.23333,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.80367, 109.71731,-451.95416,   0.66676, 118.69244,-451.39260,   0.06589, 134.86517,-448.88304,  -0.11384, 141.26072,-448.01480,   5.17291, 131.70849,-449.39517,  10.47873, 131.10667,-449.09830,  19.10250, 109.17540,-455.14239,  23.66140,  87.51102,-452.53732,  -4.77142, 131.41561,-449.88677, -10.00557, 130.33852,-449.67199, -17.33663, 107.89874,-443.78919, -19.03253,  91.39702,-428.89865,   7.27499,  91.79608,-451.48011,   8.27257,  57.19915,-433.33103,  10.29417,  16.92705,-440.67094,  10.24377,   8.29548,-432.69241,  -5.56886,  91.78760,-453.04536,  -4.86553,  52.72128,-453.85933,   0.12923,  13.87366,-465.93068,  -1.90014,   6.38284,-457.10272
   0.26667,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.87035, 109.71584,-451.87708,   0.76155, 118.68852,-451.27194,   0.18585, 134.84940,-448.68149,   0.02398, 141.24204,-447.78864,   5.28791, 131.68866,-449.21744,  10.59576, 131.07803,-448.98098,  18.84628, 109.37400,-456.24358,  23.79096,  87.65972,-455.26617,  -4.65757, 131.41114,-449.69448,  -9.89373, 130.35229,-449.44157, -17.58384, 108.37578,-442.38533, -18.83040,  93.15264,-426.14916,   7.25633,  91.76363,-451.41787,   8.22752,  57.05417,-433.48347,  10.14383,  16.12431,-432.54702,   9.74680,   8.89064,-423.29067,  -5.56877,  91.82046,-453.12908,  -4.75753,  52.81193,-455.36747,   0.15812,  14.45808,-468.95503,  -1.87540,   6.96728,-460.12801
   0.30000,   0.00000,   0.00000,   0.00000,   0.84703,  93.98400,-452.22500,   0.95694, 109.71571,-451.88822,   0.88533, 118.68837,-451.27716,   0.34529, 134.84081,-448.62703,   0.19989, 141.23234,-447.72352,   5.44039, 131.67005,-449.17008,  10.75049, 131.06870,-448.96205,  18.53710, 109.58408,-457.30835,  23.67666,  87.90282,-457.95908,  -4.50527, 131.41777,-449.65727,  -9.74421, 130.38233,-449.36764, -17.77022, 108.84371,-441.39479, -18.61753,  94.68834,-424.19541,   7.22970,  91.72689,-451.31527,   8.13234,  56.47055,-434.47757,   9.60103,  16.46658,-425.68393,   9.11848,  11.36687,-415.10453,  -5.56627,  91.85723,-453.22858,  -4.91533,  52.96588,-457.01976,   0.13448,  15.32881,-472.43903,  -1.90254,   7.83790,-463.61292
