time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.97103, 109.62673,  -2.68888,   1.38853, 118.61032,  -2.59983,   1.63587, 134.98514,  -2.74188,   1.83788, 141.38734,  -3.55445,   6.51236, 131.52154,  -3.47118,  11.84265, 131.28419,  -3.83689,  16.29870, 108.10679,  -9.73877,  23.12904,  86.89397, -10.26619,  -3.39328, 131.68043,  -2.43668,  -8.63567, 131.36136,  -1.42769, -16.23147, 108.28838,  -2.78295, -23.31568,  88.07389,   3.38952,   6.31938,  91.34075,  -3.22882,   5.62385,  55.24550,  11.73717,   6.02847,  28.80995, -19.58058,   7.84801,  17.28083, -20.97062,  -6.58997,  92.13167,  -2.85787,  -1.95206,  54.15631,   5.12307,   2.19247,  15.39308,  -7.52755,   0.38302,   7.90219,   1.34803
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.59509, 109.64304,  -2.58402,   0.87415, 118.63143,  -2.44957,   1.14158, 135.00611,  -2.56972,   1.35182, 141.40797,  -3.38290,   6.00012, 131.53711,  -3.38779,  11.31809, 131.29732,  -3.90138,  15.63175, 108.43723, -11.02101,  22.65010,  87.35480, -12.80696,  -3.88617, 131.70771,  -2.18388,  -9.10363, 131.45009,  -1.03748, -17.06326, 108.46195,  -1.32912, -24.13795,  88.79025,   6.40936,   6.38019,  91.49338,  -3.21324,   4.84195,  56.73073,  14.57790,   5.60768,  26.61731, -13.21415,   8.18866,  15.18482, -12.31947,  -6.54602,  91.97450,  -2.90268,  -2.31476,  53.52549,   2.67442,   1.99099,  14.97464, -10.55796,   0.16769,   7.48378,  -1.68519
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.30671, 109.64610,  -2.41950,   0.48039, 118.63547,  -2.19993,   0.76699, 135.01026,  -2.20773,   0.96748, 141.41179,  -3.02587,   5.60779, 131.54148,  -3.12572,  10.91255, 131.30086,  -3.76110,  15.07837, 108.83388, -12.11343,  22.33610,  87.97124, -15.11200,  -4.25841, 131.71510,  -1.76741,  -9.45083, 131.51489,  -0.50201, -17.68676, 108.63233,   0.17106, -24.72178,  89.57883,   9.35713,   6.42417,  91.61234,  -3.21549,   4.35807,  57.89329,  16.43368,   5.29184,  23.60725,  -6.00286,   8.03347,  12.68618,  -2.62985,  -6.50964,  91.85469,  -2.94628,  -2.71542,  53.07898,   0.11678,   1.88310,  14.66967, -13.42507,   0.03125,   7.17877,  -4.55824
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.15942, 109.63992,  -2.22552,   0.28686, 118.62690,  -1.90133,   0.62272, 135.00006,  -1.75029,   0.82316, 141.40185,  -2.56649,   5.44375, 131.52644,  -2.75039,  10.73730, 131.29459,  -3.47607,  14.75845, 109.28404, -13.02839,  22.23969,  88.70908, -17.22573,  -4.40799, 131.71538,  -1.29278,  -9.58051, 131.56469,   0.05811, -18.01216, 108.80008,   1.66288, -24.94950,  90.41048,  12.17987,   6.44602,  91.67417,  -3.21739,   4.28745,  58.40025,  17.16690,   4.99739,  20.32170,   2.02349,   7.50435,  10.42091,   7.84182,  -6.49045,  91.79458,  -2.99843,  -2.77740,  52.89423,  -2.44122,   1.92661,  14.57955, -16.21293,   0.01719,   7.08873,  -7.35825
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.19083, 109.63151,  -2.07634,   0.33771, 118.61450,  -1.66239,   0.71314, 134.98418,  -1.33266,   0.90860, 141.38671,  -2.14425,   5.52048, 131.51069,  -2.39703,  10.80454, 131.28205,  -3.18982,  14.74201, 109.76841, -13.84535,  22.34681,  89.51523, -19.22043,  -4.32281, 131.70627,  -0.88421,  -9.48128, 131.57287,   0.52108, -18.06154, 108.94156,   2.99062, -24.86061,  91.17695,  14.61397,   6.44214,  91.66050,  -3.18873,   4.65146,  57.96632,  16.52999,   4.66022,  17.40509,  10.64869,   6.63900,   9.01386,  18.63838,  -6.49532,  91.81059,  -3.06866,  -2.69375,  52.96967,  -5.13383,   2.10381,  14.70471, -19.01113,   0.13029,   7.21386, -10.17055
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.33250, 109.62474,  -2.00420,   0.53562, 118.60423,  -1.54087,   0.92313, 134.97060,  -1.08524,   1.11248, 141.37441,  -1.88816,   5.72821, 131.50181,  -2.17484,  11.00647, 131.28364,  -3.00817,  14.92252, 110.25811, -14.60440,  22.53644,  90.35200, -21.13817,  -4.11539, 131.69310,  -0.66350,  -9.26664, 131.56319,   0.76835, -17.92779, 109.06018,   4.00790, -24.50356,  91.83217,  16.53251,   6.42162,  91.59854,  -3.12310,   5.13515,  56.54093,  14.10019,   4.31366,  15.84510,  18.89370,   5.40384,   9.49070,  28.72206,  -6.51428,  91.87444,  -3.15439,  -2.39643,  53.27283,  -7.65915,   2.66959,  15.20120, -21.96613,   0.38343,   7.68538, -13.22259
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.51456, 109.61856,  -1.98441,   0.78470, 118.59566,  -1.50914,   1.15738, 134.96136,  -1.01829,   1.33831, 141.36618,  -1.81500,   5.97038, 131.49845,  -2.09154,  11.24801, 131.30498,  -2.93487,  15.14419, 110.72412, -15.30938,  22.70070,  91.16341, -22.87201,  -3.88060, 131.67917,  -0.62776,  -9.03090, 131.56072,   0.80852, -17.65048, 109.13682,   4.65126, -24.03035,  92.35555,  17.86479,   6.39281,  91.51738,  -3.01725,   5.29316,  55.82119,  12.85426,   4.20315,  16.81369,  25.38543,   4.04349,  12.55560,  36.34019,  -6.53620,  91.95732,  -3.26576,  -2.62563,  53.40484,  -8.34000,   2.50163,  16.39426, -25.18431,   0.33115,   8.55310, -16.70086
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.61747, 109.61209,  -1.94263,   0.91962, 118.58741,  -1.45339,   1.24874, 134.95410,  -0.96431,   1.41905, 141.35936,  -1.75987,   6.08141, 131.50206,  -1.98279,  11.36383, 131.31887,  -2.79797,  15.26190, 111.10027, -15.75536,  22.60683,  91.82681, -24.21118,  -3.78562, 131.66031,  -0.62858,  -8.94640, 131.53889,   0.76932, -17.43367, 109.14842,   5.07377, -23.62535,  92.60432,  18.67035,   6.37352,  91.46822,  -2.91289,   5.07385,  55.56060,  12.45870,   3.71123,  17.89883,  28.56886,   2.87341,  15.44539,  40.03369,  -6.54558,  92.00828,  -3.38176,  -3.13634,  53.45254,  -8.78228,   2.05272,  17.81994, -28.35763,   0.03529,   9.36271, -20.44759
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.45362, 109.60465,  -1.76439,   0.68220, 118.57805,  -1.20485,   0.94347, 134.94578,  -0.70986,   1.10320, 141.34802,  -1.53144,   5.80393, 131.51167,  -1.65403,  11.09247, 131.27206,  -2.41297,  15.03056, 111.29851, -15.73324,  22.03665,  92.22694, -24.90414,  -4.08329, 131.63344,  -0.45185,  -9.26185, 131.43994,   0.87012, -17.53170, 109.00888,   5.38153, -23.61208,  92.48120,  19.04811,   6.39773,  91.53201,  -2.91340,   4.72991,  55.63478,  12.44695,   2.98004,  17.94745,  28.45962,   1.91919,  15.16801,  39.83120,  -6.52414,  91.94657,  -3.43092,  -3.66044,  53.39701,  -9.18106,   1.36644,  19.17105, -31.16100,  -0.50858,   9.81590, -24.29595
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.05042, 109.58995,  -1.51983,   0.12189, 118.56118,  -0.88818,   0.35093, 134.93295,  -0.52924,   0.50169, 141.32607,  -1.42055,   5.22224, 131.50010,  -1.42053,  10.51095, 131.21866,  -2.16378,  14.54474, 111.23035, -15.43317,  21.11457,  92.20504, -25.01390,  -4.67102, 131.61354,  -0.26830,  -9.86116, 131.33476,   0.99155, -17.92297, 108.77905,   5.25095, -23.95553,  92.05947,  18.70363,   6.45988,  91.70380,  -3.02906,   4.28303,  57.10962,  15.02188,   1.67684,  18.03222,  27.10358,   1.21710,  12.18119,  37.28777,  -6.47393,  91.77887,  -3.38341,  -4.09670,  53.28243,  -9.68475,   0.71710,  20.47021, -33.76770,  -1.10138,  10.08958, -28.56201
