time,joint_Root.x,joint_Root.y,joint_Root.z,Hips.x,Hips.y,Hips.z,Spine.x,Spine.y,Spine.z,Chest.x,Chest.y,Chest.z,Neck.x,Neck.y,Neck.z,Head.x,Head.y,Head.z,Shoulder_L.x,Shoulder_L.y,Shoulder_L.z,UpperArm_L.x,UpperArm_L.y,UpperArm_L.z,LowerArm_L.x,LowerArm_L.y,LowerArm_L.z,Hand_L.x,Hand_L.y,Hand_L.z,Shoulder_R.x,Shoulder_R.y,Shoulder_R.z,UpperArm_R.x,UpperArm_R.y,UpperArm_R.z,LowerArm_R.x,LowerArm_R.y,LowerArm_R.z,Hand_R.x,Hand_R.y,Hand_R.z,UpperLeg_L.x,UpperLeg_L.y,UpperLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,LowerLeg_L.z,Foot_L.x,Foot_L.y,Foot_L.z,Toes_L.x,Toes_L.y,Toes_L.z,UpperLeg_R.x,UpperLeg_R.y,UpperLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,LowerLeg_R.z,Foot_R.x,Foot_R.y,Foot_R.z,Toes_R.x,Toes_R.y,Toes_R.z
   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.75203, 109.56888,  -4.51248,  -1.34395, 118.49831,  -3.61693,  -2.82879, 132.85754,   4.11764,  -3.47092, 138.74345,   6.69311,   2.40286, 130.58872,   2.17064,   7.71894, 130.73918,   2.73520,  15.99945, 110.56281,  -8.04571,   4.07180, 106.86316,  10.41937,  -7.48547, 129.42058,   2.44161, -12.58196, 128.27310,   3.58685, -18.83175, 107.20041,  -6.84278,  -3.79481, 102.96675,   9.05934,   6.56532,  92.03850,  -2.95835,   3.44916,  54.12695,   6.00473,  -0.51816,  14.66709,  -4.33852,  -0.52455,   7.17623,   4.71965,  -6.35575,  91.45005,  -2.62018,  -3.99962,  57.64032,  16.83965,  -4.75481,  24.63628,  -7.44956,  -7.99657,  13.40677,  -6.20350
   0.03333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.62695, 109.57826,  -4.47191,  -1.17092, 118.50800,  -3.54946,  -2.66524, 132.83662,   4.23987,  -3.32807, 138.70782,   6.84351,   2.57108, 130.56695,   2.30645,   7.88316, 130.70728,   2.90987,  16.16313, 110.54234,  -7.89283,   4.10006, 106.80992,  10.47744,  -7.32038, 129.41504,   2.52844, -12.42190, 128.27798,   3.66165, -18.64994, 107.22711,  -6.82489,  -3.60676, 102.97600,   9.06667,   6.55034,  91.98732,  -2.94915,   3.44812,  53.89589,   5.22102,  -0.43300,  14.48527,  -5.34034,  -0.43162,   6.99439,   3.71783,  -6.37563,  91.49861,  -2.64068,  -3.68053,  57.88051,  17.10505,  -4.88313,  22.66316,  -3.82567,  -8.18648,  11.79129,  -0.81672
   0.06667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.50129, 109.58997,  -4.39335,  -0.99411, 118.51802,  -3.42680,  -2.47990, 132.81025,   4.43072,  -3.14931, 138.67200,   7.05388,   2.75822, 130.53436,   2.50954,   8.06648, 130.65836,   3.14917,  16.33076, 110.48422,  -7.64836,   4.09796, 106.76390,  10.61180,  -7.13768, 129.41227,   2.67993, -12.24683, 128.28732,   3.79060, -18.48611, 107.26238,  -6.74120,  -3.44218, 102.96282,   9.13661,   6.53503,  91.93665,  -2.93601,   3.46477,  53.67486,   4.40842,  -0.30714,  14.28895,  -6.28393,  -0.30013,   6.79808,   2.77424,  -6.39533,  91.54602,  -2.67571,  -3.55672,  57.79240,  16.81711,  -4.96171,  20.27541,   0.37617,  -8.07536,  10.03468,   5.23376
   0.10000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.40218, 109.60154,  -4.29165,  -0.85179, 118.52629,  -3.27487,  -2.31454, 132.79019,   4.63825,  -2.98629, 138.64210,   7.28269,   2.92334, 130.49905,   2.73460,   8.22715, 130.60903,   3.41247,  16.45964, 110.42263,  -7.38645,   4.05048, 106.70344,  10.75455,  -6.97831, 129.42119,   2.84780, -12.09819, 128.32619,   3.93880, -18.34883, 107.32828,  -6.64007,  -3.32761, 102.94287,   9.23576,   6.52288,  91.89802,  -2.91243,   3.44522,  53.49261,   3.63621,  -0.17060,  14.12472,  -7.17575,  -0.15540,   6.63385,   1.88241,  -6.41081,  91.58142,  -2.72763,  -3.74512,  57.41834,  16.06363,  -5.03906,  17.93585,   5.14290,  -7.70344,   8.57498,  11.73370
   0.13333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.36863, 109.61084,  -4.18426,  -0.79635, 118.53101,  -3.11896,  -2.22019, 132.77841,   4.83089,  -2.88403, 138.62467,   7.48982,   3.01457, 130.46377,   2.94722,   8.31370, 130.55295,   3.66366,  16.49182, 110.34245,  -7.13146,   3.93106, 106.63814,  10.90796,  -6.89341, 129.44121,   3.00587, -12.02386, 128.38022,   4.08071, -18.30418, 107.41303,  -6.54142,  -3.32402, 102.96319,   9.35526,   6.51882,  91.88566,  -2.89809,   3.41182,  53.35606,   2.85941,  -0.07871,  14.02925,  -8.14156,  -0.00918,   6.53982,   0.91753,  -6.41609,  91.59119,  -2.77190,  -4.12724,  56.67019,  14.62404,  -4.94580,  15.94890,  10.05138,  -7.14094,   7.68161,  18.11345
   0.16667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.39486, 109.61671,  -4.09463,  -0.81669, 118.53366,  -3.00046,  -2.16776, 132.80217,   4.92421,  -2.80451, 138.64926,   7.58791,   3.05618, 130.45241,   3.05404,   8.35204, 130.52086,   3.79656,  16.45364, 110.22666,  -6.89877,   3.77610, 106.61399,  11.07744,  -6.85799, 129.49085,   3.09568, -11.99585, 128.46455,   4.16880, -18.34833, 107.53086,  -6.47648,  -3.40367, 103.00903,   9.43331,   6.52224,  91.89625,  -2.90624,   3.47535,  53.26473,   2.15872,   0.07026,  14.05924,  -9.29285,   0.18180,   6.54867,  -0.25170,  -6.41221,  91.57896,  -2.78872,  -4.55823,  55.66457,  12.51008,  -4.44832,  14.71950,  14.32446,  -6.24289,   7.72078,  23.59598
   0.20000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.37411, 109.62198,  -4.02415,  -0.76422, 118.53934,  -2.92156,  -2.00480, 132.86668,   4.91452,  -2.59334, 138.71900,   7.57781,   3.19895, 130.47402,   3.04241,   8.49494, 130.52247,   3.78552,  16.49888, 110.05793,  -6.65576,   3.75299, 106.64122,  11.31043,  -6.72052, 129.57133,   3.12309, -11.85912, 128.57049,   4.21652, -18.31795, 107.65169,  -6.39398,  -3.39038, 103.09373,   9.52154,   6.51918,  91.88484,  -2.95184,   3.70739,  53.15789,   1.48090,   0.41578,  14.15054, -10.65972,   0.53217,   6.60841,  -1.64493,  -6.41493,  91.58890,  -2.76276,  -4.70153,  54.90073,  10.59298,  -3.79058,  14.45714,  17.17242,  -5.09304,   8.34127,  27.12548
   0.23333,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.19256, 109.62707,  -3.99591,  -0.48845, 118.55000,  -2.90922,  -1.59232, 132.95716,   4.79995,  -2.11807, 138.82200,   7.44881,   3.58254, 130.52553,   2.89820,   8.88336, 130.54484,   3.60743,  16.77597, 109.84014,  -6.43761,   4.00000, 106.80513,  11.57569,  -6.33907, 129.66378,   3.08865, -11.46692, 128.66455,   4.23285, -18.08941, 107.76016,  -6.30491,  -3.14177, 103.19610,   9.59001,   6.49456,  91.80722,  -2.99164,   4.02333,  52.99093,   0.81905,   0.93303,  14.28947, -12.31295,   1.07558,   6.69638,  -3.34142,  -6.44091,  91.66511,  -2.73084,  -4.56431,  54.86111,  10.27984,  -3.35114,  14.55249,  17.59739,  -4.23870,   8.42982,  27.59182
   0.26667,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,  -0.02326, 109.62688,  -4.01708,  -0.23176, 118.55776,  -2.97637,  -1.20331, 133.07028,   4.55083,  -1.66259, 138.95780,   7.16146,   3.94318, 130.59208,   2.63232,   9.25045, 130.58816,   3.29180,  17.03174, 109.63935,  -6.32485,   4.30466, 107.10389,  11.79995,  -5.97955, 129.77438,   2.92877, -11.09580, 128.79012,   4.13611, -17.86989, 107.86449,  -6.26222,  -2.83702, 103.35300,   9.56719,   6.47101,  91.73626,  -3.00535,   4.29864,  52.85111,   0.24395,   1.46390,  14.60086, -14.20202,   1.64309,   6.89061,  -5.33165,  -6.46453,  91.73612,  -2.71122,  -4.26052,  55.11484,  10.75570,  -2.80333,  14.54938,  16.42340,  -3.62820,   7.59646,  25.86480
   0.30000,   0.00000,   0.00000,   0.00000,   0.00000,  93.92410,  -3.00000,   0.27192, 109.62220,  -4.05257,   0.19724, 118.56079,  -3.06101,  -0.66155, 133.16834,   4.29411,  -1.06222, 139.07673,   6.86698,   4.46129, 130.64438,   2.37197,   9.77375, 130.61221,   2.98744,  17.37541, 109.45293,  -6.30668,   4.82617, 107.38852,  12.00097,  -5.46266, 129.87379,   2.74431, -10.56742, 128.90301,   4.00981, -17.47112, 107.92283,  -6.19149,  -2.31343, 103.49833,   9.54316,   6.42824,  91.61371,  -3.01958,   4.59365,  52.68217,  -0.13827,   2.09491,  14.96180, -15.97282,   2.30425,   6.98419,  -7.34279,  -6.50402,  91.85998,  -2.68711,  -4.04730,  55.19290,  10.61039,  -2.09604,  14.49515,  15.04760,  -2.98889,   7.06742,  24.11376
