time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.60100,  -3.65389,   3.96228, 100.57400,  82.19310, -99.90970,   7.57349,   2.85297,   1.13934,  -0.39772,  -0.13633,  -1.68921,  13.10900,  -3.48691,  -1.61374, -89.21570,  -5.06097, -96.17830, -78.74690,  30.92170,   2.50487,   6.64961,  -3.66614,-118.74400,   6.28643,   5.16075,   3.68461,  90.25060,  -3.47583,-100.87300, -82.42820,  31.81850,  10.11500,   7.99260,  -4.61266,-119.80100,  19.51900,   5.54951,  -8.68270,-175.58900,  13.42610, -14.46860,  -0.01899,   0.05921,  21.84670,  -2.65381,   5.24255, -54.62440,   0.09897,  -0.11184, -17.66590,-171.91900,   2.51213, 175.44400,   0.05952,  -0.11362,  19.98080,   5.96436,  -8.88375, -61.99100,  -0.07073,   0.05361, -16.57260
   0.03333,   0.00000,   0.00000,  -0.00000,  88.47900,  -3.70059,   3.96443, 100.25800,  81.97670, -99.58180,   8.01512,   2.84667,   1.15127,  -0.28659,  -0.08885,  -1.63970,  13.17130,  -3.49136,  -1.55568, -89.20310,  -5.09956, -96.10630, -78.85910,  30.86230,   2.57447,   6.69189,  -3.70193,-118.82400,   6.36248,   5.16064,   3.68761,  90.24130,  -3.37390,-100.90700, -82.31010,  31.87780,  10.06440,   7.96748,  -4.61403,-119.88700,  19.45540,   5.54804,  -8.61432,-175.43500,  13.77950, -14.59740,  -0.01194,   0.06308,  21.86050,  -2.75163,   4.85617, -54.52180,   0.09818,  -0.11094, -17.65700,-171.81700,   2.56223, 175.25400,   0.06109,  -0.11671,  20.08330,   5.97685,  -8.79881, -61.89670,  -0.07378,   0.05595, -16.57250
   0.06667,   0.00000,   0.00000,  -0.00000,  88.35200,  -3.78955,   3.95149, 100.04900,  81.73770, -99.36800,   8.49626,   2.87407,   1.14777,  -0.15848,  -0.04458,  -1.58502,  13.29770,  -3.48228,  -1.50075, -89.19460,  -5.15345, -96.10450, -78.92230,  30.82540,   2.61776,   6.74216,  -3.74355,-118.91200,   6.48385,   5.15733,   3.76771,  90.23580,  -3.32564,-100.94200, -82.26090,  31.80220,   9.94931,   8.05241,  -4.66008,-119.86700,  19.33080,   5.54725,  -8.57726,-175.25300,  13.87970, -14.79620,  -0.02133,   0.06239,  21.89610,  -2.82511,   4.67559, -54.37680,   0.09895,  -0.11181, -17.66560,-171.68900,   2.48675, 175.06900,   0.06193,  -0.11827,  20.12530,   5.98993,  -8.80839, -61.74690,  -0.06453,   0.04893, -16.57270
   0.10000,   0.00000,   0.00000,  -0.00000,  88.23750,  -3.91661,   3.95361,  99.89420,  81.46090, -99.21670,   9.04979,   2.92655,   1.12247,   0.00882,  -0.05330,  -1.56492,  13.38950,  -3.48526,  -1.41604, -89.18300,  -5.22344, -96.09810, -78.94220,  30.77680,   2.57489,   6.63848,  -3.70046,-119.01100,   6.50112,   5.15691,   3.77674,  90.23570,  -3.32081,-100.93800, -82.27000,  31.66320,   9.79784,   8.18095,  -4.74404,-119.91100,  19.06090,   5.54478,  -8.46085,-175.09600,  13.81140, -14.90450,  -0.01982,   0.06363,  21.83160,  -2.88600,   4.62363, -54.19500,   0.09857,  -0.11138, -17.66140,-171.54900,   2.28618, 174.91300,   0.06392,  -0.12347,  20.13050,   6.01091,  -8.88900, -61.56020,  -0.04915,   0.03729, -16.57290
   0.13333,   0.00000,   0.00000,  -0.00000,  88.12050,  -4.03520,   3.94912,  99.73600,  81.15440, -99.06430,   9.66269,   2.98502,   1.09020,   0.13286,  -0.07314,  -1.56694,  13.55030,  -3.53440,  -1.34559, -89.17590,  -5.30651, -96.15910, -78.99910,  30.63830,   2.52708,   6.67132,  -3.74475,-119.17900,   6.60502,   5.15503,   3.82266,  90.23350,  -3.31352,-100.96700, -82.35000,  31.49340,   9.69617,   8.26592,  -4.82538,-120.07100,  18.87040,   5.54406,  -8.42983,-174.92200,  13.86280, -15.06120,  -0.01869,   0.06395,  21.82300,  -2.96850,   4.46980, -54.03630,   0.10050,  -0.11361, -17.68290,-171.40700,   1.96470, 174.70000,   0.06342,  -0.12131,  20.21670,   6.00111,  -9.08402, -61.39030,  -0.04733,   0.03595, -16.57300
   0.16667,   0.00000,   0.00000,  -0.00000,  88.00280,  -4.14417,   3.93412,  99.38870,  80.82250, -98.70220,  10.33570,   2.98963,   1.10194,   0.31928,  -0.07675,  -1.59345,  13.54800,  -3.54223,  -1.41325, -89.18000,  -5.31821, -96.22210, -79.02220,  30.44750,   2.44804,   6.77885,  -3.84550,-119.43200,   6.68120,   5.15507,   3.82163,  90.23610,  -3.37814,-100.99900, -82.37920,  31.43910,   9.47965,   8.26653,  -4.86328,-120.26400,  18.77120,   5.54069,  -8.27509,-174.74200,  14.06300, -15.25800,  -0.01725,   0.06738,  21.84140,  -3.07144,   4.18572, -53.88490,   0.09825,  -0.11100, -17.65780,-171.24400,   1.31096, 174.42400,   0.06204,  -0.11645,  20.37020,   5.92343,  -9.63836, -61.20190,  -0.04669,   0.03551, -16.57290
   0.20000,   0.00000,   0.00000,  -0.00000,  87.90230,  -4.24281,   3.94089,  98.99150,  80.46730, -98.29410,  11.05820,   2.97723,   1.10631,   0.49348,  -0.04226,  -1.64290,  13.65540,  -3.54640,  -1.43413, -89.17730,  -5.34942, -96.24330, -78.97200,  30.33100,   2.20882,   6.72903,  -3.85130,-119.65200,   6.82919,   5.15386,   3.85034,  90.23280,  -3.36836,-101.04300, -82.34560,  31.37750,   9.28586,   8.32585,  -4.94042,-120.47500,  18.74130,   5.53798,  -8.15099,-174.57100,  14.36480, -15.48440,  -0.02210,   0.06840,  21.93140,  -3.18508,   3.83493, -53.76390,   0.10886,  -0.12326, -17.77590,-171.09400,   0.55835, 174.14000,   0.05822,  -0.10488,  20.58800,   5.82156, -10.30580, -61.03750,  -0.04726,   0.03594, -16.57290
   0.23333,   0.00000,   0.00000,  -0.00000,  87.82550,  -4.33303,   3.98191,  98.54030,  80.09370, -97.83580,  11.82020,   2.94214,   1.10415,   0.68111,   0.00421,  -1.69885,  13.82710,  -3.53229,  -1.46757, -89.17110,  -5.40640, -96.27040, -78.96370,  30.16200,   1.94301,   6.86937,  -3.96248,-119.83900,   6.83087,   5.15244,   3.88435,  90.22680,  -3.33686,-101.11000, -82.31100,  31.20940,   9.10269,   8.33404,  -4.98987,-120.69900,  18.65680,   5.53611,  -8.06736,-174.44500,  14.57200, -15.69570,  -0.02082,   0.07105,  22.09840,  -3.27839,   3.56936, -53.69390,   0.10366,  -0.11725, -17.71790,-171.00500,   0.35649, 173.83100,   0.05490,  -0.09404,  20.93350,   5.79626, -10.47430, -61.00150,  -0.04796,   0.03651, -16.57290
   0.26667,   0.00000,   0.00000,  -0.00000,  87.74590,  -4.42954,   4.02132,  98.17830,  79.71100, -97.46560,  12.59660,   2.92940,   1.10217,   0.89760,   0.05665,  -1.71371,  14.01620,  -3.48630,  -1.48544, -89.16510,  -5.44841, -96.27430, -78.84350,  30.09250,   1.54746,   7.11936,  -4.12770,-119.95500,   6.92698,   5.15312,   3.86851,  90.22140,  -3.28256,-101.13900, -82.21900,  31.00330,   8.88368,   8.35886,  -5.03395,-120.84400,  18.65760,   5.53477,  -8.00729,-174.31500,  14.64530, -15.86440,  -0.01994,   0.07197,  22.19810,  -3.35820,   3.42791, -53.59270,   0.10138,  -0.11463, -17.69280,-170.89100,  -0.09939, 173.58100,   0.05063,  -0.08181,  21.18230,   5.74419, -10.86000, -60.90130,  -0.04819,   0.03669, -16.57290
   0.30000,   0.00000,   0.00000,  -0.00000,  87.67520,  -4.49365,   4.00814,  97.88110,  79.34010, -97.17370,  13.34700,   2.92675,   1.07284,   1.20154,   0.11522,  -1.69726,  14.15820,  -3.45264,  -1.40571, -89.15730,  -5.55034, -96.35230, -78.74880,  29.95060,   1.09420,   7.18566,  -4.17807,-120.02300,   7.13443,   5.14984,   3.94727,  90.21370,  -3.24016,-101.22400, -82.22710,  30.67410,   8.69337,   8.41800,  -5.09319,-120.95800,  18.72500,   5.53348,  -7.94954,-174.18700,  14.58390, -16.09780,  -0.02267,   0.07287,  22.29420,  -3.41380,   3.44730, -53.47070,   0.10040,  -0.11350, -17.68190,-170.79800,  -0.42012, 173.28300,   0.04848,  -0.07530,  21.43070,   5.71638, -11.08700, -60.82150,  -0.04440,   0.03385, -16.57300
