time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.91580,  -2.02853,  -2.24475,  79.67130,  83.54070, -81.01860,   4.92108,  -2.27826,  -2.59384,  -3.84368,  -3.97676,   2.69318,  -9.58408,  -2.21160,   1.94750, -90.59600,   2.42193, -91.17040, -71.50710,  48.97050,  -2.18052, -11.43190,  -3.42304, -73.54980,  11.51000,   5.50010,  -6.53607,  88.44530,   9.27820, -95.44420, -73.07600,  40.79780,   9.54413,   2.71837,   0.39514, -81.74410, -11.06210,   5.39326,  -2.71968,-178.02000,  -4.89889, -15.63960,   0.01902,  -0.02776,  22.55700,  -1.34163,  -0.44207, -59.38320,   0.00887,  -0.01373, -16.82300, 173.50600,   8.91959, 166.60700,  -0.00144,   0.03754,  17.46760,  -5.98848,   0.56662, -55.66110,   0.12872,  -0.14677, -18.00950
   0.03333,   0.00000,   0.00000,  -0.00000,  89.86700,  -1.82485,  -2.12883,  80.13330,  83.44380, -81.45640,   5.13130,  -2.21177,  -2.54430,  -3.67205,  -3.96006,   2.54543,  -9.50628,  -2.27441,   1.91196, -90.60000,   2.43792, -91.16900, -71.14580,  49.32080,  -2.49033, -11.57560,  -3.41094, -73.80270,  11.19820,   5.48832,  -6.07040,  88.44170,   9.34960, -95.49360, -73.08400,  40.64560,   9.53641,   2.56348,   0.37341, -81.72680, -11.37060,   5.39653,  -2.82437,-177.91500,  -4.85820, -15.73760,   0.01888,  -0.02673,  22.84890,  -1.36367,  -0.29231, -59.45890,   0.01078,  -0.01670, -16.87610, 173.59700,   9.09419, 166.52200,   0.00018,   0.03312,  17.86570,  -5.93376,   0.55640, -55.84200,   0.12950,  -0.14767, -18.01830
   0.06667,   0.00000,   0.00000,  -0.00000,  89.88370,  -1.65163,  -2.07279,  80.77920,  83.37550, -82.08470,   5.29202,  -2.09018,  -2.51172,  -3.52448,  -3.92967,   2.39570,  -9.45454,  -2.37078,   2.02181, -90.59690,   2.41356, -91.10380, -70.82380,  49.43700,  -2.80282, -11.31020,  -3.30284, -73.93040,  11.13940,   5.48616,  -5.98627,  88.44610,   9.37545, -95.54560, -73.04080,  40.58680,   9.55334,   2.46117,   0.35589, -81.78630, -11.33760,   5.39954,  -2.92178,-177.83700,  -4.75545, -15.84540,   0.01908,  -0.02670,  23.04960,  -1.43807,  -0.20577, -59.49340,   0.00947,  -0.01466, -16.83960, 173.66400,   9.24265, 166.32200,   0.00202,   0.02886,  18.34380,  -5.85046,   0.51434, -56.05900,   0.12846,  -0.14645, -18.00650
   0.10000,   0.00000,   0.00000,  -0.00000,  89.91060,  -1.48080,  -1.93275,  81.46180,  83.26520, -82.73300,   5.53628,  -1.97041,  -2.44445,  -3.46755,  -3.90016,   2.30214,  -9.43040,  -2.42409,   2.11591, -90.60730,   2.43915, -91.01420, -70.52990,  49.47580,  -3.02519, -11.18760,  -3.21340, -74.17630,  10.95890,   5.48143,  -5.80181,  88.44920,   9.38768, -95.57590, -72.90810,  40.72850,   9.48200,   2.04067,   0.29022, -81.92100, -11.32790,   5.40381,  -3.06147,-177.69900,  -4.48952, -15.80440,   0.01803,  -0.02444,  23.17120,  -1.59205,  -0.25279, -59.51320,   0.00965,  -0.01494, -16.84470, 173.74800,   9.30084, 166.22000,   0.00466,   0.02188,  18.84390,  -5.72895,   0.43229, -56.32770,   0.12797,  -0.14588, -18.00100
   0.13333,   0.00000,   0.00000,  -0.00000,  89.95770,  -1.30684,  -1.81420,  81.90770,  83.15590, -83.14210,   5.76902,  -1.90054,  -2.37032,  -3.41357,  -3.87085,   2.27876,  -9.47099,  -2.42530,   2.20985, -90.62810,   2.51480, -90.97320, -70.42690,  49.39740,  -2.90300, -11.16140,  -3.10188, -74.66380,  10.60890,   5.47350,  -5.50125,  88.45860,   9.37994, -95.62450, -72.80420,  40.94390,   9.42224,   2.06307,   0.28609, -82.11890, -11.23630,   5.41213,  -3.33584,-177.53900,  -4.14767, -15.69510,   0.01688,  -0.02253,  23.11190,  -1.80285,  -0.39196, -59.44240,   0.01092,  -0.01692, -16.88010, 173.85900,   9.26699, 166.14400,   0.00711,   0.01592,  19.24420,  -5.57636,   0.23359, -56.56120,   0.11796,  -0.13421, -17.88790
   0.16667,   0.00000,   0.00000,  -0.00000,  90.02440,  -1.11931,  -1.72862,  82.20120,  83.03920, -83.40770,   6.01074,  -1.86556,  -2.31240,  -3.41727,  -3.87312,   2.32072,  -9.55153,  -2.39703,   2.34893, -90.63230,   2.53549, -90.99220, -70.37180,  49.34830,  -2.72883, -11.11430,  -2.99286, -75.11640,  10.30580,   5.46892,  -5.32941,  88.46290,   9.39054, -95.66050, -72.63490,  41.14370,   9.29449,   1.85736,   0.25122, -82.31190, -11.23860,   5.41625,  -3.47232,-177.36200,  -3.83522, -15.61430,   0.01611,  -0.02058,  23.03140,  -2.04683,  -0.47877, -59.35370,   0.01258,  -0.01949, -16.92600, 173.98800,   9.21221, 165.99600,   0.01066,   0.00666,  19.71650,  -5.39419,   0.02837, -56.83590,   0.11878,  -0.13515, -17.89710
   0.20000,   0.00000,   0.00000,  -0.00000,  90.06650,  -0.93539,  -1.72387,  82.42760,  82.94630, -83.58930,   6.20311,  -1.83797,  -2.22135,  -3.34230,  -3.88089,   2.36049,  -9.80298,  -2.41540,   2.49991, -90.65420,   2.62097, -90.98090, -70.12530,  49.46600,  -2.61516, -11.15110,  -2.89476, -75.63000,  10.02130,   5.46509,  -5.18728,  88.45820,   9.39348, -95.63540, -72.49520,  41.26820,   9.20183,   1.57242,   0.20820, -82.47400, -11.49030,   5.42081,  -3.62565,-177.15100,  -3.64471, -15.58820,   0.01747,  -0.02469,  22.88610,  -2.18384,  -0.47667, -59.22320,   0.01151,  -0.01783, -16.89630, 174.20300,   9.13723, 165.80300,   0.01358,  -0.00012,  20.10680,  -5.17117,  -0.23595, -57.07470,   0.10734,  -0.12186, -17.76810
   0.23333,   0.00000,   0.00000,  -0.00000,  90.07260,  -0.79168,  -1.78600,  82.60220,  82.86310, -83.71420,   6.37481,  -1.81893,  -2.12018,  -3.41748,  -3.92104,   2.46972,  -9.88395,  -2.39217,   2.63989, -90.66240,   2.65147, -90.96970, -69.94370,  49.57220,  -2.56411, -11.10380,  -2.80073, -76.01960,  10.04510,   5.46471,  -5.17474,  88.45670,   9.41789, -95.65030, -72.36750,  41.37010,   9.11854,   1.23517,   0.16120, -82.58360, -11.61380,   5.42589,  -3.79810,-176.88000,  -3.52058, -15.63900,   0.01899,  -0.02841,  22.72790,  -2.32374,  -0.42007, -59.06650,   0.01200,  -0.01860, -16.91010, 174.48900,   9.05868, 165.54400,   0.01685,  -0.00809,  20.44150,  -4.91686,  -0.42734, -57.26490,   0.10793,  -0.12254, -17.77480
   0.26667,   0.00000,   0.00000,  -0.00000,  90.10960,  -0.66876,  -1.88311,  82.81090,  82.79340, -83.87460,   6.52055,  -1.78666,  -2.02352,  -3.50711,  -3.96934,   2.55269,  -9.85045,  -2.41582,   2.76749, -90.66020,   2.65690, -91.04210, -69.97500,  49.58150,  -2.41426, -11.10540,  -2.74643, -76.28200,  10.16970,   5.46452,  -5.16770,  88.45630,   9.43921, -95.66840, -72.28020,  41.42440,   9.10519,   0.95640,   0.12313, -82.68830, -11.83130,   5.42747,  -3.85203,-176.63900,  -3.30238, -15.69040,   0.02116,  -0.03416,  22.50490,  -2.44903,  -0.50256, -58.88460,   0.01227,  -0.01902, -16.91750, 174.76000,   9.01723, 165.25500,   0.01931,  -0.01341,  20.74960,  -4.64880,  -0.58859, -57.43170,   0.10086,  -0.11437, -17.69530
   0.30000,   0.00000,   0.00000,  -0.00000,  90.15760,  -0.54702,  -2.10608,  82.91290,  82.74920, -83.93540,   6.61220,  -1.77329,  -1.94024,  -3.53843,  -4.00246,   2.62995,  -9.97579,  -2.40383,   2.94190, -90.65540,   2.64262, -91.06810, -70.01860,  49.55520,  -2.32482, -11.07200,  -2.71568, -76.38950,  10.13730,   5.46640,  -5.23624,  88.45200,   9.47652, -95.67890, -72.17130,  41.50400,   9.07388,   0.66685,   0.08499, -82.76920, -12.00890,   5.42762,  -3.85762,-176.45700,  -3.03947, -15.85760,   0.02784,  -0.05107,  22.21980,  -2.29884,  -0.68160, -58.64230,   0.01568,  -0.02436, -17.01280, 175.05100,   9.17556, 164.90900,   0.02243,  -0.02214,  20.88170,  -4.35253,  -0.59349, -57.48100,   0.09721,  -0.11014, -17.65420
