time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.69250, -35.22450,  -0.42821, 156.83400,  86.63390,-157.13000,  -5.11775,   6.21588,  -0.31396, -11.05730,   5.23535,   3.07313,  -1.07451,   4.92352,   3.67091, -90.18580,   0.72854, -90.69400, -69.29040,  -5.97350,  19.02740,   6.20736,  12.30800, -27.03220,   2.46159,   5.18823,   3.01282,  89.60150,   3.18627, -97.86790, -71.39840,  -2.55899,  15.48530,   7.13534,  15.58910, -24.98040,   9.61061,   5.37573,  -2.16440,-176.84500, -16.80400, -19.05130,   0.03417,  -0.05054,  31.19930,  -2.18717, -10.58680, -61.35270,   0.13988,  -0.15936, -18.12280,-169.87300,  15.12530, 174.36200,   0.11342,  -0.22959,  21.58620,   5.41060, -12.65470, -67.73850,  -0.21006,   0.13183, -16.57330
   0.03333,   0.00000,   0.00000,  -0.00000,  87.74510, -34.96200,  -0.37763, 156.52700,  86.64440,-156.77700,  -5.09531,   6.17722,  -0.22593, -10.91230,   5.17758,   3.02537,  -1.09504,   4.85765,   3.76328, -90.15700,   0.61977, -90.78470, -69.60060,  -6.05209,  18.92170,   6.24435,  12.19240, -27.38820,   2.53565,   5.18776,   3.02438,  89.60190,   3.16792, -97.83410, -71.34510,  -2.85555,  15.71230,   7.13344,  15.58640, -24.97800,   9.67348,   5.37730,  -2.21335,-176.90800, -16.38560, -19.04540,   0.03199,  -0.04753,  31.26500,  -2.23043, -10.83540, -61.43430,   0.13399,  -0.15248, -18.05670,-169.94200,  15.19340, 174.37100,   0.11231,  -0.22505,  21.69030,   5.30589, -12.82510, -67.85310,  -0.21602,   0.13501, -16.57350
   0.06667,   0.00000,   0.00000,  -0.00000,  87.69350, -34.74880,  -0.41078, 156.13100,  86.63740,-156.31300,  -5.05066,   6.16383,  -0.09241, -10.70930,   5.14489,   3.06500,  -1.24852,   4.90084,   3.85435, -90.12760,   0.50602, -90.85750, -69.92770,  -6.04449,  18.78520,   6.37412,  12.23460, -27.79550,   2.59585,   5.19183,   2.92347,  89.60460,   3.13442, -97.80650, -71.31990,  -2.95151,  15.73240,   7.01638,  15.59660, -24.59970,   9.51255,   5.37609,  -2.17612,-176.88500, -16.01430, -19.12710,   0.02532,  -0.03749,  31.37810,  -2.28985, -11.15410, -61.49730,   0.13216,  -0.15033, -18.03620,-169.86300,  15.08620, 174.34400,   0.11566,  -0.23271,  21.73010,   5.22912, -13.14150, -67.88800,  -0.20916,   0.13016, -16.57340
   0.10000,   0.00000,   0.00000,  -0.00000,  87.60680, -34.62820,  -0.49876, 155.88000,  86.62620,-155.99200,  -5.01816,   6.16465,   0.04572, -10.45500,   5.15668,   3.18075,  -1.44685,   4.98725,   3.94968, -90.09620,   0.38291, -90.90810, -70.27860,  -5.93306,  18.67330,   6.42658,  12.13480, -28.18360,   2.65386,   5.19175,   2.92517,  89.60800,   3.10441, -97.80080, -71.33560,  -2.92109,  15.65360,   6.88043,  15.68280, -24.05930,   9.47417,   5.37454,  -2.12754,-176.85000, -15.77830, -19.24900,   0.02022,  -0.03041,  31.48310,  -2.32792, -11.42480, -61.54360,   0.13302,  -0.15134, -18.04590,-169.78500,  15.22470, 174.28200,   0.11590,  -0.23309,  21.75680,   5.22432, -13.10680, -67.91420,  -0.21765,   0.13523, -16.57350
   0.13333,   0.00000,   0.00000,  -0.00000,  87.51600, -34.59100,  -0.60059, 155.47800,  86.63340,-155.53500,  -4.98378,   6.12596,   0.15412, -10.16180,   5.16354,   3.27795,  -1.70335,   5.08797,   4.15832, -90.07540,   0.29940, -90.86650, -70.52590,  -5.79306,  18.65200,   6.53297,  12.13570, -28.57870,   2.70006,   5.19485,   2.84800,  89.61000,   3.09662, -97.81810, -71.34340,  -2.92113,  15.49200,   6.71137,  15.71760, -23.48290,   9.37334,   5.37130,  -2.02697,-176.81000, -15.62910, -19.38550,   0.01689,  -0.02545,  31.57980,  -2.37520, -11.73340, -61.57390,   0.13611,  -0.15495, -18.08050,-169.68300,  15.23990, 174.21500,   0.11690,  -0.23522,  21.76880,   5.23142, -13.11420, -67.91880,  -0.20908,   0.12975, -16.57350
   0.16667,   0.00000,   0.00000,  -0.00000,  87.47010, -34.61980,  -0.68632, 154.98100,  86.64110,-155.00100,  -4.93887,   6.08348,   0.22249,  -9.92614,   5.17832,   3.40398,  -1.82028,   5.20771,   4.30786, -90.06900,   0.27415, -90.86600, -70.70020,  -5.61612,  18.66150,   6.51465,  12.01070, -28.75630,   2.69417,   5.19476,   2.85010,  89.60790,   3.10494, -97.79820, -71.34640,  -2.92806,  15.35200,   6.58897,  15.68930, -23.13280,   9.33812,   5.36852,  -1.94072,-176.79600, -15.55190, -19.50830,   0.01472,  -0.02195,  31.65990,  -2.42063, -11.96230, -61.60160,   0.13116,  -0.14917, -18.02500,-169.62400,  15.18410, 174.11200,   0.11819,  -0.23738,  21.83800,   5.23422, -13.11360, -67.94060,  -0.21134,   0.13131, -16.57340
   0.20000,   0.00000,   0.00000,  -0.00000,  87.40870, -34.69240,  -0.74833, 154.14600,  86.63460,-154.14100,  -4.84556,   6.05077,   0.26685,  -9.73452,   5.18433,   3.51638,  -1.91826,   5.28173,   4.39113, -90.06500,   0.25816, -90.86220, -70.80590,  -5.44741,  18.61120,   6.48078,  11.97200, -28.70620,   2.68903,   5.19563,   2.82875,  89.60060,   3.13549, -97.73590, -71.34080,  -3.01365,  15.33480,   6.64432,  15.75150, -23.22780,   9.42368,   5.36895,  -1.95430,-176.71600, -15.37790, -19.55230,   0.01239,  -0.01850,  31.72190,  -2.50683, -12.15310, -61.64330,   0.13168,  -0.14978, -18.03090,-169.57000,  15.28700, 174.09100,   0.11822,  -0.23763,  21.83290,   5.28006, -12.95010, -67.94570,  -0.21807,   0.13566, -16.57340
   0.23333,   0.00000,   0.00000,  -0.00000,  87.34320, -34.87250,  -0.84582, 153.48700,  86.63290,-153.46300,  -4.77517,   6.01767,   0.29910,  -9.52664,   5.20366,   3.64452,  -1.94431,   5.42535,   4.44862, -90.06700,   0.26566, -90.85010, -70.84520,  -5.46235,  18.61770,   6.48601,  12.06270, -28.54660,   2.68871,   5.19342,   2.88369,  89.59390,   3.18293, -97.72540, -71.33740,  -3.00095,  15.39910,   6.70263,  15.63180, -23.56720,   9.39166,   5.37016,  -1.99137,-176.63300, -15.22150, -19.63210,   0.00863,  -0.01193,  31.79740,  -2.62892, -12.46770, -61.69420,   0.13460,  -0.15318, -18.06340,-169.48800,  15.16500, 174.03200,   0.12121,  -0.24480,  21.84390,   5.31954, -12.89280, -67.93790,  -0.21092,   0.13160, -16.57340
   0.26667,   0.00000,   0.00000,  -0.00000,  87.25440, -35.06320,  -0.92064, 152.65600,  86.62950,-152.61800,  -4.68522,   5.97812,   0.32140,  -9.26012,   5.21730,   3.73637,  -1.97989,   5.47090,   4.54868, -90.07620,   0.30084, -90.79620, -70.83620,  -5.48089,  18.58140,   6.31849,  11.92480, -28.18580,   2.65600,   5.19168,   2.92710,  89.58150,   3.24862, -97.65540, -71.32920,  -2.94028,  15.46430,   6.75453,  15.46920, -23.94700,   9.50316,   5.37587,  -2.16824,-176.51900, -15.06960, -19.65340,   0.01115,  -0.01510,  31.87120,  -2.75285, -12.73830, -61.76210,   0.14008,  -0.15958, -18.12490,-169.40600,  15.13020, 174.04600,   0.12208,  -0.24794,  21.80180,   5.37775, -12.75180, -67.91620,  -0.21930,   0.13732, -16.57330
   0.30000,   0.00000,   0.00000,  -0.00000,  87.16170, -35.25300,  -0.97437, 151.53900,  86.61370,-151.49300,  -4.55373,   5.94400,   0.32947,  -9.05519,   5.17898,   3.83501,  -1.93458,   5.53219,   4.62983, -90.09570,   0.37773, -90.78420, -70.77940,  -5.52420,  18.55890,   6.26680,  11.99630, -27.84890,   2.73226,   5.19252,   2.90670,  89.56840,   3.32011, -97.58860, -71.27690,  -2.99503,  15.54340,   6.90178,  15.46790, -24.41470,   9.41725,   5.37505,  -2.14318,-176.38800, -14.95120, -19.69890,   0.00929,  -0.01176,  32.01740,  -2.88156, -12.98430, -61.85210,   0.14340,  -0.16348, -18.16220,-169.31500,  14.98070, 174.02100,   0.12312,  -0.24906,  21.87500,   5.40395, -12.73680, -67.93960,  -0.21902,   0.13755, -16.57340
