time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.74100,   2.68520,   2.57365, 112.97600,  87.36080,-117.01800,  -2.80880,   2.43221,  -8.02645,  -3.04651,  -3.35000,   2.82846,  -0.72178,  -3.47148,   4.52093, -91.78740,   5.46629, -86.86240, -62.16500,   2.72641,   7.80109,  -0.57014,  -1.49848, -20.83530,  16.80720,   5.56485,  -9.42758,  94.14650, -11.31280, -84.71700,  24.17780, -82.17210,   2.17334,  -0.62093,   4.31214,   0.06300,  18.17520,   5.27667,   4.29436,-174.37800,  -1.56216,   1.46407,  -0.01490,   0.09670,  12.02670,  -4.14863,   1.94277, -61.17690,  -0.02196,   0.01802, -16.57420, 172.07000,  21.03570,-175.12300,  -0.00007,   0.04122,   9.37152,  -3.88815,   7.92932, -59.57020,   0.09920,  -0.11245, -17.67660
   0.03333,   0.00000,   0.00000,  -0.00000,  89.80980,   3.79303,   2.43358, 107.40900,  87.40220,-111.54600,  -2.72575,   1.93229,  -8.22918,  -3.17621,  -3.77014,   3.05127,  -1.80633,  -3.33257,   4.72392, -91.88390,   5.84529, -87.10150, -61.47930,   4.08901,   7.72508,  -0.49589,  -1.28403, -21.11920,  16.79700,   5.56521,  -9.44511,  94.15310, -10.85490, -83.91440, 157.25700, -88.77970, 136.92400,  -0.50386,  -1.65879,   0.04553,  23.74900,   4.94641,  10.58200,-174.30900,  -1.54761,   1.07764,  -0.01606,   0.10174,  12.07390,  -4.09948,   3.00259, -60.99890,  -0.02082,   0.01768, -16.57430, 172.05400,  21.54140,-175.04000,  -0.00266,   0.05634,   9.31499,  -4.11672,   7.35093, -59.63350,   0.09841,  -0.11153, -17.66770
   0.06667,   0.00000,   0.00000,  -0.00000,  89.99180,   3.77180,   2.30897, 102.78900,  87.56270,-106.70000,  -2.95146,   1.44398,  -7.78618,  -3.45239,  -3.84006,   3.62043,  -1.60878,  -2.85286,   4.57798, -91.91210,   5.99599, -87.27640, -61.76600,   4.29966,   8.63564,  -0.52701,  -1.34668, -21.37830,  17.04560,   5.57032,  -9.70416,  94.35690, -11.17510, -83.53970,-149.79900, -81.05840,-173.52500,  -0.04598,  -4.61002,  -0.59349,  27.49140,   4.83042,  10.73830,-174.51800,  -1.94077,   1.06534,  -0.01827,   0.11306,  11.94770,  -4.00186,   3.30402, -60.94660,  -0.01624,   0.01376, -16.57520, 171.78200,  21.43680,-175.03300,  -0.00605,   0.07824,   9.12066,  -4.72912,   7.34530, -59.45900,   0.10189,  -0.11555, -17.70680
   0.10000,   0.00000,   0.00000,  -0.00000,  90.09840,   2.58709,   2.08209, 101.58400,  87.74920,-105.00200,  -3.31045,   1.23353,  -6.80082,  -3.68664,  -3.61664,   4.51320,  -1.45961,  -2.00235,   3.77135, -91.85990,   5.84871, -87.32460, -62.69740,   3.49079,   9.86208,  -0.53877,  -1.35936, -21.62680,  17.14830,   5.56874,  -9.62486,  95.22800, -12.89370, -82.70510,-130.57200, -75.25830,-160.30800,  -0.77170,  -4.46413,  -9.72287,  22.54130,   4.93098,   8.66727,-174.69500,  -3.13904,   1.42785,  -0.01609,   0.10612,  11.24580,  -3.91159,   3.24364, -60.72150,  -0.01082,   0.00884, -16.57590, 171.77000,  20.51810,-175.38100,  -0.00330,   0.06269,   8.81201,  -4.66732,   7.51866, -59.18010,   0.10231,  -0.11603, -17.71160
   0.13333,   0.00000,   0.00000,  -0.00000,  90.23450,   0.92827,   1.63084, 105.22200,  87.91960,-108.04000,  -3.71179,   1.37384,  -5.59415,  -3.92934,  -3.54709,   5.19714,  -1.29324,  -1.13546,   2.21919, -91.80630,   5.81614, -87.71440, -63.53190,   2.46193,  11.38440,  -0.63578,  -1.54166, -22.41720,  17.25660,   5.56521,  -9.44550,  96.31070, -15.22470, -82.16230,-109.42100, -76.13460,-146.72000,  -3.74266,  -8.61152, -23.58210,  15.64810,   5.14154,   4.09568,-174.93800,  -4.53586,   1.94156,  -0.00923,   0.07513,   9.79888,  -3.86868,   2.91523, -60.11370,  -0.00751,   0.00584, -16.57650, 171.84900,  19.74590,-176.08500,   0.00274,   0.02207,   8.40712,  -4.19402,   8.22391, -58.76410,   0.10694,  -0.12140, -17.76360
   0.16667,   0.00000,   0.00000,  -0.00000,  90.39020,  -0.66281,   1.07779, 112.88500,  87.95620,-115.32200,  -3.95752,   1.83760,  -4.81216,  -4.40325,  -3.73061,   5.92864,  -1.34169,  -0.50682,   0.54027, -91.73420,   5.61347, -87.80150, -63.74340,   2.09274,  12.50180,  -0.68672,  -1.53247, -24.15060,  17.12710,   5.56412,  -9.39087,  97.10220, -16.57230, -81.40260, -65.35920, -82.08150,-110.81200,  -2.19706,  -2.64973, -40.09800,  19.69700,   5.39832,  -2.61016,-175.15900,  -6.10038,   2.60086,  -0.00254,   0.03571,   7.78336,  -3.86261,   2.83099, -59.18250,  -0.00236,   0.00172, -16.57720, 171.98000,  19.04590,-176.88300,   0.00737,  -0.01231,   7.95534,  -3.79034,   8.88296, -58.28950,   0.11389,  -0.12947, -17.84200
   0.20000,   0.00000,   0.00000,  -0.00000,  90.53440,  -0.92295,   0.73262, 113.85300,  88.02780,-116.37100,  -4.11393,   1.85483,  -4.97258,  -4.33789,  -4.34180,   6.93104,  -2.00866,   0.03308,   0.04523, -91.57440,   4.93931, -87.29500, -63.46670,   0.74435,  13.58590,  -0.35355,  -0.68809, -27.21260,  17.56230,   5.56595,  -9.48165,  97.59350, -15.76900, -78.86830, -12.99370, -81.56500, -63.60270,   7.26001,   6.00580, -50.60200,  26.66670,   5.57079,  -9.70409,-175.13700,  -7.17921,   2.57177,   0.00025,   0.01063,   7.23767,  -3.77475,   3.60678, -58.68790,  -0.08518,  -0.10291, -16.68310, 171.95900,  19.65000,-177.08600,   0.00590,  -0.00326,   7.63117,  -3.96215,   9.65986, -58.07970,   0.11595,  -0.13185, -17.86510
   0.23333,   0.00000,   0.00000,  -0.00000,  90.41810,   0.13709,   0.54355, 106.38700,  88.18360,-109.20700,  -4.24258,   1.31938,  -5.59428,  -3.85574,  -4.98278,   7.16440,  -2.20707,  -0.24818,   0.87468, -91.45160,   4.47424, -87.00440, -63.21060,  -1.93792,  15.07510,  -1.18546,  -1.98351, -30.83560,  18.66230,   5.57666, -10.03020,  97.49190, -14.69160, -77.59190,  -5.32324, -78.82020, -54.12230,   2.41505,   2.30888, -46.14240,  23.19840,   5.58724, -10.41390,-174.80100,  -6.51325,   2.52964,   0.00034,   0.00947,   6.89782,  -4.01223,   4.00709, -58.62080,  -0.05434,  -0.06432, -16.61540, 172.18900,  20.84180,-176.87600,   0.00582,  -0.00044,   7.62918,  -3.84602,   9.72508, -58.35460,   0.12180,  -0.13869, -17.93130
   0.26667,   0.00000,   0.00000,  -0.00000,  90.04550,   1.46996,   0.39330,  97.47090,  88.18320,-100.55200,  -4.13464,   0.79188,  -6.13756,  -3.78804,  -4.87627,   5.99486,  -1.95656,  -1.30530,   1.58459, -91.69850,   5.09177, -86.52550, -62.50600,  -2.91370,  15.87600,  -3.96642,  -5.98790, -33.60200,  19.40610,   5.59022, -10.77510,  96.80610, -14.21200, -79.07520,   3.10300, -77.26790, -38.01020,  -0.68120,  -1.06264, -32.91570,  17.94470,   5.48351,  -5.81995,-174.34400,  -4.77207,   2.19115,  -0.00271,   0.03668,   7.02018,  -4.33858,   3.57020, -58.77820,  -0.00463,   0.00365, -16.57690, 172.70300,  21.61990,-176.97900,   0.00724,  -0.00929,   8.18422,  -3.51257,   9.26598, -58.49640,   0.12549,  -0.14299, -17.97300
   0.30000,   0.00000,   0.00000,  -0.00000,  89.63880,   3.26057,   0.02850,  90.48490,  88.10790, -94.00220,  -3.96034,   0.39160,  -7.02419,  -3.87037,  -4.25375,   4.19511,  -1.91566,  -2.82417,   2.64126, -91.95010,   5.67499, -86.00100, -61.54220,  -1.94971,  15.37240,  -5.94950,  -8.59981, -34.87380,  19.26890,   5.59235, -10.89480,  95.82690, -13.54730, -81.46110,  13.22220, -75.89780, -16.17120,  -2.15911,  -5.94657, -20.06030,  16.44130,   5.34173,  -1.10267,-173.85200,  -2.46638,   1.69233,  -0.00211,   0.03235,   6.60350,  -4.57065,   2.99526, -58.46120,  -0.00810,   0.00673, -16.57620, 173.38200,  22.97670,-177.39300,   0.00852,  -0.01516,   8.72638,  -3.16425,   8.86603, -58.20580,   0.14467,  -0.16549, -18.19040
