time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  79.20420,  -7.29844,  -0.26256,  68.44490,  84.11360, -73.46030,   3.02999,  -4.11412,  -9.91389,   5.61301,  -0.54739,   4.23748,  -3.11462,   1.61276,   8.69402, -91.42990,   3.66758, -83.68350, -63.54390, -14.52730,  12.48880, -10.83530, -21.07760, -28.02220,  28.36050,   5.64787, -14.75710,  90.00290,  -0.01143, -90.16520, -37.76320, -53.93360, -43.31200, -28.46090, -15.24200, -64.14020,  32.18010,   5.06385,   5.94301,-156.06700, -12.74660, -11.80370,   0.12799,  -0.17017,  34.21030,  -8.26995,   3.23578, -63.63470,  -0.01023,  -0.20322, -18.65310, 179.87600,  16.48230, 163.82900,   0.14313,  -0.20784,  30.98020,  -4.92335,  13.10060, -49.35350,   0.56041,  -0.70020, -23.17050
   0.03333,   0.00000,   0.00000,  -0.00000,  80.28250,  -7.16709,  -0.19072,  70.22040,  83.27770, -74.96660,   4.73137,  -4.41597,  -9.30186,   6.31480,  -0.33573,   5.56006,  -5.47239,   2.69103,   8.45877, -91.04080,   2.67629, -83.74110, -65.03620, -12.02280,  11.13270,  -8.66301, -16.65730, -27.99470,  26.33870,   5.63232, -13.49910,  91.92160,  -6.34915, -88.15980, -44.21120, -70.61960, -65.51170, -26.38430,  -8.41699, -73.57080,  34.79620,   5.23220,   1.94284,-157.41500, -15.18700, -14.73850,   0.18553,  -0.22578,  37.59150,  -7.28827,   5.26535, -62.99840,   0.08535,  -0.13782, -19.01340, 178.48800,  12.90330, 160.89900,   0.18456,  -0.24680,  34.22730,  -5.56739,  11.14970, -48.94610,   0.60602,  -0.76512, -23.75340
   0.06667,   0.00000,   0.00000,  -0.00000,  81.11380,  -6.01869,  -0.33894,  71.13730,  82.47210, -75.94230,   6.31486,  -4.79286,  -9.33811,   8.88859,  -1.73528,  10.37970,  -7.77955,   5.25280,   7.68904, -90.39290,   1.06135, -84.69220, -65.17040, -10.87190,  10.67630,  -7.41517, -13.20640, -29.67240,  26.54420,   5.62656, -13.08970,  95.47480, -13.10450, -82.10190, -95.38390, -79.51010,-126.53200, -22.00300,  -4.38914, -79.28190,  38.45770,   5.34053,  -1.09648,-158.30600, -17.62390, -17.14190,   0.21313,  -0.24543,  39.50490,  -6.28746,   8.01804, -63.95950,   0.05884,  -0.09360, -18.23880, 177.56900,   9.04775, 159.51700,   0.17834,  -0.22396,  35.85720,  -5.98518,   7.67136, -52.43170,   0.47725,  -0.58531, -22.12830
   0.10000,   0.00000,   0.00000,  -0.00000,  81.64190,  -5.54057,  -0.56806,  67.49060,  81.76370, -72.57480,   7.22569,  -6.25948,  -9.76838,  13.08690,  -1.49377,  15.43270,  -9.91920,   7.81849,   8.53886, -90.07170,   0.19526, -84.83520, -65.05620, -13.76040,  12.40780,  -7.78672, -11.97000, -33.39600,  29.91640,   5.62818, -13.16520,  97.01670, -11.83200, -74.01500,-103.15200, -73.88690,-143.04300, -19.18560,  -3.23112, -80.79880,  40.53700,   5.34307,  -1.17107,-158.12800, -20.19380, -17.79660,   0.20925,  -0.23621,  40.10770,  -6.85635,  11.11660, -66.17460,   0.03276,  -0.05137, -17.49290, 177.81700,   5.21896, 161.30600,   0.12104,  -0.15009,  33.98420,  -5.01311,   2.30016, -61.92390,  -0.72176,  -1.06308, -18.64530
   0.13333,   0.00000,   0.00000,  -0.00000,  79.29250,  -5.60572,  -1.47191,  62.51590,  80.86940, -67.10070,   8.17827,  -8.40575,  -8.57002,  15.24540,   0.66908,  15.66720, -12.24090,   9.54023,  11.13040, -90.13340,   0.33068, -83.14120, -65.51200, -15.86210,  13.28760, -11.55770, -15.40440, -37.58370,  34.59780,   5.66043, -15.91350,  95.85280,  -9.66905, -73.60640, -67.85920, -76.85060,-105.58900, -11.29850,  -1.53984, -82.32650,  38.20960,   5.38341,  -2.40596,-155.22800, -20.87600, -20.61030,   0.27648,  -0.28446,  43.39330,  -8.08393,  11.99430, -67.25380,   0.03319,  -0.05205, -17.50490,-179.68700,   0.95531, 159.88000,   0.07548,  -0.07764,  35.10910,  -8.09812,  -1.22430, -65.35930,   0.09090,  -0.10287, -17.58340
   0.16667,   0.00000,   0.00000,  -0.00000,  76.99880,  -6.72276,  -0.99792,  64.08400,  80.10490, -68.20470,   9.81565,  -8.66918,  -7.50047,  13.79720,   2.34754,  12.37320, -13.11420,  10.00920,  11.12150, -90.93620,   2.14062, -81.37120, -64.67210, -13.11590,  12.18130, -16.35910, -20.15510, -40.42810,  37.92560,   5.67326, -17.94240,  94.08870,  -7.93890, -77.64880, -21.88000, -68.07140, -51.94540,  -5.27681,  -1.47755, -74.45550,  35.24970,   5.36613,  -1.81935,-153.19200, -13.75930, -22.83040,   0.32734,  -0.28856,  48.04090,  -8.87607,   4.99590, -69.63490,   0.01945,  -0.03028, -17.11810,-177.46400,   5.12531, 158.08300,   0.14237,  -0.17133,  37.89500,  -6.42830,   3.55680, -64.14770,   0.05058,  -0.09639, -17.34320
   0.20000,   0.00000,   0.00000,  -0.00000,  75.02810,  -6.37837,  -0.45782,  71.36300,  80.03130, -75.09120,  10.97610,  -6.42778,  -6.83986,  12.46060,   2.42092,   9.17100, -12.86730,   8.16478,  10.23520, -91.74100,   4.11872, -82.05700, -63.13730, -10.23270,   8.16538, -14.52880, -18.57860, -39.12180,  37.32330,   5.65727, -15.69360,  91.77920,  -4.44676, -83.21230, -18.69840, -55.80460, -36.89750, -12.44420,  -7.98235, -57.94200,  26.99840,   5.21721,   2.38021,-151.91700,  -5.89524, -24.26470,   0.31927,  -0.25442,  50.94210,  -8.76207,  -2.00421, -71.71790,  -0.23765,  -0.36268, -17.69180,-175.71500,  14.48610, 158.37000,   0.14797,  -0.16529,  38.08780,  -5.93173,  11.99370, -62.68850,   0.08887,  -0.10052, -17.56060
   0.23333,   0.00000,   0.00000,  -0.00000,  75.19550,  -6.25849,  -0.05313,  80.66190,  80.80980, -84.89540,  10.28190,  -3.05577,  -8.18783,  11.51120,   2.62573,   6.13612, -11.44760,   5.55380,  11.15610, -92.16970,   5.27510, -82.60450, -62.01270,  -7.37594,   4.00051, -10.37630, -14.51090, -36.15490,  34.38910,   5.62667, -13.03800,  89.74130,   0.99718, -90.19260, -27.07320, -53.09070, -25.25600, -21.89030, -22.66550, -46.23930,  28.38080,   5.01636,   6.90448,-152.61300,  -2.60591, -23.38790,   0.28043,  -0.22659,  50.37220,  -8.75532,  -5.16871, -72.19140,  -0.28810,  -0.42353, -17.76180,-176.19600,  20.43300, 159.80300,   0.13826,  -0.15530,  36.63910,  -5.46476,  17.27420, -61.33030,   0.11995,  -0.13653, -17.91030
   0.26667,   0.00000,   0.00000,  -0.00000,  75.41600,  -6.01643,   1.05558,  87.89310,  81.27020, -92.37650,   9.66998,  -0.71308,  -8.89971,   9.58835,   2.54971,   2.84387,  -9.94473,   3.91123,  10.14370, -92.07080,   5.05614, -82.69440, -62.85490,  -6.79732,   1.92916,  -9.46721, -14.16940, -34.26330,  28.45350,   5.61734, -12.39570,  88.73900,   5.15237, -91.23200, -37.79980, -45.82260, -16.41210, -24.45830, -30.30700, -42.03290,  29.77750,   4.71249,  13.09750,-152.85500,  -1.82414, -20.30820,   0.23633,  -0.20915,  47.40610,  -9.32369,  -5.21869, -71.67750,  -0.38372,  -0.52943, -17.76700,-176.99400,  22.17320, 162.42900,   0.12450,  -0.14731,  34.64130,  -4.93162,  18.65850, -58.88730,  -0.01020,  -0.48216, -19.14790
   0.30000,   0.00000,   0.00000,  -0.00000,  75.98600,  -5.18947,   1.19132,  86.01780,  82.06020, -90.76630,   8.04801,  -1.11043,  -9.40957,   7.49944,   2.31114,   2.04547,  -7.90523,   3.62753,   8.79202, -91.75590,   4.56693, -83.94410, -63.83570, -10.14520,   4.29095, -11.79330, -17.30250, -35.06990,  27.78350,   5.61759, -12.42800,  88.25720,   7.46250, -91.81210, -45.88040, -32.83300, -10.20520, -29.61440, -34.44290, -45.13630,  27.54100,   4.33387,  19.21540,-153.08000,  -4.82016, -17.64970,   0.19898,  -0.20320,  42.97820,  -9.24218,  -1.80795, -69.87160,  -0.36372,  -0.49310, -17.58410,-177.59500,  23.43290, 163.50200,   0.13195,  -0.16899,  33.13470,  -4.68885,  19.04910, -55.05360,  -0.05716,  -0.84243, -21.20690
