time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  78.97670, -43.12170,  -1.51376, 153.68700,  85.06580,-152.78400,  -3.47979,   8.75272,   2.07560,  -2.01346,   4.21827,   7.40453,   8.43591,   2.19005,  10.23690, -90.67630,   2.30870, -88.66790, -48.01720, -41.93090,  25.89210,  13.71500,  21.51480, -33.64190,  55.85110,   5.40650,  -3.14856,  89.50430,   6.00499,-100.27200, -60.91270, -24.22380,   5.01590,   3.56670,  13.58790, -14.86280,  56.90600,   5.57371,  -9.88092,-171.60400,  17.36020, -14.24880,  -0.17002,   0.15030,  48.12890,  -6.28384, -24.10390, -67.80550,  -1.45741,  -2.25232, -22.54980,-163.63300,  18.06120, 175.41200,   0.21580,  -0.37078,  26.24550,   6.05294, -14.61080, -69.06590,  -0.05994,   0.03495, -16.57390
   0.03333,   0.00000,   0.00000,  -0.00000,  78.93070, -43.15840,  -1.59125, 153.87600,  85.12490,-153.01600,  -3.55724,   8.66456,   1.99179,  -2.04897,   4.12761,   7.48167,   8.56622,   2.12708,  10.40970, -90.68230,   2.34005, -88.74110, -48.36570, -41.67630,  25.32920,  13.64850,  21.83080, -33.14370,  57.09120,   5.41260,  -3.34875,  89.50230,   6.03741,-100.27800, -60.72410, -24.58230,   5.24227,   3.97547,  13.79830, -16.24940,  56.00290,   5.55427,  -8.90287,-171.53700,  17.23330, -14.23580,  -0.17043,   0.15038,  48.20050,  -6.24399, -24.07810, -67.84610,  -1.46625,  -2.26687, -22.60630,-163.61600,  18.22720, 175.48800,   0.21174,  -0.36250,  26.24500,   6.08279, -14.40560, -69.19170,  -0.06272,   0.03663, -16.57380
   0.06667,   0.00000,   0.00000,  -0.00000,  78.93960, -43.26410,  -1.67350, 154.24500,  85.16310,-153.44100,  -3.64303,   8.62791,   1.88706,  -2.09195,   4.04074,   7.51019,   8.56314,   2.10169,  10.45130, -90.67450,   2.31935, -88.78140, -48.67030, -41.41480,  24.88310,  13.40700,  21.73860, -32.76420,  57.89400,   5.43364,  -4.06277,  89.50290,   6.02956,-100.27900, -60.62250, -25.23970,   5.33527,   4.30077,  13.70580, -17.61340,  55.50250,   5.53310,  -7.93126,-171.50000,  17.02340, -14.21210,  -0.16861,   0.14857,  48.18790,  -6.33174, -23.96760, -67.93890,  -1.45948,  -2.25825, -22.58390,-163.58800,  17.97680, 175.51400,   0.20994,  -0.35950,  26.21480,   6.03971, -14.54250, -69.23950,  -0.08118,   0.04752, -16.57390
   0.10000,   0.00000,   0.00000,  -0.00000,  78.93230, -43.39700,  -1.78400, 154.31400,  85.19290,-153.53800,  -3.67699,   8.58176,   1.83047,  -2.18417,   4.02258,   7.39555,   8.48897,   2.10062,  10.44490, -90.67430,   2.32037, -88.79180, -48.97390, -41.17210,  24.46270,  13.38420,  21.97520, -32.45060,  59.04330,   5.44476,  -4.45261,  89.51010,   6.00913,-100.33100, -60.54090, -25.84110,   5.21331,   4.67585,  13.77770, -18.95830,  55.28100,   5.51403,  -7.10851,-171.44800,  16.89780, -14.12900,  -0.16342,   0.14509,  48.03170,  -6.61525, -23.88990, -68.06710,  -1.54358,  -2.36017, -22.77540,-163.57800,  17.90030, 175.55900,   0.20735,  -0.35607,  26.12720,   6.05325, -14.46520, -69.26910,  -0.07286,   0.04276, -16.57370
   0.13333,   0.00000,   0.00000,  -0.00000,  78.95850, -43.60310,  -1.95420, 154.72000,  85.21210,-153.96800,  -3.75365,   8.57808,   1.78800,  -2.29409,   4.08602,   7.27096,   8.41815,   2.13001,  10.29530, -90.66670,   2.30136, -88.84040, -49.18980, -40.97450,  24.16300,  13.28360,  22.19400, -32.00510,  59.89220,   5.45453,  -4.80009,  89.51570,   6.01776,-100.39000, -60.46150, -26.33730,   5.02263,   5.19974,  14.08630, -20.50500,  54.55780,   5.48448,  -5.91555,-171.39700,  16.75480, -14.12320,  -0.15676,   0.14027,  47.83920,  -7.03433, -23.80400, -68.20920,  -1.64430,  -2.47027, -22.90810,-163.56500,  17.63110, 175.48000,   0.20373,  -0.35002,  26.06070,   6.05486, -14.47720, -69.24780,  -0.08051,   0.04749, -16.57380
   0.16667,   0.00000,   0.00000,  -0.00000,  78.99490, -43.83090,  -2.12649, 155.19300,  85.22040,-154.45200,  -3.83227,   8.59678,   1.77381,  -2.39861,   4.16439,   7.08850,   8.37236,   2.22828,  10.13550, -90.65920,   2.28416, -88.89810, -49.43320, -40.60890,  23.82430,  13.07210,  22.53410, -31.21090,  60.93910,   5.46248,  -5.09098,  89.51820,   6.06505,-100.44900, -60.36160, -26.76750,   4.82635,   5.81574,  14.39310, -22.28400,  53.34480,   5.44326,  -4.39117,-171.36600,  16.53280, -14.14750,  -0.15163,   0.13641,  47.64200,  -7.32131, -23.71940, -68.26870,  -1.69471,  -2.53149, -23.01720,-163.55100,  17.23380, 175.40400,   0.19841,  -0.34149,  25.94560,   6.03374, -14.60670, -69.17590,  -0.08516,   0.05041, -16.57380
   0.20000,   0.00000,   0.00000,  -0.00000,  79.02200, -44.01680,  -2.32621, 155.47400,  85.25660,-154.73100,  -3.90496,   8.54973,   1.78014,  -2.52044,   4.30302,   6.89581,   8.33440,   2.36805,   9.89159, -90.63700,   2.21955, -88.98420, -49.55210, -40.32880,  23.70090,  12.69140,  22.60180, -30.36880,  61.18370,   5.46864,  -5.31941,  89.52150,   6.11103,-100.51400, -60.32880, -27.00870,   4.47899,   6.48915,  14.78510, -24.02600,  52.28620,   5.39995,  -2.92909,-171.33300,  16.33610, -14.23620,  -0.14838,   0.13446,  47.47730,  -7.44024, -23.69580, -68.26330,  -1.73836,  -2.58147, -23.09050,-163.51800,  16.95080, 175.28500,   0.19690,  -0.34102,  25.81320,   6.05004, -14.65030, -69.08560,  -0.08809,   0.05239, -16.57370
   0.23333,   0.00000,   0.00000,  -0.00000,  79.09410, -44.17500,  -2.50775, 155.66600,  85.28990,-154.92600,  -3.96098,   8.50202,   1.77727,  -2.59635,   4.43685,   6.63264,   8.19463,   2.52262,   9.67816, -90.61060,   2.14153, -89.08200, -49.69390, -39.94120,  23.51930,  12.14660,  22.57760, -29.27470,  61.07140,   5.47095,  -5.40625,  89.52430,   6.11835,-100.54500, -60.36510, -27.07120,   3.97818,   7.12929,  15.09240, -25.66070,  50.88290,   5.34792,  -1.30365,-171.32900,  16.22880, -14.36930,  -0.14512,   0.13200,  47.32940,  -7.63525, -23.66000, -68.26410,  -1.77178,  -2.62381, -23.17980,-163.50300,  16.62350, 175.09800,   0.19603,  -0.34052,  25.74950,   6.04102, -14.77120, -69.01240,  -0.08555,   0.05102, -16.57380
   0.26667,   0.00000,   0.00000,  -0.00000,  79.11200, -44.34470,  -2.78274, 156.26000,  85.32100,-155.50600,  -4.07687,   8.48240,   1.81286,  -2.65600,   4.60535,   6.26864,   8.08795,   2.65954,   9.47251, -90.56870,   1.99931, -89.11920, -49.96950, -39.32530,  23.12660,  11.54910,  22.75740, -27.84520,  61.11730,   5.47076,  -5.39889,  89.52160,   6.15950,-100.55000, -60.37940, -27.22620,   3.38042,   7.93855,  15.76610, -27.17060,  49.10520,   5.28041,   0.62751,-171.28400,  16.12750, -14.54670,  -0.14290,   0.13040,  47.14860,  -7.78306, -23.74370, -68.24350,  -1.79924,  -2.65725, -23.23800,-163.43700,  16.29530, 174.91100,   0.19582,  -0.34373,  25.56800,   6.06919, -14.82890, -68.87340,  -0.07877,   0.04715, -16.57380
   0.30000,   0.00000,   0.00000,  -0.00000,  79.18410, -44.55490,  -3.06451, 157.27800,  85.37650,-156.50800,  -4.27477,   8.44201,   1.85910,  -2.66539,   4.87967,   5.89195,   8.03415,   2.93916,   9.03455, -90.54550,   1.91636, -89.10700, -49.90690, -38.76320,  23.07230,  10.78500,  22.39390, -26.56490,  60.09670,   5.47198,  -5.44706,  89.51620,   6.15614,-100.49700, -60.42630, -26.95450,   2.66683,   8.62140,  16.15670, -28.58710,  47.01290,   5.20457,   2.62103,-171.28300,  16.06000, -14.73190,  -0.13914,   0.12791,  46.92570,  -8.03003, -23.82760, -68.25350,  -1.80406,  -2.66751, -23.27310,-163.41800,  15.87640, 174.66800,   0.19600,  -0.34721,  25.41570,   6.06498, -14.94150, -68.73390,  -0.08960,   0.05388, -16.57360
