time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  92.32780,  -5.31344,   1.12213, 121.52500,  88.15340,-121.93200,  -4.61223,   1.97335,  -0.73645,  -5.49085,   2.05956,  -1.08551,   9.96460,   0.21778,  -1.22464, -91.01030,   5.16410, -93.91450, -70.25940,  -3.50648,   8.06822,   4.92815,  16.74280, -16.66270,  20.14000,   5.19184,   2.92301,  88.91390,   7.82200, -97.06940, -68.86850,   2.93649,  14.57880,   3.35975,  15.51420, -12.38270,  19.03790,   5.43112,  -3.97733, 173.93100, -11.19060, -10.19450,   0.10465,  -0.22450,  21.12090,   4.94463,   1.23473, -61.18400,   0.07090,  -0.07967, -17.35470,-179.25300,  22.21980, 178.03600,   0.02167,  -0.00854,  19.25860,   0.26203, -12.25800, -68.22840,  -0.06432,   0.03447, -16.57410
   0.03333,   0.00000,   0.00000,  -0.00000,  92.30870,  -5.36407,   0.95169, 118.13300,  88.15940,-118.50400,  -4.51510,   1.77396,  -0.67170,  -5.63683,   2.12970,  -1.04180,   9.24163,   0.39817,  -1.30785, -91.02980,   5.25364, -93.89190, -70.34810,  -3.77867,   8.64623,   4.72053,  16.76530, -15.97470,  21.06470,   5.21576,   2.32353,  88.89360,   7.81353, -96.91350, -68.80590,   2.29950,  15.25360,   3.54489,  15.88310, -12.75800,  18.86320,   5.43450,  -4.09502, 173.90800, -11.26660, -10.31700,   0.10432,  -0.22474,  21.04230,   4.95874,   1.26505, -61.16450,   0.06747,  -0.07577, -17.31680,-179.12800,  21.86990, 177.90800,   0.02086,  -0.00689,  19.13730,   0.22021, -12.55050, -68.17200,  -0.06759,   0.03622, -16.57420
   0.06667,   0.00000,   0.00000,  -0.00000,  92.29690,  -5.47609,   0.86859, 115.52900,  88.14300,-115.88300,  -4.41049,   1.63690,  -0.64556,  -5.69836,   2.18641,  -1.06242,   8.74804,   0.48958,  -1.26544, -91.03690,   5.27748, -93.86760, -70.57350,  -4.39781,   9.29821,   4.81743,  17.06400, -16.02440,  22.43490,   5.22159,   2.17139,  88.87080,   7.86778, -96.80520, -68.65820,   1.12054,  15.73140,   3.51260,  15.58500, -12.87330,  19.08500,   5.44252,  -4.37400, 173.91100, -11.37310, -10.38210,   0.10364,  -0.22405,  21.02580,   4.95593,   1.28917, -61.17730,   0.06274,  -0.07040, -17.26470,-179.10500,  21.87730, 177.85500,   0.02041,  -0.00584,  19.09250,   0.24803, -12.40510, -68.15070,  -0.06588,   0.03541, -16.57410
   0.10000,   0.00000,   0.00000,  -0.00000,  92.29290,  -5.59602,   0.82795, 113.88300,  88.12700,-114.23900,  -4.33673,   1.55301,  -0.65343,  -5.73138,   2.13576,  -1.10152,   8.51660,   0.48684,  -1.27111, -91.02400,   5.23929, -93.92520, -70.87330,  -5.15718,   9.94874,   5.00417,  17.38960, -16.32950,  24.53010,   5.21971,   2.22242,  88.85220,   7.84143, -96.64470, -68.67890,   0.06337,  15.83000,   3.35548,  15.24270, -12.57550,  19.53780,   5.44380,  -4.41964, 173.91900, -11.41950, -10.37210,   0.10282,  -0.22241,  20.98150,   4.93116,   1.22251, -61.18830,   0.06019,  -0.06750, -17.23650,-179.12500,  22.03720, 177.89300,   0.01941,  -0.00338,  19.00000,   0.27917, -12.18940, -68.12610,  -0.07087,   0.03815, -16.57410
   0.13333,   0.00000,   0.00000,  -0.00000,  92.30650,  -5.78329,   0.80145, 113.67600,  88.11270,-114.04400,  -4.30487,   1.55329,  -0.67678,  -5.65257,   2.04719,  -1.17179,   8.32960,   0.34093,  -1.31808, -91.02710,   5.25887, -93.93160, -70.93720,  -6.49945,  10.54760,   5.00558,  16.98700, -16.68850,  25.98970,   5.23372,   1.86154,  88.85020,   7.82038, -96.60870, -68.68040,  -0.90093,  15.90650,   3.26541,  15.01890, -12.42060,  19.19130,   5.44007,  -4.28811, 173.89800, -11.35620, -10.36910,   0.10264,  -0.22143,  20.97940,   4.88655,   0.97742, -61.21650,   0.06305,  -0.07075, -17.26820,-179.16200,  21.96080, 177.89200,   0.01909,  -0.00244,  19.00900,   0.28589, -12.04070, -68.14660,  -0.07597,   0.04110, -16.57420
   0.16667,   0.00000,   0.00000,  -0.00000,  92.30010,  -6.02434,   0.82514, 114.36700,  88.06560,-114.74600,  -4.23732,   1.63461,  -0.69714,  -5.58269,   1.94354,  -1.27772,   8.25447,   0.06514,  -1.35119, -91.02380,   5.18868, -93.82310, -71.07550,  -7.64093,  10.72190,   5.03334,  17.07240, -16.69940,  27.58480,   5.24017,   1.68995,  88.85840,   7.80107, -96.64840, -68.81540,  -1.13732,  15.85740,   3.04995,  14.35610, -12.13220,  18.94980,   5.44228,  -4.36573, 173.91700, -11.19500, -10.32050,   0.10272,  -0.22122,  20.99190,   4.80737,   0.59993, -61.24360,   0.06027,  -0.06759, -17.23740,-179.17800,  21.80960, 177.94900,   0.02040,  -0.00632,  18.98770,   0.29170, -11.96700, -68.14860,  -0.07584,   0.04118, -16.57420
   0.20000,   0.00000,   0.00000,  -0.00000,  92.30560,  -6.16875,   0.91189, 114.92900,  88.02310,-115.33100,  -4.17541,   1.70714,  -0.74131,  -5.43334,   1.78141,  -1.44550,   8.32539,  -0.30219,  -1.28562, -91.00370,   5.10265, -93.85670, -71.23030,  -8.09444,  10.78950,   5.10912,  17.41240, -16.63470,  29.39040,   5.23055,   1.93991,  88.86570,   7.80870, -96.70860, -68.93690,  -1.07289,  15.70780,   2.95854,  14.37320, -11.76470,  18.99880,   5.45048,  -4.65721, 173.92900, -11.22050, -10.20580,   0.10248,  -0.22101,  21.02250,   4.78446,   0.47511, -61.30620,   0.06110,  -0.06855, -17.24670,-179.24100,  21.68930, 178.07700,   0.02087,  -0.00759,  18.99930,   0.27709, -11.91280, -68.18440,  -0.07409,   0.04038, -16.57420
   0.23333,   0.00000,   0.00000,  -0.00000,  92.32880,  -6.18529,   0.93540, 115.09800,  88.03550,-115.52900,  -4.20234,   1.71035,  -0.79976,  -5.26012,   1.60534,  -1.61784,   8.58332,  -0.64243,  -1.19007, -90.99680,   5.10224, -93.92890, -71.10920,  -8.74992,  10.98250,   4.98040,  16.91640, -16.67230,  29.79290,   5.22893,   1.98257,  88.86500,   7.81719, -96.71150, -69.00740,  -0.79247,  15.42800,   2.77494,  14.08810, -11.26550,  19.15430,   5.45448,  -4.80036, 173.91500, -11.26410, -10.18640,   0.10309,  -0.22080,  21.06410,   4.78115,   0.48500, -61.34830,   0.06220,  -0.06979, -17.25880,-179.26900,  21.66960, 178.09400,   0.02025,  -0.00554,  19.04990,   0.25919, -11.95070, -68.23220,  -0.07972,   0.04345, -16.57420
   0.26667,   0.00000,   0.00000,  -0.00000,  92.36030,  -6.09954,   1.03915, 114.27800,  88.03920,-114.74600,  -4.18519,   1.66002,  -0.87654,  -5.12536,   1.42465,  -1.68618,   8.94380,  -0.89710,  -1.14880, -90.99970,   5.10067, -93.89510, -70.94480,  -9.13622,  11.01690,   4.89420,  16.68410, -16.60750,  29.74060,   5.23701,   1.77351,  88.86790,   7.81675, -96.73250, -68.93410,  -1.13004,  15.04280,   2.63048,  14.03790, -10.72930,  19.04390,   5.45042,  -4.65421, 173.92600, -11.16830, -10.07730,   0.10296,  -0.22009,  21.13000,   4.76105,   0.49005, -61.40660,   0.06405,  -0.07190, -17.27920,-179.32900,  21.60150, 178.22600,   0.02037,  -0.00571,  19.09080,   0.21590, -12.08140, -68.30320,  -0.07526,   0.04097, -16.57410
   0.30000,   0.00000,   0.00000,  -0.00000,  92.39130,  -5.94326,   1.16251, 114.44500,  88.02590,-114.96400,  -4.16495,   1.68658,  -0.97703,  -4.86354,   1.22911,  -1.76945,   9.12246,  -1.22673,  -0.97505, -90.99110,   5.06720, -93.91810, -70.81790,  -8.88517,  10.90750,   5.01396,  17.16170, -16.55880,  30.01270,   5.23348,   1.86539,  88.86610,   7.83452, -96.73840, -68.85130,  -1.51007,  14.83420,   2.50783,  13.62460, -10.53720,  18.88530,   5.44292,  -4.38823, 173.93800, -10.93110,  -9.96737,   0.10393,  -0.22101,  21.21910,   4.72306,   0.39189, -61.45570,   0.05621,  -0.06299, -17.19270,-179.36900,  21.52480, 178.36300,   0.02098,  -0.00715,  19.14440,   0.17270, -12.29110, -68.38060,  -0.07188,   0.03901, -16.57410
