time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.80480, -43.34810,  -3.07595, 154.86300,  84.72810,-154.97800,  -3.29919,   9.55172,   0.04438,  -9.64524,   9.87504,   2.28558,  -7.77407,   9.22879,   2.82509, -89.07430,  -2.73366, -86.28370, -77.61320,  52.54950,  41.59970,  35.87290,  -8.25599,-101.23100,  25.62190,   5.67220, -17.62620,  89.78740,   2.09879, -99.21430, -76.26480,  -0.99866,  18.95470,   3.87763,  13.09860, -16.65540,  12.69100,   5.43373,  -4.06676, 176.25600, -27.97140, -23.75270,  -0.01068,   0.00671,  22.13850,   2.07822, -18.05070, -51.36200,   0.23115,  -0.26818, -19.15750,-172.06300,  18.03950, 170.46400,   0.05703,  -0.11481,  18.90480,   4.57801,  -9.90565, -64.12550,  -0.19955,   0.12250, -16.57360
   0.03333,   0.00000,   0.00000,  -0.00000,  88.95030, -43.71380,  -3.19562, 157.00000,  84.74350,-157.21600,  -3.66563,   9.69335,  -0.12235,  -9.74590,   9.93708,   2.28119,  -7.67499,   9.09582,   3.10716, -89.18730,  -2.37462, -86.09920, -77.76610,  52.81690,  41.29750,  37.39370,  -7.77429,-100.03600,  31.89270,   5.67819, -18.84430,  89.78530,   2.22299, -99.48230, -76.67850,   0.66574,  18.61180,   3.87266,  13.45150, -16.22930,  12.63050,   5.43629,  -4.15597, 173.69300, -31.78890, -23.70750,  -0.01223,   0.01212,  17.89860,   5.59734, -18.16780, -48.67510,   0.20852,  -0.24083, -18.89890,-172.30000,  17.82990, 170.22800,   0.05623,  -0.11031,  19.00390,   4.43860,  -9.75321, -64.13160,  -0.19252,   0.11887, -16.57350
   0.06667,   0.00000,   0.00000,  -0.00000,  88.80430, -43.80450,  -3.47489, 158.98000,  84.83080,-159.21500,  -4.06723,   9.66801,  -0.12716,  -9.82963,   9.95448,   2.24948,  -7.60065,   8.90984,   3.40409, -89.28210,  -2.08558, -86.00120, -77.50290,  52.97090,  40.74260,  40.40760,  -7.75045, -99.00240,  36.87150,   5.67918, -19.32950,  89.77250,   2.51628, -99.83140, -76.69700,   2.25244,  18.35230,   3.96240,  13.95010, -16.03480,  11.55480,   5.42538,  -3.77913, 173.06700, -32.82930, -23.66520,  -0.02023,   0.03856,  17.17380,   6.00770, -18.71260, -49.42310,   0.19820,  -0.22843, -18.78140,-172.34000,  17.61130, 170.09600,   0.05346,  -0.10005,  19.22030,   4.20327,  -9.86817, -64.32650,  -0.20112,   0.12441, -16.57350
   0.10000,   0.00000,   0.00000,  -0.00000,  88.64460, -43.52190,  -3.60255, 160.42100,  84.91190,-160.66900,  -4.36677,   9.60654,  -0.13139,  -9.84109,   9.80144,   2.14796,  -7.65185,   8.47967,   3.73203, -89.35120,  -1.91887, -86.31300, -77.59470,  53.52200,  40.35690,  42.56090,  -7.50542, -98.09550,  41.42630,   5.67923, -19.30150,  89.74270,   3.06097,-100.19300, -76.49130,   4.91859,  18.23870,   3.99594,  13.97050, -16.14170,   9.84355,   5.41059,  -3.28280, 173.39700, -32.12660, -23.22010,  -0.01879,   0.03993,  17.15760,   5.79089, -18.85780, -50.38120,   0.15349,  -0.17533, -18.27570,-172.35900,  17.22510, 170.23600,   0.05184,  -0.09405,  19.29850,   3.90102, -10.52220, -64.50840,  -0.18940,   0.11648, -16.57350
   0.13333,   0.00000,   0.00000,  -0.00000,  88.66090, -43.05810,  -3.57621, 161.62700,  84.97810,-161.98700,  -4.60383,   9.56224,  -0.33651,  -9.98579,   9.45713,   2.19574,  -7.64771,   7.88650,   4.18333, -89.40150,  -1.82519, -86.84180, -77.87970,  54.33380,  40.21140,  42.37700,  -7.02140, -97.63070,  43.54730,   5.67982, -19.51020,  89.71150,   3.74488,-100.59100, -76.10240,   8.66844,  18.10300,   4.15472,  14.04270, -16.67020,   7.82242,   5.40376,  -3.06116, 173.58100, -31.73940, -23.15530,  -0.01399,   0.02727,  17.72700,   5.51362, -18.34730, -50.90840,   0.09658,  -0.10909, -17.63930,-172.49400,  16.84270, 170.45200,   0.04855,  -0.08652,  19.31550,   3.57834, -11.31020, -64.68840,  -0.19353,   0.11811, -16.57360
   0.16667,   0.00000,   0.00000,  -0.00000,  88.49200, -42.72450,  -3.80589, 163.74800,  85.06930,-164.20400,  -5.00507,   9.50848,  -0.49852, -10.12160,   9.07792,   2.49612,  -7.46990,   7.37817,   4.56951, -89.44550,  -1.72756, -87.19880, -78.20190,  55.06730,  40.34630,  42.09480,  -6.72557, -97.38640,  45.26570,   5.68054, -19.77560,  89.73040,   3.98037,-101.12200, -75.45500,  11.79550,  17.42850,   4.12123,  13.69200, -16.93470,   5.60518,   5.40862,  -3.22170, 173.62900, -31.78850, -23.42940,  -0.01036,   0.02034,  18.37760,   5.34588, -17.94710, -51.46550,   0.05775,  -0.06474, -17.20980,-172.43800,  16.42140, 170.55500,   0.04605,  -0.07902,  19.27540,   3.30509, -11.99060, -64.83400,  -0.19775,   0.12003, -16.57370
   0.20000,   0.00000,   0.00000,  -0.00000,  88.37790, -42.43490,  -3.91860, 165.56000,  85.12800,-166.14400,  -5.32720,   9.49185,  -0.72988, -10.36340,   8.67080,   2.85801,  -7.18236,   6.83535,   5.01260, -89.47910,  -1.64526, -87.42660, -78.21920,  55.58000,  40.32860,  41.56810,  -6.53014, -97.30770,  45.89600,   5.68052, -19.81130,  89.76640,   4.00348,-101.65800, -74.08320,  14.24850,  16.18430,   3.84965,  12.64860, -17.08670,   3.36126,   5.40339,  -3.04583, 173.63700, -31.76410, -23.63390,  -0.01058,   0.02334,  18.97680,   5.24922, -17.76470, -51.95960,   0.04089,  -0.04568, -17.02420,-172.45400,  15.90090, 170.61300,   0.04700,  -0.08068,  19.42830,   3.00887, -12.68840, -65.03980,  -0.18451,   0.11152, -16.57390
   0.23333,   0.00000,   0.00000,  -0.00000,  88.12290, -42.46490,  -4.14243, 167.66100,  85.07820,-168.34800,  -5.64843,   9.68380,  -0.89889, -10.58770,   8.26730,   3.19658,  -6.88968,   6.30422,   5.42445, -89.53260,  -1.49329, -87.61670, -77.98960,  55.63030,  40.15770,  41.28590,  -6.45531, -97.29620,  45.41670,   5.68060, -19.82490,  89.80770,   4.03914,-102.27200, -71.51660,  15.81720,  14.12230,   3.46797,  11.85620, -16.43780,   1.50461,   5.40792,  -3.19811, 173.84700, -31.68330, -23.95390,  -0.00920,   0.02028,  19.79380,   5.04200, -17.89050, -52.50500,   0.02679,  -0.02986, -16.86980,-172.34300,  15.27450, 170.59600,   0.04821,  -0.08144,  19.63480,   2.79662, -13.19410, -65.22650,  -0.18307,   0.11087, -16.57370
   0.26667,   0.00000,   0.00000,  -0.00000,  87.87630, -42.78230,  -4.25849, 169.09600,  84.97780,-169.88100,  -5.84610,   9.94217,  -1.06634, -10.81830,   7.98215,   3.55390,  -6.49005,   5.81513,   5.80542, -89.58930,  -1.32210, -87.74060, -77.68150,  55.39590,  39.79310,  40.93640,  -6.40796, -97.33210,  44.96280,   5.68088, -19.96870,  89.86350,   4.02336,-103.05500, -67.86850,  16.41460,  11.01300,   2.81711,  10.95880, -14.51740,   1.37454,   5.40163,  -2.99157, 173.95600, -32.24010, -24.22400,  -0.00546,   0.00960,  20.55850,   4.90879, -17.67000, -53.05730,   0.02936,  -0.03273, -16.89790,-172.27900,  14.55740, 170.62500,   0.04947,  -0.08218,  19.90290,   2.62818, -13.55210, -65.39340,  -0.17363,   0.10580, -16.57380
   0.30000,   0.00000,   0.00000,  -0.00000,  87.57790, -43.02930,  -4.32831, 170.40700,  84.91310,-171.25800,  -6.04748,  10.11870,  -1.17020, -10.92020,   7.73749,   3.86910,  -5.69261,   5.40847,   6.08635, -89.60870,  -1.26826, -87.85370, -77.32890,  55.16940,  39.34100,  40.07960,  -6.31332, -97.44590,  43.99830,   5.68152, -20.40570,  89.93190,   3.56437,-103.90600, -63.71930,  15.05790,   7.12292,   2.34160,  11.34550, -11.74870,   2.65063,   5.38443,  -2.43977, 174.15200, -32.78170, -24.44330,  -0.00351,   0.00481,  21.24120,   4.82673, -17.42270, -53.47510,   0.02753,  -0.03069, -16.87790,-172.12900,  14.01130, 170.68500,   0.05127,  -0.08516,  20.14780,   2.54085, -13.83520, -65.51290,  -0.15899,   0.09732, -16.57370
