time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.75650,   3.24503,   8.15631, 101.35200,  85.79690, -99.34950,   0.45260,   1.52640,   3.99605,  -7.07101,  -7.89833,   6.84142,   3.81693, -10.54990,   9.81483, -90.34590,   1.55444, -92.45170, -72.29180,  -7.63635,  14.45850,   3.46332,  10.11950, -19.00600,   1.33647,   5.08082,   5.55008,  89.01190,   5.47586, -94.75440, -62.20660,  -9.37024,  17.28950,   5.69796,  13.60030, -22.99610,  10.03070,   5.39021,  -2.62205,-151.93500, -39.64510,   2.06694,  -0.00174,   0.03076,   8.70999,  -9.64510,  -6.25631, -41.03240,   0.09068,  -0.10231, -17.57380,-169.24600,   7.78458, 177.70400,   0.13118,  -0.20149,  26.08800,   2.92959, -11.65100, -67.21340,  -0.12269,   0.08566, -16.57240
   0.03333,   0.00000,   0.00000,  -0.00000,  83.86060,   3.79448,   8.58503,  99.92220,  85.80540, -97.94950,   0.47829,   1.31970,   3.93713,  -6.77027,  -8.09109,   6.86983,   4.03068, -10.79880,  10.11390, -90.32090,   1.45591, -92.56790, -71.79860,  -7.38418,  13.41240,   3.70767,  10.10780, -20.26550,   2.05540,   5.08084,   5.54923,  88.96600,   5.66577, -94.63930, -62.15010,  -9.28389,  17.58210,   5.95502,  13.69030, -23.78840,  10.06250,   5.39679,  -2.83379,-151.95400, -39.95340,   1.98782,  -0.00740,   0.06485,   9.75857,  -9.55359,  -5.20046, -41.62960,   0.06468,  -0.07259, -17.28600,-169.69700,   8.08634, 178.27100,   0.12095,  -0.18071,  26.07660,   2.56727, -11.87260, -67.39650,  -0.12731,   0.08832, -16.57240
   0.06667,   0.00000,   0.00000,  -0.00000,  83.98510,   4.44379,   8.98974,  99.14040,  85.78810, -97.23630,   0.53366,   1.21759,   3.79985,  -6.71189,  -8.39344,   6.96601,   4.32210, -11.14940,  10.28550, -90.28710,   1.31906, -92.71640, -71.23790,  -7.02518,  12.27550,   4.19349,  10.50320, -21.91030,   2.79196,   5.08211,   5.51994,  88.94130,   5.72928, -94.51100, -62.39340,  -9.17109,  17.79750,   6.07622,  13.77130, -24.09700,  10.00320,   5.40208,  -3.00512,-152.31200, -38.69720,   1.70467,  -0.01692,   0.11377,  10.64850,  -9.58549,  -5.62834, -42.35740,   0.05089,  -0.05698, -17.13440,-170.19200,   8.63641, 178.77500,   0.11213,  -0.16230,  26.10740,   2.26234, -11.92860, -67.59790,  -0.12241,   0.08425, -16.57250
   0.10000,   0.00000,   0.00000,  -0.00000,  84.08920,   5.13977,   9.42860,  98.73610,  85.72270, -96.89990,   0.67329,   1.18528,   3.66273,  -6.66811,  -8.65575,   7.06173,   4.30414, -11.52420,  10.45500, -90.26770,   1.23707, -92.79220, -70.63780,  -6.17645,  11.04880,   4.61524,  10.61070, -23.67230,   3.62578,   5.08876,   5.36964,  88.91220,   5.81180, -94.37950, -62.66700,  -8.82629,  17.90590,   6.06389,  13.78210, -24.03690,   9.61044,   5.39838,  -2.88442,-152.66200, -37.34020,   1.39254,  -0.03033,   0.17383,  11.56850,  -9.62375,  -6.15482, -43.08180,   0.04468,  -0.04998, -17.06610,-170.61800,   9.00905, 179.27300,   0.10360,  -0.14391,  26.19060,   1.92898, -12.18430, -67.81240,  -0.11774,   0.08039, -16.57270
   0.13333,   0.00000,   0.00000,  -0.00000,  84.19560,   5.93634,   9.90620,  98.05900,  85.60900, -96.28560,   0.91458,   1.12466,   3.53511,  -6.73543,  -8.90134,   7.13226,   4.17271, -11.87580,  10.54400, -90.25780,   1.19774, -92.84980, -70.07490,  -4.91464,   9.70691,   4.98866,  10.67430, -25.23240,   4.63739,   5.10288,   5.04894,  88.87830,   5.95705, -94.31540, -62.84020,  -8.33552,  17.89700,   6.03621,  13.96560, -23.66440,   8.99083,   5.39700,  -2.84012,-152.94000, -36.48880,   1.34074,  -0.04208,   0.22424,  11.98440,  -9.56369,  -6.12815, -43.40350,   0.03872,  -0.04325, -17.00050,-170.97400,   9.33049, 179.81700,   0.09898,  -0.13470,  26.17280,   1.61937, -12.64520, -67.95380,  -0.11953,   0.08085, -16.57270
   0.16667,   0.00000,   0.00000,  -0.00000,  84.22400,   6.77732,  10.16930,  97.62670,  85.54920, -95.90250,   1.04324,   1.07978,   3.43586,  -6.81224,  -9.12633,   7.14337,   3.98769, -12.17810,  10.68140, -90.23080,   1.08312, -92.97360, -69.59320,  -3.53578,   8.37845,   5.47571,  11.00960, -26.65460,   5.36827,   5.10813,   4.92663,  88.84320,   6.13214, -94.29570, -62.94280,  -7.95734,  17.80170,   5.91444,  14.12550, -23.00450,   8.40598,   5.39490,  -2.77110,-153.27500, -35.93860,   0.89809,  -0.05562,   0.27718,  12.51840,  -9.46847,  -5.87149, -43.65640,   0.03023,  -0.03369, -16.90740,-171.17200,   9.67361,-179.98000,   0.09477,  -0.12524,  26.25980,   1.37166, -13.08360, -68.09560,  -0.10811,   0.07237, -16.57280
   0.20000,   0.00000,   0.00000,  -0.00000,  84.24280,   7.59307,  10.32790,  97.44690,  85.51810, -95.78160,   1.10918,   1.06456,   3.31768,  -6.88406,  -9.39089,   7.17411,   3.84143, -12.49680,  10.76640, -90.19900,   0.94978, -93.16510, -69.13590,  -2.10838,   7.13656,   5.88885,  11.32270, -27.71440,   5.71789,   5.11143,   4.85048,  88.82230,   6.22478, -94.26420, -63.03430,  -8.16891,  17.53980,   5.79592,  14.52500, -22.03770,   7.95130,   5.39310,  -2.71442,-153.65000, -35.41340,   0.50451,  -0.06358,   0.30967,  12.64820,  -9.36241,  -5.65000, -43.65400,   0.03157,  -0.03520, -16.92200,-171.34700,  10.27040,-179.87400,   0.09290,  -0.12141,  26.25870,   1.26329, -13.26030, -68.15690,  -0.11052,   0.07331, -16.57280
   0.23333,   0.00000,   0.00000,  -0.00000,  84.24040,   8.35299,  10.32750,  97.03590,  85.53070, -95.44850,   1.09362,   1.00203,   3.16261,  -7.05169,  -9.67657,   7.16711,   3.90892, -12.78320,  10.86810, -90.17100,   0.82806, -93.33540, -68.62580,  -0.94733,   6.20783,   6.40111,  11.78010, -28.78930,   5.47740,   5.10855,   4.91734,  88.81020,   6.31678, -94.30990, -63.15420,  -8.36956,  17.20240,   5.56804,  14.64120, -21.09440,   7.83822,   5.38645,  -2.50154,-154.09800, -34.74990,   0.02286,  -0.06443,   0.31590,  12.53020,  -9.28554,  -5.64969, -43.50940,   0.03435,  -0.03833, -16.95270,-171.37500,  10.71990, 179.98300,   0.09467,  -0.12446,  26.30980,   1.20638, -13.54090, -68.18880,  -0.09542,   0.06268, -16.57300
   0.26667,   0.00000,   0.00000,  -0.00000,  84.21010,   9.02720,  10.35920,  96.52840,  85.52080, -95.02160,   1.12405,   0.93078,   3.00196,  -7.14959,  -9.91266,   7.20368,   3.82220, -13.08370,  10.83840, -90.17330,   0.84728, -93.43950, -67.99720,   0.12479,   5.58391,   6.72256,  11.91950, -29.71340,   5.22905,   5.11028,   4.87713,  88.80320,   6.37950, -94.35140, -63.24110,  -8.47636,  16.79640,   5.36634,  14.71060, -20.30380,   7.75028,   5.38283,  -2.38756,-154.43100, -34.17500,  -0.25256,  -0.05984,   0.30384,  12.11680,  -9.19581,  -5.68569, -43.17120,   0.03626,  -0.04049, -16.97370,-171.30200,  10.99400, 179.90900,   0.09573,  -0.12762,  26.21860,   1.19270, -13.92570, -68.11450,  -0.10359,   0.06753, -16.57300
   0.30000,   0.00000,   0.00000,  -0.00000,  84.13020,   9.47982,  10.18670,  96.47730,  85.54490, -95.03100,   1.07751,   0.92032,   2.88151,  -7.25345, -10.11400,   7.26022,   3.63802, -13.37280,  10.86930, -90.16150,   0.79215, -93.48140, -67.63750,   0.82431,   5.13069,   7.05287,  12.23100, -30.28460,   5.39173,   5.11722,   4.71609,  88.80810,   6.41852, -94.45710, -63.18770,  -8.38348,  16.30880,   5.24719,  14.83010, -19.74210,   7.54103,   5.37817,  -2.24098,-154.74400, -33.49430,  -0.71571,  -0.05473,   0.28746,  11.75500,  -9.18609,  -6.03767, -42.87910,   0.04160,  -0.04650, -17.03220,-171.12000,  11.29700, 179.56200,   0.09811,  -0.13237,  26.22680,   1.27938, -14.06540, -68.05310,  -0.09486,   0.06148, -16.57300
