time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.91980,  -3.93777,   3.22976, 106.32100,  86.70550,-107.10200,  -1.42922,   1.91386,  -1.53825,   1.39953,  -7.42545,   3.87245,  19.50590, -11.57550,   7.08909, -90.20530,   1.06589, -94.09580, -75.45040,  -8.06607,   5.34959,   1.96286,   6.85174, -16.02760,  10.95340,   5.31042,  -0.22200,  89.27830,   4.76804, -96.38260, -71.89610,  -7.29935,  13.80640,   5.53529,  14.48720, -21.17920,  14.04500,   5.42240,  -3.68062, 175.32200,  -4.88624,  -9.09956,   0.10530,  -0.22749,  20.98880,   4.18094,  -4.20513, -59.41120,   0.09973,  -0.11272, -17.67430,-177.76100,  16.77270, 177.41900,   0.03171,  -0.03445,  19.91860,   0.82649, -14.81980, -65.89080,  -0.01936,   0.01100, -16.57390
   0.03333,   0.00000,   0.00000,  -0.00000,  90.93030,  -4.06435,   3.31797, 106.71100,  86.70040,-107.53500,  -1.43104,   1.96334,  -1.62308,   1.33839,  -7.57299,   3.92841,  19.47640, -11.78560,   7.22664, -90.21620,   1.11412, -94.02230, -75.41350,  -8.22088,   5.59548,   1.95638,   6.87859, -15.91830,  10.88140,   5.30995,  -0.20860,  89.26680,   4.86550, -96.42000, -71.85520,  -7.26827,  13.75650,   6.01584,  15.04620, -22.09790,  14.16450,   5.41761,  -3.51844, 175.33400,  -4.88462,  -9.02134,   0.10711,  -0.22937,  21.15940,   4.12787,  -4.36423, -59.57260,   0.09969,  -0.11266, -17.67370,-177.78300,  16.53060, 177.54200,   0.03269,  -0.03439,  20.01100,   0.77251, -14.91510, -66.01400,  -0.02467,   0.01411, -16.57390
   0.06667,   0.00000,   0.00000,  -0.00000,  90.96440,  -4.14058,   3.42739, 106.92000,  86.67740,-107.78900,  -1.39283,   2.00302,  -1.71321,   1.18070,  -7.74460,   3.97097,  19.44750, -12.03330,   7.35582, -90.21150,   1.09067, -94.02630, -75.43600,  -8.47656,   5.80087,   1.89269,   6.74938, -15.70430,  10.80110,   5.30779,  -0.14750,  89.24680,   4.96018, -96.35490, -71.77740,  -7.34139,  13.75280,   6.39879,  15.14040, -23.24080,  14.46300,   5.41422,  -3.40610, 175.33700,  -4.93272,  -8.86495,   0.10722,  -0.22851,  21.21250,   4.08910,  -4.39952, -59.67690,   0.09898,  -0.11187, -17.66600,-177.87000,  16.56190, 177.74300,   0.02965,  -0.03256,  20.00660,   0.76265, -14.81680, -66.09340,  -0.01652,   0.00944, -16.57390
   0.10000,   0.00000,   0.00000,  -0.00000,  90.98520,  -4.17856,   3.47160, 106.67600,  86.66880,-107.57600,  -1.36776,   1.98315,  -1.77618,   1.09759,  -7.92520,   3.98029,  19.32960, -12.24010,   7.48981, -90.20550,   1.05743, -94.00890, -75.45500,  -8.66618,   5.89950,   1.84239,   6.72722, -15.35460,  10.65330,   5.30975,  -0.20246,  89.23730,   5.02215, -96.35410, -71.65600,  -7.59058,  13.84690,   7.05866,  15.42470, -24.96710,  14.57820,   5.40007,  -2.93975, 175.33800,  -5.01657,  -8.80005,   0.10778,  -0.22879,  21.28240,   4.07501,  -4.35460, -59.77390,   0.09814,  -0.11088, -17.65650,-177.92700,  16.69510, 177.82700,   0.03114,  -0.03661,  20.04230,   0.76756, -14.66270, -66.16530,  -0.02313,   0.01323, -16.57390
   0.13333,   0.00000,   0.00000,  -0.00000,  90.99530,  -4.20554,   3.44633, 106.37900,  86.68130,-107.28600,  -1.38213,   1.94367,  -1.78891,   0.96631,  -8.04434,   3.92908,  19.26780, -12.43470,   7.64069, -90.20800,   1.06780, -93.97420, -75.45990,  -8.60259,   5.94420,   1.73706,   6.53248, -14.92600,  10.48980,   5.30724,  -0.13162,  89.23190,   5.02796, -96.30280, -71.53400,  -7.78156,  14.00000,   8.01896,  15.91990, -27.18750,  15.21910,   5.38599,  -2.48750, 175.33300,  -5.05729,  -8.79397,   0.10803,  -0.22921,  21.30730,   4.06567,  -4.35764, -59.83390,   0.09848,  -0.11128, -17.66040,-177.96000,  16.75770, 177.86900,   0.02719,  -0.03181,  20.02780,   0.76224, -14.55350, -66.21180,  -0.01694,   0.00969, -16.57390
   0.16667,   0.00000,   0.00000,  -0.00000,  90.99870,  -4.27812,   3.41107, 106.43100,  86.69380,-107.35000,  -1.40768,   1.94349,  -1.81284,   0.85588,  -8.20013,   3.94589,  19.21530, -12.57710,   7.71195, -90.20460,   1.05286, -94.00660, -75.43940,  -8.71282,   6.07567,   1.70181,   6.51019, -14.68380,  10.40630,   5.30371,  -0.03165,  89.22210,   5.06323, -96.25410, -71.31960,  -8.30508,  14.20780,   8.97592,  16.10170, -29.66560,  15.74880,   5.37917,  -2.27335, 175.33400,  -4.97634,  -8.78038,   0.10788,  -0.22875,  21.30010,   4.02695,  -4.50342, -59.87090,   0.09886,  -0.11171, -17.66450,-177.95700,  16.76890, 177.88400,   0.03306,  -0.03605,  19.98510,   0.76164, -14.51270, -66.22020,  -0.02721,   0.01557, -16.57390
   0.20000,   0.00000,   0.00000,  -0.00000,  91.00040,  -4.35656,   3.32100, 106.10200,  86.72670,-107.01500,  -1.46076,   1.88878,  -1.80191,   0.72730,  -8.26622,   3.92296,  19.16750, -12.68310,   7.76919, -90.20490,   1.04874, -93.94450, -75.42250,  -8.81190,   6.17183,   1.67836,   6.50769, -14.49560,  10.31070,   5.30254,   0.00088,  89.22170,   5.03785, -96.20570, -71.10870,  -8.70479,  14.30430,   9.72262,  15.76350, -32.24200,  16.39840,   5.37444,  -2.12394, 175.32200,  -4.93322,  -8.82640,   0.10812,  -0.22983,  21.27830,   4.00880,  -4.60707, -59.89230,   0.09899,  -0.11186, -17.66610,-177.94200,  16.69410, 177.84900,   0.03273,  -0.03410,  19.93850,   0.75030, -14.50000, -66.22580,  -0.02277,   0.01305, -16.57390
   0.23333,   0.00000,   0.00000,  -0.00000,  90.98880,  -4.49806,   3.21103, 106.32900,  86.75850,-107.23600,  -1.52910,   1.89583,  -1.78742,   0.66777,  -8.34508,   3.89826,  19.09760, -12.74390,   7.84336, -90.20150,   1.02941, -93.92560, -75.40280,  -8.95663,   6.25655,   1.66533,   6.51831, -14.36510,  10.26140,   5.30026,   0.06519,  89.22180,   5.00817, -96.15570, -70.89100,  -8.89063,  14.37510,  10.83290,  15.80270, -35.09590,  17.17930,   5.38034,  -2.30901, 175.32700,  -4.91565,  -8.91411,   0.10848,  -0.23064,  21.28990,   3.97969,  -4.74021, -59.92700,   0.10385,  -0.11748, -17.72020,-177.89300,  16.47680, 177.77000,   0.03343,  -0.03534,  19.91400,   0.73199, -14.54380, -66.22800,  -0.01556,   0.00895, -16.57390
   0.26667,   0.00000,   0.00000,  -0.00000,  90.97460,  -4.71273,   3.04162, 106.77600,  86.79840,-107.67600,  -1.61995,   1.92142,  -1.77178,   0.59847,  -8.41505,   3.94759,  19.07500, -12.78760,   7.87456, -90.19990,   1.01386, -93.84010, -75.37400,  -9.10819,   6.30302,   1.62161,   6.36775, -14.31870,  10.27950,   5.30357,  -0.02788,  89.22250,   4.97616, -96.10780, -70.69850,  -8.74570,  14.35170,  12.11410,  15.87570, -38.12060,  18.55510,   5.39226,  -2.68545, 175.32600,  -4.94271,  -9.03057,   0.10782,  -0.23065,  21.19520,   3.95735,  -4.90667, -59.89050,   0.10145,  -0.11470, -17.69340,-177.81600,  16.21670, 177.63200,   0.03245,  -0.03605,  19.81070,   0.73868, -14.60160, -66.15330,  -0.02840,   0.01639, -16.57380
   0.30000,   0.00000,   0.00000,  -0.00000,  90.95580,  -4.93532,   2.89719, 107.28500,  86.82630,-108.16900,  -1.68984,   1.95846,  -1.73909,   0.55205,  -8.44581,   3.96867,  19.08870, -12.86990,   7.93862, -90.19790,   1.00105, -93.81420, -75.36810,  -9.45342,   6.34426,   1.63567,   6.40151, -14.36520,  10.28880,   5.30043,   0.06012,  89.23540,   4.91733, -96.15000, -70.51120,  -8.67148,  14.35290,  13.68960,  16.02320, -41.42870,  19.98120,   5.39536,  -2.78698, 175.33400,  -4.95913,  -9.13869,   0.10729,  -0.23010,  21.13240,   3.92882,  -5.09005, -59.86790,   0.09877,  -0.11160, -17.66350,-177.74100,  15.86880, 177.53100,   0.02971,  -0.03544,  19.71650,   0.73626, -14.67940, -66.09280,  -0.02680,   0.01555, -16.57390
