time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.28100,  -4.49265,  20.15260,  82.50240,  85.74340, -83.45420,   0.66668,  -1.05151,  -1.89606,   4.21504,   2.69282,  -1.10295,  -4.50049,   5.05665, -18.52180, -86.28720,  -8.74395, -81.88400,  -9.29804, -65.36470, -58.40080, -11.17570,  -9.43400, -50.31710,  18.84940,   5.65081, -15.09330,  93.07920,  -9.05163, -86.12340, -17.89100, -68.71240, -67.10350,   1.81979,   1.53155, -49.94860,  13.98070,   5.53492,  -8.01357,-167.40400,  -8.57424,   8.11547,  -0.02631,   0.08171,  32.69230,  -5.51717,   1.27637, -72.22520,   0.07684,  -0.12347, -18.76270, 173.28700,   7.61088,-173.52600,   0.02228,   0.02336,  32.60050,  -4.50812,   1.02811, -73.26070,   0.14650,  -0.16762, -18.21100
   0.03333,   0.00000,   0.00000,  -0.00000,  88.26820,  -4.58889,  20.30210,  82.58570,  85.71040, -83.55490,   0.73357,  -1.04726,  -1.93013,   3.88077,   2.55591,  -0.94855,  -4.68561,   5.00203, -18.51670, -86.24460,  -8.79616, -81.76870, -10.35260, -65.43970, -59.66710, -13.37940, -10.90860, -51.49320,  19.60600,   5.67141, -17.58590,  93.14420,  -9.13050, -85.90550, -17.79790, -68.90530, -67.49490,   1.72343,   1.48198, -49.34100,  14.05960,   5.55369,  -8.88264,-167.44700,  -8.47510,   8.32232,  -0.02611,   0.08145,  32.78650,  -5.42569,   1.11923, -72.57130,   0.07927,  -0.12755, -18.83410, 173.25200,   7.50483,-173.31900,   0.01399,   0.03630,  32.59670,  -4.58400,   0.96804, -73.37250,   0.15469,  -0.17728, -18.30410
   0.06667,   0.00000,   0.00000,  -0.00000,  88.27020,  -4.68118,  20.34160,  82.58140,  85.71490, -83.56590,   0.72433,  -1.04569,  -1.96090,   3.58506,   2.46445,  -0.72959,  -4.79011,   5.03749, -18.61400, -86.19900,  -8.87804, -81.71000, -12.42900, -65.78200, -61.28620, -14.53800, -11.93680, -51.42520,  20.18320,   5.67516, -18.29460,  93.25350,  -9.32314, -85.66490, -19.99840, -69.31900, -69.51740,   1.68169,   1.57208, -46.95710,  14.08690,   5.56246,  -9.30943,-167.50000,  -8.47228,   8.40421,  -0.02548,   0.08025,  32.90610,  -5.33535,   0.97440, -72.92600,   0.08223,  -0.13253, -18.92100, 173.18000,   7.48045,-173.27000,   0.01254,   0.03862,  32.66890,  -4.63441,   1.03539, -73.51740,   0.16303,  -0.18716, -18.39920
   0.10000,   0.00000,   0.00000,  -0.00000,  88.25410,  -4.77772,  20.41080,  82.66830,  85.71090, -83.66490,   0.73396,  -1.03315,  -1.98505,   3.54090,   2.35263,  -0.54265,  -5.22490,   5.08987, -18.66400, -86.19640,  -8.86998, -81.67550, -14.74510, -66.31690, -62.66850, -14.37540, -12.37010, -50.10960,  20.48930,   5.67368, -18.01020,  93.34640,  -9.51398, -85.51810, -23.01880, -69.97240, -71.69280,   1.14966,   1.22379, -43.23680,  14.21270,   5.55585,  -8.98674,-167.56500,  -8.38395,   8.57516,  -0.02666,   0.08220,  32.92150,  -5.19851,   0.78672, -73.16840,   0.08226,  -0.13259, -18.92210, 173.13400,   7.41688,-173.10500,   0.01058,   0.04153,  32.61650,  -4.69517,   1.07436, -73.63760,   0.16550,  -0.19009, -18.42740
   0.13333,   0.00000,   0.00000,  -0.00000,  88.25500,  -4.85753,  20.34320,  82.66740,  85.73190, -83.67240,   0.69233,  -1.02706,  -2.00214,   3.48250,   2.32434,  -0.55440,  -5.77406,   5.11764, -18.61860, -86.20440,  -8.79975, -81.55440, -16.11260, -67.00170, -62.62980, -14.07960, -12.97190, -48.17150,  20.58180,   5.67141, -17.60610,  93.39140,  -9.63733, -85.50670, -24.97590, -71.01730, -72.34440,   0.72199,   0.89863, -38.81210,  14.17410,   5.54594,  -8.51550,-167.66100,  -8.33756,   8.59727,  -0.02860,   0.08523,  32.92100,  -5.23518,   0.62799, -73.26690,   0.08338,  -0.13448, -18.95520, 173.08700,   7.38675,-173.09000,   0.01049,   0.04176,  32.57550,  -4.74216,   1.14352, -73.70010,   0.16789,  -0.19292, -18.45460
   0.16667,   0.00000,   0.00000,  -0.00000,  88.26700,  -4.99675,  20.28120,  82.95310,  85.76510, -83.97310,   0.63198,  -0.97528,  -2.03310,   3.67902,   2.31142,  -0.57472,  -6.41667,   5.20419, -18.60010, -86.24340,  -8.66486, -81.45180, -15.86530, -67.63620, -60.69420, -13.76400, -13.82710, -45.70650,  20.66010,   5.67023, -17.41570,  93.36040,  -9.61517, -85.63180, -25.60970, -72.22360, -71.21820,   0.82875,   1.22168, -34.19210,  14.10750,   5.52890,  -7.74281,-167.73400,  -8.36039,   8.72106,  -0.03040,   0.08831,  32.79550,  -5.28857,   0.51193, -73.32150,   0.07966,  -0.12821, -18.84560, 173.02100,   7.30166,-173.00400,   0.00433,   0.05143,  32.41220,  -4.80488,   1.22511, -73.67250,   0.17369,  -0.19983, -18.52100
   0.20000,   0.00000,   0.00000,  -0.00000,  88.30020,  -5.06418,  20.08100,  82.89770,  85.81690, -83.95670,   0.52799,  -0.96720,  -2.11202,   3.91143,   2.30696,  -0.59419,  -7.15032,   5.37735, -18.48630, -86.30800,  -8.47186, -81.34640, -13.89050, -68.27260, -56.87710, -13.16530, -14.64480, -42.77410,  20.69120,   5.66658, -16.88530,  93.30900,  -9.51722, -85.72620, -25.29420, -73.54020, -68.62940,   0.90465,   1.59017, -29.67890,  13.91870,   5.49999,  -6.53276,-167.83500,  -8.43081,   8.68107,  -0.03484,   0.09551,  32.68620,  -5.31953,   0.45233, -73.34340,   0.08137,  -0.13109, -18.89580, 172.96700,   7.23536,-173.09200,   0.00770,   0.04613,  32.30130,  -4.86224,   1.29451, -73.65550,   0.17469,  -0.20102, -18.53240
   0.23333,   0.00000,   0.00000,  -0.00000,  88.30630,  -5.09450,  19.96890,  82.71510,  85.82530, -83.81400,   0.50767,  -0.98880,  -2.19178,   4.14729,   2.27972,  -0.69111,  -8.00348,   5.51274, -18.25420, -86.36840,  -8.27989, -81.21570, -11.52370, -68.88110, -52.49540, -11.90060, -15.01700, -39.12090,  20.57480,   5.66175, -16.26410,  93.22370,  -9.31951, -85.82180, -24.80770, -74.90430, -65.46670,   1.29351,   2.74140, -25.31090,  13.79030,   5.46407,  -5.15365,-167.84800,  -8.51158,   8.72858,  -0.04235,   0.10754,  32.58520,  -5.45752,   0.51703, -73.34290,   0.07950,  -0.12793, -18.84080, 172.91100,   7.19689,-173.06800,   0.00446,   0.05148,  32.19840,  -4.93381,   1.31275, -73.62870,   0.17719,  -0.20400, -18.56110
   0.26667,   0.00000,   0.00000,  -0.00000,  88.29200,  -5.16696,  19.76220,  82.66920,  85.85110, -83.79600,   0.45548,  -0.98661,  -2.24798,   4.34231,   2.34534,  -0.80058,  -8.73809,   5.62057, -18.01700, -86.39210,  -8.18823, -81.11960,  -9.43128, -69.56110, -48.20230, -10.05500, -14.82640, -34.71630,  20.16430,   5.65180, -15.18520,  93.12170,  -9.10120, -85.97620, -23.82260, -76.29000, -61.57690,   1.60688,   4.21935, -20.89120,  13.87820,   5.42043,  -3.61513,-167.82000,  -8.74031,   8.63072,  -0.03673,   0.09872,  32.58270,  -5.37029,   0.61946, -73.28970,   0.08020,  -0.12910, -18.86130, 172.89900,   7.18242,-173.18500,   0.00340,   0.05309,  32.13590,  -4.97778,   1.36833, -73.52630,   0.17430,  -0.20055, -18.52790
   0.30000,   0.00000,   0.00000,  -0.00000,  88.28870,  -5.22817,  19.67610,  82.77890,  85.81430, -83.92460,   0.53042,  -0.97964,  -2.28536,   4.53310,   2.39006,  -0.83637,  -9.53467,   5.77482, -17.96840, -86.42420,  -8.12215, -81.14000,  -7.21681, -70.22780, -43.97940,  -7.75605, -14.15900, -29.10450,  20.25980,   5.63762, -13.93800,  93.00300,  -8.84880, -86.16890, -23.40340, -77.83500, -58.43620,   1.63504,   5.74576, -15.93700,  14.13770,   5.37063,  -2.01162,-167.81100,  -8.81919,   8.63090,  -0.03986,   0.10362,  32.59080,  -5.47978,   0.67893, -73.16110,   0.07717,  -0.12403, -18.77240, 172.85500,   7.18427,-173.23300,   0.00879,   0.04472,  32.13230,  -5.00713,   1.44793, -73.23070,   0.16793,  -0.19297, -18.45510
