time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.86910,  -3.31738,   5.16933,  49.73730,  89.01840, -50.88130,  -6.27881,  -1.12673,  -2.35285,   3.04014,  -4.20848,   5.47350,  -5.29940,  -2.45249,   2.60616, -79.59550, -19.32680, -75.97810, -41.53770, -77.37040,-102.70800, -10.99470, -18.55040, -31.41200,  17.42470,   5.61208, -12.09300,  95.65620, -15.03710, -84.10580, -62.13280, -73.60830,-119.76100,  -3.64025,  -4.65230, -38.10110,  12.18430,   5.43757,  -4.20063,-158.14000, -33.45350,  -4.63264,   0.07085,  -0.09142,  29.60950, -10.95610,   3.07671, -55.73620,  -0.16867,  -0.27638, -17.53030, 158.91100,  32.32660, 176.15100,   0.08702,  -0.12146,  27.59510, -10.62380,   3.27599, -56.71050,  -1.11168,  -1.25247, -17.03170
   0.03333,   0.00000,   0.00000,  -0.00000,  89.89490,  -3.04727,   5.27324,  50.14700,  89.00150, -51.26580,  -6.24385,  -1.14099,  -2.30288,   3.13412,  -4.19294,   5.54601,  -5.38976,  -2.32901,   2.65499, -79.68590, -19.10580, -75.92580, -40.39220, -77.30500,-100.90300, -11.04910, -18.86260, -31.13180,  17.65220,   5.61367, -12.19430,  95.64760, -14.90360, -83.96800, -63.82520, -73.22950,-121.50100,  -3.68523,  -4.85581, -37.25950,  11.86930,   5.43902,  -4.25197,-158.17900, -33.39020,  -4.83599,   0.07376,  -0.09586,  29.79650, -10.90930,   3.31482, -55.75410,  -0.12641,  -0.22336, -17.46030, 158.82000,  32.36810, 176.11400,   0.08463,  -0.11522,  27.91620, -10.81300,   3.19273, -56.85340,  -1.14237,  -1.27933, -16.98580
   0.06667,   0.00000,   0.00000,  -0.00000,  89.90650,  -2.79135,   5.44625,  52.51460,  88.96210, -53.62770,  -6.12960,  -1.12636,  -2.28946,   3.08516,  -4.28914,   5.66644,  -5.33102,  -2.37715,   2.77852, -79.82360, -18.72950, -75.79330, -34.54330, -77.12170, -93.63090, -11.81360, -20.25160, -31.14300,  17.77700,   5.61916, -12.56470,  95.54280, -14.59200, -83.93330, -63.75800, -73.18930,-120.31600,  -3.99634,  -5.45652, -36.29740,  12.02490,   5.43871,  -4.24086,-158.11700, -33.41550,  -4.95391,   0.07644,  -0.09949,  30.04100, -10.88650,   3.67951, -55.81110,  -0.04253,  -0.11848, -17.32670, 158.68300,  32.42020, 176.15800,   0.08207,  -0.10866,  28.27510, -11.03750,   3.17071, -57.01940,  -1.14891,  -1.28228, -16.95390
   0.10000,   0.00000,   0.00000,  -0.00000,  89.88440,  -2.48381,   5.68204,  55.61750,  88.89600, -56.71450,  -5.95419,  -1.11379,  -2.25475,   3.00616,  -4.39063,   5.61014,  -5.33745,  -2.63862,   2.91817, -80.16980, -18.09540, -75.84430, -24.33450, -76.38520, -81.51600, -12.22300, -21.22730, -30.89240,  17.56150,   5.61919, -12.56460,  95.31910, -14.11530, -84.10490, -60.06620, -73.94270,-114.63500,  -4.29169,  -6.11601, -35.15280,  12.14330,   5.44033,  -4.29710,-158.00900, -33.33070,  -5.04327,   0.07900,  -0.10272,  30.31350, -10.87630,   3.96687, -55.89680,   0.02393,  -0.03736, -17.24430, 158.52200,  32.53350, 176.29000,   0.08175,  -0.10588,  28.66510, -11.19440,   3.17408, -57.21930,  -1.13351,  -1.26216, -16.92770
   0.13333,   0.00000,   0.00000,  -0.00000,  89.87400,  -2.21373,   5.88173,  59.02120,  88.84370, -60.11690,  -5.79312,  -1.05912,  -2.24750,   2.87217,  -4.43319,   5.41161,  -5.30908,  -2.92712,   3.11177, -80.67590, -17.20990, -75.97280, -13.80090, -74.57360, -68.63950, -12.54820, -22.06610, -30.64580,  17.39940,   5.61696, -12.41380,  94.97140, -13.31890, -84.31380, -52.61370, -74.74790,-104.48300,  -4.54743,  -6.77163, -33.99470,  12.18830,   5.43876,  -4.24259,-157.95200, -33.19000,  -5.17991,   0.08253,  -0.10744,  30.59890, -10.83360,   4.18252, -55.95360,   0.02403,  -0.03751, -17.24670, 158.41600,  32.57210, 176.34200,   0.08498,  -0.10936,  29.08050, -11.20150,   3.11077, -57.47190,  -1.11077,  -1.23326, -16.89860
   0.16667,   0.00000,   0.00000,  -0.00000,  89.86190,  -1.94631,   6.06283,  61.54960,  88.80820, -62.64720,  -5.67954,  -1.00534,  -2.24741,   2.80423,  -4.38685,   5.11838,  -5.33887,  -3.23082,   3.24154, -81.28500, -16.24270, -76.27550,  -6.50869, -71.75880, -58.13600, -13.44120, -23.35310, -31.08620,  17.10720,   5.61564, -12.32740,  94.46430, -12.09200, -84.55940, -41.92450, -74.89150, -90.57940,  -4.70174,  -7.27540, -32.99590,  12.18380,   5.43311,  -4.04670,-157.88400, -33.10190,  -5.29366,   0.08524,  -0.11105,  30.83210, -10.85890,   4.42193, -55.97080,   0.02425,  -0.03782, -17.25240, 158.27400,  32.78310, 176.40600,   0.08960,  -0.11527,  29.47610, -11.18220,   3.16615, -57.65100,  -1.08649,  -1.20674, -16.89500
   0.20000,   0.00000,   0.00000,  -0.00000,  89.79800,  -1.76358,   6.19056,  62.56030,  88.78760, -63.61020,  -5.62277,  -0.99336,  -2.15076,   2.74745,  -4.27721,   4.72637,  -5.31299,  -3.42712,   3.19565, -82.13090, -14.99940, -76.89650,  -2.59552, -68.43520, -50.31360, -14.52350, -24.70170, -31.79490,  16.93480,   5.61463, -12.26080,  93.90900, -10.90770, -85.14500, -28.42850, -74.16970, -72.91950,  -5.05454,  -7.95042, -32.59170,  12.07920,   5.43345,  -4.05914,-157.73200, -33.24240,  -5.41394,   0.08910,  -0.11636,  31.07490, -10.86800,   4.80035, -55.95170,   0.02500,  -0.03901, -17.27330, 158.23500,  32.98520, 176.40100,   0.09271,  -0.11878,  29.80910, -11.18130,   3.26583, -57.77690,  -1.10104,  -1.21793, -16.86240
   0.23333,   0.00000,   0.00000,  -0.00000,  89.73810,  -1.65468,   6.26019,  62.94070,  88.77970, -63.99040,  -5.60126,  -0.98644,  -2.14994,   2.55748,  -4.26239,   4.45461,  -5.14685,  -3.72008,   3.32146, -83.07930, -13.44900, -77.44110,  -1.60381, -65.08570, -45.07550, -15.61930, -26.06290, -32.46900,  16.88040,   5.61453, -12.25310,  93.22050,  -9.36104, -85.91950, -15.69420, -71.97740, -55.33040,  -5.41806,  -8.54863, -32.53490,  11.73060,   5.43339,  -4.05593,-157.63000, -33.33270,  -5.55230,   0.09228,  -0.12078,  31.26360, -10.86900,   5.02586, -55.96840,   0.02242,  -0.03493, -17.20080, 158.24600,  33.18850, 176.33000,   0.09626,  -0.12333,  30.08620, -11.13730,   3.39309, -57.87950,  -1.09210,  -1.20429, -16.83610
   0.26667,   0.00000,   0.00000,  -0.00000,  89.73020,  -1.51894,   6.31477,  62.64160,  88.79390, -63.72730,  -5.63251,  -0.98023,  -2.22189,   2.15073,  -4.25746,   3.94519,  -4.46967,  -4.28258,   3.61533, -84.07330, -11.94090, -78.35630,  -1.57574, -61.68540, -39.67340, -17.20240, -27.61990, -33.73470,  16.84120,   5.61307, -12.15730,  92.45440,  -7.45089, -86.71140,  -7.55430, -68.61500, -41.70760,  -6.13654,  -9.57935, -32.86000,  11.46220,   5.43620,  -4.15284,-157.58400, -33.40420,  -5.69429,   0.09502,  -0.12463,  31.41720, -10.92260,   5.23315, -55.92710,   0.02367,  -0.03694, -17.23650, 158.19500,  33.42620, 176.27800,   0.09934,  -0.12702,  30.36460, -11.17930,   3.53690, -58.01220,  -1.05060,  -1.15648, -16.81690
   0.30000,   0.00000,   0.00000,  -0.00000,  89.63940,  -1.56655,   6.41235,  63.14630,  88.79990, -64.17250,  -5.63295,  -0.96284,  -2.10192,   1.67082,  -4.15487,   3.43522,  -3.73141,  -4.72519,   3.60155, -85.09180, -10.27240, -79.28740,  -2.53256, -58.13380, -34.15980, -19.66640, -30.00550, -35.55160,  16.93200,   5.61558, -12.32060,  91.76950,  -5.71440, -87.76480,  -3.28254, -64.97070, -30.91160,  -7.27045, -11.05110, -33.64180,  11.07260,   5.43445,  -4.09272,-157.33000, -33.64700,  -5.68428,   0.09767,  -0.12797,  31.62640, -11.01730,   5.49130, -55.95050,   0.02326,  -0.03628, -17.22510, 158.26100,  33.49060, 176.19700,   0.10239,  -0.13037,  30.64940, -11.16590,   3.69297, -58.17090,  -1.03340,  -1.12938, -16.76370
