time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.44850,  -2.59208,   2.52801,  85.29520,  88.85110, -85.26620,  -5.47597,  -0.19159,   0.04886,  -3.20483,  -1.38423,   2.15497,  -7.49021,  -0.28538,  -2.24900, -82.22700, -16.68780, -79.57530, -47.67440, -78.32370,-119.19400,  -3.36682,  -6.74384, -26.60860,  21.97550,   5.63308, -13.57230,  98.72130, -18.49920, -79.19750, -93.35500, -65.06440,-163.11600,   1.77174,   2.50248, -35.32550,  17.49480,   5.52396,  -7.53203,-174.33800,  -5.15795,   3.53273,   0.00069,   0.00796,   6.60904,  -3.39762,   2.23132, -56.51260,  -0.11185,  -0.21134, -17.52890, 172.83600,  16.45690,-177.02100,   0.00745,  -0.01163,   8.22104,  -2.01192,   9.86866, -57.64420,   0.08580,  -0.09699, -17.52620
   0.03333,   0.00000,   0.00000,  -0.00000,  90.45030,  -2.53764,   2.38837,  82.29500,  88.86900, -82.30160,  -5.52464,  -0.30213,  -0.02780,  -3.34449,  -1.52523,   2.12786,  -7.39674,  -0.53363,  -1.99757, -82.06710, -17.06340, -79.59800, -51.14260, -78.04700,-122.38100,  -2.74730,  -6.05462, -24.46340,  21.45160,   5.62359, -12.87100,  98.89950, -18.71910, -78.99210, -95.92210, -64.83340,-165.04000,   0.79323,   1.25859, -32.23960,  17.02560,   5.52001,  -7.36211,-174.32600,  -5.28271,   3.37232,   0.00078,   0.00697,   6.48996,  -3.33192,   2.38311, -56.22900,  -0.13413,  -0.24640, -17.65140, 172.95000,  16.32720,-177.19900,   0.00764,  -0.01295,   8.14578,  -1.92914,   9.63472, -57.45520,   0.08338,  -0.09421, -17.49910
   0.06667,   0.00000,   0.00000,  -0.00000,  90.45590,  -2.54776,   2.26785,  78.32190,  88.88390, -78.34640,  -5.58028,  -0.44841,  -0.07096,  -3.36496,  -1.61576,   2.02012,  -7.30595,  -0.79967,  -1.79858, -82.07730, -17.09170, -79.66230, -49.83910, -78.66860,-119.41300,  -2.64803,  -6.72131, -21.56450,  20.83620,   5.61331, -12.17040,  98.93240, -18.54920, -78.70720, -98.31350, -66.05870,-165.41100,  -0.08811,  -0.16498, -28.10750,  16.51180,   5.51167,  -7.01090,-174.33000,  -5.42458,   3.20367,   0.00089,   0.00593,   6.47940,  -3.26056,   2.49235, -56.07890,  -0.16077,  -0.28105, -17.71700, 173.02900,  16.24450,-177.37900,   0.00787,  -0.01465,   8.13535,  -1.84719,   9.53135, -57.35900,   0.08968,  -0.10146, -17.56970
   0.10000,   0.00000,   0.00000,  -0.00000,  90.40590,  -2.74952,   2.20969,  75.33790,  88.88170, -75.36320,  -5.60250,  -0.56245,  -0.07813,  -3.46490,  -1.67642,   1.96916,  -7.08424,  -0.90498,  -1.57488, -82.30610, -16.65910, -79.76780, -40.87940, -80.06620,-107.77700,  -2.30799,  -6.99715, -18.30790,  20.67630,   5.60559, -11.68280,  98.77620, -18.05940, -78.52670,-100.11000, -67.78030,-163.87600,  -0.43045,  -0.98112, -23.64430,  16.00350,   5.48772,  -6.04480,-174.25100,  -5.67949,   3.19209,   0.00074,   0.00631,   6.42277,  -3.29168,   2.53732, -56.04420,  -0.17471,  -0.29491, -17.70190, 173.11500,  16.19750,-177.46400,   0.00750,  -0.01384,   8.07236,  -1.86548,   9.70218, -57.26130,   0.08667,  -0.09800, -17.53590
   0.13333,   0.00000,   0.00000,  -0.00000,  90.35490,  -3.20961,   2.19828,  74.05230,  88.86240, -74.08220,  -5.57870,  -0.62086,  -0.09015,  -3.48152,  -1.63326,   1.99004,  -6.98034,  -0.84337,  -1.27691, -82.64990, -15.80480, -79.65730, -25.59180, -81.02290, -88.82600,  -2.06749,  -7.65093, -15.17390,  20.34320,   5.59402, -10.98890,  98.36730, -17.35120, -78.74770,-100.86500, -70.26710,-160.09000,  -0.49297,  -1.38963, -19.51970,  15.65550,   5.46110,  -5.04075,-174.17700,  -5.95387,   3.25679,   0.00091,   0.00581,   6.46193,  -3.32029,   2.39373, -56.12390,  -0.15329,  -0.27293, -17.71620, 173.18800,  15.97580,-177.50700,   0.00753,  -0.01312,   7.99067,  -1.90720,   9.92183, -57.20080,   0.08987,  -0.10168, -17.57180
   0.16667,   0.00000,   0.00000,  -0.00000,  90.28800,  -3.74780,   2.17732,  74.15510,  88.86180, -74.17140,  -5.57641,  -0.61882,  -0.06281,  -3.50690,  -1.56236,   2.07429,  -6.94332,  -0.70812,  -1.17963, -83.05980, -14.86630, -79.61810,  -1.63049, -80.44900, -60.03230,  -2.06876,  -9.52154, -12.32200,  19.55790,   5.58066, -10.24400,  97.75050, -16.50410, -79.40150, -97.88140, -74.75290,-152.06800,  -0.64699,  -2.35858, -15.32870,  15.69380,   5.43262,  -4.02827,-174.12200,  -6.07652,   3.34960,   0.00088,   0.00634,   6.47101,  -3.37672,   1.97440, -56.27070,  -0.15454,  -0.26932, -17.65850, 173.25700,  15.84850,-177.52600,   0.00718,  -0.01098,   7.84424,  -2.00235,  10.31410, -57.12220,   0.08712,  -0.09852, -17.54110
   0.20000,   0.00000,   0.00000,  -0.00000,  90.23450,  -4.27912,   2.14476,  77.12230,  88.86350, -77.11220,  -5.55040,  -0.50709,  -0.00425,  -3.62577,  -1.35634,   1.92182,  -6.97048,  -0.81563,  -1.03572, -83.57530, -13.84690, -79.80320,  19.81860, -76.82060, -32.99470,  -1.74299, -10.87090,  -9.16529,  18.75900,   5.56996,  -9.68259,  97.11350, -15.55420, -80.04310, -83.49900, -80.06880,-132.16000,  -0.46815,  -2.27278, -11.61460,  15.38720,   5.40260,  -3.02097,-174.07600,  -6.19680,   3.39555,   0.00090,   0.00587,   6.55048,  -3.42615,   1.56850, -56.44040,  -0.13616,  -0.24682, -17.62930, 173.31400,  15.71900,-177.57900,   0.00686,  -0.00990,   7.75391,  -2.07223,  10.69060, -57.09160,   0.08494,  -0.09601, -17.51670
   0.23333,   0.00000,   0.00000,  -0.00000,  90.17470,  -4.67766,   2.10212,  80.08510,  88.82770, -80.04750,  -5.45640,  -0.40752,   0.05597,  -3.83523,  -1.13352,   1.81720,  -7.22152,  -0.81501,  -0.87637, -84.10360, -12.80610, -80.01670,  27.75660, -72.06140, -18.72220,  -0.90733,  -9.03330,  -5.75231,  18.20690,   5.55508,  -8.94406,  96.54130, -14.57640, -80.50460, -47.83660, -82.54250, -90.53410,  -0.19287,  -1.36261,  -7.98860,  15.02860,   5.39290,  -2.70812,-174.02300,  -6.31942,   3.43613,   0.00086,   0.00565,   6.58187,  -3.43528,   1.29387, -56.55000,  -0.13166,  -0.24038, -17.61140, 173.38700,  15.56270,-177.62300,   0.00666,  -0.00933,   7.66658,  -2.10630,  10.95170, -57.03010,   0.08792,  -0.09944, -17.55000
   0.26667,   0.00000,   0.00000,  -0.00000,  90.14190,  -4.93078,   1.98347,  82.75630,  88.78330, -82.71370,  -5.35195,  -0.31135,   0.07067,  -3.80182,  -1.02519,   1.84641,  -7.68646,  -0.83789,  -0.84010, -84.74500, -11.59360, -80.40760,  28.84570, -68.66380, -11.26880,  -0.15024,  -5.08238,  -1.66792,  17.83710,   5.53992,  -8.23899,  95.83520, -13.41980, -81.23390, -23.30930, -81.76890, -60.01470,   0.03298,   0.49082,  -4.09444,  14.73340,   5.36950,  -1.97018,-173.99800,  -6.40833,   3.40220,   0.00102,   0.00517,   6.52236,  -3.45519,   1.14069, -56.56620,  -0.11970,  -0.22751, -17.61260, 173.47000,  15.42480,-177.72000,   0.00650,  -0.00911,   7.53740,  -2.14384,  11.04050, -56.96040,   0.08815,  -0.09971, -17.55270
   0.30000,   0.00000,   0.00000,  -0.00000,  90.11330,  -4.98650,   2.00724,  85.61570,  88.71770, -85.55720,  -5.20884,  -0.20250,   0.10805,  -3.89380,  -0.86793,   1.72018,  -7.68063,  -1.04772,  -0.76723, -85.41060, -10.36140, -80.94920,  27.43240, -67.73160,  -6.46622,  -0.25803,  -0.86355,   0.02428,  17.83950,   5.57597,  -7.47960,  95.12960, -12.18300, -81.95720, -21.92610, -82.04240, -53.17990,  -0.06425,   2.85366,   0.00603,  15.25510,   5.32946,  -0.44074,-173.92700,  -6.54665,   3.51967,   0.00099,   0.00604,   6.42914,  -3.60602,   1.22788, -56.65670,  -0.07889,  -0.17586, -17.53110, 173.49300,  15.36630,-177.65200,   0.00651,  -0.00797,   7.50967,  -2.20081,  11.06340, -57.06850,   0.08483,  -0.09590, -17.51550
   0.33333,   0.00000,   0.00000,  -0.00000,  90.12600,  -4.84570,   2.08325,  87.28080,  88.63320, -87.22410,  -5.03540,  -0.13586,   0.10749,  -3.74372,  -0.82799,   1.70881,  -7.67274,  -1.16999,  -0.89706, -86.14670,  -9.07499, -81.87660,  26.98200, -69.37720,  -1.11467,  -0.57039,   1.81634,   0.05368,  18.71450,   5.61964,  -5.96809,  94.44090, -10.95710, -82.77550, -28.00350, -83.72020, -54.95730,  -0.56863,   3.02261,   0.05344,  17.85640,   5.38621,   1.34426,-173.90200,  -6.58022,   3.63438,   0.00068,   0.00686,   6.39927,  -3.62127,   1.41318, -56.77740,  -0.05564,  -0.14214, -17.43860, 173.44600,  15.36890,-177.50700,   0.00632,  -0.00645,   7.51578,  -2.25586,  10.94780, -57.23220,   0.07872,  -0.08887, -17.44700
   0.36667,   0.00000,   0.00000,  -0.00000,  90.18170,  -4.50446,   2.27100,  87.61130,  88.50210, -87.60510,  -4.77279,  -0.12542,   0.00710,  -3.41862,  -0.85468,   1.79208,  -7.78307,  -1.29768,  -0.92546, -86.75520,  -7.84321, -82.44000,  26.51420, -70.66870,   2.71614,  -0.82793,   1.50607,   0.07853,  19.75210,   5.68411,  -5.37871,  94.02020, -10.12870, -83.21630, -29.46200, -84.97790, -52.92220,  -0.94728,   1.12024,   0.08737,  20.74790,   5.41455,   3.66901,-173.89400,  -6.51419,   3.74116,   0.00081,   0.00733,   6.54177,  -3.70006,   1.74538, -56.97290,  -0.00128,  -0.07578, -17.36050, 173.28600,  15.21070,-177.37200,   0.00326,   0.01811,   7.81686,  -2.83059,  10.56440, -57.35290,   0.07801,  -0.08807, -17.43920
   0.40000,   0.00000,   0.00000,  -0.00000,  90.24840,  -3.96923,   2.48660,  86.99600,  88.41660, -87.02620,  -4.60358,  -0.16256,  -0.06692,  -2.93417,  -0.96184,   1.64931,  -7.70543,  -1.53371,  -0.79773, -87.21290,  -6.92028, -82.99890,  25.98200, -72.51270,   5.24005,  -0.94869,   0.99371,   0.08718,  20.72990,   5.72857,  -5.43382,  93.78480,  -9.58655, -83.33530, -33.68970, -86.19600, -54.29090,  -0.86470,   1.21385,   0.06077,  21.08830,   5.29058,   5.98889,-173.93700,  -6.27956,   3.85367,   0.00060,   0.00895,   6.65937,  -3.71197,   2.05337, -57.08560,  -0.00964,  -0.07846, -17.29200, 173.14100,  15.08290,-177.16200,   0.00170,   0.02779,   8.10561,  -2.97984,   9.96695, -57.59270,   0.07251,  -0.08175, -17.37750
   0.43333,   0.00000,   0.00000,  -0.00000,  90.35740,  -3.46697,   2.71510,  86.59870,  88.37850, -86.63890,  -4.52878,  -0.18795,  -0.08805,  -2.49563,  -1.03095,   1.61559,  -7.18864,  -1.62285,  -1.12233, -87.46770,  -6.35466, -83.22010,  23.08120, -73.86410,   3.26740,  -1.05760,  -1.20919,   0.09905,  21.45930,   5.76837,  -5.41857,  93.61990,  -9.13168, -83.26700, -25.02020, -85.82730, -46.08680,  -0.85613,   0.10235,   0.11370,  21.06480,   5.29798,   5.42547,-174.03400,  -6.12551,   3.96062,   0.00066,   0.00980,   6.87393,  -3.73862,   2.42582, -57.29440,   0.02558,  -0.03993, -17.29010, 172.84800,  15.27010,-176.94000,  -0.00044,   0.04333,   8.45059,  -3.34972,   9.76900, -57.81210,   0.07034,  -0.07928, -17.35330
   0.46667,   0.00000,   0.00000,  -0.00000,  90.46640,  -3.03633,   2.89165,  85.49350,  88.41770, -85.58000,  -4.61149,  -0.23908,  -0.18280,  -1.91570,  -1.02547,   1.59657,  -6.66802,  -1.61514,  -1.05814, -87.46100,  -6.33833, -83.11450,  18.33940, -75.44780,  -2.77528,  -1.12264,  -1.50179,   0.11601,  21.42640,   5.77679,  -4.99058,  93.67590,  -9.15657, -83.01410, -42.31630, -85.69270, -65.67300,  -0.76034,  -0.09263,   0.07306,  21.29560,   5.26709,   5.60174,-174.14100,  -6.10897,   4.07873,   0.00041,   0.01182,   6.99002,  -3.67529,   2.83034, -57.42530,   0.02098,  -0.03441, -17.17920, 172.58800,  15.39180,-176.70000,  -0.00218,   0.05354,   8.63739,  -3.58770,   9.54310, -57.98070,   0.07212,  -0.08131, -17.37310
   0.50000,   0.00000,   0.00000,  -0.00000,  90.54870,  -2.70071,   3.07898,  84.82060,  88.45470, -84.95080,  -4.68849,  -0.26458,  -0.27153,  -1.63675,  -1.05117,   1.69542,  -6.09070,  -1.50284,  -1.13818, -87.26880,  -6.78579, -83.01430,  13.12950, -76.30770, -10.80430,  -1.04714,  -0.95444,   0.09998,  20.88510,   5.74900,  -4.85681,  93.92540,  -9.63387, -82.70520, -67.11060, -84.90760, -94.02060,  -0.64049,  -0.15104,   0.05967,  20.37200,   5.25345,   5.10521,-174.23700,  -5.93074,   4.13665,   0.00035,   0.01256,   7.24426,  -3.66215,   3.01410, -57.50760,   0.02126,  -0.04048, -17.24640, 172.40900,  15.43770,-176.47600,  -0.00154,   0.04996,   8.83448,  -3.47760,   9.28879, -58.20810,   0.07404,  -0.08351, -17.39460
