time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.47000,  -3.98195,  -0.72316, -88.83380,  82.76510,  85.66400,   3.98684,  -0.59360,   6.54640,   3.73675,   1.52769,   1.94508,  -0.94416,   3.15877,   0.39333, -87.72000,  -0.20169, -90.26120, -83.08600, -17.01250,   3.23290,   0.00005,  -0.00000, -23.63310,  -1.11098,  33.72020,  -4.33322,  92.43700,  -0.12446, -90.32820, -78.19330, -19.81210,   3.38053,  -0.00101,   0.00011, -23.63490,  -6.66935,  33.99480,  -1.42341,-176.47000,   7.61812,   0.89964,  -0.00000,   0.00000,  13.15790,  -1.33125,  -0.12992, -64.44060,  -0.00000,   0.00000, -16.58240,-174.16900,  -9.98072, 179.56300,   0.00002,  -0.00012,   9.31667,   3.17053,  -1.42406, -59.22840,  -0.00000,  -0.00000, -16.57870
   0.03333,   0.00000,   0.00000,  -0.00000,  87.66820,  -3.92549,  -0.67570, -88.88670,  82.90060,  85.93610,   3.92243,  -0.55069,   6.46252,   3.94404,   1.44912,   1.61805,  -0.98908,   2.90953,  -0.06603, -87.79030,  -0.10931, -89.84610, -82.51330, -19.05890,   4.54734,   0.00005,  -0.00000, -27.41180,  -0.82898,  33.73510,  -4.36761,  92.38260,  -0.35132, -90.25840, -77.94410, -23.10970,   4.09234,  -0.00101,   0.00012, -25.65180,  -5.24945,  31.93070,  -3.60129,-176.82900,   7.38559,   0.92040,  -0.00000,   0.00000,  13.23950,  -1.15888,   0.14348, -64.43660,   0.00000,   0.00000, -16.58240,-174.62800,  -8.93133, 179.16400,   0.00002,  -0.00012,  10.29250,   3.05962,  -0.42920, -60.20790,   0.00000,   0.00000, -16.57870
   0.06667,   0.00000,   0.00000,  -0.00000,  87.90700,  -3.88931,  -0.61118, -88.92190,  83.04930,  86.28020,   3.82471,  -0.49983,   6.29544,   4.18834,   1.39358,   1.14328,  -0.96422,   2.66271,  -0.58065, -87.90110,  -0.07160, -89.24800, -81.54930, -22.03140,   6.16048,   0.00005,  -0.00000, -32.29930,   0.85473,  32.62490,  -5.84853,  92.29940,  -0.66541, -90.13040, -77.44880, -27.30590,   5.05271,  -0.00100,   0.00013, -28.79440,  -2.49454,  27.68140,  -7.40501,-177.23200,   7.10451,   0.95138,  -0.00000,   0.00000,  13.32940,  -0.99817,   0.45732, -64.42460,   0.00000,   0.00000, -16.58240,-175.17700,  -7.41644, 178.76100,   0.00002,  -0.00012,  11.30690,   3.00438,   1.04675, -61.28480,   0.00000,   0.00000, -16.57870
   0.10000,   0.00000,   0.00000,  -0.00000,  88.19460,  -3.87438,  -0.52525, -88.94850,  83.17780,  86.63570,   3.71811,  -0.45034,   6.06372,   4.47302,   1.37072,   0.56316,  -0.85664,   2.46638,  -1.14676, -88.03210,  -0.19558, -88.52790, -80.20170, -25.94430,   7.94983,   0.00005,  -0.00000, -38.20900,   3.13736,  30.57720,  -8.05533,  92.20700,  -1.08465, -89.95360, -76.68660, -31.88120,   6.09793,  -0.00099,   0.00015, -32.97950,   1.06949,  21.13290, -12.20630,-177.70000,   6.88930,   1.04887,  -0.00000,   0.00000,  13.33690,  -0.88039,   0.70188, -64.36470,   0.00000,   0.00000, -16.58240,-175.78100,  -6.12407, 178.39700,   0.00002,  -0.00012,  12.28310,   2.86451,   2.34373, -62.18580,  -0.00000,  -0.00000, -16.57870
   0.13333,   0.00000,   0.00000,  -0.00000,  88.52060,  -3.87128,  -0.43334, -88.98270,  83.23860,  86.98440,   3.62284,  -0.40679,   5.77870,   4.80077,   1.38163,  -0.08013,  -0.66589,   2.34526,  -1.74480, -88.16070,  -0.51227, -87.72860, -78.50850, -30.59000,   9.58057,   0.00005,  -0.00000, -44.68130,   5.84438,  27.48090, -10.45810,  92.12330,  -1.60144, -89.76510, -75.66100, -36.45760,   7.03551,  -0.00098,   0.00017, -37.92650,   4.90642,  12.90980, -16.80570,-178.26600,   7.07725,   1.24289,  -0.00000,   0.00000,  13.18710,  -0.83105,   0.55446, -64.22300,   0.00000,   0.00000, -16.58240,-176.32100,  -6.37396, 178.10700,   0.00002,  -0.00012,  13.12910,   2.45035,   2.15456, -62.67440,   0.00000,   0.00000, -16.57870
   0.16667,   0.00000,   0.00000,  -0.00000,  88.86550,  -3.87822,  -0.36786, -89.07920,  83.19040,  87.39410,   3.54710,  -0.36247,   5.43920,   5.16872,   1.42022,  -0.76557,  -0.40950,   2.29301,  -2.34642, -88.27190,  -0.96700, -86.85970, -76.55310, -35.79900,  10.62590,   0.00005,  -0.00000, -51.16580,   8.78648,  22.12110, -12.63830,  92.05670,  -2.20773, -89.57960, -74.43290, -41.11650,   7.68225,  -0.00096,   0.00019, -43.42150,   8.33269,   2.54288, -19.62020,-178.91500,   7.70424,   1.50021,  -0.00000,   0.00000,  12.87940,  -0.83174,  -0.01621, -63.99030,   0.00000,  -0.00000, -16.58240,-176.76300,  -7.60621, 177.98600,   0.00002,  -0.00012,  13.62870,   2.22712,   0.94637, -62.96230,  -0.00000,  -0.00000, -16.57870
   0.20000,   0.00000,   0.00000,  -0.00000,  89.22640,  -3.90195,  -0.32927, -89.28210,  83.02730,  87.91560,   3.49323,  -0.30901,   5.04530,   5.57957,   1.47353,  -1.48761,  -0.10964,   2.28280,  -2.94131, -88.35550,  -1.51014, -85.94370, -74.64330, -41.37480,  10.78880,   0.00005,  -0.00000, -57.52240,  11.65080,  14.08640, -13.67890,  92.01090,  -2.89929, -89.36510, -73.27100, -46.07910,   7.72115,  -0.00094,   0.00021, -49.19900,  11.96190, -10.37790, -19.42960,-179.62400,   8.56843,   1.75323,  -0.00000,   0.00000,  12.54250,  -0.84854,  -0.82298, -63.71750,  -0.00000,  -0.00000, -16.58240,-177.19300,  -9.25846, 177.87400,   0.00003,  -0.00012,  14.07970,   1.95192,  -0.66246, -63.21010,   0.00000,  -0.00000, -16.57870
   0.23333,   0.00000,   0.00000,  -0.00000,  89.61770,  -3.94970,  -0.27708, -89.53040,  82.77890,  88.46430,   3.46483,  -0.25126,   4.60980,   6.05454,   1.52842,  -2.25159,   0.20639,   2.29008,  -3.53740, -88.40350,  -2.13184, -85.05360, -73.26270, -47.06670,   9.85770,   0.00005,  -0.00000, -63.94540,  15.30690,   5.29488, -12.85100,  91.98710,  -3.68464, -89.08260, -72.78250, -51.58070,   6.57758,  -0.00092,   0.00023, -55.02280,  17.28760, -24.51060, -15.08000, 179.61500,   9.36203,   2.00736,  -0.00000,   0.00000,  12.23540,  -0.83322,  -1.58989, -63.41920,   0.00000,   0.00000, -16.58240,-177.65100, -11.27970, 177.75400,   0.00003,  -0.00012,  14.59170,   1.46007,  -2.57899, -63.48120,  -0.00000,   0.00000, -16.57870
   0.26667,   0.00000,   0.00000,  -0.00000,  90.04230,  -4.03743,  -0.17048, -89.69070,  82.48190,  88.90000,   3.46107,  -0.20353,   4.14990,   6.61994,   1.57903,  -3.07913,   0.50463,   2.30484,  -4.14079, -88.41540,  -2.79330, -84.26380, -72.82820, -52.50470,   7.59221,   0.00004,  -0.00000, -70.37000,  19.87590,  -1.39165, -10.41960,  91.98200,  -4.59414, -88.73060, -73.81740, -57.33250,   3.53859,  -0.00089,   0.00024, -61.14330,  26.79820, -37.29340,  -3.93899, 178.81600,   9.79797,   2.31625,  -0.00000,   0.00000,  11.92620,  -0.74102,  -2.07244, -63.09130,   0.00000,   0.00000, -16.58240,-178.11700, -13.73260, 177.63700,   0.00003,  -0.00012,  15.22870,   0.76153,  -4.84929, -63.81670,  -0.00000,   0.00000, -16.57870
   0.30000,   0.00000,   0.00000,  -0.00000,  90.47930,  -4.19415,   0.00664, -89.68780,  82.16320,  89.18310,   3.47496,  -0.17189,   3.67652,   7.28033,   1.62306,  -3.98497,   0.76605,   2.33077,  -4.75839, -88.40040,  -3.39776, -83.58270, -73.57950, -57.11570,   3.85023,   0.00004,  -0.00000, -76.64870,  24.17240,  -4.77788,  -7.56106,  91.98960,  -5.63935, -88.35590, -77.23420, -62.39640,  -2.11690,  -0.00086,   0.00026, -67.74590,  40.95350, -44.23970,  14.07410, 178.01300,   9.73218,   2.83204,  -0.00000,   0.00000,  11.35110,  -0.55612,  -2.16841, -62.65720,  -0.00000,  -0.00000, -16.58240,-178.53800, -16.84740, 177.56100,   0.00003,  -0.00012,  15.96500,  -0.21384,  -7.66059, -64.23060,   0.00000,  -0.00000, -16.57870
