time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.20730, -14.36130,   0.23948,-118.01600,  85.78140, 120.11600,  -2.43937,   2.07342,  -0.45842,  -0.14513,   4.50876,  -0.44969,   3.97278,   4.75743,  -0.09080, -89.92950,   6.85635, -86.98720, -66.52290, -32.65780,   9.36100,  -0.00003,   0.00001, -18.77080,  11.54790,  45.55590,  -0.81970,  89.84250,   9.38405, -85.54450, -65.35390, -16.42230,  11.50020,   0.00119,  -0.00033, -25.34050,   8.10875,  35.35400,   3.82317, 179.43900,  -3.85675,  -1.38141,   0.00000,  -0.00000,   2.51283,   0.16609, -12.00890, -51.48960,   0.00000,   0.00000, -16.57750,-175.60800, -14.86120,-176.95800,  -0.00006,  -0.00000,   4.70051,  -0.38450, -36.90800, -58.46450,  -0.00000,  -0.00000, -16.57750
   0.03333,   0.00000,   0.00000,  -0.00000,  90.20920, -14.16390,   0.28678,-118.33600,  85.82700, 120.49400,  -2.39882,   2.07425,  -0.48934,  -0.22625,   4.49007,  -0.47347,   3.80909,   4.60156,  -0.10386, -89.93390,   6.84177, -86.94260, -66.43800, -32.58830,   9.43293,  -0.00003,   0.00001, -18.91810,  11.51860,  45.58830,  -0.87975,  89.82630,   9.42800, -85.49100, -65.03920, -16.38990,  11.79220,   0.00119,  -0.00033, -25.59360,   8.14091,  35.43140,   3.73127, 179.40300,  -3.80139,  -1.13020,   0.00000,  -0.00000,   2.47494,   0.17274, -11.86770, -51.67900,  -0.00776,  -0.03746, -16.57810,-175.58700, -14.77170,-176.70600,  -0.00006,   0.00000,   4.70051,  -0.80476, -36.99900, -58.91340,   0.01827,   0.12191, -16.54860
   0.06667,   0.00000,   0.00000,  -0.00000,  90.21360, -13.96560,   0.36164,-119.29100,  85.93040, 121.53000,  -2.32575,   2.08540,  -0.53455,  -0.36798,   4.46795,  -0.49967,   3.53479,   4.43083,  -0.13648, -89.94020,   6.84944, -86.90400, -66.26340, -32.47660,   9.51116,  -0.00003,   0.00001, -19.17260,  11.37160,  45.72820,  -0.94012,  89.80430,   9.51734, -85.44610, -64.56490, -16.25300,  12.10010,   0.00118,  -0.00033, -25.92100,   7.91604,  35.54260,   3.88162, 179.35600,  -3.76360,  -0.78468,   0.00000,  -0.00000,   2.36319,   0.19952, -11.72730, -51.85160,  -0.01808,  -0.08564, -16.58100,-175.57100, -14.71450,-176.39700,  -0.00003,  -0.00000,   4.70128,  -1.26703, -37.12980, -59.38330,   0.04220,   0.25833, -16.54850
   0.10000,   0.00000,   0.00000,  -0.00000,  90.21560, -13.76230,   0.42896,-121.12200,  86.11180, 123.44600,  -2.21613,   2.10185,  -0.58590,  -0.59163,   4.43294,  -0.52596,   3.10933,   4.26075,  -0.19199, -89.94470,   6.87171, -86.89230, -65.95530, -32.34560,   9.58322,  -0.00003,   0.00001, -19.49990,  11.17120,  45.99540,  -1.04521,  89.78180,   9.64738, -85.43470, -63.88390, -16.04000,  12.41750,   0.00118,  -0.00033, -26.30460,   7.46908,  35.79320,   4.21520, 179.30300,  -3.74959,  -0.39426,   0.00000,  -0.00000,   2.17561,   0.24254, -11.58700, -51.98900,  -0.02236,  -0.10227, -16.58620,-175.56400, -14.67820,-176.08400,  -0.00003,   0.00000,   4.70861,  -1.74249, -37.28830, -59.83240,   0.07116,   0.40311, -16.58050
   0.13333,   0.00000,   0.00000,  -0.00000,  90.21110, -13.54780,   0.46775,-124.19300,  86.38680, 126.60300,  -2.06891,   2.11634,  -0.64181,  -0.91250,   4.37999,  -0.54388,   2.52860,   4.10219,  -0.27251, -89.94830,   6.92559, -86.91640, -65.43440, -32.21000,   9.60921,  -0.00003,   0.00001, -19.79180,  10.94300,  46.41300,  -1.21514,  89.75990,   9.81859, -85.46240, -62.94460, -15.80820,  12.73910,   0.00117,  -0.00034, -26.73910,   6.78869,  36.31060,   4.70701, 179.24900,  -3.76189,   0.01867,   0.00000,  -0.00000,   1.90151,   0.29763, -11.44310, -52.08320,  -0.01585,  -0.06376, -16.59430,-175.57000, -14.64160,-175.79600,  -0.00003,  -0.00000,   4.72067,  -2.19951, -37.45140, -60.22070,   0.10021,   0.51889, -16.65810
   0.16667,   0.00000,   0.00000,  -0.00000,  90.19640, -13.31610,   0.45888,-128.98200,  86.74990, 131.46900,  -1.89225,   2.11867,  -0.69795,  -1.32205,   4.31590,  -0.54734,   1.80395,   3.96029,  -0.37440, -89.95480,   7.03817, -86.97140, -64.61330, -32.08560,   9.57839,  -0.00003,   0.00001, -19.94940,  10.64430,  46.94630,  -1.39707,  89.73670,  10.03630, -85.51980, -61.69720, -15.55910,  13.11240,   0.00117,  -0.00034, -27.26190,   5.83201,  37.02350,   5.38505, 179.19500,  -3.77843,   0.44743,   0.00000,  -0.00000,   1.51327,   0.37237, -11.30080, -52.11790,  -0.00226,   0.01105, -16.60420,-175.59000, -14.59290,-175.54800,  -0.00003,   0.00000,   4.72217,  -2.64020, -37.60110, -60.54040,   0.12716,   0.59347, -16.78020
   0.20000,   0.00000,   0.00000,  -0.00000,  90.16690, -13.07400,   0.38513,-136.62500,  87.18520, 139.16600,  -1.69954,   2.10207,  -0.74302,  -1.79648,   4.25262,  -0.54075,   0.93382,   3.84155,  -0.48410, -89.96500,   7.21978, -87.05890, -63.44700, -31.97390,   9.53800,  -0.00003,   0.00001, -19.96480,  10.30770,  47.44940,  -1.56681,  89.71290,  10.30230, -85.60890, -60.10300, -15.21960,  13.62150,   0.00116,  -0.00035, -27.91300,   4.65004,  37.62130,   6.20944, 179.14800,  -3.77622,   0.96837,   0.00000,  -0.00000,   0.81686,   0.49195, -11.17300, -51.98490,   0.01277,   0.08397, -16.60190,-175.62300, -14.52480,-175.36600,  -0.00003,   0.00000,   4.70949,  -3.10039, -37.71300, -60.80790,   0.15489,   0.65231, -16.93310
   0.23333,   0.00000,   0.00000,  -0.00000,  90.12150, -12.84110,   0.22934,-149.71900,  87.64340, 152.28500,  -1.49658,   2.06602,  -0.76725,  -2.33003,   4.19862,  -0.53379,  -0.08696,   3.75723,  -0.59420, -89.97900,   7.46444, -87.16670, -61.96740, -31.86840,   9.53594,  -0.00003,   0.00001, -19.90370,  10.15440,  47.84090,  -1.90243,  89.68760,  10.62550, -85.72710, -58.19850, -14.91320,  14.22580,   0.00115,  -0.00036, -28.62820,   3.36524,  38.01660,   7.04076, 179.10900,  -3.76609,   1.45337,   0.00000,  -0.00000,   0.00065,   0.63163, -11.06540, -51.75450,   0.02841,   0.13750, -16.56950,-175.67600, -14.43980,-175.29000,  -0.00003,   0.00000,   4.70183,  -3.58676, -37.76200, -60.99830,   0.18602,   0.69548, -17.13960
   0.26667,   0.00000,   0.00000,  -0.00000,  90.07410, -12.63490,  -0.06367,-171.22000,  87.96450, 173.76500,  -1.28610,   2.01182,  -0.77077,  -2.94152,   4.15878,  -0.53455,  -1.25359,   3.72011,  -0.71146, -90.00020,   7.74725, -87.24940, -60.21550, -31.77610,   9.69360,  -0.00004,   0.00001, -19.90610,  10.38490,  48.23130,  -2.72937,  89.65640,  11.00480, -85.84780, -56.04420, -14.89380,  14.90520,   0.00114,  -0.00037, -29.36660,   2.03359,  38.32590,   7.81856, 179.05700,  -3.79069,   1.34286,   0.00000,  -0.00000,   0.00049,   0.70354, -10.96200, -51.84650,   0.04658,   0.18177, -16.50830,-175.78600, -14.38350,-175.40400,  -0.00003,  -0.00000,   4.70473,  -4.06012, -37.76990, -61.02860,   0.22054,   0.69721, -17.44110
   0.30000,   0.00000,   0.00000,  -0.00000,  90.04770, -12.46400,  -0.56724, 162.25000,  87.92690,-159.79100,  -1.06566,   1.94279,  -0.76570,  -3.63980,   4.13468,  -0.54586,  -2.58190,   3.73365,  -0.83408, -90.02510,   8.01804, -87.29500, -58.11160, -31.71730,  10.32520,  -0.00004,   0.00001, -20.21930,  11.10670,  48.71710,  -4.26145,  89.62590,  11.38650, -85.96370, -53.63830, -15.23200,  15.91730,   0.00113,  -0.00037, -30.25620,   0.82599,  38.43240,   8.61207, 178.96100,  -3.90152,   0.96814,   0.00000,  -0.00000,   0.00049,   0.80232, -10.81070, -51.81640,   0.06885,   0.23390, -16.43020,-175.99600, -14.42040,-175.78700,  -0.00003,  -0.00000,   4.70422,  -4.52154, -37.79750, -60.87480,   0.26073,   0.67557, -17.83130
