time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.65960, -14.53020,  -6.25317, 109.39200,  80.21510,-104.60600,  10.48510,   6.56625,   8.97050,  -6.29095,   3.66076,  -0.82869, -12.23850,   3.68176,  -7.37788, -91.69650,   6.26150, -89.80820, -67.18140,  18.59220,  12.70990,  -0.29333,  -0.40256, -36.23750,   7.49354,   5.61055, -12.55400,  89.56030,   9.53607,-102.37800, -49.91980,   5.58403, -30.52170,  11.45490,  -1.47236, -97.19320,  16.05780,   5.60607, -11.70110,-177.24500, -11.54450, -50.98220,   0.22719,   0.13774, 126.27500, -13.26140,   7.58397,   6.29754,   0.09144,  -0.14816, -19.19370,-177.02700,   1.57233, 157.77200,  -0.00953,   0.06052,  60.85740,   5.82156,   4.75422, -94.16360,   0.34721,  -0.41402, -20.54760
   0.03333,   0.00000,   0.00000,  -0.00000,  88.86760, -16.97180,  -8.49518, 117.94700,  80.92090,-115.18000,   8.14154,   8.48072,   4.93041,  -6.42918,   2.68476,   0.88240, -13.05360,   1.35047,  -6.25363, -91.60010,   5.03749, -87.34180, -65.69900,  25.96400,  26.47010,  16.95100,  18.00790, -44.58510,   7.05512,   5.65493, -15.49560,  89.94820,   1.43168,-102.83200, -57.08450,   6.24102, -41.88740,  10.29970,  -3.42348,-108.22100,  17.81910,   5.55874,  -9.15483, 177.49500,  -9.72758, -55.36360,   0.05194,  -0.00382, 112.92500,   0.73401,   5.88027, -17.77160,   0.11272,  -0.18494, -19.83200, 177.33000,   3.40770, 168.02200,   0.00456,   0.05105,  44.81220,   5.01509,  10.57520, -83.89550,   0.77399,  -1.01714, -25.97840
   0.06667,   0.00000,   0.00000,  -0.00000,  92.39130, -16.56600, -11.92280, 128.18700,  82.48090,-127.63400,   4.05312,   9.26529,   0.77849,  -5.91349,   1.00522,   1.03298, -12.04700,  -1.94741,  -5.03405, -90.26950,   0.79104, -86.16370, -68.63680,  26.97650,  37.85670,  12.83780,  11.07510, -49.91140,   3.79397,   5.63253, -13.35980,  90.30390,  -3.79156,-100.42500, -58.64460,   7.51175, -45.21660,  10.72220,  -5.92613,-118.56900,  13.86330,   5.48253,  -5.74093, 173.65200,  -3.92094, -56.22930,   0.02783,  -0.01897,  95.04970,   5.29935,  -2.36274, -33.79060,   0.08796,  -0.14225, -19.09050, 172.22300,   6.51317, 176.40500,   0.02846,  -0.00886,  25.12680,   2.34130,  13.08940, -57.45760,   1.67494,  -2.98387, -41.90940
   0.10000,   0.00000,   0.00000,  -0.00000,  93.74810, -16.59540, -15.20440, 141.35500,  83.33950,-142.36300,   0.66409,  10.46310,  -2.07932,  -5.57398,  -0.23776,   0.25453,  -9.19303,  -5.38721,  -3.69187, -88.37870,  -4.69267, -85.91750, -71.89230,  23.25650,  46.26280,   6.41829,   4.19417, -57.03040,   1.23204,   5.58937, -10.74370,  90.53620,  -5.60812, -99.52980, -57.22040,   7.34022, -43.90730,  10.56840,  -8.08406,-127.02300,  10.56250,   5.41207,  -3.33172, 174.31500,   0.35516, -54.31750,   0.06835,  -0.04169,  74.07130,   3.73588,   5.66040, -34.21720,   0.10974,  -0.17975, -19.74210, 167.96000,  19.73110,-178.11700,   0.03121,  -0.16456,   8.61350, -11.56450,  18.13090, -21.97690,   1.50681,  -2.48400, -38.03820
   0.13333,   0.00000,   0.00000,  -0.00000,  93.03670, -18.34280, -15.53790, 147.22400,  82.66330,-149.11200,   0.40819,  12.45510,  -3.82768,  -5.80449,  -0.38972,  -1.76310,  -6.73659,  -8.81259,  -1.23621, -86.53440,  -9.47751, -84.81040, -75.08990,  21.32010,  51.38620,   1.75461,   0.86181, -63.97240,   4.05797,   5.58240, -10.32300,  90.54950,  -5.50794, -99.29370, -53.09320,   6.80011, -42.10320,   6.56655,  -5.81471,-131.35700,  12.90670,   5.41065,  -3.28127, 176.12200,   0.52361, -47.55470,   0.09559,  -0.08878,  54.46640,   0.39815,  10.55430, -33.78940,   0.12023,  -0.19815, -20.06040, 165.28400,  20.75360,-174.26200,   0.06699,  -0.34593,   9.89202,  -7.13616,   7.34438, -17.76370,   0.39556,  -0.47657, -21.12870
   0.16667,   0.00000,   0.00000,  -0.00000,  90.41880, -19.82940, -13.69910, 146.38400,  81.79090,-148.00100,   1.56989,  13.75310,  -3.43372,  -4.86593,   0.86296,  -4.87238,  -6.03734, -10.95420,   0.42479, -85.26280, -11.83680, -83.00430, -76.64220,  20.25530,  54.27580,  -1.24145,  -0.51093, -67.62860,   4.69804,   5.57806, -10.09170,  90.53070,  -5.05630, -98.99990, -48.11090,   7.64549, -40.92520,   4.11398,  -3.52271,-130.50400,  14.72010,   5.41449,  -3.41439, 178.54900,  -1.61421, -38.45790,   0.08013,  -0.12277,  38.10290,  -0.34035,   4.51254, -34.73670,   0.11835,  -0.19485, -20.00330, 163.75700,  18.46360,-170.07500,   0.15627,  -0.43802,  18.42570,  -1.58199,   8.28838, -17.59700,   0.33343,  -0.39643, -20.38330
   0.20000,   0.00000,   0.00000,  -0.00000,  88.33350, -19.97520, -11.66640, 143.60600,  81.66060,-144.92000,   2.34826,  13.47820,  -2.91271,  -3.10019,   1.96348,  -6.49064,  -6.21463, -11.84070,   0.88134, -84.24270, -13.21930, -81.20810, -75.94650,  18.09310,  54.36470,   2.70547,   1.07850, -68.28140,   1.64514,   5.53725,  -8.07767,  90.50350,  -4.54168, -98.66670, -44.25830,   9.81698, -39.66050,   4.42061,  -3.26885,-126.43600,  14.28330,   5.39018,  -2.62060,-178.91100,  -3.45917, -30.24360,   0.03871,  -0.09750,  24.56650,  -1.44754,   1.62798, -38.52320,   0.12170,  -0.20076, -20.10530, 163.72500,  14.35860,-166.29500,   0.26945,  -0.48381,  27.68440,  -1.32563,  12.47620, -17.41220,   0.34234,  -0.40781, -20.48970
   0.23333,   0.00000,   0.00000,  -0.00000,  86.65300, -18.34930, -10.77480, 141.31700,  82.17880,-142.50300,   2.18751,  12.26020,  -2.61148,  -2.30903,   1.90658,  -6.73712,  -5.42655, -12.09090,   1.51154, -84.03490, -13.30660, -80.58290, -73.23910,  16.67610,  52.73480,  11.89300,   4.74850, -68.54420,  -0.99055,   5.47690,  -5.61092,  90.53600,  -4.23291, -97.77530, -42.62910,  13.45960, -37.45020,   6.54799,  -3.89948,-120.78700,  14.30600,   5.36579,  -1.85770,-176.45600,  -3.84879, -25.80420,   0.01250,  -0.03988,  15.62420,  -0.72487,   1.83906, -42.96300,   0.12817,  -0.21225, -20.30340, 164.91900,  12.40620,-163.94200,   0.42579,  -0.54351,  36.58460,  -3.39238,  13.51350, -15.51560,   0.32169,  -0.38152, -20.24380
   0.26667,   0.00000,   0.00000,  -0.00000,  85.26320, -16.64490, -11.25410, 142.03500,  82.93840,-143.42300,   1.08638,  11.21100,  -2.88755,  -2.18953,   1.03844,  -6.00260,  -4.16916, -11.93210,   2.64589, -84.59370, -12.12950, -80.75320, -68.98430,  16.75830,  49.81630,  19.10660,   7.84647, -68.49350,  -1.42453,   5.43351,  -4.06333,  90.55370,  -3.94172, -96.99650, -43.92590,  17.85730, -33.34000,   7.74368,  -3.60982,-114.86700,  15.17200,   5.34917,  -1.35545,-174.26300,  -3.57384, -24.79320,   0.00047,   0.01247,  11.32240,  -1.05716,  -1.07837, -48.70830,   0.12770,  -0.21143, -20.28930, 167.50400,  10.11540,-163.60900,   0.58087,  -0.56003,  44.60480,  -6.04594,   8.07151, -14.10140,   0.29513,  -0.34811, -19.93000
   0.30000,   0.00000,   0.00000,  -0.00000,  84.50610, -15.64240, -12.11270, 143.96500,  83.63440,-145.96100,  -0.08139,  10.42940,  -3.99029,  -2.71132,   0.11162,  -4.74660,  -2.96209, -11.68160,   4.36590, -85.61640,  -9.92350, -81.02000, -63.17250,  17.06790,  45.36630,  20.75410,   9.36360, -66.76320,   0.55883,   5.43237,  -4.01554,  90.40490,  -2.83266, -96.86290, -47.19550,  22.00570, -27.49650,   9.21106,  -3.19419,-108.97100,  16.63820,   5.33635,  -0.97281,-172.77100,  -4.37070, -26.00560,  -0.01702,   0.09709,  12.12870,  -4.54642,  -3.17593, -52.82990,   0.12337,  -0.20372, -20.15650, 169.78800,   8.05092,-165.23300,   0.74488,  -0.52801,  53.46970,  -5.64860,   3.24366, -12.81880,   0.28901,  -0.34045, -19.85800
