time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.24340,  -5.40034,   0.58838,  88.16420,  81.88460, -88.32180,   8.45599,  -0.51849,  -0.27654,  -6.47904,  -0.63646,   0.86908, -17.48960,  -3.84328,   4.56974, -92.05510,   7.93136, -90.40800, -64.91720,  -5.71909,   1.63026, -15.87330,  -9.49143, -59.88700,  23.02220,   5.68273, -20.95830,  89.48550,  12.60940,-102.64700, -57.54850,  -2.99864,   8.13090, -11.16960, -17.52070, -33.22410,  11.44530,   5.47428,  -5.50329,-172.60100, -28.11600, -16.60650,   0.15523,  -0.04827,  60.93610,  -3.62141,  -2.54211, -90.38100,   0.10741,  -0.17567, -19.67160, 166.56800,  20.57920, 133.73400,   1.70902,   0.78844, 115.26900,  -8.94549,  -6.29920, -29.36180,   0.14052,  -0.16060, -18.14320
   0.03333,   0.00000,   0.00000,  -0.00000,  86.44900,   2.50023,  -0.07451,  78.77520,  81.04240, -78.20950,   9.83710,  -3.45587,   1.42826,  -7.00954,  -2.41112,   0.03208, -19.48120,  -3.46205,   5.80297, -91.68590,   9.46998, -94.87280, -56.34290,  -9.86593, -29.06090, -20.57430,  -9.75835, -65.69100,  25.09160,   5.67770, -23.50080,  88.39760,  13.85160, -98.33080, -58.31600,  -0.83600,  25.67500,  -5.98396, -12.48090, -25.86570,  10.07540,   5.45182,  -4.69803,-169.96000, -21.83710, -12.44780,   0.11417,  -0.02586,  60.46930,  -4.81278,   0.59327, -93.36330,   0.12312,  -0.20328, -20.14900, 173.47100,  28.63140, 113.47300,   1.31081,   0.77423, 121.32100,  -3.76512, -10.00300, -36.62670,   0.16567,  -0.19029, -18.42920
   0.06667,   0.00000,   0.00000,  -0.00000,  85.77710,   7.10175,  -1.93089,  66.95650,  81.24160, -65.71310,   8.47349,  -6.81696,   2.99246,  -6.66137,  -3.65646,   0.02260, -18.28040,  -0.52970,   6.68279, -90.08060,   0.66500, -98.02930, -64.22850, -20.77610, -49.52760, -21.50530,  -5.56468, -76.14890,  25.69170,   5.67319, -24.29650,  87.40900,  11.18720, -91.85840, -63.67160,   3.24758,  41.19240,  -6.55256, -11.59280, -29.71110,   9.05619,   5.49113,  -6.21514,-164.40300, -22.16920,  -3.94899,   0.03009,   0.01543,  52.49260,  -5.68484,   7.50962, -92.56330,   0.15596,  -0.26276, -21.16980, 179.15200,  30.12170,  99.79240,   0.88398,   0.42485, 116.90900,  -6.33300,  -4.96361, -44.62770,   0.18181,  -0.20950, -18.61390
   0.10000,   0.00000,   0.00000,  -0.00000,  84.92050,   9.69895,  -4.54865,  47.25630,  81.04840, -44.31810,   5.80558, -12.17270,   6.50661,  -5.61971,  -2.05265,  -2.38977, -17.60370,   3.08907,   7.18175, -88.87220,  -7.16527, -96.05210, -69.47270, -29.18050, -57.43070, -34.45080,  -0.25835, -89.58180,  31.80880,   5.66908, -25.96160,  88.60660,   4.68332, -88.39720, -67.12170,   7.61502,  53.09390, -11.52330, -14.09100, -39.95810,   9.00822,   5.51229,  -7.02153,-160.17900, -20.88870,   3.43902,  -0.03456,   0.08413,  42.31780,  -8.86017,   9.80811, -79.76620,   0.39920,  -0.81221, -30.20560,-174.82700,  31.83940,  92.50000,   0.42108,   0.10278, 106.30400,  -7.96955,  -4.50027, -52.14250,   0.17037,  -0.19588, -18.48300
   0.13333,   0.00000,   0.00000,  -0.00000,  85.55170,   7.21145,  -4.71036,  41.06430,  80.99880, -37.49830,   4.60386, -13.64980,   7.70205,  -4.44573,   0.42220,  -2.69545, -16.08760,   5.14692,   5.95228, -87.97480,  -8.37932, -91.35790, -62.71170, -30.00760, -54.85610, -35.81200,   5.17901, -97.15120,  33.74940,   5.66084, -26.64280,  90.10530,  -0.42569, -90.93500, -67.47720,   3.35971,  60.63260,  -9.26215,  -8.82268, -46.73560,  11.17600,   5.52924,  -7.76397,-162.28700, -13.23860,   6.74618,   0.17106,  -0.15214,  39.82180, -11.80490,   0.48173, -52.82890,   0.60167,  -2.39368, -54.33690,-174.61000,  31.03680,  98.34970,   0.06371,  -0.01473,  91.48540, -14.26010,  -0.84828, -54.30160,   0.18050,  -0.20794, -18.59870
   0.16667,   0.00000,   0.00000,  -0.00000,  88.40510,   3.49867,   0.37219,  52.00830,  81.21580, -49.21660,   6.43938, -10.81580,   6.20062,  -3.75514,   0.76935,  -2.62026, -13.86920,   4.09884,   4.12886, -88.11740,  -7.57657, -91.00310, -57.66170, -19.60850, -41.09260, -23.64140,   5.92500,-103.27000,  26.88060,   5.68172, -22.03990,  90.10160,  -0.47719, -93.01260, -68.20510,  -0.65552,  60.61500, -17.54780, -13.67410, -53.21390,  15.13110,   5.54094,  -8.26152,-167.40300,  -7.00119,   8.47155,   0.60543,  -0.53205,  47.12060, -12.06460,  -9.63920, -26.63600,   0.32684,  -0.62259, -27.15660, 178.54500,  30.64540, 117.04400,  -0.01744,  -0.00441,  77.07190, -16.68320,   1.64042, -57.10380,   0.17881,  -0.20596, -18.57970
   0.20000,   0.00000,   0.00000,  -0.00000,  90.94860,   2.55077,   3.79979,  62.26870,  81.38210, -60.34570,   7.68412,  -7.99025,   4.38449,  -2.59453,  -0.61512,  -1.55256, -12.60940,   3.28189,   3.07625, -88.71390,  -6.09114, -93.05800, -58.05060,  -3.30349, -23.96120, -26.63870,   2.89041, -95.77220,  26.13040,   5.68190, -19.86740,  89.37300,   3.30105, -94.22230, -66.96640,   0.44228,  51.66180, -15.64220,  -9.01048, -60.79640,  16.25220,   5.58327, -10.39910,-169.63100,  -9.87161,  -0.98500,   1.19855,  -0.45210,  69.06930,  -4.08028,   2.04031, -16.50150,   0.10823,  -0.17710, -19.69650, 173.09100,  32.14370, 133.72600,   0.11617,  -0.05026,  65.69980, -14.68820,  -3.25212, -56.30340,   0.18482,  -0.21311, -18.64820
   0.23333,   0.00000,   0.00000,  -0.00000,  92.30810,  -0.09462,   5.59738,  72.68720,  81.75330, -71.41520,   8.05785,  -4.88392,   2.88687,  -1.88524,  -0.90672,  -0.74450, -10.81820,   2.47844,   2.31104, -89.55120,  -2.14455, -93.14950, -62.78140,   6.67935,  -6.69976, -28.99870,  -7.63571, -76.51010,  21.57530,   5.66978, -17.21880,  88.69610,   8.41984, -96.15290, -59.48730,   3.01305,  36.35930, -18.16530,  -6.14209, -71.92220,  18.78660,   5.61994, -12.54150,-170.02800, -16.49220, -15.11770,   1.91903,   0.07918,  92.46210,  -6.87942,  -1.89345, -19.19180,   0.11772,  -0.19372, -19.98390, 169.14300,  30.48730, 148.02700,   0.12870,  -0.06957,  56.98890, -17.32850,   0.92633, -52.40360,   0.22211,  -0.25808, -19.07800
   0.26667,   0.00000,   0.00000,  -0.00000,  92.99660,  -5.63964,   7.42357,  85.08520,  81.13630, -84.53600,   9.90620,  -1.49915,   1.22771,  -2.44880,   0.52518,   0.36923, -11.41130,   1.50156,   1.22001, -90.50460,   2.04675, -91.17780, -65.54460,  10.24270,   7.45413, -16.50260, -16.73190, -45.72910,  16.66880,   5.66175, -15.98080,  88.77410,  11.91980, -99.07760, -49.54530,   0.61019,  11.26550, -19.64250,  -3.27719, -80.90990,  25.45230,   5.64927, -14.86560,-171.83300, -25.79620, -33.97500,   2.11956,   0.83194, 111.77600,  -2.24927,  -4.12524, -17.70220,   0.10595,  -0.17314, -19.62790, 169.50900,  26.32620, 157.60300,   0.19521,  -0.08035,  57.38780,  -0.81163,  -0.49671, -74.74570,   0.18723,  -0.21598, -18.67580
   0.30000,   0.00000,   0.00000,  -0.00000,  93.28800, -13.28250,   7.01956,  98.40460,  80.66730, -98.52180,  10.71040,   2.70577,  -0.48803,  -3.16442,   2.29417,   0.88180, -12.96660,   1.37929,  -0.35854, -91.33850,   4.89942, -89.70440, -69.80450,  13.94120,  22.49600,  -3.30860, -11.77060, -15.56400,   7.79180,   5.60130, -11.16450,  89.51000,  12.91840,-102.81700, -42.55090,  -8.29784, -19.25570, -16.48440,  -0.51203, -88.28030,  30.91850,   5.64823, -14.84110,-177.65100, -34.16180, -57.93780,   1.96585,   1.24321, 122.78900,  -1.65910,  -3.23114, -20.94860,   0.09359,  -0.15183, -19.25740, 166.91400,  17.70830, 159.75600,  -0.35118,   0.22560,  63.80350,  -6.96663,   1.13662, -84.70340,   0.11071,  -0.12579, -17.80600
   0.33333,   0.00000,   0.00000,  -0.00000,  94.28420, -19.81440,   5.44191, 109.25400,  80.02310,-110.37800,  11.18940,   6.49632,  -2.88474,  -5.99207,   3.96102,   2.83605, -14.49410,   1.20512,  -2.26372, -91.33320,   3.82325, -85.73090, -75.47290,  10.28790,  39.25590,   2.12994,   9.53511, -12.66880,   7.03881,   5.59266, -10.91700,  90.24610,   8.64789,-106.64000, -47.54010, -21.90380, -49.54230, -12.53670,   1.10801, -95.00620,  30.28960,   5.65576, -15.58970, 174.72100, -35.13600, -77.27540,   1.45094,   0.88555, 122.13500,  -0.84421,   1.17446, -31.10360,   0.11195,  -0.18360, -19.80890, 161.58900,  14.32010, 164.01400,  -0.47646,   0.28108,  63.29830,  -9.33946,   7.11324, -89.61010,   0.14033,  -0.16037, -18.14100
   0.36667,   0.00000,   0.00000,  -0.00000,  94.65980, -17.15300,   3.48522, 120.98300,  80.30730,-122.40800,   9.08006,   9.91113,  -3.64118,  -5.32546,   0.94145,   3.87621, -14.20900,  -2.61765,  -2.55211, -89.51420,  -1.35434, -85.19030, -79.80500,   7.39399,  51.26430,  -1.45590,  -4.28235, -18.63710,   3.65131,   5.61291, -12.14550,  89.89010,   3.79432,-103.31600, -58.83160, -30.70260, -69.14300,  -9.88025,   2.61173,-104.61400,  31.55810,   5.63278, -13.65940, 172.72000, -27.92460, -84.98720,   0.87636,   0.32564, 111.68600,   2.15055,   0.55246, -40.22980,   0.10663,  -0.17433, -19.64840, 155.63000,  19.35870, 177.31400,   0.15107,  -0.07337,  52.53140,  -9.68506,  11.49800, -87.42590,   0.40366,  -0.48719, -21.22690
