time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.85370,  -2.35554, -12.54140,  95.97230,  78.32890, -95.79190,  15.45540,   2.40715,   0.03439,  -5.09650,  -6.68066,  -0.92150,   6.92380, -13.46350,   1.53320, -90.16290,   1.24805, -97.57430, -80.04230,  12.81180,  11.38070,  32.30130, -13.63760,-110.45300,  -4.88288,   4.60248,  14.88690,  89.82780,   3.42722,-102.13000, -69.08360,   0.93107,  11.16340,   9.40241,  -0.95022, -95.68410,  31.49580,   5.23370,   1.81698,-175.79300,   7.51288, -34.74840,  -0.77672,   0.03224,  86.38440,   8.58638,  -3.34176, -39.52160,   0.51517,  -0.63461, -22.53480,-167.59800,   8.25807, 161.87000,   0.14094,  -0.10032,  44.28060,   3.29078,  -5.38280, -83.88440,   0.50990,  -0.70258, -22.65620
   0.03333,   0.00000,   0.00000,  -0.00000,  88.07850,  -4.11838, -13.86470, 108.09700,  78.52670,-109.11900,  14.18540,   6.98739,  -2.91615,  -2.14873,  -4.43467,   0.60991,   9.18527, -11.78340,   1.77865, -90.36570,   1.97687, -94.52800, -77.00240,  14.70840,  17.10490,  31.37910, -13.80380,-111.36600,  -8.72373,   4.66176,  13.83610,  89.98790,   0.54471,-103.81300, -69.92590,  -4.82356,   6.85099,  17.38960,  -4.00747,-102.55600,  26.82950,   5.24603,   1.54191,-179.81100,   7.17094, -41.48970,  -0.60883,   0.07951,  81.05650,   9.62985, -10.15780, -45.68370,   0.43230,  -0.52299, -21.52230,-172.91700,   6.96614, 168.23400,   0.04353,  -0.01594,  34.97110,   1.66049,  -4.01171, -73.17050,   1.29966,  -1.47505, -30.87970
   0.06667,   0.00000,   0.00000,  -0.00000,  91.80660,  -6.28162, -17.27380, 120.20900,  78.92950,-122.65700,  11.76750,  10.96420,  -6.04059,   0.78400,  -1.19595,   2.55581,  12.50650,  -9.55393,   1.99850, -90.56230,   2.21391, -90.74100, -72.84910,  16.37830,  20.99600,  30.51020, -14.13740,-112.51300,  -7.93977,   4.67493,  13.60200,  89.98450,  -2.25608,-105.38200, -69.41460,  -7.84521,   4.92787,  20.74390,  -7.37382,-108.71800,  27.44320,   5.20600,   2.55361, 175.87300,   7.02488, -47.24800,  -0.41221,   0.14544,  68.60860,  10.54870, -15.18000, -49.44880,   0.42405,  -0.51213, -21.42300,-178.52100,   6.87817, 171.68600,   0.00712,  -0.00348,  24.64800,   2.42925,  -3.00415, -58.00440,   2.12118,  -3.24025, -38.21280
   0.10000,   0.00000,   0.00000,  -0.00000,  94.06110,  -7.10625, -20.36260, 129.75500,  79.06690,-133.11100,   9.67352,  13.84970,  -7.91008,   2.88453,   1.76258,   4.19823,  15.95390,  -6.61969,   3.99398, -90.34360,   1.12538, -88.00490, -69.71250,  15.46840,  23.98460,  29.09480, -14.63290,-114.41800,  -4.71243,   4.63918,  14.22640,  89.88800,  -4.00294,-106.60100, -67.64260,  -8.63315,   4.57591,  17.00880,  -8.06601,-114.65200,  31.29750,   5.24999,   1.44768, 174.16400,   7.79447, -49.43690,  -0.20382,   0.14796,  51.28370,   9.89435, -15.66180, -53.37400,   0.43773,  -0.53019, -21.58810, 178.14700,   8.82826, 173.95700,   0.00623,   0.00853,  16.02020,   4.07876,  -0.84042, -41.24120,   2.49000,  -4.29138, -44.39300
   0.13333,   0.00000,   0.00000,  -0.00000,  93.42520,  -6.22702, -20.32400, 133.85200,  78.38430,-136.72600,   9.67804,  15.95750,  -7.13330,   3.87638,   4.21249,   5.26146,  17.66160,  -2.90252,   5.55686, -90.01620,   0.05096, -87.39910, -68.00110,  11.80950,  27.03650,  23.76140, -13.26200,-117.52700,   2.54816,   4.53091,  16.02190,  89.82020,  -5.18396,-106.99000, -65.89400,  -8.53663,   4.52119,  12.04150,  -7.19378,-120.42200,  32.46870,   5.38103,  -2.35206, 175.94900,   8.22801, -45.75140,  -0.06721,   0.08375,  33.18540,   7.88976, -11.52280, -57.05580,   0.45666,  -0.55538, -21.81750, 178.21100,   8.72375, 177.00100,   0.01008,  -0.00469,  14.91760,   3.89638,  -2.17967, -33.16590,   1.50247,  -1.98769, -30.45710
   0.16667,   0.00000,   0.00000,  -0.00000,  92.04070,  -5.04595, -18.50380, 133.44500,  77.61600,-135.16400,  10.82070,  16.86920,  -5.06284,   4.81424,   6.72310,   6.18465,  17.26990,   1.34005,   4.49516, -90.14660,   0.47918, -87.98120, -67.80940,   8.33871,  29.69890,  16.61520, -10.15240,-120.57400,  17.04970,   4.38172,  18.46510,  89.90680,  -5.44063,-105.98200, -64.35830,  -6.35751,   4.22761,  10.51680,  -7.55221,-125.29400,  31.11920,   5.48624,  -5.99106, 176.96400,   7.07661, -40.76240,  -0.01752,   0.02587,  21.84160,   5.56614,  -7.97154, -59.57030,   0.44082,  -0.53429, -21.62540, 179.85300,   3.60751, 178.86300,  -0.01654,   0.03841,  22.05930,   2.59491,  -8.13309, -31.31520,   0.59816,  -0.67575, -21.59710
   0.20000,   0.00000,   0.00000,  -0.00000,  91.10710,  -3.69679, -16.13700, 129.15100,  77.37200,-129.81400,  12.25140,  15.77970,  -3.03589,   5.59752,   9.33174,   6.69023,  17.03790,   5.93716,   2.77320, -90.42250,   1.46510, -88.90770, -69.42670,   5.22713,  30.59100,  14.09290,  -8.80390,-121.36900,  34.99140,   4.47700,  17.10650,  90.06260,  -4.71615,-104.23600, -64.77110,  -1.39621,   3.93684,  11.36410,  -8.70404,-126.97700,  32.38920,   5.58544, -10.45520, 175.52200,   3.53170, -36.91400,  -0.01219,   0.02362,  20.88890,   0.48956,  -5.24718, -61.86860,   0.43880,  -0.53161, -21.60100,-178.18100,  -0.51005, 178.97000,  -0.06736,   0.13153,  34.06690,   1.40364,  -9.18587, -32.61770,   0.62174,  -0.70499, -21.80600
   0.23333,   0.00000,   0.00000,  -0.00000,  91.45180,  -2.10504, -13.54190, 120.87800,  77.69710,-121.20600,  13.62190,  12.47470,  -2.15439,   7.15727,  11.01350,   6.88849,  16.28870,  10.19060,   1.42065, -90.46010,   1.87477, -91.20110, -72.07520,   1.30925,  30.09890,  14.53320,  -8.71082,-120.29400,  49.34450,   4.71649,  12.95940,  90.13690,  -2.91303,-102.29200, -67.71530,   4.78789,   4.81817,  12.27600,  -8.60047,-124.49900,  34.63880,   5.63110, -13.42090, 171.94000,  -0.33309, -36.14800,   0.23419,  -0.38609,  29.92610,   6.85429,  -2.10072, -57.87480,   0.44327,  -0.53755, -21.65520,-178.20200,  -0.67007, 175.85700,  -0.16680,   0.15443,  50.59870,   0.31701,  -8.15894, -31.55590,   0.59196,  -0.66812, -21.54240
   0.26667,   0.00000,   0.00000,  -0.00000,  95.46980,  -1.53700, -12.58090, 107.85700,  78.70590,-109.63900,  13.91300,   6.75304,  -4.39368,   9.55220,  11.07440,   6.14394,  16.01720,  13.13900,   0.95361, -90.61150,   3.08556, -93.78000, -72.90840,  -1.27699,  27.60270,  13.75190,  -7.59340,-118.36000,  55.25920,   4.74335,  12.36780,  89.93760,   0.69798, -99.99500, -70.44290,  10.00850,   7.45567,  15.02110,  -8.01773,-117.48400,  32.79780,   5.59544, -10.94940, 166.45900,  -0.77943, -36.57990,   0.29939,  -0.28570,  42.85120,   7.87830,  -2.44943, -69.43160,   0.04597,  -0.05141, -17.08010, 175.96500,   1.29807, 167.39400,  -0.24093,   0.09176,  69.43900,   0.59959,  -9.65733, -29.54740,   0.58238,  -0.65633, -21.45800
   0.30000,   0.00000,   0.00000,  -0.00000,  97.30330,  -0.56923, -11.11800,  93.51990,  78.63060, -96.04090,  14.96470,   1.21985,  -5.20592,   9.43485,   8.54508,   4.07520,  19.67710,  12.20570,   0.38450, -90.96810,   5.68270, -95.31060, -70.20440,  -0.73417,  19.06170,   6.06873,  -2.83050,-114.85400,  46.16410,   4.20625,  21.75880,  89.63160,   3.18527, -98.40620, -73.70930,  10.10780,  12.33100,  23.30720,  -6.46673,-104.68800,  28.30560,   5.48107,  -5.68198, 164.65800,  -0.36275, -32.08080,   0.32444,  -0.25151,  47.67420,   7.81467,  -2.94490, -77.04220,  -0.02598,   0.02123, -16.57620, 173.67800,   1.25857, 158.22300,  -0.36458,   0.02992,  84.04310,   1.98670, -13.48870, -29.24640,   0.57338,  -0.64528, -21.37870
