time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.75660,  -1.07267,  -0.24787,  71.52770,  87.78550, -72.20440,  -3.57319,  -1.33563,  -1.39557,  -1.57644,  -4.76666,   3.07037,  -4.75822,  -3.37958,   1.32223, -91.47310,   5.79033, -90.70040, -68.70640,  20.83400,  -1.27347,  -1.08811,  -4.17211, -14.63250,  15.11640,   5.51952,  -7.34083,  88.07460,  11.47440, -95.40840, -69.47020,  10.20090,   9.06216,   5.73292,  12.68560, -24.57210,   4.22771,   5.34239,  -1.15050,-176.06300,  -0.80360,  -8.71492,   0.01607,  -0.01744,  20.29980,  -1.30128,  -0.52290, -62.04080,   0.02724,  -0.04257, -17.33690, 177.70000,   9.78669, 171.04700,   0.00692,   0.02573,  20.06730,  -0.95150,   4.15013, -61.40870,   0.05863,  -0.06593, -17.22270
   0.03333,   0.00000,   0.00000,  -0.00000,  89.72100,  -0.96244,  -0.32253,  71.16800,  87.75590, -71.79950,  -3.52584,  -1.38580,  -1.30620,  -1.78563,  -4.71613,   2.99827,  -5.08256,  -3.34292,   1.40744, -91.50420,   5.87439, -90.60950, -68.51450,  20.16630,  -1.11582,  -1.12824,  -4.08655, -15.45020,  15.23390,   5.52012,  -7.36705,  88.03870,  11.53650, -95.28270, -69.14920,   9.33917,   9.29097,   5.77588,  12.33000, -25.35020,   4.22514,   5.33814,  -1.02419,-175.90000,  -0.78364,  -8.78162,   0.01537,  -0.01581,  20.21320,  -1.47513,  -0.42577, -61.93470,   0.02606,  -0.04070, -17.30370, 177.87200,   9.89123, 170.98400,   0.00804,   0.02251,  20.03180,  -0.83169,   4.13310, -61.40340,   0.05791,  -0.06511, -17.21470
   0.06667,   0.00000,   0.00000,  -0.00000,  89.71600,  -0.84723,  -0.39168,  70.72160,  87.71870, -71.32910,  -3.46717,  -1.44607,  -1.25912,  -2.08798,  -4.68576,   2.94745,  -5.38996,  -3.29204,   1.51684, -91.55030,   6.01883, -90.52660, -68.35790,  18.82670,  -0.49529,  -1.27876,  -4.05462, -17.52050,  15.52590,   5.52343,  -7.50860,  87.98920,  11.76570, -95.23010, -68.68930,   8.08256,   9.92358,   6.22009,  12.10530, -27.46610,   4.01102,   5.32623,  -0.67471,-175.75400,  -0.82392,  -8.81156,   0.01516,  -0.01563,  20.09320,  -1.55687,  -0.23431, -61.87710,   0.02673,  -0.04177, -17.32250, 178.02600,  10.03870, 170.89600,   0.00876,   0.01975,  20.07920,  -0.69262,   4.12725, -61.45110,   0.05978,  -0.06722, -17.23540
   0.10000,   0.00000,   0.00000,  -0.00000,  89.74680,  -0.67381,  -0.50958,  70.79220,  87.68720, -71.38270,  -3.40569,  -1.46350,  -1.22481,  -2.54848,  -4.68550,   2.88620,  -5.71887,  -3.29154,   1.51380, -91.57070,   6.06936, -90.46080, -68.41710,  16.66370,   0.47206,  -1.75662,  -4.56979, -21.04920,  15.42690,   5.52807,  -7.70968,  87.92240,  11.99100, -95.09490, -68.22050,   6.42792,  11.10790,   6.73285,  11.11690, -31.48490,   3.60499,   5.30838,  -0.16322,-175.63300,  -0.83793,  -8.91596,   0.01471,  -0.01467,  19.98600,  -1.69453,  -0.03315, -61.77870,   0.02726,  -0.04262, -17.33760, 178.17300,  10.11640, 170.72600,   0.01127,   0.01543,  20.19340,  -0.55562,   4.00613, -61.53830,   0.06113,  -0.06877, -17.25060
   0.13333,   0.00000,   0.00000,  -0.00000,  89.70890,  -0.35794,  -0.64909,  70.11860,  87.62900, -70.66400,  -3.31451,  -1.55910,  -1.13622,  -3.10064,  -4.65944,   2.82868,  -6.21763,  -3.29006,   1.47096, -91.57950,   6.02628, -90.28380, -68.69320,  14.22790,   1.70588,  -2.94345,  -6.04271, -26.02320,  15.65620,   5.54206,  -8.33589,  87.86370,  12.05720, -94.87540, -67.91540,   4.85290,  12.60900,   6.93402,   9.25878, -37.09400,   3.67887,   5.30055,   0.05743,-175.42200,  -0.75364,  -9.08821,   0.01438,  -0.01419,  19.91260,  -1.79866,   0.19980, -61.67180,   0.02643,  -0.04130, -17.31410, 178.40500,  10.30550, 170.58800,   0.01201,   0.01300,  20.20520,  -0.41399,   3.85535, -61.57570,   0.05508,  -0.06189, -17.18320
   0.16667,   0.00000,   0.00000,  -0.00000,  89.71100,  -0.06745,  -0.74663,  70.77130,  87.54760, -71.28750,  -3.14229,  -1.56549,  -1.07552,  -3.67714,  -4.63001,   2.77889,  -6.92690,  -3.31044,   1.44655, -91.57070,   5.92092, -90.11470, -69.05980,  11.86530,   3.02464,  -4.68251,  -7.46223, -32.22970,  16.04470,   5.55883,  -9.12727,  87.80510,  12.06420, -94.60880, -67.67350,   3.02078,  14.29380,   6.97448,   7.22993, -44.20400,   4.13400,   5.29966,   0.08101,-175.24200,  -0.75161,  -9.22953,   0.01367,  -0.01258,  19.86190,  -1.98033,   0.51529, -61.53020,   0.02749,  -0.04296, -17.34370, 178.59200,  10.50430, 170.46700,   0.01345,   0.00935,  20.28780,  -0.26255,   3.73864, -61.66030,   0.06190,  -0.06964, -17.25910
   0.20000,   0.00000,   0.00000,  -0.00000,  89.69910,   0.29542,  -0.89038,  70.36160,  87.46880, -70.84670,  -3.00547,  -1.65512,  -1.01396,  -4.30321,  -4.56649,   2.74651,  -7.58462,  -3.23640,   1.47735, -91.56370,   5.77720, -89.82700, -69.47340,  10.06660,   4.36305,  -6.71934,  -8.26913, -39.31520,  17.22370,   5.57709, -10.04710,  87.78730,  11.93500, -94.41720, -67.61670,   1.55121,  15.83340,   6.15105,   4.81508, -52.10700,   5.30186,   5.30090,   0.04751,-175.03900,  -0.73770,  -9.42088,   0.01287,  -0.01101,  19.74480,  -2.13494,   0.87414, -61.33770,   0.02670,  -0.04172, -17.32170, 178.81900,  10.83520, 170.31300,   0.01411,   0.00577,  20.29830,  -0.09143,   3.65706, -61.68890,   0.05527,  -0.06210, -17.18530
   0.23333,   0.00000,   0.00000,  -0.00000,  89.73130,   0.60965,  -1.04490,  70.62610,  87.39960, -71.10060,  -2.86704,  -1.68061,  -0.99112,  -4.89087,  -4.51225,   2.72388,  -8.28216,  -3.24273,   1.49452, -91.51130,   5.55125, -89.74510, -70.03620,   8.21303,   5.72507,  -8.19363,  -7.70169, -47.05270,  18.43520,   5.58866, -10.67900,  87.80520,  11.64350, -94.24760, -67.70920,   0.13472,  16.69710,   5.42713,   3.15815, -59.90490,   6.51376,   5.30065,   0.05301,-174.88800,  -0.92071,  -9.62948,   0.01240,  -0.01025,  19.61780,  -2.22060,   1.37678, -61.07600,   0.02898,  -0.04535, -17.38610, 179.00000,  11.13200, 170.12400,   0.01592,   0.00310,  20.31280,   0.07620,   3.60421, -61.69930,   0.05894,  -0.06627, -17.22610
   0.26667,   0.00000,   0.00000,  -0.00000,  89.77290,   0.91722,  -1.18029,  70.85460,  87.30770, -71.33910,  -2.68683,  -1.72119,  -1.00947,  -5.41494,  -4.44787,   2.68164,  -9.14238,  -3.21876,   1.60840, -91.43910,   5.27351, -89.71300, -70.65820,   6.37429,   7.10263,  -9.75716,  -6.74393, -55.66250,  19.15510,   5.59857, -11.25670,  87.85890,  11.44250, -94.32720, -67.61090,  -1.20827,  16.96060,   4.52905,   1.86389, -67.69860,   7.39815,   5.28171,   0.57751,-174.76300,  -1.14104,  -9.79456,   0.01143,  -0.00838,  19.42230,  -2.36405,   1.88406, -60.79280,   0.02864,  -0.04479, -17.37620, 179.15000,  11.45370, 169.95000,   0.01645,  -0.00007,  20.31850,   0.22589,   3.55271, -61.69300,   0.06200,  -0.06976, -17.26030
   0.30000,   0.00000,   0.00000,  -0.00000,  89.87560,   1.16414,  -1.37966,  71.98650,  87.24930, -72.49220,  -2.54179,  -1.65523,  -1.04815,  -5.92138,  -4.38065,   2.59109,  -9.91768,  -3.26075,   1.58023, -91.33220,   4.89617, -89.75940, -71.42310,   4.94900,   8.14690, -12.86720,  -6.21841, -64.61940,  19.20110,   5.60064, -11.38020,  87.94070,  11.26170, -94.56740, -67.24600,  -2.29382,  16.49410,   2.58770,   0.68475, -75.25100,   8.83098,   5.25517,   1.29247,-174.75300,  -1.46379, -10.09290,   0.01107,  -0.00766,  19.26990,  -2.43224,   2.41448, -60.37810,   0.03054,  -0.04784, -17.43020, 179.21300,  11.82980, 169.66700,   0.01735,  -0.00248,  20.29660,   0.35892,   3.66231, -61.61140,   0.06051,  -0.06807, -17.24370
