time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.02250,  -2.69930,   5.69180,  81.03180,  85.90070, -82.17120,   0.32161,  -1.20368,  -2.27382,  -0.29146,   0.10301,  -0.91320,  -7.39343,   2.28301, -13.15520, -92.06940,   8.13773, -90.68070, -69.46550,  22.59710,   0.61567,  -0.39910,  -1.73293, -12.97290,  13.95740,   5.54135,  -8.30435,  88.14650,  12.29310, -96.35780, -64.27070,  10.01100,   3.81184,   4.55102,  11.03890, -22.57810,   7.39691,   5.32324,  -0.58829,-175.96500,  -6.36594,  -1.05948,  -0.04463,   0.16141,  21.45150,  -3.89983,  -1.06375, -64.56920,   0.02331,  -0.03635, -17.22620, 172.62700,   8.54523, 178.11800,  -0.05029,   0.17898,  22.60620,  -4.06485,   2.47041, -64.58400,   0.06251,  -0.07034, -17.26590
   0.03333,   0.00000,   0.00000,  -0.00000,  91.00590,  -2.73749,   5.70488,  81.46740,  85.83060, -82.69720,   0.46946,  -1.15859,  -2.45296,  -0.52938,   0.04585,  -0.77184,  -8.22673,   2.33844, -12.94380, -92.07170,   8.16541, -90.71110, -70.13480,  22.55600,   1.35490,  -0.29697,  -1.34987, -12.41170,  13.53350,   5.53750,  -8.12869,  88.15070,  12.32110, -96.39580, -65.14000,  10.19680,   4.33769,   4.52602,  11.23400, -22.11800,   7.21254,   5.32261,  -0.57092,-175.97700,  -6.37792,  -1.04339,  -0.04472,   0.16105,  21.54750,  -3.87314,  -1.07353, -64.67080,   0.02202,  -0.03432, -17.19020, 172.55900,   8.74701, 178.17100,  -0.05001,   0.17872,  22.61910,  -4.05888,   2.72966, -64.60940,   0.07025,  -0.07919, -17.35240
   0.06667,   0.00000,   0.00000,  -0.00000,  90.98640,  -2.83206,   5.78552,  81.94330,  85.74660, -83.26740,   0.64558,  -1.10962,  -2.64000,  -0.74468,  -0.02937,  -0.57626,  -8.99878,   2.38687, -12.58720, -92.07640,   8.16863, -90.68590, -70.61770,  22.46230,   1.91053,  -0.22026,  -1.03918, -11.96760,  13.10270,   5.53403,  -7.97330,  88.17640,  12.35320, -96.53520, -66.09860,  10.49940,   4.92606,   4.54345,  11.51410, -21.71220,   6.97459,   5.32135,  -0.53447,-175.98000,  -6.42285,  -0.93960,  -0.04417,   0.15917,  21.63870,  -3.85673,  -1.13962, -64.78500,   0.02220,  -0.03461, -17.19520, 172.48600,   8.91324, 178.29300,  -0.05128,   0.18133,  22.62750,  -4.04590,   3.01408, -64.63630,   0.06605,  -0.07437, -17.30540
   0.10000,   0.00000,   0.00000,  -0.00000,  90.93990,  -2.95100,   5.86715,  82.46320,  85.65930, -83.87880,   0.82921,  -1.05260,  -2.82150,  -0.95042,  -0.09397,  -0.34711,  -9.74732,   2.34717, -12.13030, -92.07250,   8.15878, -90.69540, -70.86650,  22.39540,   2.32635,  -0.14241,  -0.68414, -11.76330,  12.82160,   5.53241,  -7.90079,  88.18190,  12.42190, -96.60600, -67.07740,  10.98010,   5.45477,   4.61222,  11.89350, -21.38180,   6.83647,   5.32007,  -0.49757,-175.94500,  -6.51463,  -0.82422,  -0.04467,   0.16063,  21.73960,  -3.83125,  -1.14791, -64.91430,   0.02207,  -0.03439, -17.19150, 172.42900,   9.04845, 178.44500,  -0.05199,   0.18331,  22.59520,  -4.04217,   3.31594, -64.65200,   0.07389,  -0.08336, -17.39310
   0.13333,   0.00000,   0.00000,  -0.00000,  90.91290,  -3.17032,   5.93620,  83.23830,  85.57660, -84.73530,   1.00881,  -0.95300,  -2.98316,  -1.10088,  -0.18992,  -0.14513, -10.57820,   2.30701, -11.69850, -92.07300,   8.15695, -90.68880, -70.90380,  22.43660,   2.53084,  -0.15235,  -0.73206, -11.76200,  12.73460,   5.53077,  -7.82878,  88.17770,  12.48620, -96.62870, -67.97760,  11.49970,   5.87870,   4.73462,  12.37640, -21.13200,   6.52938,   5.31853,  -0.45350,-175.96300,  -6.60049,  -0.71568,  -0.04359,   0.15725,  21.82600,  -3.81194,  -1.30147, -65.04070,   0.02180,  -0.03400, -17.18430, 172.35400,   9.13389, 178.53900,  -0.05252,   0.18499,  22.57460,  -4.04636,   3.61971, -64.64090,   0.07186,  -0.08100, -17.37020
   0.16667,   0.00000,   0.00000,  -0.00000,  90.88560,  -3.39212,   6.04586,  83.61750,  85.46660, -85.18480,   1.23411,  -0.91817,  -3.12217,  -1.15824,  -0.24483,   0.02769, -11.51310,   2.34674, -11.31240, -92.07060,   8.12605, -90.65220, -70.72920,  22.51820,   2.50174,  -0.18350,  -0.87033, -11.90720,  12.70790,   5.53068,  -7.82510,  88.18210,  12.54570, -96.68670, -68.78560,  11.85420,   6.15745,   4.88976,  12.88350, -20.99510,   6.12469,   5.32079,  -0.51802,-175.97500,  -6.71793,  -0.59407,  -0.04358,   0.15704,  21.96190,  -3.77771,  -1.40755, -65.18710,   0.02135,  -0.03327, -17.17140, 172.25500,   9.23554, 178.65200,  -0.05229,   0.18407,  22.58640,  -4.04271,   4.01440, -64.63820,   0.07449,  -0.08403, -17.39970
   0.20000,   0.00000,   0.00000,  -0.00000,  90.85780,  -3.67508,   6.13049,  83.95370,  85.36510, -85.57430,   1.44195,  -0.88655,  -3.22724,  -1.14262,  -0.24289,   0.09065, -12.44200,   2.40206, -10.93650, -92.06660,   8.10343, -90.64100, -70.36630,  22.54730,   2.25754,  -0.22713,  -1.05858, -12.11040,  12.80030,   5.53307,  -7.93086,  88.17920,  12.62090, -96.72170, -69.43260,  12.32800,   6.35794,   4.96768,  13.04360, -21.06710,   5.91879,   5.31865,  -0.45693,-176.00200,  -6.86507,  -0.48501,  -0.04311,   0.15550,  22.07290,  -3.72880,  -1.51817, -65.32200,   0.01991,  -0.03100, -17.13110, 172.13900,   9.36455, 178.74000,  -0.05295,   0.18585,  22.55930,  -4.05179,   4.44172, -64.59220,   0.07619,  -0.08596, -17.41860
   0.23333,   0.00000,   0.00000,  -0.00000,  90.86100,  -4.07565,   6.17366,  84.33260,  85.28880, -86.00320,   1.60054,  -0.84016,  -3.32639,  -1.04442,  -0.24555,   0.14203, -13.26650,   2.52554, -10.66640, -92.06310,   8.09592, -90.65180, -69.83620,  22.70290,   1.84424,  -0.26270,  -1.20362, -12.31710,  12.88100,   5.53416,  -7.97925,  88.17010,  12.71100, -96.73830, -69.86490,  12.79820,   6.38152,   4.99958,  13.08100, -21.13650,   5.67642,   5.32378,  -0.60464,-176.08300,  -7.14704,  -0.40588,  -0.04161,   0.15129,  22.15020,  -3.65560,  -1.66689, -65.43240,   0.01968,  -0.03063, -17.12450, 171.96600,   9.50168, 178.74300,  -0.05346,   0.18730,  22.51710,  -4.05502,   5.04210, -64.49030,   0.07483,  -0.08441, -17.40340
   0.26667,   0.00000,   0.00000,  -0.00000,  90.85510,  -4.54833,   6.28999,  84.39820,  85.21290, -86.09830,   1.75247,  -0.84488,  -3.38414,  -0.98366,  -0.16736,   0.16963, -13.70140,   2.72493, -10.52250, -92.07450,   8.12143, -90.61930, -69.20020,  22.86430,   1.36994,  -0.30301,  -1.36026, -12.56430,  12.99740,   5.53473,  -8.00438,  88.17690,  12.72150, -96.77540, -70.16910,  13.39730,   6.27911,   5.05783,  13.06360, -21.38740,   5.58654,   5.32247,  -0.56718,-176.16200,  -7.43742,  -0.22831,  -0.04032,   0.14795,  22.24580,  -3.57974,  -1.86207, -65.58850,   0.02022,  -0.03150, -17.14000, 171.77400,   9.67208, 178.83400,  -0.05421,   0.18910,  22.47590,  -4.06403,   5.66895, -64.39910,   0.07934,  -0.08956, -17.45380
   0.30000,   0.00000,   0.00000,  -0.00000,  90.85210,  -5.15222,   6.38035,  84.65360,  85.15730, -86.37540,   1.86761,  -0.81330,  -3.42708,  -0.86388,  -0.08768,   0.18919, -13.99800,   2.88075, -10.48020, -92.07790,   8.14557, -90.63710, -68.49230,  22.92860,   0.77983,  -0.36019,  -1.58532, -12.80380,  13.25370,   5.53470,  -8.00338,  88.17610,  12.73730, -96.78160, -70.24060,  13.87850,   6.04475,   5.13409,  13.02390, -21.74040,   5.47738,   5.32314,  -0.58620,-176.27400,  -7.79919,  -0.09963,  -0.03829,   0.14255,  22.37900,  -3.49039,  -2.13553, -65.76250,   0.01977,  -0.03076, -17.12690, 171.57600,   9.65346, 178.84600,  -0.05564,   0.19301,  22.43490,  -4.10992,   6.29502, -64.27610,   0.08542,  -0.09658, -17.52220
