time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  92.57480,  -9.85219,  -2.71248, 146.32400,  88.52890,-147.15200,  -6.11902,   2.54490,  -1.52241,  -9.58169,   1.72616,  -0.11950,   5.98849,  -0.28772,  -1.41118, -90.93720,   4.41190, -92.99510, -57.18890, -25.68300,  14.88900,   5.80584,  22.06680, -15.14410,  42.46660,   5.20504,   2.59342,  89.16210,   5.99831, -97.03350, -54.65360, -23.94530,  16.59490,   0.99742,   9.36240,  -6.11495,  39.34340,   5.38582,  -2.48241, 174.37300,  -0.09738, -14.95720,   0.05616,  -0.12555,  18.59010,   3.08757,  -6.91546, -57.14430,   0.08695,  -0.09804, -17.53240,-175.97000,  22.18400, 172.39200,   0.00742,   0.00990,  17.66100,   0.98179, -17.48850, -66.30990,  -0.09898,   0.04766, -16.57430
   0.03333,   0.00000,   0.00000,  -0.00000,  92.49530,  -9.58321,  -2.92776, 147.96900,  88.58010,-148.77900,  -6.24503,   2.50247,  -1.48426,  -9.28293,   1.64355,  -0.15438,   6.03313,  -0.34830,  -1.31090, -90.94110,   4.41584, -92.95650, -57.28880, -25.19460,  14.79700,   5.75709,  22.33590, -14.85760,  43.18330,   5.21211,   2.41370,  89.15280,   6.00100, -96.94880, -54.57280, -24.33970,  17.06140,   0.90136,   8.90482,  -5.81014,  39.00130,   5.38879,  -2.57621, 174.45500,   0.45941, -15.22200,   0.05224,  -0.11432,  18.67320,   3.08165,  -7.21566, -57.12220,   0.08681,  -0.09787, -17.53090,-175.80600,  21.82370, 172.11700,   0.00814,   0.01679,  17.70540,   0.86390, -18.08340, -66.29950,  -0.09315,   0.04461, -16.57420
   0.06667,   0.00000,   0.00000,  -0.00000,  92.36950,  -9.34297,  -3.04992, 148.39900,  88.60790,-149.17100,  -6.29337,   2.46202,  -1.40929,  -8.95108,   1.61926,  -0.12611,   5.99828,  -0.32631,  -1.33270, -90.92810,   4.36998, -92.99800, -57.19600, -25.34240,  15.01370,   5.81940,  22.14490, -15.12970,  42.78870,   5.20513,   2.59051,  89.15420,   5.94011, -96.88200, -54.58950, -24.89170,  17.33440,   0.80859,   8.68837,  -5.34482,  39.34160,   5.39224,  -2.68676, 174.61900,   1.09497, -15.45650,   0.04711,  -0.09919,  18.89100,   3.03069,  -7.59258, -57.16290,   0.08193,  -0.09228, -17.47680,-175.62600,  21.32590, 171.91500,   0.00599,   0.03856,  17.78890,   0.72644, -18.84320, -66.29950,  -0.10289,   0.04904, -16.57430
   0.10000,   0.00000,   0.00000,  -0.00000,  92.17270,  -9.09335,  -3.24273, 148.86400,  88.64460,-149.57000,  -6.35223,   2.40343,  -1.28236,  -8.64321,   1.66271,  -0.13390,   5.92586,  -0.29238,  -1.32372, -90.90010,   4.23480, -92.98830, -57.34000, -25.26940,  15.06690,   5.91314,  22.10520, -15.38850,  42.86760,   5.20282,   2.64840,  89.18640,   5.78836, -96.98440, -54.82290, -25.13200,  17.53110,   0.74570,   8.53476,  -5.01879,  39.01050,   5.38015,  -2.30185, 174.86100,   1.81774, -15.91130,   0.04132,  -0.08212,  19.35930,   2.95041,  -8.12234, -57.29160,   0.07867,  -0.08855, -17.44070,-175.33400,  20.94480, 171.59100,  -0.00176,   0.05853,  17.97800,   0.61995, -19.46780, -66.35840,  -0.09445,   0.04478, -16.57420
   0.13333,   0.00000,   0.00000,  -0.00000,  91.96840,  -8.84582,  -3.30545, 148.87300,  88.61960,-149.51800,  -6.32800,   2.43858,  -1.15671,  -8.24468,   1.67976,  -0.15253,   5.67341,  -0.32810,  -1.27775, -90.85230,   4.02270, -93.02680, -57.80930, -24.69980,  14.78750,   5.97359,  22.20930, -15.47340,  43.38930,   5.20037,   2.71004,  89.20840,   5.65756, -97.02150, -55.23610, -25.14320,  17.54340,   0.63738,   7.84112,  -4.66915,  38.61540,   5.37469,  -2.13207, 175.14900,   2.61986, -16.41090,   0.03476,  -0.06229,  20.16820,   2.80687,  -8.66608, -57.58710,   0.07208,  -0.08103, -17.36780,-175.08700,  20.31720, 171.21700,  -0.01734,   0.09207,  18.52470,   0.39676, -20.39880, -66.59890,  -0.09800,   0.04619, -16.57420
   0.16667,   0.00000,   0.00000,  -0.00000,  91.70850,  -8.54114,  -3.35582, 147.68400,  88.57200,-148.24600,  -6.23009,   2.47841,  -0.99069,  -7.87699,   1.61932,  -0.18754,   5.37001,  -0.42125,  -1.26090, -90.77930,   3.71926, -93.15890, -58.62420, -24.36410,  14.25050,   6.02738,  21.72140, -15.92350,  42.66450,   5.19123,   2.93815,  89.24750,   5.50375, -97.20300, -55.96060, -25.33830,  17.46060,   0.51986,   6.21885,  -4.79879,  38.55200,   5.37656,  -2.19056, 175.50000,   3.49788, -17.20950,   0.02570,  -0.03760,  21.51200,   2.60775,  -9.30335, -58.10060,   0.07909,  -0.08905, -17.44550,-174.74500,  19.21290, 170.55800,  -0.03342,   0.13438,  19.58920,   0.02749, -21.83580, -67.09110,  -0.09399,   0.04401, -16.57430
   0.20000,   0.00000,   0.00000,  -0.00000,  91.44190,  -8.06713,  -3.02212, 141.27100,  88.44140,-141.74300,  -5.80848,   2.48414,  -0.81831,  -7.51242,   1.54372,  -0.33155,   4.84534,  -0.60998,  -1.12793, -90.70140,   3.45322, -93.51150, -59.62960, -25.21790,  14.01720,   6.32432,  19.80620, -18.11520,  41.45020,   5.18536,   3.08425,  89.27640,   5.51186, -97.50940, -56.93960, -25.38310,  17.40420,   0.33258,   2.94231,  -6.49031,  38.21980,   5.33302,  -0.87199, 175.82800,   4.31431, -17.83210,   0.01151,  -0.00342,  23.30400,   2.39694,  -9.66975, -58.85830,   0.05277,  -0.05909, -17.15480,-174.52300,  18.39130, 170.10300,  -0.05112,   0.17183,  21.11400,  -0.46875, -23.13380, -67.89090,  -0.09828,   0.04563, -16.57420
   0.23333,   0.00000,   0.00000,  -0.00000,  91.33780,  -7.67734,  -2.38685, 132.44600,  88.19370,-132.88100,  -5.09335,   2.48425,  -0.75981,  -7.31573,   1.44631,  -0.35242,   4.39146,  -0.81950,  -1.08278, -90.62170,   3.20246, -94.00910, -61.39740, -25.94260,  13.90920,   6.66258,  16.26640, -22.64430,  41.39700,   5.15297,   3.86674,  89.33250,   5.57699, -98.16350, -58.93310, -23.61140,  16.83290,  -0.35596,  -2.04056,  -9.78331,  38.16970,   5.27018,   0.89126, 175.89500,   4.74306, -18.08360,   0.00317,   0.01462,  24.98780,   2.26217,  -9.79269, -59.61850,   0.04321,  -0.04830, -17.04970,-174.58200,  18.00550, 169.88900,  -0.07119,   0.20711,  22.81380,  -0.98760, -23.95960, -68.82750,  -0.11117,   0.05121, -16.57420
   0.26667,   0.00000,   0.00000,  -0.00000,  91.48710,  -7.33433,  -1.55676, 125.70500,  87.83700,-126.23600,  -4.24326,   2.57841,  -0.96830,  -7.06237,   1.33366,  -0.37168,   3.82042,  -1.09322,  -0.83005, -90.56920,   3.04201, -94.39660, -63.83980, -24.70460,  13.39350,   7.20458,  13.07980, -29.19590,  42.70240,   5.13035,   4.41153,  89.33770,   5.94135, -98.62710, -61.17200, -21.61960,  16.10550,  -2.86568, -10.42830, -15.42130,  37.63360,   5.31362,  -0.32117, 175.65000,   4.88752, -17.56540,   0.00025,   0.02271,  25.67760,   2.25248,  -9.68940, -59.99660,   0.02756,  -0.03071, -16.87820,-175.02400,  18.38770, 170.34400,  -0.07839,   0.21450,  23.74800,  -1.27834, -23.95540, -69.43380,  -0.10024,   0.04585, -16.57420
   0.30000,   0.00000,   0.00000,  -0.00000,  91.72960,  -7.05564,  -1.26296, 125.83200,  87.71530,-126.52500,  -4.04680,   2.74454,  -1.28907,  -6.60084,   1.23550,  -0.40369,   3.76612,  -1.29139,  -0.44325, -90.51280,   2.72536, -94.34160, -66.69310, -23.38970,  12.83190,   7.48545,   9.83353, -37.58000,  43.23230,   5.20998,   2.46921,  89.31840,   5.98722, -98.49390, -63.79370, -20.65270,  15.26220,  -5.97931, -14.04410, -23.33380,  37.21440,   5.38141,  -2.34039, 175.31700,   4.39000, -16.66830,   0.00706,   0.00980,  24.62590,   2.50096,  -8.91833, -59.57620,   0.02725,  -0.03036, -16.87470,-175.43000,  19.01170, 171.11300,  -0.08176,   0.22703,  22.95530,  -1.16594, -23.69370, -69.09990,  -0.09632,   0.04372, -16.57420
