time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.88900,  -1.60370,   2.36781,  85.91900,  86.94350, -85.87750,  -1.66846,  -0.43835,   0.07655,   0.63462,  -1.03281,   0.04750,   8.24966,  -1.25423,  -1.61976, -92.33030,  10.71670, -92.65750, -65.13230,  22.96930,   0.69426,  -0.92615,  -3.16153, -16.33830,  16.42500,   5.56315,  -9.34301,  87.70520,  12.53360, -94.53880, -64.94340,  14.43180,   3.74415,   3.04424,   8.86853, -19.03840,   7.60807,   5.33812,  -1.02325,-175.00300,  -7.81976,   1.96436,  -0.01496,   0.09953,  11.44490,  -3.53034,   1.06867, -60.78630,   0.00729,  -0.01126, -16.77900, 174.42800,  17.18050,-179.83200,  -0.01665,   0.11583,  13.11130,  -2.65457,   7.68517, -59.90670,   0.05739,  -0.06452, -17.20900
   0.03333,   0.00000,   0.00000,  -0.00000,  89.86460,  -1.72520,   2.40467,  85.61570,  86.94200, -85.56110,  -1.66779,  -0.47195,   0.10239,   0.64311,  -0.99691,   0.01826,   8.21806,  -1.20762,  -1.64982, -92.33500,  10.72970, -92.64990, -65.18790,  22.93100,   0.61453,  -0.92202,  -3.13101, -16.41920,  16.37750,   5.56448,  -9.40888,  87.71060,  12.50490, -94.54230, -64.83030,  14.41270,   3.61980,   3.03640,   8.77100, -19.18760,   7.71677,   5.33721,  -0.99680,-174.96900,  -7.91887,   1.99146,  -0.01543,   0.10122,  11.48600,  -3.53145,   1.05607, -60.80750,   0.00554,  -0.00855, -16.73050, 174.45000,  17.10020,-179.81800,  -0.01698,   0.11690,  13.10170,  -2.65139,   7.70416, -59.88160,   0.06073,  -0.06830, -17.24600
   0.06667,   0.00000,   0.00000,  -0.00000,  89.86340,  -1.81925,   2.39810,  85.40800,  86.95320, -85.34810,  -1.69179,  -0.49267,   0.11243,   0.54594,  -0.99285,  -0.00987,   8.28534,  -1.19081,  -1.62708, -92.32670,  10.72750, -92.68500, -65.31800,  23.02990,   0.56797,  -0.94212,  -3.16920, -16.56580,  16.44440,   5.56367,  -9.36870,  87.71700,  12.49400, -94.55700, -64.74670,  14.42660,   3.49697,   3.01057,   8.61596, -19.35030,   7.73439,   5.33694,  -0.98921,-174.97600,  -7.96548,   1.96837,  -0.01515,   0.10063,  11.51220,  -3.52979,   1.01053, -60.81370,   0.00616,  -0.00952, -16.74770, 174.46800,  16.99920,-179.87100,  -0.01671,   0.11554,  13.12650,  -2.64662,   7.69493, -59.87250,   0.06268,  -0.07055, -17.26790
   0.10000,   0.00000,   0.00000,  -0.00000,  89.88620,  -1.88879,   2.46842,  85.37730,  86.93610, -85.32090,  -1.65791,  -0.49838,   0.10552,   0.54612,  -1.02266,  -0.02186,   8.08402,  -1.21486,  -1.59480, -92.32440,  10.74290, -92.71320, -65.43000,  23.22150,   0.51259,  -0.98026,  -3.26889, -16.70390,  16.49130,   5.56495,  -9.43246,  87.71520,  12.48370, -94.54060, -64.70100,  14.48430,   3.36482,   3.01949,   8.57358, -19.49150,   7.75021,   5.33625,  -0.96875,-174.99700,  -8.02961,   2.01870,  -0.01562,   0.10175,  11.54570,  -3.52033,   0.99543, -60.82290,   0.00715,  -0.01106, -16.77530, 174.42300,  16.90890,-179.87400,  -0.01715,   0.11693,  13.20720,  -2.65074,   7.70627, -59.88450,   0.05833,  -0.06558, -17.21930
   0.13333,   0.00000,   0.00000,  -0.00000,  89.86590,  -1.90205,   2.55221,  85.08390,  86.90130, -85.01690,  -1.59120,  -0.53645,   0.12639,   0.58425,  -1.01816,  -0.01752,   7.66293,  -1.17231,  -1.58155, -92.33200,  10.74840, -92.68290, -65.54180,  23.40040,   0.42289,  -1.00709,  -3.32343, -16.87040,  16.42250,   5.56485,  -9.42794,  87.71350,  12.47210, -94.52540, -64.69770,  14.60020,   3.21779,   3.00194,   8.46077, -19.62360,   7.74898,   5.33827,  -1.02847,-174.97100,  -8.02235,   2.06029,  -0.01562,   0.10121,  11.60850,  -3.51584,   0.98312, -60.84310,   0.00647,  -0.00999, -16.75630, 174.41600,  16.95040,-179.79000,  -0.01691,   0.11647,  13.19570,  -2.64638,   7.73688, -59.86540,   0.05974,  -0.06720, -17.23510
   0.16667,   0.00000,   0.00000,  -0.00000,  89.88150,  -1.94640,   2.57292,  85.18860,  86.89530, -85.12370,  -1.57826,  -0.52599,   0.12240,   0.59188,  -0.97454,  -0.03414,   7.39765,  -1.10486,  -1.53970, -92.32520,  10.72230, -92.68930, -65.71830,  23.51290,   0.37217,  -1.05089,  -3.43488, -17.02380,  16.46610,   5.56538,  -9.45430,  87.72110,  12.45440, -94.54580, -64.75470,  14.58160,   3.12405,   3.03028,   8.47771, -19.75900,   7.64006,   5.34090,  -1.10605,-174.99100,  -8.06234,   2.04469,  -0.01556,   0.10159,  11.65390,  -3.50854,   0.97168, -60.85020,   0.00662,  -0.01024, -16.76070, 174.39900,  16.91640,-179.84300,  -0.01710,   0.11627,  13.27420,  -2.63699,   7.76817, -59.87590,   0.06030,  -0.06781, -17.24120
   0.20000,   0.00000,   0.00000,  -0.00000,  89.88490,  -1.93337,   2.62073,  85.11120,  86.89130, -85.04780,  -1.57092,  -0.53491,   0.11950,   0.61435,  -0.92534,  -0.02889,   7.35377,  -1.06714,  -1.49417, -92.31220,  10.67020, -92.70190, -65.91210,  23.64850,   0.33308,  -1.05389,  -3.42559, -17.11250,  16.41160,   5.56490,  -9.42955,  87.72630,  12.45930, -94.57590, -64.82120,  14.74690,   3.12464,   3.01584,   8.34829, -19.95050,   7.63793,   5.34152,  -1.12410,-174.99100,  -8.02301,   2.08919,  -0.01568,   0.10204,  11.61620,  -3.50679,   0.97397, -60.81240,   0.00585,  -0.00903, -16.73910, 174.37900,  16.94470,-179.79400,  -0.01659,   0.11570,  13.23980,  -2.63838,   7.79103, -59.83810,   0.05951,  -0.06692, -17.23250
   0.23333,   0.00000,   0.00000,  -0.00000,  89.89190,  -1.94682,   2.59506,  85.25360,  86.92930, -85.19630,  -1.64543,  -0.51279,   0.10725,   0.70323,  -0.92595,  -0.02560,   7.54978,  -1.10007,  -1.43600, -92.32060,  10.67720, -92.66400, -66.00840,  23.87500,   0.30610,  -1.05629,  -3.42455, -17.15410,  16.40910,   5.56489,  -9.42963,  87.72780,  12.47900, -94.59630, -64.90580,  14.78430,   3.12115,   3.01398,   8.31217, -20.01890,   7.52803,   5.34364,  -1.18700,-175.02700,  -8.00827,   2.02375,  -0.01519,   0.09974,  11.63440,  -3.49270,   0.92142, -60.79540,   0.00519,  -0.00801, -16.72090, 174.37700,  16.93130,-179.84300,  -0.01670,   0.11503,  13.22620,  -2.64541,   7.80142, -59.80200,   0.06140,  -0.06908, -17.25360
   0.26667,   0.00000,   0.00000,  -0.00000,  89.88860,  -1.93516,   2.59660,  85.39210,  86.94010, -85.34830,  -1.66577,  -0.49513,   0.08036,   0.92884,  -0.97144,   0.03430,   7.47220,  -1.20220,  -1.35231, -92.35580,  10.70510, -92.51230, -65.96550,  24.03060,   0.19172,  -1.04389,  -3.37051, -17.22130,  16.36520,   5.56454,  -9.41245,  87.70330,  12.53080, -94.52690, -64.94770,  14.97700,   3.06303,   3.01686,   8.28516, -20.09590,   7.56412,   5.34230,  -1.14682,-175.02800,  -8.00100,   1.97117,  -0.01552,   0.10031,  11.67340,  -3.48372,   0.94762, -60.78200,   0.00587,  -0.00906, -16.73970, 174.39400,  16.92830,-179.88800,  -0.01628,   0.11443,  13.24460,  -2.64534,   7.73824, -59.77630,   0.06045,  -0.06799, -17.24290
   0.30000,   0.00000,   0.00000,  -0.00000,  89.90310,  -1.94840,   2.64932,  86.12800,  86.90450, -86.11320,  -1.58919,  -0.41920,   0.02372,   1.12427,  -1.07265,   0.11653,   7.20401,  -1.35931,  -1.24725, -92.39160,  10.73370, -92.36260, -65.85510,  24.02860,   0.01395,  -1.06896,  -3.43454, -17.29970,  16.41160,   5.56520,  -9.44452,  87.67330,  12.58830, -94.44100, -64.96420,  14.95200,   2.93783,   3.03394,   8.32116, -20.12080,   7.54844,   5.34280,  -1.16241,-175.05700,  -7.97889,   1.94447,  -0.01527,   0.09939,  11.76580,  -3.46994,   0.90949, -60.79910,   0.00523,  -0.00808, -16.72200, 174.36000,  16.83910,-179.90400,  -0.01687,   0.11577,  13.31020,  -2.65679,   7.72562, -59.77700,   0.06482,  -0.07299, -17.29170
