time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.47000,  -3.98195,  -0.72316, -88.83380,  82.76510,  85.66400,   3.98684,  -0.59360,   6.54640,   3.73675,   1.52769,   1.94508,  -0.94416,   3.15877,   0.39333, -87.72000,  -0.20169, -90.26120, -83.08600, -17.01250,   3.23290,   0.00005,  -0.00000, -23.63310,  -1.11098,  33.72020,  -4.33322,  92.43700,  -0.12446, -90.32820, -78.19330, -19.81210,   3.38053,  -0.00101,   0.00011, -23.63490,  -6.66935,  33.99480,  -1.42341,-176.47000,   7.61812,   0.89963,  -0.00000,   0.00000,  13.15790,  -1.33125,  -0.12992, -64.44060,  -0.00000,   0.00000, -16.58240,-174.16900,  -9.98072, 179.56300,   0.00002,  -0.00012,   9.31670,   3.17053,  -1.42406, -59.22840,  -0.00000,  -0.00000, -16.57870
   0.03333,   0.00000,   0.00000,  -0.00000,  87.43900,  -3.78490,  -0.78517, -88.81600,  82.70780,  85.72820,   4.02566,  -0.59096,   6.52933,   3.77704,   1.52016,   1.91138,  -1.14332,   2.98322,   0.33302, -87.68840,  -0.07029, -90.26090, -82.83460, -17.65500,   3.55694,   0.00005,  -0.00000, -24.11820,  -0.21284,  33.32190,  -4.78381,  92.46660,   0.14406, -90.48510, -77.74770, -19.48250,   4.86500,  -0.00100,   0.00013, -28.36610,  -8.96309,  33.79240,   2.34501,-176.50400,   7.90564,   0.89345,  -0.00000,   0.00000,  13.14970,  -1.29882,  -0.23227, -64.47940,  -0.00000,   0.00000, -16.58240,-174.20200,  -9.65994, 179.64000,   0.00002,  -0.00012,   9.20171,   3.13865,  -1.28614, -59.28750,  -0.00000,  -0.00000, -16.57870
   0.06667,   0.00000,   0.00000,  -0.00000,  87.38220,  -3.45961,  -0.96881, -88.86030,  82.42500,  85.97750,   4.11032,  -0.58337,   6.40843,   3.82887,   1.48747,   1.85721,  -1.34336,   2.73947,   0.27409, -87.62260,   0.15412, -90.27580, -82.25100, -18.74900,   4.16259,   0.00005,  -0.00000, -24.91400,   1.32707,  32.63910,  -5.55296,  92.53070,   0.62763, -90.68910, -76.95550, -19.23750,   6.69131,  -0.00099,   0.00016, -34.75850, -11.80720,  33.71150,   6.79316,-176.43700,   8.33612,   0.65683,  -0.00000,   0.00000,  13.31870,  -1.31858,  -0.34471, -64.60220,   0.00000,  -0.00000, -16.58240,-174.19600,  -8.92119, 179.54400,   0.00002,  -0.00012,   9.16990,   3.18297,  -0.85707, -59.40190,   0.00000,   0.00000, -16.57870
   0.10000,   0.00000,   0.00000,  -0.00000,  87.31460,  -3.04107,  -1.24901, -88.95050,  81.97110,  86.39310,   4.23635,  -0.56393,   6.19123,   3.87933,   1.43208,   1.78996,  -1.55063,   2.44820,   0.20667, -87.52660,   0.46472, -90.30860, -81.32880, -20.32790,   5.01835,   0.00005,  -0.00000, -25.99380,   3.35142,  31.71300,  -6.44733,  92.62770,   1.28379, -90.94680, -75.85470, -19.15360,   8.63945,  -0.00096,   0.00019, -42.82020, -15.82060,  33.64260,  12.24860,-176.29400,   8.84648,   0.24475,  -0.00000,   0.00000,  13.60650,  -1.37711,  -0.44246, -64.77470,   0.00000,   0.00000, -16.58240,-174.16500,  -7.83605, 179.31100,   0.00002,  -0.00012,   9.20015,   3.28834,  -0.17326, -59.55870,  -0.00000,  -0.00000, -16.57870
   0.13333,   0.00000,   0.00000,  -0.00000,  87.25220,  -2.55158,  -1.59944, -89.07270,  81.42670,  86.94960,   4.39198,  -0.52362,   5.88665,   3.90799,   1.35434,   1.72407,  -1.78559,   2.11951,   0.12833, -87.41170,   0.84384, -90.36610, -80.04470, -22.32340,   6.07533,   0.00005,  -0.00000, -27.30080,   5.60857,  30.54510,  -7.28138,  92.74770,   2.04208, -91.24810, -74.48630, -19.20010,  10.47710,  -0.00093,   0.00022, -52.41530, -21.37240,  32.08980,  18.86790,-176.10100,   9.38972,  -0.24899,  -0.00000,   0.00000,  13.87750,  -1.46430,  -0.50343, -64.92630,   0.00000,   0.00000, -16.58240,-174.12500,  -6.44319, 179.02300,   0.00002,  -0.00012,   9.18798,   3.44165,   0.75302, -59.70870,   0.00000,   0.00000, -16.57870
   0.16667,   0.00000,   0.00000,  -0.00000,  87.20950,  -1.96972,  -2.00421, -89.18900,  80.87180,  87.58470,   4.56042,  -0.46136,   5.50804,   3.88799,   1.24979,   1.68651,  -2.07484,   1.74019,   0.05344, -87.29490,   1.24170, -90.45770, -78.41660, -24.61600,   7.25528,   0.00005,  -0.00000, -28.70390,   7.85541,  29.23430,  -7.95647,  92.87320,   2.82848, -91.55100, -72.88750, -19.26020,  11.92820,  -0.00089,   0.00025, -62.96760, -26.98270,  28.08190,  24.72640,-175.88400,   9.97433,  -0.80549,  -0.00000,   0.00000,  14.11350,  -1.56729,  -0.51310, -65.04380,  -0.00000,  -0.00000, -16.58240,-174.08500,  -4.81181, 178.68100,   0.00002,  -0.00012,   9.15887,   3.62176,   1.82921, -59.86530,  -0.00000,  -0.00000, -16.57870
   0.20000,   0.00000,   0.00000,  -0.00000,  87.20470,  -1.25203,  -2.44624, -89.27980,  80.37580,  88.25150,   4.72836,  -0.37900,   5.06564,   3.78136,   1.11047,   1.70609,  -2.43872,   1.28304,   0.01016, -87.19070,   1.60440, -90.58770, -76.51480, -27.07170,   8.44082,   0.00005,  -0.00000, -30.02510,  10.03680,  27.87900,  -8.43497,  92.98870,   3.58918, -91.82990, -71.07940, -19.29130,  12.74970,  -0.00084,   0.00027, -73.94300, -31.14740,  22.13940,  28.73340,-175.67200,  10.66060,  -1.61610,  -0.00000,   0.00000,  14.70630,  -1.68300,  -0.47781, -65.31250,   0.00000,   0.00000, -16.58240,-174.04900,  -3.17991, 177.97300,   0.00002,  -0.00012,   9.74066,   3.80877,   2.74908, -60.31200,   0.00000,  -0.00000, -16.57870
   0.23333,   0.00000,   0.00000,  -0.00000,  87.26480,  -0.37415,  -2.93131, -89.37260,  79.94230,  88.96190,   4.89561,  -0.27524,   4.56608,   3.54551,   0.93344,   1.78753,  -2.83202,   0.72015,   0.02744, -87.09740,   1.92055, -90.74800, -74.45650, -29.50270,   9.49635,   0.00005,  -0.00000, -31.09880,  12.27460,  26.41820,  -8.68554,  93.09660,   4.26698, -92.11570, -69.10150, -19.47680,  12.78300,  -0.00078,   0.00028, -84.82340, -33.22190,  15.36770,  30.24550,-175.50100,  11.46740,  -2.59122,  -0.00000,   0.00000,  15.45180,  -1.79665,  -0.39587, -65.62240,   0.00000,   0.00000, -16.58240,-174.05900,  -1.46101, 177.03500,   0.00002,  -0.00012,  10.65630,   3.99242,   3.58164, -60.92320,   0.00000,  -0.00000, -16.57870
   0.26667,   0.00000,   0.00000,  -0.00000,  87.42010,   0.66745,  -3.49375, -89.48120,  79.50140,  89.71600,   5.07533,  -0.15265,   4.02374,   3.16658,   0.72537,   1.90437,  -3.20007,   0.03564,   0.12994, -86.99730,   2.22100, -90.93350, -72.35870, -31.68680,  10.33070,   0.00005,  -0.00000, -31.83090,  14.63520,  24.70300,  -8.64593,  93.21410,   4.77873, -92.45870, -67.05520, -20.12530,  11.93760,  -0.00074,   0.00028, -94.80740, -33.50120,   9.01138,  28.51120,-175.40200,  12.34500,  -3.61294,  -0.00000,   0.00000,  16.05600,  -1.87295,  -0.22822, -65.83050,   0.00000,   0.00000, -16.58240,-174.16100,   0.36236, 175.97700,   0.00002,  -0.00012,  11.67760,   4.15093,   4.35364, -61.61180,  -0.00000,   0.00000, -16.57870
   0.30000,   0.00000,   0.00000,  -0.00000,  87.68610,   1.85710,  -4.13332, -89.58030,  79.01930,  90.47550,   5.27333,  -0.01779,   3.46406,   2.68619,   0.49998,   2.02655,  -3.53780,  -0.76643,   0.33048, -86.87800,   2.53037, -91.15770, -70.35670, -33.49150,  10.89530,   0.00005,  -0.00000, -32.17170,  17.07730,  22.75520,  -8.29144,  93.34660,   5.04259, -92.85640, -65.16200, -21.42310,  10.10020,  -0.00072,   0.00027,-103.25500, -32.62910,   2.99621,  23.86280,-175.40200,  13.20940,  -4.55190,  -0.00000,   0.00000,  16.29720,  -1.86883,   0.07960, -65.83850,   0.00000,   0.00000, -16.58240,-174.37500,   2.24247, 174.94300,   0.00002,  -0.00012,  12.52520,   4.25303,   5.04666, -62.22990,   0.00000,  -0.00000, -16.57870
