time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.58560,  -3.48215,   9.40559,  96.33630,  78.34080, -95.94850,  15.41230,   2.56390,   0.42945,   1.44841,  -0.62445,  -0.96505,  11.66690,  -3.65283,  -1.01310, -89.50050,  -3.47770, -96.82060, -73.84430,  24.84360,  -8.77519,  10.75020,  -8.23479,-127.03100,  11.71990,   5.22992,   1.95739,  90.19990,  -3.22097,-101.44600, -74.21570,  28.78450,  -0.88505,   1.46395,  -1.03217,-125.17500,  23.90710,   5.42614,  -3.80752,-174.51400,  12.94350, -14.34300,  -0.02379,   0.06409,  28.02610,  -4.39511,   8.66471, -55.86910,   0.11959,  -0.13569, -17.89560,-170.97100,   2.48962, 174.52100,   0.02025,   0.00588,  29.14350,   6.13194, -11.15560, -64.80400,  -0.08141,   0.06125, -16.57220
   0.03333,   0.00000,   0.00000,  -0.00000,  88.55630,  -3.44670,   9.45513,  96.18410,  78.21540, -95.80940,  15.66860,   2.52865,   0.40225,   1.35824,  -0.56280,  -0.91607,  11.73400,  -3.70996,  -0.96212, -89.48070,  -3.58496, -96.75220, -73.73870,  24.73850,  -8.96935,  10.86260,  -8.35296,-127.12800,  11.50620,   5.23174,   1.91094,  90.19510,  -3.29676,-101.61100, -74.27740,  28.51430,  -1.15424,   1.42369,  -1.00612,-125.23900,  23.91440,   5.42298,  -3.69902,-174.53400,  12.96530, -14.34830,  -0.02589,   0.06752,  28.02940,  -4.37416,   8.61244, -55.80840,   0.11977,  -0.13592, -17.89780,-170.99700,   2.55635, 174.50300,   0.01980,   0.00677,  29.19390,   6.09393, -11.13920, -64.79480,  -0.08279,   0.06225, -16.57210
   0.06667,   0.00000,   0.00000,  -0.00000,  88.53540,  -3.44300,   9.50366,  96.10810,  78.10600, -95.74430,  15.89000,   2.51996,   0.37657,   1.33544,  -0.49564,  -0.86432,  11.80750,  -3.74883,  -0.95764, -89.46980,  -3.62849, -96.68160, -73.66050,  24.60010,  -9.05402,  10.93730,  -8.45882,-127.27900,  11.43110,   5.23388,   1.85484,  90.19010,  -3.37803,-101.77700, -74.38220,  28.21010,  -1.33204,   1.41749,  -1.00202,-125.24600,  24.04020,   5.42398,  -3.73284,-174.56200,  13.00860, -14.34370,  -0.02817,   0.06836,  28.04630,  -4.36076,   8.45968, -55.77110,   0.12260,  -0.13919, -17.92920,-171.03600,   2.66744, 174.50000,   0.02301,   0.00136,  29.23380,   6.08084, -11.01770, -64.79310,  -0.07446,   0.05597, -16.57250
   0.10000,   0.00000,   0.00000,  -0.00000,  88.51200,  -3.49868,   9.54130,  96.11050,  77.99630, -95.76800,  16.10860,   2.54215,   0.32616,   1.30833,  -0.41271,  -0.78772,  11.82090,  -3.78342,  -0.94440, -89.45540,  -3.69243, -96.60410, -73.59390,  24.47880,  -9.14645,  10.78430,  -8.38618,-127.44100,  11.60290,   5.23096,   1.93083,  90.18480,  -3.44669,-101.93000, -74.48440,  27.82600,  -1.49089,   1.06360,  -0.75176,-125.24300,  24.01010,   5.42195,  -3.66467,-174.57700,  13.00270, -14.29510,  -0.02728,   0.06827,  28.00000,  -4.34493,   8.38566, -55.72280,   0.12145,  -0.13786, -17.91650,-171.07100,   2.74934, 174.52900,   0.02320,   0.00114,  29.21420,   6.07152, -10.89650, -64.76840,  -0.06417,   0.04823, -16.57250
   0.13333,   0.00000,   0.00000,  -0.00000,  88.46970,  -3.51755,   9.52777,  96.16300,  77.93590, -95.82300,  16.22670,   2.57613,   0.31363,   1.28520,  -0.38703,  -0.75400,  11.88170,  -3.78911,  -0.89174, -89.45320,  -3.70361, -96.59510, -73.59550,  24.31160,  -9.07245,  10.67240,  -8.34851,-127.61300,  11.62020,   5.23405,   1.85042,  90.18060,  -3.49317,-102.03900, -74.66640,  27.44120,  -1.42435,   0.68347,  -0.48381,-125.28500,  24.12830,   5.41993,  -3.59691,-174.55400,  13.03650, -14.33690,  -0.02779,   0.06856,  28.00210,  -4.33920,   8.31788, -55.69110,   0.11969,  -0.13582, -17.89680,-171.06300,   2.83980, 174.49000,   0.02882,  -0.00883,  29.20380,   6.07034, -10.82580, -64.74030,  -0.06834,   0.05135, -16.57260
   0.16667,   0.00000,   0.00000,  -0.00000,  88.38080,  -3.46528,   9.51813,  96.11100,  77.87520, -95.76030,  16.34950,   2.56804,   0.33347,   1.24557,  -0.36162,  -0.66568,  11.86330,  -3.78580,  -0.90988, -89.45290,  -3.69061, -96.56220, -73.49690,  24.21740,  -9.02528,  10.44930,  -8.23570,-127.83700,  11.70800,   5.23879,   1.72809,  90.18150,  -3.52199,-102.04900, -74.72860,  27.16200,  -1.43171,   0.43426,  -0.30803,-125.33300,  24.39180,   5.41691,  -3.49564,-174.50000,  13.04500, -14.35860,  -0.02611,   0.06739,  28.00360,  -4.30784,   8.31896, -55.67000,   0.11986,  -0.13601, -17.89860,-171.00500,   2.83228, 174.50500,   0.02731,  -0.00582,  29.13180,   6.03454, -10.86740, -64.68960,  -0.05996,   0.04500, -16.57280
   0.20000,   0.00000,   0.00000,  -0.00000,  88.27320,  -3.42086,   9.47440,  95.96280,  77.83540, -95.59930,  16.43480,   2.51558,   0.36466,   1.19028,  -0.31693,  -0.61710,  11.89690,  -3.77721,  -0.88465, -89.44960,  -3.70326, -96.53940, -73.41160,  24.23230,  -8.97207,  10.59280,  -8.37528,-127.91300,  11.91000,   5.23762,   1.75691,  90.17320,  -3.48904,-102.15600, -74.68060,  26.92780,  -1.38756,  -0.14163,   0.10050,-125.39900,  24.62080,   5.41493,  -3.42923,-174.40900,  13.14610, -14.40320,  -0.02637,   0.06573,  27.98640,  -4.30436,   8.26069, -55.65130,   0.12100,  -0.13734, -17.91140,-170.91300,   2.79218, 174.52400,   0.02925,  -0.00918,  28.99560,   6.00293, -10.94180, -64.60940,  -0.06567,   0.04927, -16.57260
   0.23333,   0.00000,   0.00000,  -0.00000,  88.16020,  -3.37278,   9.41273,  95.89010,  77.80760, -95.50390,  16.49290,   2.49261,   0.41217,   1.17614,  -0.34313,  -0.58272,  11.79900,  -3.80977,  -0.87900, -89.45170,  -3.71834, -96.60610, -73.39280,  24.14010,  -8.87308,  10.55270,  -8.34991,-127.93700,  11.75940,   5.24195,   1.64513,  90.17460,  -3.49576,-102.14000, -74.60030,  26.78250,  -1.36715,  -0.53518,   0.38111,-125.46500,  24.66370,   5.41464,  -3.41922,-174.32400,  13.24240, -14.42690,  -0.02722,   0.06567,  27.92220,  -4.29894,   8.06844, -55.61780,   0.12620,  -0.14340, -17.96960,-170.81800,   2.73251, 174.58500,   0.03350,  -0.01691,  28.78890,   5.97365, -10.98590, -64.51510,  -0.06281,   0.04712, -16.57250
   0.26667,   0.00000,   0.00000,  -0.00000,  88.08240,  -3.36076,   9.28741,  95.84420,  77.79740, -95.45910,  16.51500,   2.47545,   0.41202,   1.08322,  -0.37939,  -0.54892,  11.71190,  -3.82245,  -0.83675, -89.45050,  -3.75329, -96.66420, -73.32300,  24.05030,  -8.81098,  10.46740,  -8.27814,-127.93000,  11.72810,   5.24313,   1.61316,  90.17410,  -3.47419,-102.12900, -74.50380,  26.68640,  -1.33793,  -0.49054,   0.34994,-125.51800,  24.69860,   5.41443,  -3.41208,-174.25300,  13.32220, -14.48380,  -0.02427,   0.06357,  27.82440,  -4.28857,   8.00469, -55.58670,   0.12612,  -0.14328, -17.96850,-170.76200,   2.68873, 174.56600,   0.03484,  -0.01935,  28.60160,   5.94222, -11.03620, -64.42770,  -0.05702,   0.04274, -16.57280
   0.30000,   0.00000,   0.00000,  -0.00000,  88.00940,  -3.40127,   9.15804,  95.79940,  77.80460, -95.42560,  16.50290,   2.45447,   0.39274,   1.00092,  -0.36851,  -0.48215,  11.65120,  -3.81780,  -0.84304, -89.44690,  -3.82168, -96.75880, -73.30460,  23.92400,  -8.70972,  10.46890,  -8.27311,-127.90900,  11.82750,   5.24214,   1.63929,  90.17090,  -3.54428,-102.23800, -74.60180,  26.49530,  -1.21431,  -0.44523,   0.31809,-125.55600,  24.45240,   5.41280,  -3.35912,-174.19200,  13.35410, -14.55040,  -0.02514,   0.06388,  27.76530,  -4.26381,   7.89866, -55.58070,   0.12638,  -0.14360, -17.97160,-170.71900,   2.59793, 174.56000,   0.03426,  -0.01830,  28.43590,   5.90367, -11.03550, -64.36880,  -0.05910,   0.04433, -16.57280
