time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.40870,   7.33678,   3.74822,  96.59440,  86.51610, -94.22850,  -0.85266,   0.62220,   4.73426,  -5.25320,  -8.95718,   7.40331,   3.18531, -11.79490,  11.81830, -89.86920,  -0.68993, -94.26110, -72.95170,  -5.17528,   4.85679,   4.88032,  12.28530, -21.86470,   3.85320,   5.14817,   3.98699,  89.12010,   5.27032, -95.50710, -63.35810,  -8.55440,  13.97200,   4.06542,  11.17110, -20.15010,   9.16107,   5.37952,  -2.28337,-157.34700, -39.00860,  -6.83255,   0.07504,  -0.45226,   9.84722,  -8.48336,  -7.82549, -40.74630,   0.05060,  -0.05665, -17.13110,-168.01700,   8.51045, 174.22400,   0.12478,  -0.20193,  25.13370,   2.82991, -12.79780, -67.89320,  -0.08250,   0.05601, -16.57310
   0.03333,   0.00000,   0.00000,  -0.00000,  83.27190,   7.10232,   3.77921,  97.49270,  86.51120, -95.15780,  -0.85868,   0.73406,   4.67316,  -5.20774,  -8.91186,   7.36630,   3.18069, -11.85700,  11.92770, -89.88090,  -0.62680, -94.24500, -72.84370,  -5.40047,   5.02643,   4.81735,  12.17960, -21.77480,   3.92630,   5.14915,   3.96340,  89.12640,   5.34504, -95.70310, -63.31030,  -8.48579,  13.65590,   3.89174,  11.11470, -19.44230,   9.31105,   5.37330,  -2.08979,-157.05000, -39.38650,  -7.07697,   0.08440,  -0.46158,  10.80130,  -8.59445,  -7.56503, -41.25600,   0.04690,  -0.05246, -17.09030,-167.93700,   8.41923, 174.29800,   0.12491,  -0.20075,  25.23180,   2.78895, -12.66570, -68.00380,  -0.08538,   0.05812, -16.57310
   0.06667,   0.00000,   0.00000,  -0.00000,  83.17850,   6.95894,   3.75683,  97.86340,  86.52130, -95.57840,  -0.88538,   0.77924,   4.57416,  -5.22585,  -8.90005,   7.36241,   3.20668, -11.89340,  12.03770, -89.89000,  -0.57923, -94.24380, -72.79060,  -5.51005,   5.34659,   4.82506,  12.18070, -21.80470,   3.93120,   5.14992,   3.94538,  89.12890,   5.42797, -95.86890, -63.20620,  -8.62542,  13.09130,   3.66285,  11.15440, -18.31440,   9.20913,   5.36740,  -1.90663,-156.87800, -39.71060,  -7.25985,   0.09114,  -0.47014,  11.41620,  -8.66596,  -7.32697, -41.59490,   0.04818,  -0.05392, -17.10440,-167.89800,   8.46571, 174.36100,   0.12282,  -0.19609,  25.25040,   2.76327, -12.50630, -68.09430,  -0.08036,   0.05479, -16.57310
   0.10000,   0.00000,   0.00000,  -0.00000,  83.10310,   6.86315,   3.69792,  98.01870,  86.55060, -95.77710,  -0.94622,   0.79186,   4.48785,  -5.27046,  -8.92640,   7.33350,   3.25205, -11.90920,  12.13620, -89.90860,  -0.47976, -94.20680, -72.73370,  -5.52228,   5.77508,   4.77725,  12.07900, -21.77010,   3.76589,   5.15589,   3.80213,  89.14030,   5.46325, -96.04240, -63.14280,  -8.70593,  12.37920,   3.28224,  10.82840, -16.98010,   9.06124,   5.35288,  -1.46393,-156.75700, -40.00590,  -7.47171,   0.09681,  -0.47457,  11.97100,  -8.74289,  -7.07230, -41.90200,   0.05232,  -0.05860, -17.14990,-167.85100,   8.47752, 174.36500,   0.12221,  -0.19421,  25.29290,   2.74002, -12.39800, -68.19100,  -0.08726,   0.05958, -16.57310
   0.13333,   0.00000,   0.00000,  -0.00000,  83.08020,   6.78915,   3.70258,  98.69920,  86.55380, -96.52010,  -0.96582,   0.87627,   4.36361,  -5.25930,  -8.95529,   7.33530,   3.13557, -12.01310,  12.25400, -89.92390,  -0.40039, -94.23420, -72.71890,  -5.59739,   6.15015,   4.72968,  12.08490, -21.56300,   3.64141,   5.15346,   3.86039,  89.14900,   5.49536, -96.18320, -63.08080,  -9.14290,  11.52240,   2.72207,   9.89293, -15.47300,   8.81406,   5.33575,  -0.95304,-156.61400, -40.11790,  -7.46691,   0.10003,  -0.47736,  12.28050,  -8.83453,  -6.98712, -42.10850,   0.04923,  -0.05510, -17.11620,-167.85500,   8.47902, 174.45600,   0.12240,  -0.19430,  25.32140,   2.71927, -12.31290, -68.29430,  -0.08930,   0.06102, -16.57320
   0.16667,   0.00000,   0.00000,  -0.00000,  83.05260,   6.71249,   3.72595,  99.21590,  86.54170, -97.09920,  -0.95271,   0.94655,   4.23945,  -5.28785,  -9.01227,   7.36000,   3.02469, -12.07880,  12.39560, -89.93400,  -0.34609, -94.19130, -72.73530,  -5.69840,   6.46372,   4.62073,  12.06520, -21.13950,   3.66980,   5.15539,   3.81409,  89.15980,   5.58232, -96.42690, -62.96340,  -9.89773,  10.43950,   1.95418,   7.96724, -13.83370,   8.16929,   5.30686,  -0.11936,-156.47500, -40.16650,  -7.48412,   0.10279,  -0.47586,  12.62560,  -8.91034,  -6.99453, -42.32920,   0.04764,  -0.05330, -17.09860,-167.85000,   8.50153, 174.54500,   0.12217,  -0.19324,  25.36210,   2.70028, -12.24860, -68.39260,  -0.08618,   0.05892, -16.57320
   0.20000,   0.00000,   0.00000,  -0.00000,  82.99800,   6.64831,   3.76802,  99.93230,  86.51930, -97.84890,  -0.92454,   1.04253,   4.17353,  -5.24737,  -9.02651,   7.35987,   2.77901, -12.22620,  12.44810, -89.94540,  -0.28559, -94.17180, -72.77060,  -5.80477,   6.67060,   4.46229,  12.06960, -20.46620,   3.48711,   5.15779,   3.75661,  89.19030,   5.58189, -96.73300, -62.93990, -10.78840,   9.06159,   1.20437,   5.67430, -12.00790,   7.76768,   5.28445,   0.50417,-156.28900, -40.28390,  -7.52040,   0.10624,  -0.47605,  13.01280,  -8.99105,  -6.87672, -42.53990,   0.04908,  -0.05491, -17.11410,-167.81400,   8.61777, 174.62800,   0.12347,  -0.19505,  25.43120,   2.71710, -12.09580, -68.50520,  -0.08317,   0.05689, -16.57310
   0.23333,   0.00000,   0.00000,  -0.00000,  82.94210,   6.57206,   3.84788, 100.74700,  86.50050, -98.67990,  -0.90708,   1.14853,   4.14085,  -5.23818,  -9.06685,   7.37012,   2.64959, -12.36360,  12.47030, -89.95760,  -0.22171, -94.15420, -72.84780,  -5.79034,   6.91176,   4.29528,  12.07930, -19.74360,   3.38108,   5.15512,   3.82068,  89.23640,   5.51220, -97.10050, -63.02390, -11.68960,   7.30556,   0.42600,   2.45801,  -9.84260,   7.75357,   5.25816,   1.21509,-156.05300, -40.47240,  -7.44103,   0.10991,  -0.48161,  13.28810,  -9.06797,  -6.66854, -42.68020,   0.05135,  -0.05751, -17.13940,-167.78900,   8.80049, 174.75800,   0.12228,  -0.19199,  25.47610,   2.75605, -11.87920, -68.60270,  -0.08970,   0.06141, -16.57300
   0.26667,   0.00000,   0.00000,  -0.00000,  82.87510,   6.49214,   3.92769, 101.74400,  86.47670, -99.68250,  -0.88654,   1.27847,   4.13146,  -5.20561,  -9.09753,   7.44929,   2.50818, -12.50880,  12.51690, -89.97480,  -0.13168, -94.17780, -72.88350,  -5.83602,   7.16048,   4.16518,  12.16080, -19.07010,   3.13647,   5.15684,   3.77926,  89.29440,   5.41016, -97.55770, -63.20170, -12.54150,   5.25122,  -0.24269,  -1.76484,  -7.82941,   8.35334,   5.21438,   2.34890,-155.81400, -40.67340,  -7.41950,   0.11321,  -0.48189,  13.64730,  -9.13225,  -6.49569, -42.84990,   0.04478,  -0.05009, -17.06730,-167.72700,   8.86904, 174.86900,   0.12440,  -0.19543,  25.54910,   2.78570, -11.74890, -68.70690,  -0.08875,   0.06083, -16.57320
   0.30000,   0.00000,   0.00000,  -0.00000,  82.83670,   6.41188,   4.00771, 103.09500,  86.44970,-101.03900,  -0.87281,   1.45347,   4.12016,  -5.18315,  -9.16510,   7.56304,   2.40581, -12.72460,  12.63500, -89.99240,  -0.04014, -94.15840, -72.93730,  -5.65756,   7.37187,   3.98776,  12.02950, -18.49430,   3.10294,   5.15299,   3.87168,  89.35340,   5.33405, -98.07880, -63.44010, -13.35350,   3.20303,  -0.84904,  -7.21107,  -6.72838,  10.60950,   5.13736,   4.22878,-155.60100, -40.74330,  -7.33568,   0.11712,  -0.48865,  13.90790,  -9.20679,  -6.44588, -42.99790,   0.04929,  -0.05516, -17.11640,-167.69000,   8.86008, 174.98600,   0.12424,  -0.19438,  25.60710,   2.78877, -11.71710, -68.79620,  -0.09331,   0.06400, -16.57300
