time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.77920, -10.89270,  -0.60988, 108.58400,  86.44520,-108.77600,  -1.02332,   2.28004,  -0.36362,  -0.86910,  -5.24540,   0.95501,  16.22020, -10.13840,   3.07410, -90.41660,   2.31659, -94.80440, -75.38190,  -8.02571,   7.05846,   1.77943,   6.53694, -15.26330,   7.18677,   5.21922,   2.23270,  89.24690,   6.46015, -98.33700, -69.94550,  -5.40883,  11.71880,   0.22672,   0.74910, -16.90790,  10.65960,   5.35261,  -1.45589, 175.98700,  -2.78171, -14.44870,   0.03116,  -0.06890,  17.15180,   3.85347,  -2.88869, -53.98470,   0.07924,  -0.08920, -17.44700,-174.67100,  14.24690, 171.55400,   0.02427,  -0.02467,  17.80930,   2.85816, -18.21040, -62.29420,   0.00166,  -0.00173, -16.58710
   0.03333,   0.00000,   0.00000,  -0.00000,  90.91640, -10.70660,  -0.29981, 108.13500,  86.40450,-108.41000,  -0.92675,   2.25862,  -0.53041,  -0.80146,  -5.49461,   1.00463,  16.41420, -10.46470,   3.28500, -90.38060,   2.15652, -94.98910, -75.43550,  -7.75521,   6.73912,   1.84739,   6.49233, -15.92120,   7.30943,   5.21767,   2.27235,  89.25910,   6.49409, -98.47700, -70.02310,  -5.34398,  11.54610,  -0.14538,  -0.48166, -16.68640,  11.05260,   5.34454,  -1.21433, 175.82300,  -2.86913, -13.98020,   0.03515,  -0.07949,  17.17090,   3.90535,  -2.57904, -54.19560,   0.07979,  -0.08984, -17.45310,-174.95400,  14.59050, 171.99000,   0.02376,  -0.02115,  17.90660,   2.71912, -18.09370, -62.55200,  -0.00425,   0.00236, -16.57390
   0.06667,   0.00000,   0.00000,  -0.00000,  91.04860, -10.59910,  -0.02561, 107.89000,  86.38270,-108.25000,  -0.87407,   2.24903,  -0.70132,  -0.84598,  -5.66190,   1.06026,  16.77020, -10.73300,   3.49871, -90.35870,   2.04541, -95.05090, -75.41000,  -7.62631,   6.44740,   1.96577,   6.56762, -16.70360,   7.41274,   5.21922,   2.23291,  89.27460,   6.55356, -98.66950, -70.08020,  -5.25704,  11.39060,  -0.49913,  -1.65659, -16.73760,  11.25690,   5.33103,  -0.81577, 175.68700,  -2.67178, -13.59920,   0.03898,  -0.08930,  17.28660,   3.90656,  -2.67965, -54.42900,   0.07989,  -0.08995, -17.45420,-175.22900,  14.78530, 172.35400,   0.02227,  -0.01886,  18.08850,   2.56028, -18.03530, -62.84710,  -0.01045,   0.00579, -16.57390
   0.10000,   0.00000,   0.00000,  -0.00000,  91.12360, -10.39360,   0.13691, 107.80200,  86.40530,-108.24000,  -0.91220,   2.23067,  -0.85908,  -0.86500,  -5.87701,   1.09836,  17.05880, -10.96860,   3.78352, -90.34350,   1.97555, -95.13280, -75.31340,  -7.80659,   6.16416,   2.10665,   6.69856, -17.50230,   7.54035,   5.22160,   2.17169,  89.28300,   6.64035, -98.82330, -70.14660,  -5.37837,  11.26450,  -1.11535,  -3.66517, -16.92120,  11.50550,   5.32693,  -0.69653, 175.59000,  -2.82622, -13.40580,   0.04372,  -0.10108,  17.51030,   3.94518,  -2.36838, -54.70720,   0.07227,  -0.08125, -17.37000,-175.39100,  14.93600, 172.59900,   0.02133,  -0.01590,  18.25280,   2.41231, -18.11140, -63.11740,  -0.00711,   0.00393, -16.57390
   0.13333,   0.00000,   0.00000,  -0.00000,  91.22690, -10.20740,   0.31310, 107.94800,  86.42030,-108.48600,  -0.94429,   2.24663,  -1.05598,  -0.90616,  -6.09191,   1.20046,  17.24660, -11.23060,   4.03745, -90.33040,   1.91247, -95.20040, -75.20790,  -7.85245,   5.86886,   2.20454,   6.70111, -18.25700,   7.81597,   5.22335,   2.12690,  89.28380,   6.72068, -98.90370, -70.25890,  -5.51435,  11.19690,  -2.24089,  -7.13319, -17.48190,  11.79720,   5.31777,  -0.43201, 175.48800,  -2.71733, -13.15970,   0.04789,  -0.11168,  17.67140,   3.94430,  -2.35289, -54.94730,   0.07612,  -0.08563, -17.41240,-175.59100,  15.38810, 172.86300,   0.02164,  -0.01043,  18.40170,   2.31063, -17.90000, -63.39370,  -0.01564,   0.00861, -16.57390
   0.16667,   0.00000,   0.00000,  -0.00000,  91.30450,  -9.95959,   0.35243, 107.99300,  86.48660,-108.61900,  -1.07060,   2.21839,  -1.23016,  -0.93732,  -6.26401,   1.24334,  17.45880, -11.48110,   4.31782, -90.31530,   1.84500, -95.29970, -75.10710,  -7.81046,   5.58819,   2.27563,   6.69209, -18.82930,   8.01291,   5.22361,   2.12039,  89.28970,   6.75432, -98.98220, -70.39970,  -5.87479,  11.05580,  -3.24725,  -9.97837, -18.12350,  12.16180,   5.31575,  -0.37417, 175.44000,  -2.43554, -13.06720,   0.05039,  -0.11708,  17.85000,   3.90735,  -2.34416, -55.17000,   0.08119,  -0.09144, -17.46860,-175.71700,  15.75670, 173.01500,   0.01991,  -0.00693,  18.49460,   2.22021, -17.77260, -63.63370,  -0.01472,   0.00808, -16.57390
   0.20000,   0.00000,   0.00000,  -0.00000,  91.38000,  -9.73418,   0.36589, 108.13900,  86.55870,-108.84700,  -1.21155,   2.19776,  -1.39208,  -0.98083,  -6.45287,   1.29450,  17.61450, -11.67630,   4.51810, -90.29680,   1.75660, -95.40660, -75.04660,  -7.75455,   5.30641,   2.34404,   6.75613, -19.18500,   8.11332,   5.22405,   2.10873,  89.29620,   6.71642, -99.00350, -70.62860,  -5.98538,  10.80210,  -4.31998, -12.75910, -18.87760,  12.73490,   5.30758,  -0.14178, 175.35900,  -2.42829, -12.95780,   0.05233,  -0.12182,  17.93540,   3.92483,  -2.13182, -55.36140,   0.08159,  -0.09188, -17.47290,-175.82900,  15.99730, 173.16600,   0.02177,  -0.01122,  18.51560,   2.13474, -17.72310, -63.81920,  -0.02599,   0.01418, -16.57390
   0.23333,   0.00000,   0.00000,  -0.00000,  91.46270,  -9.60626,   0.57414, 108.35400,  86.55510,-109.14100,  -1.21098,   2.23076,  -1.54978,  -0.97754,  -6.61976,   1.31574,  17.77100, -11.87040,   4.75640, -90.27860,   1.66357, -95.48760, -75.01970,  -7.58393,   4.98876,   2.38516,   6.83501, -19.28960,   8.09272,   5.22472,   2.09187,  89.31680,   6.67761, -99.14370, -70.83560,  -6.08997,  10.59010,  -5.48899, -15.41480, -19.87160,  13.04090,   5.29520,   0.20571, 175.29500,  -2.27794, -12.69900,   0.05557,  -0.12860,  18.17380,   3.90128,  -2.15708, -55.65170,   0.08706,  -0.09816, -17.53360,-176.01500,  16.22890, 173.50200,   0.02214,  -0.01312,  18.64330,   2.01934, -17.64880, -64.09410,  -0.02039,   0.01109, -16.57390
   0.26667,   0.00000,   0.00000,  -0.00000,  91.50700,  -9.66939,   0.90759, 108.95500,  86.50140,-109.79100,  -1.13077,   2.33732,  -1.64669,  -0.88944,  -6.71685,   1.35950,  17.89720, -12.04990,   4.88466, -90.27300,   1.63335, -95.51220, -74.99140,  -7.40667,   4.67399,   2.30377,   6.66281, -19.12280,   8.09786,   5.22463,   2.09415,  89.33820,   6.67772, -99.32670, -70.93660,  -5.78882,  10.35180,  -6.96068, -18.40420, -21.13730,  13.59080,   5.28412,   0.51307, 175.27500,  -2.30735, -12.38150,   0.06188,  -0.14198,  18.60670,   3.86802,  -2.21496, -56.07810,   0.08836,  -0.09965, -17.54800,-176.21500,  16.36830, 173.95900,   0.02265,  -0.01356,  18.85470,   1.90381, -17.46010, -64.42310,  -0.03247,   0.01768, -16.57400
   0.30000,   0.00000,   0.00000,  -0.00000,  91.57540,  -9.79194,   1.41829, 108.95100,  86.41400,-109.84100,  -0.96359,   2.39649,  -1.76055,  -0.74485,  -6.73675,   1.43064,  18.11970, -12.14620,   5.03097, -90.27270,   1.62943, -95.49570, -74.93640,  -7.38831,   4.54307,   2.27269,   6.65859, -18.89380,   8.15158,   5.22455,   2.09636,  89.34150,   6.78369, -99.44210, -70.91090,  -5.04455,  10.00600,  -8.73815, -21.66480, -22.60080,  14.01040,   5.26847,   0.93863, 175.24600,  -2.38130, -11.88890,   0.06812,  -0.15377,  19.11310,   3.82205,  -2.30212, -56.58320,   0.09509,  -0.10738, -17.62280,-176.52600,  16.62720, 174.61500,   0.02151,  -0.01325,  19.13670,   1.76653, -17.13440, -64.83790,  -0.03544,   0.01938, -16.57400
   0.33333,   0.00000,   0.00000,  -0.00000,  91.63820,  -9.81360,   1.76675, 108.42400,  86.40080,-109.36700,  -0.91662,   2.34603,  -1.86686,  -0.52654,  -6.80079,   1.47761,  18.40730, -12.21450,   5.20763, -90.28120,   1.67718, -95.47790, -74.82440,  -7.32548,   4.54377,   2.27500,   6.77502, -18.61080,   8.04744,   5.22382,   2.11452,  89.33390,   6.89364, -99.46660, -70.86940,  -4.27835,   9.50454, -10.25780, -24.04190, -23.94830,  14.27650,   5.26082,   1.14508, 175.21800,  -2.36777, -11.55840,   0.07218,  -0.15925,  19.56630,   3.78037,  -2.33628, -57.02730,   0.09350,  -0.10555, -17.60510,-176.77400,  16.93540, 175.07200,   0.02164,  -0.01357,  19.40070,   1.66010, -16.81020, -65.20610,  -0.03810,   0.02082, -16.57390
