time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  85.50790, -46.38750,  -3.78785, 109.75400,  85.54530,-109.01500,   0.60184,   2.96408,   1.46271,  -8.36206,  11.61680,   1.87339,   3.38516,  16.47520,  -0.98887, -89.91840,  -0.78826, -99.08830, -52.32630, -23.63210, -22.83540,   8.50389,  -7.77158,-132.12900,   9.40137,   5.34507,  -1.23007,  90.19750,  -4.53443,-102.50300, -61.46200,  29.48360, -40.16200,  16.40890, -14.21280,-129.81900,  14.48940,   5.25013,   1.42954,-160.96000, -20.10770, -24.39940,   0.43018,  -0.64836,  33.86580, -14.17160,   3.11696, -54.47090,  -0.12763,   0.08167, -16.57540, 170.26700,   8.13456, 163.08300,  -0.07735,   0.10889,  41.20740, -14.65030,  -4.25559, -72.82090,   0.02517,  -0.02614, -16.77590
   0.03333,   0.00000,   0.00000,  -0.00000,  85.17500, -46.29260,  -3.53114, 109.03000,  85.30200,-108.20500,   1.09712,   3.01442,   1.62176,  -8.38301,  11.54480,   1.95418,   3.02969,  16.34750,  -1.12760, -89.95060,  -0.47087, -99.00720, -53.20400, -23.34940, -23.48790,   9.19022,  -8.39274,-132.05400,   8.77425,   5.34749,  -1.30221,  90.18200,  -4.23744,-102.53800, -62.05420,  29.31490, -39.73250,  16.93200, -14.31520,-129.53800,  14.53100,   5.25004,   1.43090,-160.54700, -20.61950, -25.25930,   0.47885,  -0.66529,  36.06160, -14.02130,   4.10482, -55.11510,  -0.13988,   0.08980, -16.57520, 170.29800,   8.83623, 162.56800,  -0.07295,   0.09884,  43.08210, -14.48990,  -3.32194, -73.44870,   0.03190,  -0.03315, -16.83000
   0.06667,   0.00000,   0.00000,  -0.00000,  84.91310, -46.33900,  -3.43740, 108.97400,  85.20670,-108.05700,   1.27797,   3.06356,   1.79868,  -8.30932,  11.55610,   2.06429,   2.99670,  16.45910,  -1.26673, -89.98800,  -0.11606, -99.05130, -54.54280, -22.70290, -23.59940,   9.59924,  -8.79861,-132.12700,   8.63570,   5.35039,  -1.38903,  90.16960,  -3.89270,-102.50300, -61.92980,  29.16180, -39.38120,  16.72580, -14.30350,-129.38800,  14.61890,   5.24791,   1.48762,-160.32000, -21.26740, -25.55120,   0.51213,  -0.68700,  37.03340, -13.82490,   4.83374, -55.33210,  -0.14798,   0.09493, -16.57510, 170.32100,   9.10654, 162.46300,  -0.08101,   0.10579,  43.75630, -14.41420,  -2.84025, -73.62460,   0.04412,  -0.04593, -16.92840
   0.10000,   0.00000,   0.00000,  -0.00000,  84.85940, -46.60810,  -3.42880, 109.29600,  85.21540,-108.37300,   1.24352,   3.10792,   1.81104,  -8.21790,  11.67760,   2.26632,   3.06853,  16.72220,  -1.25340, -90.01210,   0.11549, -99.03590, -55.83610, -22.03390, -23.47610,   9.37075,  -8.62805,-132.27100,   8.46864,   5.35173,  -1.42916,  90.16160,  -3.77088,-102.54500, -62.21650,  29.58230, -39.09810,  16.93440, -14.34220,-129.13900,  14.38230,   5.23850,   1.73500,-160.41000, -22.12390, -25.11400,   0.52176,  -0.71482,  36.46410, -13.58450,   5.31707, -54.97930,  -0.15391,   0.09827, -16.57490, 170.32600,   8.74221, 162.77600,  -0.08653,   0.11412,  43.07320, -14.44830,  -3.00881, -73.28330,   0.04181,  -0.04350, -16.90970
   0.13333,   0.00000,   0.00000,  -0.00000,  84.97930, -46.85540,  -3.51157, 109.45900,  85.32270,-108.58400,   1.03331,   3.06354,   1.72129,  -8.18864,  11.82020,   2.47722,   3.28037,  17.09310,  -1.13222, -90.02250,   0.21415, -99.01720, -56.77760, -21.48440, -23.29280,   9.47581,  -8.75273,-132.35700,   8.51268,   5.35288,  -1.46386,  90.16120,  -3.91788,-102.64200, -62.43100,  30.27700, -38.95650,  17.04140, -14.39510,-129.07500,  14.28080,   5.23516,   1.82140,-160.73900, -22.69750, -24.24100,   0.51215,  -0.74906,  34.70540, -13.40550,   5.47664, -54.21390,  -0.13762,   0.08747, -16.57530, 170.24500,   8.47211, 163.40900,  -0.10549,   0.14247,  41.34350, -14.44280,  -3.30459, -72.44210,   0.04474,  -0.04658, -16.93340
   0.16667,   0.00000,   0.00000,  -0.00000,  85.23280, -46.91920,  -3.61588, 109.43000,  85.46940,-108.63100,   0.76046,   2.96437,   1.57833,  -8.19401,  11.87900,   2.51094,   3.49476,  17.28640,  -0.89244, -90.01350,   0.12743, -98.99040, -57.51340, -21.06800, -23.40300,   9.56446,  -8.83388,-132.34600,   8.60631,   5.35334,  -1.47744,  90.17110,  -4.17889,-102.65300, -62.38050,  30.93130, -39.04860,  17.00910, -14.44140,-129.21900,  14.56140,   5.23702,   1.77317,-161.27900, -22.91450, -23.40140,   0.47883,  -0.76226,  32.49440, -13.23660,   5.17358, -53.00750,  -0.12485,   0.06941, -16.80700, 170.03700,   8.85317, 164.20600,  -0.16626,   0.22793,  39.09380, -14.53710,  -3.97454, -71.24670,   0.08206,  -0.08590, -17.23530
   0.20000,   0.00000,   0.00000,  -0.00000,  85.35610, -46.96570,  -3.85166, 109.71600,  85.57590,-108.92500,   0.54500,   2.93421,   1.56807,  -8.21245,  11.84680,   2.45784,   3.74653,  17.30170,  -1.03710, -89.99990,  -0.00231, -99.01000, -58.01960, -20.86480, -23.77080,   9.35150,  -8.62135,-132.31200,   8.91083,   5.35174,  -1.42971,  90.18770,  -4.60383,-102.66100, -62.18480,  31.24960, -39.37730,  16.64340, -14.28630,-129.53800,  14.90780,   5.24134,   1.66070,-161.71400, -23.07020, -22.80830,   0.43746,  -0.75020,  30.60340, -13.09690,   4.76908, -52.00520,  -0.12104,   0.06053, -16.95210, 169.88400,   9.21371, 164.78200,  -0.26437,   0.37247,  37.11720, -15.00200,  -5.62074, -70.16770,   0.12316,  -0.12966, -17.56930
   0.23333,   0.00000,   0.00000,  -0.00000,  85.40760, -47.08830,  -4.13537, 110.44400,  85.61300,-109.64200,   0.43606,   3.01236,   1.59078,  -8.26302,  11.82010,   2.39173,   4.08848,  17.14370,  -1.39614, -89.98440,  -0.14935, -99.04380, -58.30690, -20.89330, -24.42930,   9.56067,  -8.76351,-132.13000,   9.32351,   5.35398,  -1.49721,  90.19890,  -4.87651,-102.66200, -62.07090,  31.14100, -39.75860,  16.72270, -14.40350,-129.69000,  14.98700,   5.24650,   1.52488,-162.00300, -23.31210, -22.50520,   0.40151,  -0.72447,  29.36050, -13.02290,   4.49309, -51.80430,  -0.13367,   0.08409, -16.57550, 169.84700,   9.64875, 164.72500,  -0.30865,   0.44150,  36.34660, -15.32040,  -6.79553, -69.92190,   0.15486,  -0.16377, -17.82880
   0.26667,   0.00000,   0.00000,  -0.00000,  85.56450, -47.18110,  -4.24551, 110.30800,  85.57970,-109.52700,   0.50643,   3.01785,   1.54647,  -8.29824,  11.80560,   2.25117,   4.31365,  16.95190,  -1.67904, -89.96740,  -0.31662, -99.12720, -58.30460, -21.52200, -25.13520,   9.39198,  -8.61546,-132.16500,   9.34246,   5.35172,  -1.42914,  90.20510,  -5.09207,-102.69100, -62.04850,  30.59520, -40.28410,  16.78440, -14.51260,-129.72000,  15.05250,   5.24485,   1.56837,-162.11600, -23.01570, -23.18340,   0.38303,  -0.67407,  29.93330, -13.13350,   4.17872, -51.98230,  -0.13784,   0.08683, -16.57520, 169.70700,  10.12220, 163.81700,  -0.31800,   0.43993,  37.12850, -15.77630,  -7.96762, -69.62820,   0.15768,  -0.16681, -17.85170
   0.30000,   0.00000,   0.00000,  -0.00000,  85.60050, -47.13070,  -4.35288, 109.05500,  85.46530,-108.30200,   0.78932,   2.91401,   1.48523,  -8.35322,  11.78870,   2.13414,   4.23601,  16.87230,  -1.77175, -89.96670,  -0.32242, -99.10120, -57.90230, -22.38360, -26.14830,   9.18888,  -8.40524,-132.10400,   9.53993,   5.35040,  -1.38936,  90.20840,  -4.90382,-102.56400, -61.90020,  29.86340, -41.02680,  16.62060, -14.31460,-129.67800,  15.24050,   5.24233,   1.63415,-162.01500, -22.43400, -24.69620,   0.41505,  -0.67522,  31.92470, -13.32830,   3.84304, -52.65180,  -0.15105,   0.09538, -16.57520, 169.80200,  10.69600, 162.11600,  -0.17750,   0.23288,  39.56730, -15.80660,  -7.66809, -70.31310,   0.08667,  -0.09077, -17.27270
