time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.50410,   4.18439,  -7.19057,  69.56610,  81.96290, -69.79080,   7.31207,  -5.59038,  -0.09176,  -5.71885,  -1.85102,  -1.99853, -12.17450,  -0.98377,   2.13766, -90.91660,   4.10517, -92.40580, -61.63310,   5.90013, -13.42420,  -5.18547,   1.80927,-109.13400,  16.18070,   5.48528,  -5.92499,  87.39930,   8.93754, -88.69660, -67.23890,  20.08770,  29.68790,   1.26298,   0.40948, -72.00080,  20.10630,   5.64226, -14.33890,-179.75100,   0.73203, -11.95340,   0.12144,  -0.05377,  48.58340,   7.85666,   3.92238, -82.57670,   0.31770,  -0.60062, -26.79920, 177.60200,   8.90951, 133.02700,   0.49995,   0.21581, 115.92900,  -9.94897,   3.61452,  -7.91964,   0.38458,  -0.46224, -20.99600
   0.03333,   0.00000,   0.00000,  -0.00000,  85.44660,   5.73195,  -8.95309,  57.37320,  82.50240, -56.15400,   4.99033,  -8.09853,   2.79228,  -5.82427,  -1.63185,  -1.29500, -10.70830,   1.72885,   2.06110, -90.32260,   1.51808, -92.99880, -63.52610,   9.14005, -14.85740,  -7.59971,   3.28858,-113.26400,  14.82440,   5.51109,  -6.97767,  88.17400,   5.64854, -87.04910, -69.87260,  20.85480,  37.09690,   2.37601,   0.57737, -76.35430,  17.12850,   5.63992, -14.09260,-177.19800,   3.32433,  -3.79299,   0.06280,  -0.04304,  33.37520,   4.14951,   4.93013, -59.34370,   0.59122,  -1.65223, -43.17710,-177.59900,   7.62719, 132.39900,   0.21676,   0.02129, 101.31000,  -4.76375,   3.87093, -21.66450,   0.36677,  -0.43917, -20.78180
   0.06667,   0.00000,   0.00000,  -0.00000,  85.01400,   4.95742,  -9.74630,  51.99730,  82.85020, -50.12400,   3.68699,  -8.85993,   4.03413,  -6.25369,  -1.21269,  -0.35383,  -9.52453,   3.52000,   2.51597, -89.72090,  -1.26396, -92.55220, -63.57380,  13.24810, -17.04520,  -6.38552,   3.09356,-115.74600,  12.97310,   5.47613,  -5.59393,  89.34080,   1.96207, -86.41510, -73.44330,  18.89260,  43.63430,   3.11880,   0.49640, -80.77940,  15.86730,   5.62432, -12.91130,-174.28000,  -0.85293,   3.32728,  -0.06733,   0.23466,  18.95270, -12.73410,   4.53292, -30.99390,   0.58006,  -1.56222, -41.81470,-175.99700,   4.28513, 134.04000,   0.05913,  -0.02077,  86.18210,   0.37629,   1.91761, -29.98500,   0.36754,  -0.44017, -20.79110
   0.10000,   0.00000,   0.00000,  -0.00000,  84.79660,   4.44974, -10.11050,  48.61930,  82.99890, -46.22760,   2.97549,  -9.34755,   5.03008,  -6.11951,  -0.66959,   0.52938,  -8.67429,   4.84037,   3.03834, -89.01710,  -4.51950, -92.71420, -62.56480,  16.02710, -19.35990,  -5.87003,   3.10033,-117.74400,  12.21050,   5.45616,  -4.86069,  90.93630,  -2.65061, -85.55110, -78.24600,  18.17420,  47.56890,   4.04206,   0.39622, -84.39930,  16.08940,   5.60029, -11.36270,-170.89700,  -7.01524,   8.62972,  -0.02717,   0.12658,  15.83490, -23.07510,  -0.94833, -24.37780,   0.15528,  -0.26151, -21.14850,-175.70700,   2.04809, 136.89700,   0.02108,  -0.02059,  71.00240,   0.77266,   3.44351, -32.67660,   0.39579,  -0.47685, -21.13140
   0.13333,   0.00000,   0.00000,  -0.00000,  85.98320,   4.72217, -10.07770,  43.77450,  82.82430, -41.42830,   2.41959, -10.46440,   4.91950,  -5.78157,  -0.69873,   1.56418,  -7.79818,   6.31746,   3.37559, -88.52710,  -7.20805, -93.41760, -60.53170,  17.56150, -20.25620,  -7.23127,   4.17243,-119.82600,  12.64590,   5.45934,  -4.97474,  92.39510,  -6.29380, -84.12100, -82.39350,  19.22840,  50.00080,   6.86882,   0.23740, -88.01850,  14.46390,   5.58374, -10.40680,-169.55400, -12.58980,  10.22970,   0.09000,  -0.16830,  24.25010, -14.35720,   2.69344, -24.85330,   0.15947,  -0.26926, -21.28060,-176.78800,   2.55052, 140.98300,   0.00190,  -0.01537,  55.29290,  -1.63275,   6.13506, -32.82710,   0.40532,  -0.48934, -21.24680
   0.16667,   0.00000,   0.00000,  -0.00000,  87.42520,   4.68963,  -9.00571,  42.16780,  82.46200, -40.11970,   2.60597, -11.25730,   4.35917,  -5.26098,  -1.18719,   2.30159,  -7.50618,   7.57819,   4.00055, -88.14630,  -9.35291, -93.73610, -58.15370,  19.03030, -20.75150, -10.00640,   6.08824,-121.00700,  14.72530,   5.48945,  -6.09974,  93.33450,  -8.27143, -82.95330, -84.66590,  20.40170,  51.41210,  10.39470,  -0.28708, -91.55890,  10.69400,   5.57892, -10.14570,-169.62200, -12.88090,  11.54890,   0.24794,  -0.33176,  34.73770,  -9.83753,   0.20253, -23.43940,   0.14854,  -0.24912, -20.93630,-177.50400,   4.33363, 146.37200,  -0.01977,   0.01523,  39.86670,  -3.10337,   8.79524, -33.64690,   0.40285,  -0.48611, -21.21690
   0.20000,   0.00000,   0.00000,  -0.00000,  88.22880,   4.07875,  -8.13100,  42.60630,  82.39030, -40.57930,   2.78906, -11.28010,   4.33554,  -4.61982,  -1.19989,   2.21201,  -7.53136,   7.57844,   4.41461, -87.86950, -10.81540, -93.78640, -56.41810,  20.19670, -20.97210, -13.45510,   8.26526,-121.00000,  16.33890,   5.51758,  -7.25314,  93.95820,  -9.60703, -82.48070, -85.71540,  20.78490,  51.29610,  13.11700,  -0.92538, -93.96220,   8.18889,   5.57100,  -9.73233,-169.83700, -11.58050,  11.47760,   0.45945,  -0.41144,  46.73960, -11.17760,   0.08868, -20.37390,   0.13981,  -0.23317, -20.66340,-177.18700,   6.57991, 151.16100,  -0.03785,   0.06612,  25.45580,  -5.89347,  10.48700, -34.43390,   0.40490,  -0.48879, -21.24170
   0.23333,   0.00000,   0.00000,  -0.00000,  88.85040,   3.23311,  -7.80892,  43.24070,  82.50110, -41.07320,   2.76730, -11.01080,   4.60778,  -4.32984,  -0.98198,   1.71538,  -7.43402,   7.07078,   4.39970, -87.59880, -11.48640, -93.10840, -55.10110,  20.99780, -21.40500, -15.92670,   9.56377,-120.20900,  16.65080,   5.52339,  -7.50823,  94.09250, -10.11980, -82.84350, -85.37620,  20.59510,  49.83950,  13.57200,  -1.31899, -95.44700,   7.97080,   5.54962,  -8.69580,-170.07800, -10.46890,  10.08510,   0.73306,  -0.40595,  59.95970, -14.80580,   2.07928, -17.64740,   0.14061,  -0.23458, -20.68750,-176.56700,   8.35397, 152.98600,  -0.04361,   0.14083,  16.88760,  -7.24849,  11.57940, -38.41470,   0.37861,  -0.45450, -20.92420
   0.26667,   0.00000,   0.00000,  -0.00000,  88.67700,   2.41302,  -8.30817,  44.65730,  82.92380, -42.03680,   2.45655, -10.18080,   5.46546,  -4.00611,  -0.73384,   0.98544,  -7.77586,   6.20315,   4.10281, -87.52920, -10.95450, -92.20570, -53.45080,  21.29650, -22.40140, -16.09400,   9.16921,-118.91100,  16.32290,   5.51150,  -7.00418,  93.54000,  -9.07412, -83.58290, -83.15530,  19.68990,  47.27110,  13.56540,  -1.59779, -96.59310,   9.34860,   5.52606,  -7.62795,-170.01300,  -9.51341,   6.16165,   1.05688,  -0.27395,  74.81410, -16.29410,   0.45055, -14.26190,   0.13938,  -0.23241, -20.65020,-174.26700,  10.14520, 151.22400,  -0.03299,   0.14948,  15.42730,  -5.63524,   9.13323, -40.42110,   0.37764,  -0.45321, -20.91230
   0.30000,   0.00000,   0.00000,  -0.00000,  88.50790,   1.97831,  -8.58892,  47.66000,  83.26470, -44.59990,   2.47439,  -9.20717,   6.32385,  -3.60970,  -0.37290,  -0.12901,  -8.64084,   5.16273,   3.83092, -87.82170,  -9.06901, -91.43150, -51.23710,  21.11550, -23.47740, -15.70800,   8.29375,-117.15400,  16.49280,   5.50523,  -6.74481,  92.42060,  -6.53135, -84.61670, -79.34340,  18.21780,  43.30360,  12.62990,  -1.61534, -97.17140,  11.19830,   5.51200,  -7.02920,-170.33500,  -8.36551,   0.68246,   1.26027,   0.01808,  90.49320, -13.85770,  -2.57842, -10.82950,   0.12777,  -0.21157, -20.29180,-172.25800,  12.12770, 148.39200,  -0.03964,   0.12957,  20.10340,  -5.05088,   5.54739, -38.39940,   0.36793,  -0.44066, -20.79560
