time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.13430,   0.70850, -10.47760,  75.67810,  85.53790, -76.43920,   0.86781,  -2.16095,  -1.50468,  -3.77562,  -4.11266,   0.98303, -10.86490,  -4.08171,   4.97749, -91.63230,   6.94412, -91.73880, -61.98620,   9.11858, -20.16450,  -9.56190, -23.60900, -22.80600,  19.35350,   5.58039, -10.23290,  87.84180,  16.14100, -97.28040, -67.86640,   6.77812,  15.56060,  -0.09003,  -0.25327, -17.64850,   4.91184,   5.13572,   4.30534,-176.16100,  -2.28363, -21.98640,   0.04983,  -0.00052,  53.73760,  -0.23716,  -1.11616, -87.42280,   0.10501,  -0.17153, -19.59970, 172.11400,  -2.24232, 147.12000,   0.96139,   0.34979, 110.76600,  -0.12356,   1.52912, -23.31790,   0.34592,  -0.41236, -20.53210
   0.03333,   0.00000,   0.00000,  -0.00000,  86.60540,   3.03680, -11.26990,  63.19430,  85.38920, -63.41080,   0.45934,  -4.14354,  -0.41616,  -4.24973,  -4.06877,   0.81897, -10.95870,  -3.05768,   4.91281, -91.17450,   5.16892, -92.18140, -59.24850,   7.51756, -27.41040, -13.68480, -20.39500, -34.95490,  20.57120,   5.60055, -11.35900,  87.58800,  15.42230, -95.99850, -69.48560,   4.35704,  24.04920,   1.70704,   6.22994, -15.36570,   4.90725,   5.10506,   4.99725,-174.32500,  -1.18834, -15.72180,   0.00480,   0.03884,  45.87740,  -0.83653,   1.15400, -83.34290,   0.20487,  -0.35631, -22.75570, 175.62600,   0.06353, 139.96400,   0.82754,   0.28527, 109.99900,   2.01793,  -0.42900, -28.45550,   0.34095,  -0.40602, -20.47290
   0.06667,   0.00000,   0.00000,  -0.00000,  85.79150,   6.22029, -12.99340,  48.03560,  84.99110, -47.39800,  -0.27608,  -6.74186,   1.25936,  -5.30792,  -4.30042,   0.67432, -12.12970,  -2.06495,   4.93644, -90.58270,   2.63069, -92.50720, -57.86820,   5.04912, -31.68270, -15.05790, -14.67630, -46.72770,  24.27690,   5.61154, -12.02210,  87.51970,  13.69290, -94.62840, -70.54760,   1.83025,  31.28900,   1.33971,   4.46600, -16.73930,   5.75863,   5.13404,   4.32400,-171.59600,  -1.00670, -11.15530,  -0.01896,   0.07244,  36.97340,  -1.49911,   4.54414, -72.04000,   0.40535,  -0.82986, -30.48650,-179.79700,   1.90143, 134.88500,   0.65161,   0.12258, 101.87100,   1.71287,  -1.76192, -33.90170,   0.36780,  -0.44049, -20.79410
   0.10000,   0.00000,   0.00000,  -0.00000,  85.27830,   8.30588, -15.09030,  36.37230,  84.91130, -34.96310,  -1.63129,  -8.30829,   2.70303,  -5.78337,  -4.59540,   0.56658, -12.96340,  -1.81184,   4.93155, -90.15420,   0.67466, -92.11360, -56.63770,   4.08352, -34.90470, -15.76460, -11.56930, -54.94350,  28.25680,   5.63948, -14.03680,  87.72440,  11.25370, -93.48900, -71.44170,  -1.09960,  36.94410,   0.87587,   2.65139, -18.31020,   5.51853,   5.15964,   3.71155,-169.18400,  -4.20280,  -8.33440,   0.01267,   0.01855,  28.75270,  -2.32916,  10.37440, -54.70330,   0.56714,  -1.47494, -40.48910,-176.65300,   1.95407, 131.87300,   0.47505,  -0.02491,  88.60000,   0.80849,  -1.69054, -39.67140,   0.33547,  -0.39903, -20.40760
   0.13333,   0.00000,   0.00000,  -0.00000,  85.86930,   7.60629, -15.73280,  31.43270,  85.19150, -29.84450,  -2.64478,  -8.34698,   2.98771,  -5.34661,  -4.28269,   0.40092, -12.35680,  -2.17471,   5.32347, -89.82680,  -0.69691, -91.04990, -58.33240,   2.90617, -36.46860, -16.00910, -10.16470, -58.48810,  27.67530,   5.64552, -14.57570,  88.07300,   9.34748, -93.29720, -71.80450,  -2.90732,  40.43880,   0.92588,   2.86609, -17.93000,   4.72265,   5.16611,   3.55527,-168.92000,  -5.56325,  -4.63376,   0.05278,  -0.07955,  25.21980,  -4.25769,  12.30500, -42.27690,   0.42717,  -0.89482, -31.51590,-176.28400,   1.17909, 132.66000,   0.30140,  -0.10623,  72.40970,   0.47559,  -1.59912, -43.92370,   0.37984,  -0.45608, -20.93880
   0.16667,   0.00000,   0.00000,  -0.00000,  87.46750,   5.81050, -14.74740,  31.53470,  85.37820, -30.20690,  -2.84950,  -7.99834,   2.46003,  -5.00699,  -4.01277,   0.62139, -10.93880,  -2.04091,   5.86705, -89.81230,  -0.73342, -90.64380, -61.40470,   1.93157, -34.86100, -17.25280, -10.60780, -59.43850,  25.35310,   5.63832, -13.98580,  88.00430,  10.10940, -93.77120, -70.47230,  -2.30945,  41.50610,   0.87336,   3.05645, -15.97810,   5.74387,   5.14561,   4.04203,-170.86800,  -2.74857,  -1.92214,   0.10658,  -0.15219,  31.26920,  -6.28026,   8.82114, -35.54210,   0.18472,  -0.31699, -22.09190,-176.93300,   2.47215, 136.98400,   0.14978,  -0.11338,  54.37000,  -0.21501,  -1.68984, -47.81550,   0.36321,  -0.43458, -20.73900
   0.20000,   0.00000,   0.00000,  -0.00000,  89.35640,   5.03635, -11.67010,  38.33460,  85.04150, -37.24510,  -1.54280,  -7.86562,   2.07494,  -4.57885,  -4.30033,   0.98104, -10.55550,  -1.59492,   5.81153, -89.97060,  -0.12124, -91.40170, -63.53120,   2.73199, -30.38530, -18.88090, -12.29890, -58.08370,  25.35310,   5.63701, -13.87910,  87.89920,  10.91560, -94.03660, -68.62310,  -2.56828,  39.47120,   0.91136,   3.43993, -14.86340,   7.79405,   5.11754,   4.70840,-172.88000,  -0.00523,  -0.71689,   0.19942,  -0.16492,  46.88810,  -8.35100,   8.24766, -33.99520,   0.17097,  -0.29081, -21.64760,-177.54500,   5.62967, 143.90800,   0.04502,  -0.04905,  38.47740,  -1.71068,   2.08683, -53.34100,   0.36994,  -0.44327, -20.81990
   0.23333,   0.00000,   0.00000,  -0.00000,  90.25610,   4.30582,  -8.70536,  46.89540,  84.80930, -45.75780,  -0.10973,  -7.17044,   2.26925,  -3.97878,  -4.62305,   1.65135, -10.52490,  -1.46541,   5.44903, -90.15030,   0.63690, -91.72650, -64.73370,   6.32705, -24.97820, -17.89980, -13.71470, -53.71760,  24.23010,   5.62843, -13.19680,  87.87860,  11.44780, -94.42780, -66.92260,  -3.80368,  34.81960,   0.43736,   1.56667, -15.66130,   7.59124,   5.13190,   4.37011,-173.44000,   1.49287,  -1.74872,   0.39123,  -0.16612,  65.21700, -12.27230,   7.40867, -28.03900,   0.15481,  -0.26063, -21.13350,-176.09000,  10.82660, 148.11500,   0.01636,  -0.00489,  29.56140,  -1.66767,   6.93716, -48.38810,   0.27726,  -0.32579, -19.71990
   0.26667,   0.00000,   0.00000,  -0.00000,  90.75340,   3.81165,  -7.25535,  52.45080,  85.16840, -51.19330,  -0.03460,  -5.97327,   2.51349,  -2.88170,  -4.96130,   2.06920,  -9.96258,  -2.11217,   5.30664, -90.49950,   2.11742, -91.72230, -64.63140,  12.77640, -18.62910, -15.37690, -14.61080, -47.46560,  20.93930,   5.60733, -11.72560,  87.65690,  12.57870, -94.35940, -65.42650,  -3.56360,  28.69430,  -0.54288,  -1.67508, -17.88880,   6.57509,   5.17372,   3.37002,-172.55900,   2.34736,  -5.89373,   0.65551,  -0.06211,  84.18630, -15.44630,   4.27500, -19.87040,   0.13230,  -0.21964, -20.43070,-175.00700,  13.18860, 147.79400,   0.11301,  -0.09736,  41.98100,   7.13719,   3.59356, -64.71310,   0.01885,  -0.02103, -16.78160
   0.30000,   0.00000,   0.00000,  -0.00000,  90.44310,   3.11595,  -7.26597,  57.83480,  85.97390, -56.25980,  -0.88707,  -4.40470,   3.11572,  -2.46933,  -5.04544,   2.17506,  -8.77534,  -2.89915,   5.18494, -91.04710,   4.57689, -92.09860, -66.46900,  16.85130,  -9.46405, -10.77280, -13.13610, -39.91980,  15.72060,   5.57256,  -9.76186,  87.03270,  15.46810, -94.00130, -62.25080,  -0.16694,  20.62360,  -2.12861,  -5.64907, -20.66240,   7.13236,   5.20243,   2.65936,-170.09500,   2.64542, -13.86000,   0.92191,   0.19655, 102.23700, -14.12410,   3.29197, -15.67800,   0.11861,  -0.19530, -20.01130,-175.56700,   7.50738, 148.01000,   0.14216,  -0.08593,  50.68920,   5.95410,  -2.40765, -74.79900,  -0.10077,   0.10990, -15.47700
   0.33333,   0.00000,   0.00000,  -0.00000,  89.85940,   0.94753,  -6.78399,  69.22650,  85.91180, -67.41430,  -0.07007,  -3.02311,   3.62109,  -3.12261,  -4.43731,   2.64073,  -9.59877,  -2.63068,   4.97730, -91.30010,   5.56076, -91.81830, -71.41720,  16.32510,  -0.40918,  -6.78408, -12.93130, -27.99440,  12.98060,   5.54642,  -8.52923,  86.86190,  17.50170, -94.66810, -58.44900,   3.56195,   7.65512,  -3.70557,  -8.66270, -23.25760,  10.01220,   5.19240,   2.90460,-168.65600,   2.09496, -22.89960,   0.97232,   0.45115, 115.38000, -10.79140,   5.63485, -12.09270,   0.11213,  -0.18391, -19.81430,-175.45500,   3.10960, 150.15500,   0.16453,  -0.07963,  55.13660,   5.49814,  -5.31260, -79.91070,  -0.13599,  -0.05572, -16.16340
   0.36667,   0.00000,   0.00000,  -0.00000,  89.54820,  -0.79233,  -6.67384,  78.84470,  85.68960, -77.02670,   0.72319,  -1.77895,   3.64476,  -3.64880,  -4.05679,   3.14689, -10.67030,  -2.62632,   4.94681, -91.18040,   4.99060, -91.67490, -76.77250,  13.82410,   6.59816,  -2.23976, -10.59320, -11.90450,  11.11320,   5.50006,  -6.50022,  87.47670,  16.64610, -96.25460, -57.24820,   1.33647,  -5.27706,  -4.99768,  -9.39967, -28.15330,  11.02120,   5.21872,   2.24564,-168.67200,   1.76492, -32.25680,   0.89619,   0.54392, 121.96900,  -8.40281,   8.37071, -11.65460,   0.11780,  -0.19387, -19.98650,-175.78000,   3.05202, 154.84700,   0.17204,  -0.08157,  53.95640,   5.82004,  -4.03019, -82.68850,  -0.13591,  -0.18479, -16.86340
