time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.25130,   2.00070,  -5.73561,  86.22860,  81.10000, -88.32140,   9.97864,  -1.20388,  -4.07775,  -3.26631,  -5.53331,   1.25118, -10.29570,  -7.17751,   8.20225, -90.77000,   2.77991, -89.52940, -52.45080,   8.91159, -14.22820,  -5.89842,  -3.25456, -61.20010,  14.32340,   5.64831, -14.86250,  88.25280,   9.80374, -94.84200, -61.97760,  11.57920,  24.45490,   3.42262,   3.31012, -46.03470,   0.94968,   5.63001, -13.34650,-176.10800,  -9.52685, -23.63390,   0.08156,  -0.02687,  64.14480,   1.41982,   2.80743, -92.73380,   0.08898,  -0.14398, -19.12080, 173.98700,  19.02350, 143.84700,   0.80175,  -0.01809,  88.88720,  -7.95901,  -3.67642, -54.51570,   0.33376,  -0.39683, -20.38700
   0.03333,   0.00000,   0.00000,  -0.00000,  88.55640,   3.92249,  -6.24886,  76.07120,  81.27230, -77.20680,   9.15351,  -4.19277,  -1.93420,  -2.75540,  -5.15881,   1.46067,  -9.14803,  -3.93637,   7.58783, -89.82390,  -0.73795, -91.51620, -51.59780,   7.69940, -18.79610,  -5.40672,  -2.23964, -67.57530,  14.20420,   5.63222, -13.49870,  88.14220,   8.42001, -92.50690, -61.35530,  13.46400,  30.21270,   2.54521,   2.16882, -49.60310,  -0.62339,   5.62621, -13.05310,-173.52600,  -8.92270, -16.21370,   0.07367,  -0.03201,  56.78260,   0.47130,   5.22423, -90.76350,   0.15475,  -0.26049, -21.13100, 178.49900,  22.10110, 137.77200,   0.59767,  -0.07438,  83.29680,  -8.56062,  -1.58211, -58.86940,   0.30954,  -0.36618, -20.10010
   0.06667,   0.00000,   0.00000,  -0.00000,  88.25940,   4.93959,  -7.09987,  67.65680,  81.31170, -67.94680,   8.33055,  -6.57694,  -0.10047,  -1.82634,  -4.77103,   1.52477,  -7.96669,  -1.11657,   6.91774, -89.06630,  -4.32863, -92.80910, -51.72790,   5.92831, -21.60160,  -4.97394,  -1.60561, -72.15640,  13.86280,   5.61207, -12.07890,  88.20950,   6.84458, -90.29920, -60.07650,  14.14990,  34.19840,   3.07788,   2.28625, -53.46900,  -1.36858,   5.62377, -12.88660,-171.23600,  -9.53907,  -9.39766,   0.07967,  -0.04760,  48.85440,  -0.84199,   8.35528, -84.21340,   0.30484,  -0.57034, -26.30500,-177.39200,  23.73790, 133.55100,   0.36351,  -0.11235,  73.58260,  -9.33885,   1.15620, -62.34210,   0.31567,  -0.37390, -20.17240
   0.10000,   0.00000,   0.00000,  -0.00000,  88.15210,   5.62556,  -8.93554,  59.90690,  81.49610, -59.35850,   7.04963,  -8.50206,   1.62190,  -0.61375,  -4.32199,   1.53337,  -6.86341,   1.13362,   6.15629, -88.53480,  -7.37613, -93.73090, -52.47420,   4.23372, -22.56800,  -4.71015,  -1.17526, -76.03070,  12.68620,   5.59053, -10.78820,  88.44180,   5.21207, -88.32590, -58.90200,  14.00410,  36.84580,   2.86427,   1.84990, -57.17940,  -0.95813,   5.62354, -12.86640,-169.21500, -11.50450,  -5.55142,   0.10485,  -0.08105,  43.20600,  -1.28407,  11.57890, -73.73110,   0.49464,  -1.12640, -35.13950,-172.82100,  25.12710, 129.76600,   0.16792,  -0.09822,  61.06230,  -9.35192,   0.66528, -63.50180,   0.30682,  -0.36276, -20.06780
   0.13333,   0.00000,   0.00000,  -0.00000,  88.82020,   6.72921, -10.76740,  52.19710,  81.38690, -50.94330,   6.04160, -10.54990,   3.06854,   0.30243,  -4.03622,   1.50723,  -5.85569,   2.89392,   5.11660, -88.22560,  -9.19979, -94.03380, -53.50340,   2.91818, -22.36050,  -3.74250,  -0.66797, -79.89720,  12.85340,   5.56886,  -9.63289,  88.88080,   3.34271, -86.46930, -58.19460,  12.68580,  37.77730,   4.02121,   2.28796, -60.41010,  -0.51708,   5.62088, -12.67990,-168.20000, -12.63680,  -3.91306,   0.16708,  -0.15733,  40.37260,  -1.61237,  14.06580, -60.98600,   0.60538,  -1.80694, -45.51140,-169.39000,  26.52670, 127.43600,   0.05142,  -0.05314,  46.68210,  -9.57873,  -0.04896, -61.25770,   0.33610,  -0.39983, -20.41520
   0.16667,   0.00000,   0.00000,  -0.00000,  90.35640,   7.25307, -11.10660,  49.00300,  80.91040, -47.40210,   6.22840, -11.91490,   3.85778,   1.07384,  -3.85031,   1.91436,  -5.59212,   4.24951,   3.69136, -88.03240, -10.10810, -93.92480, -55.60290,   1.93092, -21.46940,  -4.43173,  -0.48824, -83.72030,  13.44560,   5.56507,  -9.43890,  89.38110,   1.68072, -84.77540, -57.98900,  10.28910,  37.42070,   4.83056,   2.49392, -62.75840,   0.09289,   5.61556, -12.32220,-168.13400, -12.36510,  -1.51376,   0.25549,  -0.26670,  39.32080,  -4.02843,  14.60740, -48.38580,   0.61481,  -2.10401, -49.97820,-169.28700,  27.03120, 127.93100,  -0.01499,   0.02126,  34.81480, -12.22450,   0.22968, -61.61700,   0.34892,  -0.41622, -20.56810
   0.20000,   0.00000,   0.00000,  -0.00000,  91.98480,   6.29475, -10.46510,  50.42340,  80.45120, -48.74560,   7.25891, -12.13210,   4.13413,   2.39014,  -3.68453,   2.65781,  -6.85439,   5.21109,   2.52098, -87.99010,  -9.99254, -93.56570, -58.49090,   1.41477, -19.40470,  -5.43482,  -0.25342, -87.33310,  14.76500,   5.56942,  -9.65168,  89.35260,   1.69238, -84.06240, -57.05100,   7.33799,  36.17040,   5.00896,   2.39374, -64.50440,   0.96319,   5.61058, -11.99770,-168.60500, -11.78300,   1.66009,   0.35159,  -0.37640,  39.75510,  -7.77122,  12.30290, -36.95280,   0.61225,  -1.93396, -47.42270,-171.23700,  25.99260, 127.16300,  -0.04379,   0.06608,  34.31400, -10.50480,   0.88711, -61.53260,   0.28998,  -0.34164, -19.86930
   0.23333,   0.00000,   0.00000,  -0.00000,  93.42640,   5.37565,  -9.82878,  52.91140,  80.21080, -50.92540,   8.18951, -11.74890,   4.82287,   3.10404,  -3.60293,   2.87454,  -8.10260,   5.66524,   0.79098, -88.33290,  -7.85930, -92.98250, -60.96970,   3.02521, -15.91330,  -7.31910,  -0.12658, -89.01440,  17.25850,   5.58922, -10.70450,  88.57600,   3.69871, -83.92700, -54.47200,   4.71386,  34.58160,   5.02705,   2.25057, -65.92100,   2.97079,   5.61361, -12.16350,-170.33300,  -8.48194,   3.05064,   0.42703,  -0.40990,  43.56720, -10.31240,   5.84583, -30.22140,   0.47409,  -1.04988, -33.94950,-173.74500,  23.81890, 125.04300,   0.07194,  -0.06890,  44.45530,  -1.12928,  -2.57378, -59.88450,   0.20860,  -0.24169, -18.92180
   0.26667,   0.00000,   0.00000,  -0.00000,  93.35880,   6.01634,  -8.33375,  57.93670,  79.77970, -54.89480,   9.98097, -10.72690,   7.03307,   2.34586,  -3.48302,   2.54741,  -8.96038,   4.92516,  -0.75578, -88.96760,  -4.64173, -92.44220, -63.45030,   6.80235, -12.14240,  -8.04508,  -0.50809, -86.41000,  18.73940,   5.60405, -11.58500,  87.39420,   6.99252, -84.49550, -50.92350,   1.42374,  32.29400,   3.60962,   1.63322, -65.69430,   4.96170,   5.62051, -12.64750,-170.67900,  -5.61695,   2.52635,   0.49022,  -0.35196,  52.08580,  -6.43632,   2.01832, -32.37150,   0.16622,  -0.28185, -21.49530,-177.39900,  22.17460, 125.92300,   0.06522,  -0.03858,  57.53020,  -1.42079,  -5.82420, -65.33530,  -0.04043,   0.04460, -16.13100
   0.30000,   0.00000,   0.00000,  -0.00000,  91.30630,   5.03761,  -7.13582,  66.80250,  79.40850, -62.34610,  12.12740,  -8.10246,   9.78548,   0.66169,  -2.76777,   2.63482,  -9.79037,   3.92871,  -1.91895, -89.88330,  -0.48610, -91.44450, -65.17960,  10.98330,  -7.54029,  -7.35023,  -1.51552, -78.40040,  18.52290,   5.62321, -12.85500,  86.28440,  11.89680, -87.50510, -45.92910,  -1.53444,  27.23020,   2.01456,   1.03882, -62.72420,   6.43762,   5.62682, -13.09380,-169.13800,  -6.38945,  -0.82206,   0.55407,  -0.25470,  63.37960,  -3.15676,   2.26162, -40.75720,   0.16105,  -0.27218, -21.33050,-176.70500,  21.22110, 128.38400,   0.09567,  -0.03980,  66.12510,   0.67378,  -6.49266, -72.84470,  -0.10479,   0.11419, -15.43380
