time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.67770,  -1.02288,  -2.42332,  96.90130,  83.51420, -95.34360,   5.09422,   1.51913,   3.04440, -19.44180,  -0.91259,  -5.01811,  -7.52751,  -7.21143,  -3.12625, -90.07680,   0.46563, -95.65120, -79.73910,  20.34670,   5.47220,  33.21610, -13.43610,-109.53700,  19.04450,   5.33895,  -1.03666,  89.73550,   2.65842, -99.31740, -74.35510,  14.67680,  18.31820,   8.76267,  -0.26932, -91.73710,  46.84560,   5.67969, -19.46560,-173.73600,   0.06212, -27.01940,  -0.53195,   0.04422,  83.82710,   7.90160,  -4.66870, -33.03040,   0.44935,  -0.54565, -21.72890,-167.03700,   1.79751, 160.40100,   0.00102,   0.04924,  49.66440,   5.06583,  -5.78140, -82.83600,   0.05671,  -0.05914, -17.03010
   0.03333,   0.00000,   0.00000,  -0.00000,  85.62670,  -1.93996,  -2.66288, 106.47500,  83.89770,-105.54500,   3.91617,   3.42495,   1.74147, -17.45740,  -0.08745,  -4.55859,  -7.24546,  -7.38088,  -4.73225, -89.93120,  -0.33228, -93.39190, -81.26530,  14.93000,  18.28860,  32.07150, -12.17580,-108.60300,  21.52310,   5.35147,  -1.42115,  89.90840,   1.42705,-101.34200, -72.09150,  17.39030,   5.54541,  12.39630,  -1.39022, -96.28740,  45.55770,   5.67879, -19.14890,-176.60500,   1.68672, -31.30720,  -0.53918,   0.04541,  83.78020,   8.22383,  -6.11146, -37.60510,   0.43317,  -0.52413, -21.53280,-169.97300,   2.47829, 166.93300,  -0.05662,   0.10949,  44.43960,   4.97185,  -4.08334, -84.37520,   0.10055,  -0.10551, -17.38530
   0.06667,   0.00000,   0.00000,  -0.00000,  88.73660,  -2.90094,  -4.52557, 123.31800,  84.64630,-123.62100,   1.20480,   5.89612,  -0.66735, -15.76800,  -0.42034,  -4.22274,  -5.22829,  -9.19319,  -5.05847, -89.32720,  -2.53290, -90.14770, -78.96610,  10.55200,  28.40520,  34.15320, -13.59480,-109.11000,  21.78710,   5.38666,  -2.50696,  90.04140,  -0.90505,-102.37700, -71.12930,  16.56840,  -4.55055,  16.20100,  -4.01932,-103.54500,  43.84970,   5.67248, -17.68680, 179.32300,   3.02442, -34.19500,  -0.44390,   0.09051,  77.05360,   8.47582,  -8.64032, -43.02460,   0.42121,  -0.50839, -21.38890,-173.62300,  -0.66966, 174.04400,   0.08214,  -0.07737,  33.36060,   4.33879,  -5.58267, -79.03360,   0.11570,  -0.59654, -19.54970
   0.10000,   0.00000,   0.00000,  -0.00000,  91.85230,  -3.69896,  -7.26588, 144.83900,  84.76350,-146.53100,  -1.60894,   8.69847,  -3.26487, -14.57030,  -1.83626,  -4.02031,  -3.80293, -12.33660,  -5.34191, -88.27590,  -5.40289, -87.28120, -73.99190,   6.59960,  35.43450,  29.85360, -12.95560,-111.33800,  23.09910,   5.36683,  -1.93469,  90.15240,  -3.11072,-102.19400, -71.24990,  13.58320, -12.57040,  18.15850,  -7.65064,-112.08700,  42.67770,   5.65918, -15.95440, 175.72600,   4.40841, -35.63110,  -0.30201,   0.13173,  64.90940,   7.85384, -11.93080, -45.08050,   0.40056,  -0.48132, -21.14090,-177.44700,  -2.72437, 177.37700,   0.03770,  -0.04107,  24.37930,   5.76114,  -7.14662, -62.55810,  -0.66435,  -3.19137, -33.43240
   0.13333,   0.00000,   0.00000,  -0.00000,  93.00260,  -4.03907,  -9.77719, 162.62200,  84.49170,-164.87800,  -4.29808,  10.74270,  -4.12074, -13.75670,  -3.22529,  -4.22522,  -2.16081, -15.30490,  -5.47183, -87.06490,  -8.36664, -85.59080, -70.01870,   2.86849,  41.66110,  26.53300, -11.88710,-112.41800,  29.77930,   5.24347,   1.46810,  90.25630,  -4.58755,-101.80000, -71.77950,  10.62180, -18.70490,  16.43820,  -9.91498,-120.27100,  40.46810,   5.63619, -13.77660, 174.65100,   5.08975, -34.57050,  -0.17651,   0.14358,  49.32400,   7.98000, -12.90090, -46.30440,   0.41439,  -0.49944, -21.30690,-179.44700,   0.61929, 178.77500,  -0.00161,   0.03951,  18.13450,  10.68520,  -4.21211, -44.74960,   2.30374,  -3.71554, -41.03630
   0.16667,   0.00000,   0.00000,  -0.00000,  91.75130,  -3.71141, -10.48070, 171.10800,  84.17800,-172.86000,  -5.85167,  11.69530,  -2.91774, -13.60010,  -4.28492,  -4.63005,  -0.27948, -17.48610,  -5.25215, -86.03810, -11.11030, -85.23000, -67.65020,  -0.90325,  47.45280,  28.72990, -12.86710,-112.11000,  34.73780,   5.10274,   5.04497,  90.33470,  -5.80833,-101.69600, -73.88240,   8.75828, -22.17080,  15.55110, -11.82560,-126.36700,  39.77100,   5.62706, -13.12250, 176.38000,   5.18942, -30.10930,  -0.07114,   0.10197,  33.31440,   7.56601,  -7.18294, -47.94740,   0.41715,  -0.50306, -21.34010,-178.65900,   4.53324,-179.54200,  -0.02602,   0.12621,  15.24850,  12.96860,  -0.59020, -29.95430,   2.37935,  -3.93569, -42.32720
   0.20000,   0.00000,   0.00000,  -0.00000,  89.26120,  -2.45647,  -9.50387, 171.80400,  84.22150,-172.47700,  -6.11974,  11.50250,  -0.73222, -13.19850,  -5.10679,  -4.37615,   0.43408, -18.83390,  -5.01488, -85.37010, -13.42080, -85.76440, -67.38890,  -3.12547,  51.59610,  27.83760, -12.68320,-112.57600,  37.22680,   5.12305,   4.58201,  90.33090,  -6.23927,-101.95800, -76.42590,   8.46024, -22.08470,  14.95550, -12.85600,-129.79300,  40.27760,   5.63923, -14.04190, 179.10600,   3.90509, -23.98320,  -0.02064,   0.05434,  19.34140,   5.11612,   0.15838, -49.20530,   0.41018,  -0.49391, -21.25630,-175.94300,   5.19075,-178.12000,  -0.03129,   0.13000,  17.06900,  11.62920,  -3.16752, -20.37690,   1.74193,  -2.42363, -33.21720
   0.23333,   0.00000,   0.00000,  -0.00000,  86.95540,  -0.57783,  -8.03779, 169.79600,  84.53710,-169.40200,  -5.92503,  10.69050,   1.34585, -12.69260,  -5.75654,  -4.01087,   1.03381, -19.61400,  -4.17448, -85.40950, -14.16470, -86.83510, -69.48520,  -2.42063,  52.95060,  26.55210, -12.63730,-113.64500,  40.91350,   5.13367,   4.33689,  90.23530,  -5.10217,-102.35600, -78.09860,   9.86250, -16.80330,  14.14790, -12.30680,-130.21600,  42.50900,   5.65782, -15.73950,-178.60500,   2.19154, -19.72940,  -0.00667,   0.03104,  11.61480,   0.39550,   3.79583, -51.47980,   0.43725,  -0.52956, -21.58230,-172.93800,   3.87395,-178.39900,  -0.03168,   0.10383,  22.69090,   9.04316,  -9.36754, -13.86230,   0.77513,  -0.90059, -23.18790
   0.26667,   0.00000,   0.00000,  -0.00000,  86.82100,   1.28852,  -6.84690, 163.83300,  84.99370,-163.21600,  -5.06733,   9.53758,   1.65980, -13.12440,  -6.37339,  -3.47244,   1.54594, -19.39770,  -2.82331, -86.16880, -12.98380, -88.40490, -72.08670,  -0.95734,  51.75530,  26.91580, -13.42770,-114.58000,  41.96400,   5.16508,   3.58047,  90.16530,  -2.91767,-101.74700, -79.49330,  11.92750,  -9.01769,  14.87930, -11.50830,-126.90300,  42.84390,   5.66206, -16.29920,-178.81000,   1.33782, -18.49590,  -0.00584,   0.03302,  11.61030,  -0.65714,   4.97367, -54.90500,   0.43552,  -0.52728, -21.56140,-172.18500,   1.70990, 179.79400,  -0.06372,   0.12907,  30.61220,   7.40749, -12.78670, -12.44940,   0.62033,  -0.70324, -21.79340
   0.30000,   0.00000,   0.00000,  -0.00000,  88.80310,   2.81073,  -5.69211, 149.31000,  85.61640,-149.22300,  -3.31048,   7.52717,   0.39085, -14.50380,  -6.91467,  -2.62844,   1.55494, -17.44010,  -1.63614, -87.47070,  -9.96011, -90.68010, -74.77980,   0.25846,  49.35650,  26.91680, -13.48250,-114.66600,  43.55750,   5.22131,   2.19719,  90.00420,  -0.06134, -99.89130, -79.95840,  14.76140,  -1.96659,  14.13100,  -8.37508,-120.03900,  41.16240,   5.66974, -17.33650, 178.33900,   1.14775, -19.42020,   0.01741,  -0.03558,  18.25520,   3.50025,   3.24080, -56.20400,   0.43683,  -0.52899, -21.57720,-174.35500,   0.81128, 175.94100,  -0.14513,   0.16989,  42.58850,   7.55404, -12.84000, -18.75900,   0.62497,  -0.70899, -21.83450
