time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.36010,  -7.47098, -15.26200,  98.24480,  81.53790, -95.39360,   8.93472,   2.44352,   5.50710,  -5.97484,   2.51995,  -2.28471, -10.30970,   1.26602,  -7.16525, -91.24250,   4.72267, -90.24350, -69.07530,  23.38050,  20.62320,  -1.71916,  -2.07545, -39.70080,   9.88224,   5.65682, -15.71800,  88.49680,   9.14950, -95.62940, -51.89720,   8.06114, -10.33310,  -0.65539,  -0.03977, -87.24900,  22.92820,   5.61764, -12.43790,-178.59400,  -6.32238, -25.39820,  -0.13102,  -0.00446,  89.50250,  -1.33861,   2.97370, -32.52500,   0.18043,  -0.30875, -21.95230,-171.85900,   3.32439, 147.42900,   0.01017,   0.01187,  61.07260,   3.03836,  -3.09456, -90.34330,   0.37040,  -0.44385, -20.82530
   0.03333,   0.00000,   0.00000,  -0.00000,  87.90130,  -9.64755, -15.11690, 105.49800,  81.97950,-103.60500,   7.63967,   4.26704,   3.49776,  -5.84917,   1.98731,  -1.66271, -10.04910,  -0.67448,  -6.91442, -91.12500,   3.70734, -88.10110, -70.39210,  25.49370,  32.01160,  -2.14633,  -2.05935, -46.16820,   6.92926,   5.65601, -15.60310,  88.99830,   6.32058, -95.97580, -49.00180,   4.53436, -18.07350,   4.83223,  -0.62905, -97.37260,  20.90960,   5.58842, -10.66250, 178.05900,  -6.71482, -36.22880,  -0.32109,  -0.06743, 100.21900,   6.15534,  -0.81622, -36.72600,   0.17897,  -0.30597, -21.90510,-175.74100,   5.81406, 156.26500,   0.02473,   0.00955,  55.05190,   3.45791,   1.11584, -90.18030,   0.45777,  -0.76235, -23.14640
   0.06667,   0.00000,   0.00000,  -0.00000,  90.38540,  -9.69952, -14.75880, 112.54500,  82.39340,-111.82300,   6.27327,   5.80657,   1.12442,  -6.23074,   0.41525,  -1.21605,  -9.27560,  -3.48860,  -5.79944, -90.35890,   1.14567, -87.59990, -71.85850,  24.97860,  39.93640,  -2.67841,  -2.02486, -53.53150,   6.24495,   5.64921, -14.94070,  89.30270,   4.07817, -95.28630, -48.93380,   0.31875, -20.99560,   2.75848,  -0.71226,-104.50700,  20.96970,   5.55776,  -9.08613, 175.01200,  -4.68560, -42.97030,  -0.38965,  -0.09613, 102.27700,  10.83380,  -4.45695, -43.21120,   0.17033,  -0.28957, -21.62660, 179.29600,   8.93451, 167.68200,   0.01618,   0.02010,  43.58430,   3.12478,   5.06021, -83.88450,   0.93968,  -1.28855, -28.31400
   0.10000,   0.00000,   0.00000,  -0.00000,  93.12370,  -9.58615, -16.18280, 119.84800,  83.33240,-120.57300,   3.86466,   6.65252,  -1.67427,  -6.71283,  -0.65774,  -0.96691,  -8.65776,  -5.62139,  -4.33940, -89.41030,  -1.83169, -87.15600, -72.71440,  21.78820,  44.71440,  -2.12751,  -1.22355, -60.09570,   6.21808,   5.64420, -14.48280,  89.53110,   2.62922, -94.88640, -51.03740,  -1.79727, -20.42370,   1.61831,  -0.56208,-109.13800,  20.23630,   5.53971,  -8.21582, 172.42100,  -1.96344, -47.75610,  -0.29452,  -0.04795,  97.01600,  10.93330,  -5.92119, -50.04100,   0.16048,  -0.27114, -21.31270, 175.10100,   9.49421, 175.95500,   0.02786,  -0.00145,  30.98100,   2.33494,   6.06652, -65.95350,   1.68281,  -3.01034, -42.11210
   0.13333,   0.00000,   0.00000,  -0.00000,  94.53320,  -9.49806, -18.25610, 126.75100,  84.29110,-128.48600,   1.50167,   6.92308,  -3.56154,  -7.52046,  -0.89182,  -1.03175,  -7.95467,  -6.57481,  -3.06971, -88.60110,  -4.24476, -86.74090, -73.51620,  16.55490,  47.35990,  -2.10929,  -0.94920, -65.69450,   6.68369,   5.63819, -13.97530,  89.72090,   1.65828, -95.44750, -53.88940,  -2.17664, -18.15810,   3.00897,  -1.20969,-111.87600,  17.58780,   5.52165,  -7.42642, 171.38500,  -0.12057, -50.58510,  -0.16574,  -0.00186,  86.90810,   8.87909,  -5.08903, -54.68070,   0.16404,  -0.27776, -21.42570, 172.03200,  13.15890,-179.25800,   0.03537,  -0.05836,  19.55180,  -2.05389,   8.43051, -38.07850,   1.98036,  -4.63473, -54.26130
   0.16667,   0.00000,   0.00000,  -0.00000,  94.18020,  -8.09716, -18.93100, 128.58100,  84.80160,-130.48600,   0.48054,   6.60275,  -3.83793,  -8.46904,  -1.23621,  -1.27627,  -7.07236,  -6.93396,  -2.21271, -88.11380,  -5.72297, -86.72400, -74.21310,  11.47480,  48.04770,  -3.97326,  -1.41451, -70.42750,   7.57439,   5.62161, -12.74770,  89.79440,   1.23919, -95.57850, -56.50040,  -0.64835, -15.86300,   3.38434,  -1.36337,-111.91700,  16.92170,   5.51593,  -7.18831, 172.51900,   0.67414, -49.96160,  -0.07445,   0.01224,  74.11080,   6.17163,  -1.27929, -58.70830,   0.15731,  -0.26525, -21.21230, 169.67300,  18.45810,-173.56100,   0.05460,  -0.23525,  11.37660, -13.45470,   5.13899, -18.35130,   0.99635,  -1.38743, -29.15080
   0.20000,   0.00000,   0.00000,  -0.00000,  93.40410,  -6.21873, -19.00860, 128.73600,  85.21740,-130.58100,  -0.20070,   6.11208,  -3.67849,  -8.59098,  -1.69227,  -1.38234,  -6.78597,  -7.29186,  -1.42343, -88.06380,  -5.83455, -86.60450, -73.96180,   7.75662,  47.39830,  -4.34716,  -1.13055, -75.45910,   8.42341,   5.60883, -11.88620,  89.79960,   1.28079, -96.10440, -59.05310,   1.34384, -11.57690,   2.17692,  -0.81305,-110.46200,  15.35850,   5.52169,  -7.44134, 173.65100,   0.52467, -46.85880,  -0.05035,   0.02278,  58.64390,   3.99995,   3.26933, -62.77610,   0.15164,  -0.25476, -21.03310, 169.24000,  20.82380,-170.85200,   0.10982,  -0.40240,  14.21730, -13.45870,   4.75391, -15.95050,   0.55709,  -0.69551, -23.12830
   0.23333,   0.00000,   0.00000,  -0.00000,  92.53770,  -4.89436, -18.46930, 128.33000,  85.22970,-130.12600,  -0.18179,   6.04017,  -3.58305,  -8.87955,  -1.68563,  -1.44104,  -6.20009,  -7.94874,  -0.75792, -88.57110,  -4.38287, -86.92480, -72.66060,   4.50345,  45.27580,  -2.05604,  -0.32996, -80.92790,   8.80804,   5.61727, -12.43490,  89.70120,   2.05853, -96.73710, -61.29780,   3.38696,  -5.98221,   1.88086,  -0.59171,-107.45200,  13.65780,   5.54581,  -8.53588, 173.83400,  -1.36486, -41.91110,  -0.05204,   0.05291,  41.65350,  -1.35513,   6.62034, -64.68770,   0.14767,  -0.24751, -20.90890, 171.14300,  16.44230,-171.88400,   0.19452,  -0.39005,  24.90640, -12.36690,   2.64648, -18.94110,   0.48734,  -0.59901, -22.25320
   0.26667,   0.00000,   0.00000,  -0.00000,  91.80760,  -3.08455, -16.68720, 121.39000,  84.86380,-123.14200,   1.09477,   5.45021,  -3.55543,  -9.18401,  -1.79137,  -1.50807,  -5.64016,  -8.14986,   0.34018, -89.31870,  -2.21623, -87.91490, -71.54240,   1.37068,  41.20300,  -3.27964,  -0.23822, -85.82060,   8.82441,   5.62092, -12.68280,  89.45320,   3.75731, -96.71630, -62.92690,   5.84734,  -0.85700,   1.26380,  -0.27320,-102.15500,  11.91900,   5.57616, -10.02320, 172.84600,  -4.33729, -37.39980,  -0.06424,   0.10921,  30.69930,  -5.89055,   8.29405, -65.05650,   0.14895,  -0.24985, -20.94890, 174.63800,  11.76180,-174.65900,   0.24322,  -0.26152,  40.61950,  -8.91396,   3.82272, -19.17930,   0.50234,  -0.61950, -22.43990
   0.30000,   0.00000,   0.00000,  -0.00000,  91.99700,  -1.25804, -15.18800, 112.62700,  84.44550,-114.57300,   2.57172,   4.35853,  -3.98809,  -8.92866,  -1.86551,  -1.48195,  -5.91237,  -7.79428,   1.42716, -90.01460,   0.05320, -89.26580, -71.11780,  -0.82744,  34.78380,  -6.32590,  -0.04664, -89.57060,   8.04070,   5.61672, -12.39640,  89.07730,   5.54531, -95.54050, -64.60160,   8.79915,   3.47867,   0.36163,  -0.03055, -94.65180,  10.50610,   5.59400, -11.00070, 170.43300,  -7.39449, -37.31180,  -0.09747,   0.16196,  32.23460,  -8.17559,   7.27506, -63.63230,   0.15382,  -0.25880, -21.10200, 176.24000,  10.02330, 178.57900,   0.32865,  -0.16367,  62.11700, -11.65020,   5.01717, -16.92140,   0.51970,  -0.64339, -22.65690
