time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.92290,   0.22737,  -4.54516,  90.38110,  75.87340, -91.14910,  20.48770,   0.09874,  -1.55898,  -4.85996,  -0.23095,  -0.35018,   0.72386,  -1.91571,  -0.73463, -89.31250, -10.40810,-101.20000, -87.11780,   6.21832,  -5.50381,  16.10410, -11.17640,-123.87500,   7.17761,   5.18746,   3.03125,  90.27340,  -6.42316,-102.55700, -84.04170,  16.98380,  -0.60990,  13.18320,  -8.48800,-122.21600,  34.56490,   5.64498, -14.55050, 170.35500,  -1.98112, -19.18810,   0.11661,  -0.07622,  46.21970,   8.07896,   1.15186, -82.05300,  -0.02217,   0.01901, -16.57670, 178.28400,  -4.67051, 148.19100,  -0.65028,   0.08397,  81.72230,   9.82140, -17.39530, -40.29050,   0.56492,  -0.63494, -21.30440
   0.03333,   0.00000,   0.00000,  -0.00000,  91.84450,  -1.84116,  -4.85727,  87.07530,  76.45180, -87.55420,  19.29340,  -1.40159,  -0.72225,  -3.93711,  -0.02952,  -1.15199,   0.71783,  -1.55831,  -1.53522, -89.33820, -11.34540,-101.63900, -87.74480,   6.90090,  -8.74497,  16.90260, -12.31680,-125.06900,   7.51717,   5.20241,   2.65943,  90.31710,  -6.75602,-102.30700, -83.68600,  18.10350,   2.75585,  11.88890,  -7.86089,-123.00900,  35.40470,   5.65094, -15.09500, 172.92900,  -5.44791, -12.80330,   0.05766,  -0.03763,  40.35700,   8.10490,   2.37984, -82.17870,   0.06212,  -0.08311, -17.72870,-179.87100,  -5.34264, 143.72000,  -0.59388,   0.11772,  77.86450,  10.38100, -20.55700, -46.58500,   0.51091,  -0.56947, -20.83230
   0.06667,   0.00000,   0.00000,  -0.00000,  89.21660,  -2.93135,  -6.23650,  83.56140,  77.20620, -83.39410,  17.67950,  -2.80404,   0.77149,  -3.04971,  -0.36294,  -1.91281,   0.82313,  -1.25572,  -1.92420, -89.47730, -12.27570,-102.54300, -88.39820,   7.54564, -10.77070,  14.61200, -11.30590,-126.94400,   8.51573,   5.21131,   2.43305,  90.40790,  -7.29952,-101.79300, -83.64190,  18.97170,   5.82065,  10.98060,  -7.37468,-123.48500,  35.90370,   5.65301, -15.30960, 175.97100,  -6.36035,  -8.35151,   0.14415,  -0.18517,  34.47810,   7.71107,   2.89623, -74.47050,   0.36849,  -0.65304, -25.96560,-177.05100,  -5.33719, 141.40000,  -0.41238,   0.16448,  67.31400,   8.40902, -21.42440, -51.56590,   0.51243,  -0.57134, -20.84580
   0.10000,   0.00000,   0.00000,  -0.00000,  86.56970,  -3.79627,  -8.57371,  80.98650,  78.10450, -80.22380,  15.77870,  -3.62066,   2.02931,  -2.74497,  -0.82652,  -2.31076,   1.69488,  -1.37014,  -1.79178, -89.59000, -13.06870,-103.18700, -88.52330,   8.82935, -12.18240,  12.73330, -10.21880,-128.13600,   9.09154,   5.22056,   2.19898,  90.46550,  -7.32137,-101.35200, -84.24230,  18.97000,   8.50401,  11.98630,  -7.97803,-123.17400,  35.49320,   5.65452, -15.46160, 179.50200,  -7.35882,  -5.84680,  -0.04923,   0.03003,  29.82900,   4.73001,   3.89913, -63.84680,   1.88684,  -0.87621, -31.92660,-174.12500,  -5.56980, 141.57900,  -0.21550,   0.17346,  50.23600,   5.09101, -21.93270, -53.05170,   0.47189,  -0.52289, -20.49430
   0.13333,   0.00000,   0.00000,  -0.00000,  85.74880,  -4.70515,  -9.83556,  78.56090,  78.64750, -77.79260,  14.54930,  -4.40214,   2.10031,  -2.84103,  -0.92483,  -2.69021,   2.91752,  -1.63605,  -1.68541, -89.60450, -13.59770,-103.31800, -88.76330,  10.28280, -12.46490,  13.40220, -11.06150,-128.84100,   8.75574,   5.22426,   2.10340,  90.48920,  -7.50318,-101.25900, -85.59230,  19.44300,  10.69370,  11.15990,  -7.35736,-122.98800,  35.21110,   5.65562, -15.57800,-179.59600,  -7.72114,  -4.28837,  -0.02535,   0.06671,  27.74930,   5.08469,   4.22825, -52.10080,   1.64032,  -2.83640, -40.59780,-173.49200,  -5.90091, 145.98700,  -0.06132,   0.10609,  29.20110,   1.08022, -19.59400, -54.47940,   0.44988,  -0.49684, -20.30470
   0.16667,   0.00000,   0.00000,  -0.00000,  86.85580,  -5.09747,  -9.31131,  76.32930,  78.60210, -76.09770,  14.43940,  -5.30853,   1.13672,  -3.00495,  -0.78882,  -2.88534,   3.77760,  -1.70111,  -1.75385, -89.59850, -13.78170,-103.31500, -88.99200,  11.56080, -11.92050,  12.67160, -10.74100,-129.65600,   8.16815,   5.24068,   1.67842,  90.45390,  -7.91696,-101.70900, -87.11330,  20.29010,  11.81670,   9.62562,  -6.40277,-123.32600,  34.73860,   5.66022, -16.08750, 179.11500,  -5.19226,  -2.99147,  -0.06638,   0.12172,  30.43440,   5.44548,   3.46188, -43.42040,   1.72738,  -3.12183, -42.76820,-175.19400,  -5.98035, 151.31200,  -0.00675,   0.03073,  13.79120,  -3.10452, -15.07920, -54.87980,   0.42816,  -0.47130, -20.11810
   0.20000,   0.00000,   0.00000,  -0.00000,  87.28360,  -5.39333,  -8.32712,  77.79630,  78.50300, -77.82370,  14.74430,  -4.80077,   0.56675,  -3.04875,  -0.76154,  -3.19925,   4.42214,  -1.88202,  -1.70602, -89.68300, -13.51190,-103.64400, -88.95350,  12.38000, -11.17270,  12.04300, -10.27790,-129.90700,   7.59030,   5.23546,   1.81457,  90.35240,  -7.86198,-102.42500, -87.46380,  21.19060,  11.49360,  10.01870,  -6.85050,-124.02500,  34.10620,   5.66205, -16.30400, 178.79400,  -2.20102,  -4.44369,  -0.09449,   0.12987,  39.40280,   0.91093,   1.95675, -38.70840,   1.29414,  -1.95681, -33.71950,-174.63000,  -5.91283, 150.88700,  -0.02932,   0.11820,  16.56580,   0.43258, -13.81770, -53.78290,   0.45919,  -0.50784, -20.38490
   0.23333,   0.00000,   0.00000,  -0.00000,  85.93470,  -5.43019,  -7.17283,  82.76530,  78.47230, -82.31450,  15.13060,  -2.83600,   1.27918,  -2.40128,  -0.65558,  -3.75059,   4.33942,  -2.35450,  -1.48079, -89.74140, -12.87030,-103.83900, -88.98360,  12.76930, -10.01650,  12.27200, -10.23950,-129.25600,   6.99224,   5.23497,   1.82644,  90.18180,  -7.57406,-103.62100, -86.60800,  21.94040,   9.90654,  10.25060,  -7.19696,-124.71200,  34.50000,   5.66383, -16.51320,-178.74200,  -1.04325,  -8.34386,  -0.07442,   0.06414,  52.27440,  -6.10023,   0.53553, -34.14800,   0.50918,  -0.62639, -22.46060,-170.95800,  -2.71003, 148.16500,   0.06211,  -0.07710,  30.53610,   5.01716, -11.64710, -55.58760,   0.26282,  -0.28231, -18.72110
   0.26667,   0.00000,   0.00000,  -0.00000,  84.73770,  -4.89753,  -4.47750,  88.18160,  77.85140, -87.23200,  16.52630,  -0.68654,   2.00147,  -1.25912,  -0.26876,  -3.39528,   2.82899,  -2.66763,  -1.60680, -89.54760, -11.97660,-102.82000, -88.83260,  13.11960,  -8.65757,  13.56840, -10.75310,-127.70800,   6.89911,   5.23178,   1.90994,  90.13560,  -7.12362,-103.90600, -84.02750,  23.36180,   5.52474,   9.58114,  -6.41922,-123.51700,  36.11730,   5.66093, -16.20170,-176.84200,   0.03195, -12.41230,  -0.13555,   0.06001,  66.51910,  -5.62260,  -2.58402, -34.29260,   0.48376,  -0.59182, -22.14820,-169.23300,  -3.03413, 148.41700,   0.00291,   0.02817,  44.24230,   2.77438, -13.56630, -66.98390,  -0.03153,   0.02390, -16.57330
   0.30000,   0.00000,   0.00000,  -0.00000,  83.68010,  -3.25156,  -2.68709,  91.95050,  77.12340, -90.26190,  17.96150,   1.01011,   3.22439,  -2.13029,   0.36764,  -2.81994,   3.23967,  -2.80949,  -2.54041, -89.34190, -10.77620,-101.48300, -88.54870,  11.54650,  -6.51910,  16.62650, -12.79600,-126.56400,   6.67883,   5.21230,   2.40942,  90.06660,  -7.47824,-104.48900, -81.02630,  23.26750,  -1.29328,  10.68580,  -6.44357,-120.74200,  36.37760,   5.64761, -14.79420,-175.64000,   1.70854, -18.09790,  -0.38373,   0.08040,  77.51260,   0.82773,  -4.63055, -37.96070,   0.49786,  -0.61094, -22.32120,-167.58500,  -0.09874, 151.66800,  -0.00055,   0.03590,  50.16760,   1.67175, -13.06760, -74.87860,  -0.02576,   0.01919, -16.57330
