time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  88.72320,  13.14320,   2.76171,  67.97560,  86.95100, -67.84440,  -2.11098,  -2.29750,   0.22006,  -4.13488,  -5.04987,  -1.29606,  10.57910,  -6.91311,   1.36675, -89.96310,   1.10323,-106.91800, -59.87950,  43.45680, -40.77000, -16.47560, -27.81440, -32.36750,  34.76170,   5.17632,   3.30743,  89.96440,   2.11778,-104.03600, -77.20900,  11.85040, -33.21260,  -8.97688, -16.00150, -29.81190,  43.96980,   5.51900,  -7.31894,-175.24700, -22.58700,  -0.35868,   0.05798,  -0.03913,  39.05330,  -6.06941,  -6.01646, -85.55250,  -0.02652,   0.01293, -16.57730, 178.81600,   8.14013, 147.78500,  -0.01989,   0.02619,  29.78270,  -0.78167,  -4.76978, -45.09730,  -0.13777,   0.10130, -16.57190
   0.03333,   0.00000,   0.00000,  -0.00000,  88.60120,  13.23350,   2.89661,  67.76730,  87.03250, -67.66840,  -2.27105,  -2.25353,   0.15326,  -4.00646,  -5.11873,  -1.22621,  10.88520,  -7.02213,   1.38901, -89.96720,   1.05770,-106.78000, -59.56940,  43.36780, -41.23430, -16.52650, -27.75640, -32.50250,  34.23990,   5.15137,   3.90981,  89.96090,   2.17145,-103.97000, -77.20090,  11.52510, -33.58160,  -8.78143, -15.91660, -29.39700,  43.46250,   5.50629,  -6.78803,-175.10400, -22.43880,  -0.25590,   0.04596,  -0.02455,  38.99560,  -6.07872,  -6.07681, -85.50150,  -0.02330,   0.01137, -16.57750, 179.04100,   8.60880, 148.02200,  -0.01774,   0.02382,  29.51280,  -0.66074,  -4.39966, -44.96770,  -0.13068,   0.09593, -16.57200
   0.06667,   0.00000,   0.00000,  -0.00000,  88.52420,  13.28090,   2.87260,  66.95520,  87.14250, -66.89200,  -2.50661,  -2.24209,   0.07721,  -3.99199,  -5.14256,  -1.19917,  11.16000,  -7.05820,   1.36589, -89.96740,   1.09156,-106.71100, -59.12830,  43.23820, -41.67810, -16.68650, -27.67460, -32.83740,  34.30840,   5.12089,   4.62985,  89.95660,   2.31008,-103.92400, -76.94540,  11.30290, -34.17770,  -8.61776, -15.92380, -28.89210,  43.06520,   5.49213,  -6.21730,-175.00100, -22.49610,  -0.29179,   0.05251,  -0.03303,  38.94260,  -6.05979,  -5.98900, -85.43210,  -0.02865,   0.01401, -16.57750, 179.20900,   8.86327, 148.08800,  -0.01676,   0.02169,  29.28210,  -0.57035,  -4.22355, -44.85380,  -0.13285,   0.09745, -16.57200
   0.10000,   0.00000,   0.00000,  -0.00000,  88.42350,  13.23910,   2.85195,  66.48190,  87.23510, -66.43770,  -2.69559,  -2.20980,   0.03656,  -4.05581,  -5.12107,  -1.18415,  11.26870,  -7.11187,   1.25947, -89.96910,   1.07843,-106.64200, -58.68970,  43.02960, -42.20420, -17.08120, -27.82520, -33.35640,  34.15160,   5.07985,   5.57203,  89.95240,   2.38843,-103.85700, -76.79990,  11.04510, -34.90420,  -8.24603, -15.67550, -28.20480,  42.77750,   5.47737,  -5.64767,-174.82300, -22.73680,  -0.34064,   0.07682,  -0.06341,  38.99290,  -5.91188,  -5.83555, -85.40750,  -0.11298,  -0.07158, -16.50560, 179.34900,   8.79396, 148.09300,  -0.01676,   0.02190,  29.18860,  -0.53546,  -4.23793, -44.81620,  -0.15010,   0.11024, -16.57170
   0.13333,   0.00000,   0.00000,  -0.00000,  88.30130,  13.23320,   2.80448,  66.07160,  87.31930, -66.02160,  -2.86543,  -2.17837,   0.04569,  -4.15490,  -5.10123,  -1.19968,  11.27930,  -7.13084,   1.12311, -89.96970,   1.09148,-106.59600, -58.05480,  43.00840, -43.03020, -17.58820, -28.38810, -33.69160,  34.14930,   5.04183,   6.41509,  89.95130,   2.40766,-103.84100, -76.60290,  10.88600, -35.51100,  -8.05182, -15.85650, -27.59810,  42.43970,   5.47235,  -5.45846,-174.72300, -22.79040,  -0.52192,   0.12902,  -0.12772,  39.16120,  -5.63030,  -5.95836, -85.43710,  -0.21204,  -0.18971, -16.42070, 179.48700,   8.61930, 148.02900,  -0.01670,   0.02325,  29.18060,  -0.51849,  -4.43837, -44.82290,  -0.17544,   0.12894, -16.57130
   0.16667,   0.00000,   0.00000,  -0.00000,  88.19970,  13.36160,   2.69360,  64.90250,  87.38730, -64.86360,  -3.03426,  -2.21911,   0.01908,  -4.29140,  -5.10838,  -1.20987,  11.33450,  -7.14237,   1.11293, -89.96960,   1.06569,-106.63500, -57.81510,  42.97760, -43.57500, -17.63290, -28.50690, -33.65710,  34.58840,   5.00409,   7.23133,  89.94930,   2.47060,-103.82400, -76.15980,  10.79240, -36.21990,  -7.75072, -15.83270, -26.54730,  42.09090,   5.45776,  -4.91871,-174.66000, -22.61320,  -0.78848,   0.13792,  -0.13777,  39.32900,  -5.70429,  -6.01557, -85.42100,  -0.26546,  -0.24965, -16.44190, 179.63800,   8.67927, 147.88700,  -0.01658,   0.02154,  29.24500,  -0.48309,  -4.48632, -44.88680,  -0.17383,   0.12761, -16.57130
   0.20000,   0.00000,   0.00000,  -0.00000,  88.17040,  13.50650,   2.58930,  64.06060,  87.45220, -64.06960,  -3.18501,  -2.22705,  -0.07976,  -4.46653,  -5.12956,  -1.18954,  11.48380,  -7.15422,   1.17428, -89.96540,   1.17698,-106.68300, -57.77130,  42.96480, -43.75990, -17.76670, -28.83330, -33.59900,  34.60600,   4.98636,   7.60796,  89.95360,   2.48105,-103.92700, -75.87870,  10.74770, -36.54920,  -7.61627, -16.09270, -25.78130,  41.95310,   5.45180,  -4.70451,-174.62100, -22.49540,  -0.88674,   0.13826,  -0.13884,  39.31100,  -5.75349,  -5.97715, -85.46430,  -0.24494,  -0.22105, -16.40480, 179.76000,   8.92845, 147.73600,  -0.01607,   0.02163,  29.35330,  -0.41146,  -4.39637, -44.96790,  -0.18568,   0.13615, -16.57120
   0.23333,   0.00000,   0.00000,  -0.00000,  88.14020,  13.59030,   2.46706,  64.04710,  87.53400, -64.10860,  -3.33370,  -2.15138,  -0.18565,  -4.60594,  -5.17596,  -1.11888,  11.58230,  -7.18959,   1.21888, -89.96030,   1.32374,-106.71700, -57.57230,  43.16650, -43.92420, -18.08250, -29.48550, -33.55700,  34.08460,   4.98365,   7.66500,  89.95500,   2.53433,-103.98100, -75.95140,  10.58290, -36.51220,  -7.37501, -15.94170, -25.26580,  42.18880,   5.44772,  -4.55780,-174.52800, -22.54820,  -0.98057,   0.13198,  -0.13133,  39.27160,  -5.80256,  -5.79212, -85.42760,  -0.22784,  -0.20386, -16.40880, 179.89200,   9.12834, 147.61300,  -0.01677,   0.02214,  29.38810,  -0.33541,  -4.28571, -45.02250,  -0.20270,   0.14858, -16.57100
   0.26667,   0.00000,   0.00000,  -0.00000,  88.07620,  13.67110,   2.32752,  63.14460,  87.59320, -63.23320,  -3.47448,  -2.16460,  -0.24288,  -4.78225,  -5.14562,  -1.09514,  11.69390,  -7.15771,   1.27026, -89.95870,   1.34592,-106.76300, -57.70530,  43.32030, -43.70190, -18.25750, -29.73450, -33.63200,  34.16510,   4.97593,   7.82682,  89.95640,   2.60662,-104.04300, -75.89660,  10.67070, -36.53300,  -7.23165, -16.07330, -24.66380,  42.00840,   5.44361,  -4.41333,-174.43400, -22.58800,  -1.15685,   0.14013,  -0.14138,  39.30260,  -5.72652,  -5.68892, -85.39090,  -0.25471,  -0.22935, -16.39490,-179.96200,   9.16127, 147.47500,  -0.01596,   0.02066,  29.40000,  -0.27295,  -4.34391, -45.06290,  -0.19388,   0.14192, -16.57120
   0.30000,   0.00000,   0.00000,  -0.00000,  88.03180,  13.77330,   2.21630,  62.42320,  87.61680, -62.52040,  -3.54423,  -2.19578,  -0.26252,  -5.00221,  -5.12727,  -1.07645,  11.78690,  -7.09660,   1.23033, -89.95570,   1.39433,-106.82400, -57.62000,  43.50320, -43.67300, -18.50660, -30.12920, -33.69590,  33.90880,   4.96789,   7.99543,  89.95940,   2.71456,-104.14300, -75.79370,  10.67150, -36.45740,  -7.21662, -16.30530, -24.28390,  41.95870,   5.44321,  -4.39886,-174.35200, -22.51410,  -1.28626,   0.12010,  -0.11741,  39.29220,  -5.93252,  -5.56578, -85.36860,  -0.22865,  -0.20457, -16.40810,-179.88400,   9.13403, 147.36900,  -0.01544,   0.02006,  29.38410,  -0.24818,  -4.46980, -45.06850,  -0.19933,   0.14582, -16.57110
