time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.61920,  -4.26818,   3.13389,  99.63990,  83.94020, -99.90030,   4.18933,   2.03447,  -0.59461,   0.11496,  -2.07654,   2.37091,  -2.43013,  -2.57575,   1.82946, -90.65640,   1.80344, -84.99780, -72.08970,  -3.12068,  26.68040,  -0.34691,  -0.44306, -38.01920,  15.00040,   5.56237,  -9.30177,  88.08000,   9.92668, -93.99530, -62.67420,  -0.09662,   3.97036,   4.10281,   2.00072, -64.05010,  19.52950,   5.42673,  -3.82468,-176.57900,  -3.49662, -22.87660,   0.13707,  -0.10885,  49.38830,  -2.77184,   0.77472, -62.35820,   0.07653,  -0.12296, -18.75380, 177.60300,   5.37457, 161.76800,   0.06669,  -0.09128,  27.94890,   0.48402,   1.45511, -57.07300,   0.09124,  -0.10325, -17.58720
   0.03333,   0.00000,   0.00000,  -0.00000,  91.17570,  -3.57079,   3.12958,  94.43190,  84.23070, -94.75800,   3.74107,   0.90189,  -0.68081,  -0.04663,  -2.28093,   2.14194,  -2.82448,  -2.28002,   2.14094, -90.74320,   2.08529, -85.38120, -70.92260,  -3.02400,  24.04040,  -1.31176,  -1.44900, -42.14300,  16.69120,   5.57119,  -9.74626,  87.91620,  10.29550, -93.49340, -63.31050,   1.56752,   8.16400,   3.33717,   1.99296, -59.19570,  17.28490,   5.43380,  -4.07297,-176.15900,  -4.35295, -19.62770,   0.14489,  -0.10861,  50.11730,  -3.15676,   2.55759, -64.29900,   0.08047,  -0.12958, -18.86950, 178.34400,   6.51515, 161.51900,   0.08327,  -0.13209,  26.25910,   0.82817,   1.83861, -55.12250,   0.11019,  -0.12515, -17.80010
   0.06667,   0.00000,   0.00000,  -0.00000,  90.42110,  -2.84294,   2.67819,  89.23050,  84.46960, -89.53990,   3.29353,  -0.13633,  -0.61420,  -0.43678,  -2.59914,   1.98926,  -3.55850,  -2.07772,   2.62635, -90.89790,   2.58965, -85.87040, -69.48420,  -2.41448,  19.95860,  -2.49158,  -2.35819, -46.59080,  17.88550,   5.57817, -10.11160,  87.73820,  10.87200, -93.17330, -63.58880,   3.95152,  11.93240,   2.45900,   1.85194, -53.03980,  14.83150,   5.43692,  -4.17700,-175.24800,  -5.12005, -16.82320,   0.15355,  -0.11553,  49.61200,  -4.16951,   4.51958, -64.93100,   0.08106,  -0.13059, -18.88700, 179.54800,   7.99115, 159.77100,   0.09209,  -0.15351,  25.99290,   1.28653,   2.47977, -53.57390,   0.11582,  -0.13173, -17.86390
   0.10000,   0.00000,   0.00000,  -0.00000,  89.55280,  -1.88039,   2.14290,  84.36520,  84.49800, -84.63160,   3.18288,  -1.06865,  -0.50273,  -1.08245,  -3.03271,   1.92062,  -4.77528,  -2.07965,   3.61207, -91.05280,   3.16034, -86.56570, -67.78170,  -1.35093,  14.16820,  -3.38011,  -2.74923, -50.91250,  18.66580,   5.60149, -11.42440,  87.63480,  11.37060, -93.16770, -64.18010,   5.59859,  15.31080,   2.17098,   2.08531, -46.19690,  12.46450,   5.43287,  -4.03695,-174.34300,  -5.18846, -14.51710,   0.15806,  -0.12361,  48.28770,  -5.42355,   6.04146, -64.02810,   0.09716,  -0.15794, -19.36380,-179.17500,   9.23847, 156.98100,   0.10020,  -0.16492,  26.99050,   1.62071,   2.76589, -52.59780,   0.11877,  -0.13515, -17.89700
   0.13333,   0.00000,   0.00000,  -0.00000,  88.63690,  -0.62088,   1.41188,  81.13690,  84.29920, -81.34540,   3.49767,  -1.74677,  -0.36327,  -2.06622,  -3.68392,   2.05839,  -6.75303,  -2.45590,   5.28922, -91.13140,   3.58211, -87.45770, -65.79900,   0.79092,   6.08658,  -5.11087,  -3.64840, -54.56200,  19.96720,   5.62112, -12.68170,  87.61300,  11.87190, -93.54500, -64.86760,   5.29438,  19.00650,   2.84654,   3.26651, -41.13000,  10.65980,   5.42528,  -3.77667,-174.08200,  -4.53554, -12.69230,   0.11599,  -0.09131,  46.06460,  -2.56571,   5.36887, -67.09870,   0.30735,  -0.57618, -26.40040,-177.88200,  10.24970, 153.32500,   0.10891,  -0.17344,  28.54600,   1.82752,   2.41190, -51.63770,   0.11066,  -0.12572, -17.80570
   0.16667,   0.00000,   0.00000,  -0.00000,  88.29080,   1.08353,   1.67582,  79.45100,  83.44430, -79.82150,   5.11959,  -2.38678,  -0.63343,  -3.39124,  -4.51230,   2.75010,  -9.73259,  -3.18750,   7.34044, -91.10080,   3.68750, -88.36470, -63.21730,   3.28869,  -4.38921,  -6.17897,  -4.10024, -56.55830,  21.35620,   5.63747, -13.90860,  87.57080,  12.40270, -93.82650, -65.41390,   4.14910,  22.37450,   3.84510,   4.84055, -38.54840,  10.90480,   5.41713,  -3.50260,-174.55400,  -2.85741, -10.40480,   0.07414,  -0.06024,  41.22600,  -0.54069,   3.04304, -77.88810,   0.10984,  -0.17991, -19.74500,-177.45700,  11.69090, 150.55400,   0.11829,  -0.18337,  29.87860,   1.90404,   2.18179, -50.76780,   0.11743,  -0.13359, -17.88200
   0.20000,   0.00000,   0.00000,  -0.00000,  89.90340,   3.91059,   2.48191,  75.75720,  82.15720, -76.98620,   7.40986,  -3.84074,  -2.20737,  -4.31420,  -5.56461,   3.40106, -13.31210,  -3.90788,  10.22460, -90.80360,   2.84683, -89.23360, -61.21510,   4.23447, -14.78030,  -3.51377,  -2.14514, -58.65900,  21.32130,   5.63651, -13.83550,  87.30590,  13.02710, -93.20880, -65.56190,   2.85215,  24.82820,   4.71410,   6.00058, -38.27350,  10.91570,   5.41754,  -3.51618,-177.10300,   3.11723, -14.06170,  -0.04557,   0.07651,  44.41980,  -2.12693,   0.41275, -78.41670,   0.05640,  -0.08957, -18.16790,-179.16100,  14.71730, 148.45200,   0.14716,  -0.22515,  31.11290,   1.97768,   2.13609, -51.44040,   0.15174,  -0.17379, -18.27050
   0.23333,   0.00000,   0.00000,  -0.00000,  89.89340,   7.28366,   2.41119,  71.67060,  81.15810, -73.16510,   8.98084,  -5.54782,  -2.55217,  -5.00922,  -6.53385,   3.06393, -16.07330,  -4.74492,  13.24880, -90.22530,   0.85809, -90.30040, -60.96780,   3.78923, -22.00850,   0.40847,   0.21440, -62.18990,  21.79280,   5.63118, -13.42150,  86.85710,  13.52480, -91.78730, -65.72970,   1.29785,  26.38990,   4.61620,   5.62067, -39.51120,  10.55060,   5.42848,  -3.88669,-177.01600,   5.75384, -18.74600,  -0.06353,   0.08260,  47.12650,  -1.96367,   1.07708, -76.67570,   0.04736,  -0.07484, -17.90830,-179.26900,  16.95550, 147.05200,   0.16575,  -0.26617,  30.47530,   1.78447,   0.75534, -53.75790,   0.17667,  -0.20338, -18.55500
   0.26667,   0.00000,   0.00000,  -0.00000,  89.07960,   8.09627,   2.68979,  71.15230,  80.70580, -72.50430,   9.79539,  -5.99231,  -2.18981,  -4.86523,  -6.31404,   2.41552, -17.45970,  -4.83514,  13.03550, -89.97390,  -0.09782, -90.04070, -60.27690,   4.88677, -24.96650,  -2.02846,  -0.92938, -65.34770,  24.58530,   5.65096, -15.00830,  86.82110,  13.28300, -91.41070, -66.32530,  -0.97940,  27.79230,   3.31230,   3.79062, -41.21660,  11.07370,   5.43922,  -4.25799,-176.06200,   2.75110, -21.09160,  -0.01242,   0.03241,  47.46070,  -0.50408,   4.54188, -74.47790,   0.04466,  -0.07046, -17.83090,-179.15500,  15.81220, 147.89600,   0.12577,  -0.21884,  28.53970,   1.00782,  -0.13621, -55.95800,   0.18892,  -0.21801, -18.69530
   0.30000,   0.00000,   0.00000,  -0.00000,  88.89910,   7.37159,   2.79691,  71.81920,  80.81530, -73.05590,   9.66081,  -5.71781,  -1.98952,  -4.75678,  -5.73933,   2.00035, -16.53660,  -3.99371,  10.20320, -90.01070,   0.03925, -89.71510, -60.80980,   6.00668, -23.29660,  -7.10617,  -2.97671, -67.38120,  27.26420,   5.67470, -18.10030,  87.05160,  12.51470, -91.62940, -67.01150,  -2.61644,  28.41060,   2.06625,   2.20917, -43.12780,  11.90250,   5.43117,  -3.98148,-176.20500,   0.16808, -21.69450,   0.01607,   0.00498,  45.47370,   0.32748,   6.05525, -71.73060,   0.03647,  -0.05731, -17.59830, 178.92400,  13.56460, 149.36400,   0.08675,  -0.15561,  28.76550,  -7.97905,   0.52381, -54.57880,   0.18245,  -0.21028, -18.62130
