time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.79690, -11.62410,   8.89560,  72.15810,  80.49320, -72.12850,  10.37350,  -5.78585,   0.58477,   7.68508,   0.64982,   1.44844,  -2.06250,   6.86617,   4.29681, -89.73960,  -0.70461, -84.71940, -45.22820,   7.25914, -19.86020,  -3.32729,  -3.17460, -46.39720,  22.13200,   5.60491, -11.64010,  86.83730,   8.96360, -85.47320, -56.04950,   4.40384,  27.71740,   7.82763,  10.90290, -36.01620,   5.56649,   5.57437,  -9.91440,-173.66800, -32.38940, -17.25640,   0.47510,  -0.60772,  36.80140,   4.25925,   6.17371, -60.93280,   0.04543,  -0.07172, -17.85310, 167.50300,  29.39670, 159.51600,   0.60261,  -0.40661,  55.47080,  -6.73781,   0.40906, -52.94860,   0.15310,  -0.17542, -18.28620
   0.03333,   0.00000,   0.00000,  -0.00000,  87.20640, -12.36320,   9.07401,  73.30280,  80.57060, -73.06650,  10.34210,  -5.37696,   0.95954,   8.10101,   0.80412,   1.37381,  -2.17144,   6.79951,   3.99455, -89.74630,  -0.67221, -84.32300, -45.41910,   6.99905, -19.32640,  -3.65065,  -3.30283, -47.91680,  22.39820,   5.60640, -11.73210,  86.83140,   8.98956, -85.49160, -55.13030,   3.77070,  27.53080,   7.71486,  10.77900, -35.92610,   5.81916,   5.57240,  -9.81099,-174.23800, -32.81020, -18.43450,   0.47845,  -0.61176,  36.76310,   4.39457,   6.28218, -60.68340,   0.06765,  -0.10814, -18.49420, 165.35200,  27.70600, 161.90700,   0.66312,  -0.39532,  58.50290,  -4.95302,  -0.36520, -54.38070,   0.16122,  -0.18502, -18.37870
   0.06667,   0.00000,   0.00000,  -0.00000,  87.64480, -13.01300,   9.17285,  75.10150,  80.66340, -74.68340,  10.32310,  -4.75979,   1.26627,   8.48583,   0.88345,   1.15109,  -2.38516,   6.58766,   3.86691, -89.73770,  -0.68237, -83.97010, -46.18410,   6.86125, -18.76670,  -3.98962,  -3.48499, -48.92900,  22.58550,   5.60666, -11.74840,  86.83370,   9.03576, -85.59590, -54.59620,   3.15500,  26.90420,   7.70384,  10.85960, -35.67860,   5.70059,   5.57465,  -9.92907,-174.89100, -33.31540, -20.13170,   0.47206,  -0.59490,  37.11040,   4.53914,   6.46025, -60.34840,   0.08509,  -0.13736, -19.00540, 163.54000,  26.33190, 164.31300,   0.70901,  -0.38149,  60.84000,  -2.77974,  -2.08696, -55.72120,   0.17478,  -0.20110, -18.53330
   0.10000,   0.00000,   0.00000,  -0.00000,  88.15250, -13.74480,   9.21813,  77.62850,  80.70300, -77.03480,  10.43510,  -3.94297,   1.54720,   8.80615,   1.06104,   0.85776,  -2.78137,   6.30456,   3.66169, -89.77250,  -0.58498, -83.74230, -47.42390,   6.59380, -18.04940,  -3.99177,  -3.42108, -49.46280,  22.60280,   5.60731, -11.78930,  86.90340,   9.08002, -86.07840, -54.41990,   2.47960,  25.94950,   7.71390,  10.89670, -35.62490,   5.78528,   5.57507,  -9.95046,-175.59500, -33.86810, -22.33060,   0.45176,  -0.55545,  37.73150,   4.62473,   6.70371, -59.51060,   0.09283,  -0.15053, -19.23510, 162.02800,  24.71370, 166.61800,   0.74567,  -0.37528,  62.25390,  -1.26478,  -4.09910, -56.25340,   0.17594,  -0.20252, -18.54670
   0.13333,   0.00000,   0.00000,  -0.00000,  88.77430, -14.51760,   9.22649,  80.53110,  80.65200, -79.82340,  10.70540,  -3.03586,   1.69936,   8.95667,   1.26729,   0.56792,  -3.23492,   6.05996,   3.56802, -89.87650,  -0.31371, -83.50310, -48.73120,   6.45391, -17.17930,  -4.03523,  -3.43839, -49.63110,  22.68180,   5.60640, -11.73280,  86.92820,   9.35616, -86.73160, -54.39630,   2.15151,  24.43770,   7.56107,  10.67300, -35.63420,   6.12259,   5.57323,  -9.85491,-176.49700, -34.16550, -24.96810,   0.42984,  -0.51208,  38.53170,   4.63218,   6.70273, -58.71970,   0.09955,  -0.16207, -19.43560, 160.79000,  22.88760, 168.90900,   0.76023,  -0.37614,  62.47080,  -0.38504,  -5.09554, -56.38590,   0.17728,  -0.20411, -18.56230
   0.16667,   0.00000,   0.00000,  -0.00000,  89.53220, -15.28910,   9.15971,  83.51680,  80.50430, -82.73140,  11.12440,  -2.10507,   1.77516,   9.12095,   1.46060,   0.28639,  -3.88407,   5.80318,   3.40640, -90.01310,   0.03262, -83.20650, -50.23110,   6.43972, -16.24440,  -3.86233,  -3.34684, -49.15120,  22.87930,   5.60783, -11.82080,  86.97940,   9.61045, -87.45990, -54.61380,   2.15265,  22.03030,   7.41854,  10.48800, -35.57930,   6.50820,   5.57236,  -9.81064,-177.55000, -34.21420, -27.95800,   0.39041,  -0.45049,  39.25490,   4.50010,   6.89106, -57.83120,   0.11266,  -0.18485, -19.83040, 159.76500,  20.82070, 171.09400,   0.77447,  -0.40204,  61.23590,  -2.23133,  -5.05667, -54.95000,   0.39748,  -0.47908, -21.15210
   0.20000,   0.00000,   0.00000,  -0.00000,  90.60640, -16.10860,   8.84108,  86.77570,  80.33110, -86.00520,  11.55020,  -1.05342,   1.64697,   9.08600,   1.62758,   0.13092,  -4.53921,   5.48476,   3.06128, -90.14940,   0.36989, -83.00600, -51.99550,   6.43025, -15.09910,  -3.50175,  -3.11769, -48.37010,  22.81710,   5.60746, -11.79880,  87.09050,   9.75690, -88.30600, -55.12290,   2.30172,  18.85320,   7.17072,  10.17840, -35.45220,   6.89020,   5.57007,  -9.69075,-179.17600, -34.35260, -31.55740,   0.33527,  -0.37755,  39.67850,   4.30563,   7.06050, -56.72530,   0.12391,  -0.20470, -20.17330, 158.87000,  18.05120, 173.68900,   0.64398,  -0.37468,  57.88690, -10.63710,  -0.71775, -60.57970,   1.05901,  -1.50082, -30.10210
   0.23333,   0.00000,   0.00000,  -0.00000,  91.31220, -16.66730,   8.49223,  89.63100,  79.93150, -88.72260,  12.37190,  -0.09206,   1.82651,   8.86639,   1.89237,  -0.07048,  -5.39748,   5.21688,   2.64544, -90.41540,   1.01513, -82.74910, -53.42600,   6.80665, -13.74000,  -2.95559,  -2.70160, -47.60650,  22.67040,   5.60617, -11.71820,  87.17720,  10.31740, -89.60720, -55.12940,   2.79609,  15.28450,   6.85694,   9.54658, -35.94900,   7.46116,   5.56719,  -9.54594, 179.45600, -34.38450, -35.01930,   0.26144,  -0.29597,  39.18300,   4.03561,   7.21008, -55.49650,   0.13877,  -0.23130, -20.63110, 159.36500,  17.49420, 174.83400,   0.41842,  -0.26372,  54.61560, -13.02660,   4.70178, -71.67370,   0.77351,  -1.01640, -25.97200
   0.26667,   0.00000,   0.00000,  -0.00000,  91.81430, -16.78960,   8.38514,  92.01460,  79.22980, -90.82280,  13.75460,   0.81094,   2.28652,   8.30287,   2.18042,  -0.30142,  -6.68399,   4.71982,   2.00571, -90.78260,   1.89504, -82.55610, -54.52750,   8.25414, -12.25000,  -2.39958,  -2.25156, -46.84520,  22.56530,   5.60983, -11.94920,  87.26000,  11.18600, -91.14080, -54.12880,   3.76720,  11.11520,   6.51506,   8.75263, -36.89310,   7.69236,   5.56613,  -9.49199, 178.43200, -34.05430, -37.49870,   0.20115,  -0.23775,  37.49290,   3.49714,   7.07084, -55.29680,   0.15007,  -0.25191, -20.98430, 160.61000,  21.00060, 173.92100,   0.18901,  -0.10260,  54.33000, -10.63140,   5.46448, -83.94850,   0.10262,  -0.11641, -17.71540
   0.30000,   0.00000,   0.00000,  -0.00000,  92.46800, -16.58130,   8.32241,  93.66830,  78.49500, -92.18890,  15.18210,   1.54788,   2.75484,   7.02800,   2.25841,  -0.44279,  -7.45439,   4.26205,   0.83811, -91.20650,   2.93074, -82.61270, -56.15500,   9.99967,  -9.95766,  -0.94487,  -0.91455, -45.92110,  22.03980,   5.61581, -12.33820,  87.33250,  12.17210, -92.53900, -51.85720,   5.84641,   5.85247,   5.73014,   7.64308, -37.03830,   8.24037,   5.56695,  -9.53214, 177.39000, -33.01400, -38.38390,   0.15875,  -0.20860,  34.00310,   2.52400,   5.96768, -56.88280,   0.15844,  -0.26733, -21.24780, 161.97900,  22.48950, 168.14100,   0.16266,  -0.06650,  59.29680,  -9.17846,   5.36084, -84.07490,   0.09523,  -0.10785, -17.63180
