time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.26490,  -3.98086,   6.52218,  98.39730,  82.81610, -95.34070,   6.40321,   2.05581,   5.99171,   4.80341,   2.76629,  -3.48786,  14.56260,   0.00424,  -9.12004, -90.37410,   2.27107, -95.64400, -77.01290,   8.00917,  -0.58462,   3.50597,   9.89023, -19.63090,   7.70123,   5.15013,   3.94001,  89.63710,   3.19852, -98.52320, -69.71130,   5.50357,   1.53415,   1.94851,  16.14020,  -6.98046,  13.83540,   5.27378,   0.79524,-172.98500,  -4.15671,  -8.53355,  -0.02398,   0.03538,  40.87760,   1.37793,  -8.38063, -63.75550,  -0.39394,  -1.02716, -20.53150,-169.84200,   7.93419, 169.71300,   0.16209,  -0.36956,  20.84500,   8.10651,   0.72059, -55.11920,   0.22871,  -0.24445, -18.43740
   0.03333,   0.00000,   0.00000,  -0.00000,  85.67700,  -3.58725,   6.55349,  96.07260,  82.86120, -92.85390,   6.39998,   1.46776,   6.34834,   5.15359,   2.28983,  -3.13493,  14.71570,  -0.09097,  -8.78454, -90.36090,   2.27744, -95.99380, -76.24220,   9.96671,  -2.67571,   3.67305,  10.14490, -20.02450,   7.71373,   5.14385,   4.08983,  89.57340,   3.49261, -98.03120, -69.27540,   4.63460,   3.17631,   1.93790,  15.72360,  -7.12072,  13.53970,   5.27853,   0.66597,-172.64000,  -4.49748,  -7.06956,  -0.00363,   0.01291,  42.83490,   0.16886,  -5.32557, -64.55350,   0.17434,  -0.42040, -19.77180,-169.29800,   8.06700, 168.98700,   0.15441,  -0.35359,  20.67080,   8.04041,   0.37709, -54.19240,   0.24182,  -0.25898, -18.54640
   0.06667,   0.00000,   0.00000,  -0.00000,  85.01910,  -3.18676,   6.35730,  94.17500,  82.97270, -90.79110,   6.23220,   0.97531,   6.70717,   5.40778,   1.77796,  -2.61351,  14.84650,  -0.31765,  -8.42754, -90.33750,   2.22333, -96.36590, -75.37790,  12.28900,  -5.02247,   3.67322,  10.07710, -20.14790,   7.67954,   5.13448,   4.31185,  89.50050,   3.76130, -97.42970, -68.87000,   4.42488,   4.84710,   2.19726,  15.27530,  -8.29014,  13.05290,   5.28846,   0.39293,-172.16000,  -5.00677,  -5.76899,   0.02577,  -0.01712,  43.95120,  -1.45461,  -2.09268, -64.35910,   0.02612,  -0.54896, -19.87180,-168.68200,   8.31505, 168.00600,   0.13611,  -0.31302,  20.29220,   7.97806,   0.13252, -53.05270,   0.27268,  -0.29333, -18.80340
   0.10000,   0.00000,   0.00000,  -0.00000,  84.27850,  -2.68212,   5.94756,  92.20690,  83.14190, -88.61990,   5.93561,   0.46985,   7.14151,   5.50275,   1.26403,  -2.08325,  14.97490,  -0.55601,  -8.00856, -90.30790,   2.12431, -96.75060, -74.67280,  14.06710,  -7.46084,   3.74932,  10.23760, -20.23930,   7.54613,   5.12796,   4.46578,  89.42920,   4.00703, -96.88530, -68.38150,   4.46038,   6.39041,   2.65702,  15.11730, -10.09390,  12.48910,   5.30309,  -0.01556,-171.59900,  -5.65203,  -4.72583,   0.05069,  -0.04222,  44.09240,  -2.62245,  -0.20924, -63.74390,   0.77797,   0.09278, -24.37180,-168.03000,   8.32332, 166.69000,   0.10978,  -0.25121,  19.77160,   7.82560,  -0.24991, -51.62560,   0.28894,  -0.31156, -18.93930
   0.13333,   0.00000,   0.00000,  -0.00000,  83.52390,  -2.24641,   5.28195,  90.48730,  83.33040, -86.69660,   5.58267,   0.04136,   7.57089,   5.39699,   0.76165,  -1.65812,  14.88600,  -0.68300,  -7.49335, -90.26780,   1.95572, -97.20170, -74.26850,  14.78450,  -9.71042,   3.89031,  10.31610, -20.79380,   7.46478,   5.12244,   4.59440,  89.35740,   4.23322, -96.36060, -67.86090,   4.51108,   7.47092,   3.15465,  14.87120, -12.12400,  12.12180,   5.31615,  -0.38562,-171.09400,  -6.26237,  -3.28271,   0.06186,  -0.05865,  41.54390,  -3.29638,   0.31281, -65.19380,   1.53140,   0.16972, -30.73880,-167.43900,   7.44237, 165.15100,   0.07895,  -0.17875,  18.84440,   7.53206,  -1.23634, -49.70530,   0.29695,  -0.32057, -19.00640
   0.16667,   0.00000,   0.00000,  -0.00000,  83.09700,  -2.05530,   4.39632,  88.99350,  83.53580, -85.13680,   5.18266,  -0.31314,   7.71898,   5.22306,   0.40675,  -1.20545,  14.61570,  -0.71984,  -7.01314, -90.24300,   1.83662, -97.46290, -73.98730,  14.95260, -11.64360,   4.00810,  10.08060, -21.81690,   7.94745,   5.12089,   4.63102,  89.26030,   4.65360, -95.95850, -67.16770,   4.52436,   8.14667,   3.71965,  14.77270, -14.30700,  11.95460,   5.32831,  -0.73626,-171.35900,  -7.28770,  -0.51922,   0.22531,  -0.31165,  34.67880,  -0.11014,   0.56185, -73.75110,   0.30480,  -0.49365, -22.86840,-167.25000,   6.35611, 163.49100,   0.04383,  -0.09052,  17.31690,   7.23000,  -1.96141, -47.24960,   0.30295,  -0.32734, -19.05680
   0.20000,   0.00000,   0.00000,  -0.00000,  83.66920,  -2.20370,   3.92991,  87.46110,  83.52620, -83.91530,   5.19915,  -0.65140,   7.11324,   4.97015,   0.22087,  -0.86228,  14.37320,  -0.66732,  -6.46566, -90.25150,   1.90837, -97.49070, -73.51360,  14.86280, -13.28450,   4.23029,   9.94007, -23.19420,   8.35996,   5.12460,   4.54423,  89.14960,   5.19035, -95.68200, -66.43650,   4.31473,   8.15482,   4.31950,  14.90000, -16.37340,  12.07700,   5.34067,  -1.09865,-172.79100,  -7.11149,  -0.51440,   0.10019,  -0.12536,  32.01120,   0.39887,  -0.10116, -77.67740,   0.01399,  -0.01556, -16.73000,-168.32600,   5.31320, 162.40100,   0.01536,  -0.00863,  15.38940,   6.77433,  -2.30763, -44.53060,   0.30054,  -0.32461, -19.03640
   0.23333,   0.00000,   0.00000,  -0.00000,  86.12360,  -2.64546,   5.04982,  85.97080,  82.90250, -83.42030,   6.42263,  -1.02422,   5.15283,   4.79111,   0.12388,  -0.68139,  14.10360,  -0.54956,  -5.88931, -90.32700,   2.50465, -97.55920, -72.45160,  14.35000, -14.49390,   4.58907,   9.95498, -24.90620,   8.66227,   5.12732,   4.48056,  89.00970,   5.97851, -95.57810, -65.73320,   3.74583,   7.49005,   4.86318,  15.01650, -18.18300,  12.65620,   5.35341,  -1.47782,-177.24400,  -4.09910,  -0.87581,   0.08481,  -0.08550,  31.68600,   0.51422,  -4.13602, -76.09270,   0.04903,  -0.05488, -17.11380,-171.71300,   4.07536, 163.20700,  -0.02956,   0.16900,  13.34860,   6.03566,  -3.16111, -43.10450,   0.33031,  -0.35834, -19.28680
   0.26667,   0.00000,   0.00000,  -0.00000,  89.03130,  -2.81347,   4.44629,  83.66240,  82.89720, -82.44520,   6.37256,  -1.57828,   2.51975,   4.57179,   0.03340,  -0.60025,  14.53890,  -0.35761,  -4.83602, -90.26660,   2.04084, -97.55490, -72.03010,  13.77640, -15.26390,   4.78535,   9.77702, -26.24170,   9.45739,   5.13619,   4.27224,  88.98780,   5.98645, -95.38400, -66.95380,   3.34507,   6.22585,   5.05719,  14.77870, -19.13610,  14.19870,   5.36907,  -1.95658, 178.38800,  -2.43653,  -2.70405,   0.08467,  -0.09431,  29.95520,   1.06403,  -6.54056, -73.30700,   0.04064,  -0.04539, -17.02140,-175.21100,   3.74890, 162.81300,  -0.04928,   0.30832,  10.48050,   5.44393,  -3.32882, -44.44090,   0.35936,  -0.39153, -19.53210
   0.30000,   0.00000,   0.00000,  -0.00000,  91.11810,  -3.54436,   4.36566,  82.64090,  82.90910, -82.59760,   6.30208,  -1.81186,   0.18608,   5.01026,   0.16383,  -0.45355,  14.49620,  -0.23285,  -3.82074, -90.05840,   0.43048, -97.26880, -72.65270,  13.16220, -15.13650,   5.22422,   9.95823, -27.86690,   9.11458,   5.13559,   4.28602,  89.25820,   4.55914, -95.74950, -70.22880,   2.57343,   5.66648,   5.66947,  14.90880, -21.10350,  13.88630,   5.35952,  -1.66188, 176.07000,  -5.05628,  -3.84878,   0.09219,  -0.11342,  28.62890,   2.34511,  -4.90413, -71.12810,   0.04864,  -0.05443, -17.10940,-177.47600,   4.86133, 162.77700,  -0.03194,   0.25792,   8.36220,   3.53158,  -1.68801, -46.70860,   0.37857,  -0.41364, -19.69510
