time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.79030,  -0.61671,  18.70510,  91.61220,  76.88300, -91.65690,  18.45890,   0.71971,  -0.20661,   3.16032,  -3.34626,  -0.15602,  -2.33170,  -4.81363,   0.46775, -91.10370,   7.74343, -96.86290, -58.89330,  29.09960, -11.46360,  -7.50201, -12.49360, -31.32210,  15.55100,   5.60462, -11.57780,  89.19640,   8.88921, -99.81340, -70.71110,   3.06629,  -2.71028,   0.91246,   3.10180, -16.39930,  11.52890,   5.26018,   1.15137,-177.25100,  -0.52143,  -6.57702,  -0.05549,   0.09519,  38.34270,  -3.25978,   1.04044, -64.75320,   0.13703,  -0.22816, -20.57710, 167.52500,   6.83587, 171.19700,   0.25065,  -0.15691,  56.23810,  -5.76999,   2.05115, -63.95800,   0.21135,  -0.24501, -18.95340
   0.03333,   0.00000,   0.00000,  -0.00000,  92.55940,   0.24500,  18.10380,  92.27400,  77.17110, -92.37780,  17.87450,   0.99051,  -0.36380,   2.03818,  -3.75689,  -0.13748,  -3.54535,  -5.08990,   1.23390, -91.10600,   8.12275, -97.21980, -59.20070,  32.33230, -11.19400,  -4.05866,  -8.75957, -24.95410,  11.79140,   5.57466,  -9.89759,  89.13740,   9.35562, -99.70830, -67.83850,   6.32309,  -2.52643,   2.90134,   9.53418, -17.01710,  10.31530,   5.29114,   0.32014,-178.07300,   0.53860,  -8.99834,  -0.05336,   0.08965,  38.78390,  -3.68628,   0.72206, -64.00690,   0.14422,  -0.24118, -20.80060, 165.93100,   5.67304, 174.65900,   0.29109,  -0.16546,  58.45920,  -6.07863,   2.87069, -64.11370,   0.22699,  -0.26398, -19.13420
   0.06667,   0.00000,   0.00000,  -0.00000,  93.18260,   0.42571,  17.33210,  93.63230,  77.41320, -93.76260,  17.36340,   1.55656,  -0.49883,   0.73775,  -3.78362,  -0.26569,  -4.57736,  -5.15501,   1.95017, -91.12550,   8.41330, -97.35240, -59.79230,  33.94140, -10.86620,  -0.63273,  -1.80690, -19.13800,   9.36281,   5.54494,  -8.45995,  89.19840,   9.37299,-100.09000, -65.49930,  10.36390,  -2.83979,   3.75848,  12.14100, -17.35070,  10.74730,   5.27406,   0.78936,-178.36500,   0.67328, -12.42500,  -0.04943,   0.07825,  40.13510,  -4.06201,   0.77678, -62.26610,   0.13951,  -0.23264, -20.65400, 165.15100,   3.96165, 178.10800,   0.30862,  -0.17145,  58.72850,  -7.15937,   2.23649, -63.60010,   0.54645,  -0.68060, -22.99370
   0.10000,   0.00000,   0.00000,  -0.00000,  93.62650,   0.12058,  16.79580,  95.18100,  77.41480, -95.23780,  17.31190,   2.22943,  -0.45332,  -0.83633,  -3.43064,  -0.51080,  -5.69837,  -5.00309,   2.25204, -91.17420,   8.64998, -97.23990, -61.06320,  32.62150, -10.14360,   1.41068,   5.46152, -14.54230,   9.14928,   5.52085,  -7.40455,  89.31070,   8.95906,-100.58300, -63.67260,  12.53930,  -3.87474,   3.64280,  11.83570, -17.24900,  11.58940,   5.29159,   0.30800,-178.18100,   0.03644, -16.37450,  -0.02141,   0.03896,  42.27990,  -4.41123,   1.29588, -60.07950,   0.12865,  -0.21311, -20.31830, 165.00100,   2.17634,-178.09900,   0.26299,  -0.15493,  56.22680,  -8.62190,   1.85563, -66.62130,   1.25222,  -1.88192, -33.23910
   0.13333,   0.00000,   0.00000,  -0.00000,  93.39580,  -0.98484,  17.33560,  96.81500,  76.82410, -96.47280,  18.40930,   3.09876,   0.18371,  -2.57939,  -2.69598,  -0.56398,  -7.32116,  -4.45316,   1.79971, -91.36760,   9.64659, -96.89260, -62.13330,  28.56950,  -9.03077,   1.47436,   7.55622, -11.06870,  11.13970,   5.50387,  -6.69622,  89.46080,   8.93788,-101.53300, -61.11680,  12.50100,  -5.36775,   3.16385,  10.02920, -17.61560,  11.19080,   5.30046,   0.05899,-176.96400,  -1.66439, -19.34940,   0.01938,  -0.00830,  44.17230,  -4.71644,   2.30664, -57.70730,   0.10661,  -0.17429, -19.64770, 165.59200,   1.98039,-174.35800,   0.14031,  -0.08928,  50.65790,  -8.40228,   4.17161, -78.82920,   0.67802,  -0.87056, -24.69150
   0.16667,   0.00000,   0.00000,  -0.00000,  92.87090,  -3.10112,  17.62980,  98.17760,  76.03240, -97.16590,  19.88400,   3.99201,   1.33008,  -4.22480,  -1.46344,  -0.36852,  -9.69855,  -3.20539,   0.75104, -91.83470,  12.10220, -96.31390, -62.65810,  22.19500,  -7.80436,   0.63179,   4.23293,  -8.47685,  14.07010,   5.50200,  -6.60737,  89.71530,   9.89291,-103.34100, -56.30010,  12.14150,  -7.55113,   2.41102,   7.53195, -17.81470,  10.40080,   5.30804,  -0.15562,-175.25200,  -3.81795, -21.63020,   0.05775,  -0.05206,  43.92060,  -5.19777,   2.95644, -54.67420,   0.08687,  -0.14038, -19.05810, 167.15200,   2.23193,-176.27700,   0.06560,  -0.02900,  51.06880,  -6.69865,   3.78342, -86.85700,   0.18643,  -0.21505, -18.66700
   0.20000,   0.00000,   0.00000,  -0.00000,  93.49220,  -5.02540,  16.74010,  97.64220,  75.55260, -96.40420,  20.86390,   3.89014,   1.76924,  -4.99460,   0.02419,   0.21471, -12.21750,  -1.53785,   0.63528, -92.02840,  13.62160, -96.44760, -64.40650,  15.85360,  -6.83180,  -0.29651,  -2.53292,  -6.71086,  16.57970,   5.51319,  -7.07408,  90.19990,  11.41870,-106.00800, -50.03210,  12.12260, -10.90130,   1.62481,   5.52749, -16.41720,   9.50814,   5.32932,  -0.76706,-175.17200,  -4.47057, -23.43570,   0.05433,  -0.05922,  40.48270,  -6.00717,   2.02900, -51.55620,   0.09699,  -0.15766, -19.35880, 167.14900,   2.10076, 176.12800,   0.24238,  -0.14415,  56.20680,  -4.96599,   4.51313, -84.20780,   0.22600,  -0.26279, -19.12280
   0.23333,   0.00000,   0.00000,  -0.00000,  93.77190,  -4.14852,  16.31990,  94.68010,  75.22180, -93.11810,  21.67300,   2.53716,   2.65142,  -4.50457,   0.22576,   1.30151, -13.72880,  -0.04743,   2.01175, -91.48950,  12.05180, -97.90370, -68.27930,  15.06880,  -6.72385,  -0.96298,  -9.34402,  -5.91397,  16.95250,   5.49692,  -6.40330,  90.34410,  11.87830,-106.67100, -46.08280,  10.94610, -15.00070,   1.97348,   7.91834, -14.06230,   9.27810,   5.32557,  -0.65828,-175.34600,  -1.79872, -23.75630,   0.00989,  -0.00871,  35.99750,  -7.07612,   0.65845, -51.79920,   0.11244,  -0.18445, -19.82360, 166.18700,   6.25340, 172.49200,   0.28122,  -0.16463,  57.33100,  -3.12124,   6.73573, -82.34310,   0.17868,  -0.20577, -18.57800
   0.26667,   0.00000,   0.00000,  -0.00000,  92.94750,  -1.99204,  15.69880,  92.17200,  75.28710, -89.92570,  21.61950,   1.35631,   4.25204,  -3.52727,  -0.56688,   2.85667, -12.79720,   0.93451,   4.87137, -90.89910,   9.66127, -99.66030, -71.23580,  21.43090,  -8.22471,  -0.86906, -11.20010,  -4.46419,  14.12480,   5.47384,  -5.50870,  90.17480,  12.33070,-105.81900, -44.42410,   7.83316, -17.42160,   2.92520,  12.32260, -13.47020,  10.68370,   5.26092,   1.12813,-174.77500,   0.81329, -22.92420,   0.00203,   0.00230,  29.63720,  -7.67455,  -0.11544, -52.74190,   0.10644,  -0.17400, -19.64270, 166.67300,  10.79260, 170.69000,   0.19048,  -0.11202,  56.02300,  -2.39039,   8.13788, -79.98880,   0.12153,  -0.13837, -17.92820
   0.30000,   0.00000,   0.00000,  -0.00000,  92.70350,  -1.79493,  15.66350,  92.07890,  75.33850, -89.48650,  21.51570,   1.34565,   4.95006,  -2.75374,  -0.97699,   4.65899,  -9.66797,   1.92397,   8.31890, -90.62890,   8.03780,-100.51200, -71.80260,  30.59380, -11.10300,  -0.35121,  -6.13448,  -3.28671,   9.53014,   5.48305,  -5.87898,  90.08960,  12.86660,-105.40200, -44.23570,   4.08408, -17.66770,   3.37400,  12.79450, -14.91090,  13.48880,   5.20335,   2.62988,-174.63300,   0.86397, -19.99410,   0.02256,  -0.04694,  22.84360,  -7.46037,  -1.65218, -55.28320,   0.08508,  -0.13735, -19.00530, 167.91400,  10.57090, 169.15800,   0.18227,  -0.11628,  53.97300,  -2.37401,   7.00012, -76.60190,   0.10280,  -0.11661, -17.71710
