time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  82.62680,  63.18250,   8.84804,  59.29020,  81.65840, -58.78060,   6.67203,  -8.49819,   1.51570,   2.42663, -17.47630,  -0.35625,   5.43931, -22.42280,   4.06732, -90.50260,   1.93732, -90.45450, -43.89240,   8.38401, -14.17960, -14.14770,   1.19048, -94.70660,  10.33270,   5.60437, -11.60010,  87.95080,   5.28337, -83.75310, -61.94990,  29.14810,  32.43080,   2.83627,   1.41630, -63.53570,   9.01520,   5.67348, -17.96800,-178.46900, -12.15260,   1.86187,   0.01520,  -0.01101,  21.88450,   1.94751,  -3.96946, -72.08040,   0.05542,  -0.08797, -18.13940, 172.63200,   2.91505, 149.18900,   0.31301,  -0.07331,  77.59790, -10.56270,  -3.57387, -50.68550,   0.35147,  -0.41947, -20.59850
   0.03333,   0.00000,   0.00000,  -0.00000,  79.72590,  64.24990,  10.74340,  53.14500,  81.37040, -52.01380,   6.22604, -10.33850,   2.82837,   3.50399, -17.36610,   0.08819,   5.53864, -21.10400,   3.46078, -90.13680,   0.52721, -90.45440, -38.32150,   5.66241, -16.94770, -15.25400,   2.86105,-100.36600,  10.00730,   5.58443, -10.45080,  88.91040,   2.48036, -81.25710, -61.81870,  30.15050,  35.35470,   2.48993,   0.80658, -72.06890,   8.77853,   5.66920, -17.26480,-177.19300, -13.55570,   4.76963,   0.01207,   0.00185,  18.87760,   2.45266,  -1.32779, -72.19370,   0.07930,  -0.12761, -18.83530, 176.89600,   4.74749, 144.67800,   0.20129,  -0.05971,  75.01600, -12.64110,  -0.21828, -52.30110,   0.35447,  -0.42333, -20.63430
   0.06667,   0.00000,   0.00000,  -0.00000,  78.34180,  65.16610,  11.60440,  49.75660,  80.99820, -48.33880,   6.22160, -11.61840,   3.47351,   4.03727, -17.46860,   0.63460,   5.51770, -20.38700,   3.43504, -89.82640,  -0.66626, -90.39540, -32.94410,   2.21870, -20.01260, -16.19380,   4.18642,-104.11000,  10.03130,   5.57079,  -9.72854,  89.79440,   0.42017, -78.85240, -61.40630,  30.01620,  37.02170,   3.47042,   0.68179, -78.89020,   8.80525,   5.66534, -16.70980,-176.82400, -14.07720,   7.49561,   0.01453,  -0.02551,  16.77710,   3.04920,   0.16251, -72.84660,   0.09718,  -0.15800, -19.36470,-179.13900,   6.85177, 141.89700,   0.07038,  -0.03456,  68.62620, -14.07370,   2.19376, -53.86320,   0.35039,  -0.41810, -20.58560
   0.10000,   0.00000,   0.00000,  -0.00000,  78.50870,  65.67180,  11.30590,  48.82460,  80.67960, -47.39340,   6.53566, -12.25170,   3.56976,   4.26502, -17.73390,   1.01769,   5.11647, -20.24360,   4.08954, -89.62700,  -1.41213, -90.19970, -28.30530,  -1.68974, -23.06170, -15.50510,   4.65402,-106.31000,   9.91980,   5.56238,  -9.30198,  90.35100,  -0.66044, -77.02120, -60.89420,  28.17070,  37.88830,   4.58545,   0.48718, -83.94930,   8.69025,   5.65981, -16.03510,-177.41900, -13.51080,  10.21510,   0.02490,  -0.07279,  15.21930,   3.50398,   0.19056, -73.65880,   0.11842,  -0.19496, -20.00560,-175.39900,   9.02877, 141.21500,  -0.03693,   0.01464,  58.33330, -14.67380,   4.65962, -55.53220,   0.33169,  -0.39423, -20.36270
   0.13333,   0.00000,   0.00000,  -0.00000,  79.48660,  66.18980,  10.06020,  48.21260,  80.50450, -46.83720,   6.67276, -12.62950,   3.49563,   4.25681, -17.99740,   1.38572,   4.35493, -20.38750,   4.46173, -89.64310,  -1.35055, -90.19610, -24.95530,  -5.36493, -25.44410, -13.80780,   4.45602,-107.52500,   9.24696,   5.54623,  -8.52768,  90.41980,  -0.76244, -76.15670, -60.60520,  24.59180,  38.43250,   4.97981,   0.27076, -86.90070,   9.03385,   5.65670, -15.69250,-178.21200, -13.33580,  12.12700,   0.05375,  -0.18057,  15.06200,   4.13800,   0.88827, -74.72250,   0.15407,  -0.25923, -21.10890,-171.64200,  11.81200, 142.44800,  -0.06420,   0.05816,  43.96320, -15.39020,   7.07387, -54.66070,   0.34075,  -0.40577, -20.47030
   0.16667,   0.00000,   0.00000,  -0.00000,  80.66200,  67.50260,   8.48464,  47.37650,  80.44400, -45.96780,   6.58739, -12.91810,   3.57002,   3.53744, -18.77370,   1.54983,   3.96541, -20.92820,   4.71119, -89.82120,  -0.69516, -90.57920, -23.80580,  -7.39311, -27.46230, -12.52390,   4.07072,-107.72200,   8.76885,   5.53882,  -8.18898,  89.83630,   0.29216, -75.74180, -60.06590,  19.66300,  38.70090,   4.61092,   0.17695, -87.81100,   9.50134,   5.65914, -15.95830,-178.43400, -13.82530,  12.72020,   0.07629,  -0.20239,  17.57070,   4.26557,   3.55203, -75.88480,   0.21464,  -0.37580, -23.08380,-167.20900,  16.42010, 144.79000,  -0.03690,   0.04919,  27.55850, -15.19050,   6.77016, -50.39910,   0.34054,  -0.40550, -20.46790
   0.20000,   0.00000,   0.00000,  -0.00000,  81.73620,  69.64420,   6.83706,  45.92870,  80.52560, -44.32060,   6.16271, -13.16730,   3.93546,   2.35657, -19.87600,   1.60782,   4.00285, -22.20150,   4.91413, -90.03480,   0.14301, -91.25520, -25.60290,  -6.65081, -28.84500, -11.28880,   3.50095,-107.00800,   8.81536,   5.53730,  -8.12041,  88.68640,   2.37089, -75.99610, -59.53190,  13.98230,  38.58170,   3.78680,   0.22462, -86.61160,  10.47740,   5.66153, -16.23630,-178.09500, -13.63960,  12.66330,  -0.00191,   0.04754,  21.52900,   2.06037,   7.00078, -75.16920,   0.77900,  -0.17636, -27.06580,-162.15100,  23.00900, 145.36900,  -0.01375,   0.01914,  17.80090, -13.07670,   4.91669, -49.84090,   0.36711,  -0.43957, -20.78560
   0.23333,   0.00000,   0.00000,  -0.00000,  81.50740,  72.42830,   5.69683,  42.84190,  81.06470, -40.53640,   4.75694, -13.14110,   5.16978,   1.13157, -21.06780,   1.58532,   3.67142, -23.88130,   3.94772, -90.39380,   1.82854, -92.82640, -29.79650,  -2.54436, -28.09220, -10.16820,   2.80604,-105.26400,   9.10170,   5.54566,  -8.49985,  87.36600,   4.92214, -76.79460, -58.63080,   7.50009,  37.60160,   4.86041,   0.60636, -82.90510,  11.54750,   5.66608, -16.78300,-177.43100, -13.04180,  12.71500,  -0.03171,   0.04795,  24.30720,   2.01646,  10.18190, -72.25830,   0.44606,  -0.95445, -32.45550,-158.32400,  26.50420, 140.87900,  -0.17463,   0.41572,  22.53660,  -0.52204,   0.23255, -53.57550,   0.35054,  -0.41829, -20.58740
   0.26667,   0.00000,   0.00000,  -0.00000,  77.42190,  74.96630,   7.23584,  38.70950,  82.20270, -35.10840,   2.43874, -12.32760,   7.48051,  -0.52935, -22.28680,   1.14465,   3.10474, -25.84260,   2.73166, -90.73750,   3.96566, -94.45290, -35.68420,   4.67165, -25.41510,  -9.67609,   1.80809,-100.47700,  10.00300,   5.57045,  -9.69955,  85.78660,   8.50855, -78.52280, -56.30890,   0.89801,  35.97220,   7.10655,   1.48907, -78.23490,  12.87950,   5.67308, -17.85640,-175.44400, -13.30010,  10.47310,   0.01521,   0.01668,  28.10480,   1.40850,  14.64480, -65.13060,   0.58640,  -1.61115, -42.55560,-157.57000,  24.49210, 139.46500,   0.00002,  -0.01157,  24.58220,  16.16240,  -3.31712, -50.56720,   0.20497,  -0.23729, -18.87990
   0.30000,   0.00000,   0.00000,  -0.00000,  71.80280,  76.56010,  13.06720,  40.00110,  82.97390, -35.13600,   1.78897, -11.01230,   9.91822,  -2.17891, -23.09360,   0.03615,   2.06486, -28.18170,   2.01968, -90.78800,   4.54651, -95.15720, -44.99670,  12.82220, -20.98910,  -8.02431,   0.05114, -90.33480,  11.40980,   5.60403, -11.55290,  84.97780,  11.45370, -81.12280, -55.10120,  -2.98055,  31.92860,   5.98982,   1.77563, -73.54720,  14.37360,   5.67583, -18.43270,-173.51300, -12.39310,   7.77386,   0.06667,  -0.05758,  35.51110,  -0.53786,  16.55420, -51.64330,   0.60565,  -2.34169, -53.55330,-163.01000,  18.95360, 141.17500,   0.02394,  -0.03851,  32.10320,  10.97600, -11.28150, -53.23200,   0.06578,  -0.07406, -17.30240
