time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  81.64720,  69.65800,  13.13830,  76.33950,  82.36900, -72.96970,   7.19048,  -3.60837,   6.96119,  -2.02608, -17.59960,  -4.31293,   2.66361, -27.94020,  -2.13570, -89.97380,  -0.33361,-100.51900, -79.77080,  -9.58682,   9.99652,   3.67670,  11.13690, -18.39970,  13.80340,   5.41161,  -3.31836,  89.41710,   4.08763, -96.87730, -64.90170,  -1.93226,   1.06044,  -5.16384,  -9.10738, -29.71880,  26.80760,   5.67913, -22.97840,-175.17600,  -9.31132, -14.94580,   0.12974,  -0.05815,  66.06910,  -2.97972,  -3.85323, -42.41370,   0.39003,  -0.46762, -21.01510,-174.05800,  -2.42987, 176.20300,   0.03481,  -0.00471,  26.17560,  -1.00693, -15.36920, -67.74990,  -0.09845,   0.07273, -16.57220
   0.03333,   0.00000,   0.00000,  -0.00000,  83.80910,  71.87970,  11.75210,  80.61710,  82.24300, -77.57890,   7.62038,  -2.52298,   6.23912,  -1.70876, -18.37110,  -4.44099,   2.11405, -29.81940,  -2.23815, -89.92910,  -0.77815, -99.79120, -78.48660, -11.30400,  14.69600,   2.97731,  10.59000, -15.80070,  13.43040,   5.41369,  -3.38796,  89.46120,   3.95050, -97.22820, -62.05570,  -4.70941,  -3.39131,  -5.69980,  -8.69786, -33.41890,  28.22000,   5.67768, -23.38400,-176.44600,  -6.42284, -18.49850,   0.03511,  -0.01880,  64.65110,  -0.73665,  -6.79317, -46.57150,   0.39612,  -0.47559, -21.08800,-175.52600,  -0.98943, 179.07400,  -0.00245,   0.06921,  25.39110,  -1.96537, -15.78180, -69.44540,  -0.10747,   0.07781, -16.57230
   0.06667,   0.00000,   0.00000,  -0.00000,  86.39710,  73.19480,   9.32093,  84.94630,  82.19100, -82.18240,   7.83207,  -1.36842,   5.61607,  -1.36759, -18.79870,  -4.35052,   1.51684, -31.15640,  -2.49545, -89.83090,  -1.69457, -99.30470, -77.59590, -11.42650,  19.11970,   2.32531,  10.17890, -12.93960,  12.76180,   5.42563,  -3.78959,  89.55140,   3.47363, -97.63680, -60.32990,  -8.64102,  -7.98526,  -6.56175,  -8.70858, -37.22190,  29.25890,   5.67830, -23.20430,-177.11500,  -4.98314, -21.10160,   0.01307,  -0.01155,  59.05550,  -0.04749,  -7.74030, -49.55010,   0.40364,  -0.48538, -21.17810,-176.90300,  -0.16825,-178.32500,  -0.03187,   0.13284,  23.64720,  -2.70692, -15.99080, -70.39190,  -0.11247,   0.08039, -16.57240
   0.10000,   0.00000,   0.00000,  -0.00000,  88.54160,  73.57890,   6.55365,  89.13210,  82.25960, -86.57350,   7.72350,  -0.23438,   5.12796,  -1.34180, -18.76380,  -4.16598,   1.35084, -32.03240,  -2.57933, -89.66910,  -2.98469, -98.67260, -77.09730, -11.25230,  23.09510,   2.01563,  11.13790, -10.32690,  12.65370,   5.43680,  -4.17421,  89.60180,   3.28732, -98.08880, -59.34280, -12.69040, -12.51240,  -6.60468,  -7.54976, -41.38630,  29.44910,   5.67830, -23.18700,-177.43600,  -5.19262, -22.55330,   0.01193,  -0.01641,  48.98490,   0.93201,  -8.05193, -50.20230,   0.39666,  -0.47625, -21.09440,-177.92700,  -0.42631,-176.15300,  -0.04278,   0.16599,  20.96250,  -3.31695, -16.33440, -70.63590,  -0.13393,   0.09553, -16.57220
   0.13333,   0.00000,   0.00000,  -0.00000,  88.42770,  73.29420,   5.45193,  92.32910,  82.47460, -89.68590,   7.26424,   0.59824,   5.24291,  -1.61078, -18.39450,  -4.12769,   1.25185, -32.23450,  -2.96262, -89.56550,  -3.64138, -98.19000, -76.12310, -11.64440,  28.16760,   2.27264,  12.80030, -10.15450,  12.70010,   5.44781,  -4.56218,  89.65220,   3.11837, -98.63400, -59.18890, -15.57310, -16.74440,  -7.27930,  -7.04220, -46.16800,  30.72970,   5.67888, -23.03460,-177.24800,  -6.29696, -22.17180,   0.00919,  -0.02430,  34.35430,   1.68640,  -7.44079, -49.50970,   0.38408,  -0.45993, -20.94400,-178.45600,  -0.80348,-173.97800,  -0.04299,   0.18649,  17.28110,  -3.70493, -16.00450, -70.29940,  -0.08928,   0.06391, -16.57280
   0.16667,   0.00000,   0.00000,  -0.00000,  86.01830,  72.34840,   6.58121,  94.97690,  82.68830, -91.98660,   6.77802,   1.23930,   5.90080,  -2.05806, -17.86930,  -3.88389,   0.87433, -31.88340,  -3.90859, -89.48270,  -4.02713, -97.67470, -75.68730, -11.34670,  33.55600,   2.70304,  12.78660, -12.04290,  12.87120,   5.45330,  -4.75713,  89.73940,   2.47233, -98.98270, -59.68600, -16.05510, -20.31300,  -7.91433,  -6.50549, -50.81790,  31.16340,   5.67991, -22.69090,-176.38200,  -7.51103, -19.61800,   0.00074,  -0.02269,  17.25020,   1.94198,  -4.21170, -47.97970,   0.38212,  -0.45738, -20.92060,-177.93300,  -1.51247,-172.94200,   0.05045,  -0.13063,  15.97450,  -1.37203, -16.23730, -69.78840,  -0.34070,  -0.42080, -16.99550
   0.20000,   0.00000,   0.00000,  -0.00000,  85.95800,  71.16690,   5.67126,  96.00890,  82.83040, -92.88800,   6.46377,   1.46162,   6.15256,  -2.37600, -17.23950,  -3.76830,   0.68003, -31.25390,  -4.28796, -89.36210,  -4.64953, -97.17950, -75.69480, -12.06440,  37.85970,   2.97144,  12.01440, -14.00230,  12.83300,   5.46310,  -5.11560,  89.79230,   1.99928, -99.06830, -60.08100, -14.94770, -23.12470,  -6.38782,  -4.79864, -53.22760,  31.92890,   5.68049, -22.44800,-175.89300,  -7.29932, -18.19480,   0.00298,  -0.04586,   6.65460,  -1.60063,  -1.32104, -46.54930,   0.37611,  -0.44964, -20.84980,-179.02400,  -2.08419,-173.08700,   0.05167,  -0.11547,  17.68280,  -3.17431, -15.06030, -69.81620,  -1.01719,  -1.48564, -19.04760
   0.23333,   0.00000,   0.00000,  -0.00000,  88.41020,  70.04980,   2.59602,  94.90890,  82.99890, -91.88790,   6.16251,   1.15279,   5.97312,  -2.33115, -16.60400,  -3.80319,   0.69482, -30.44780,  -4.71568, -89.34450,  -4.70166, -97.05340, -75.21870, -13.96780,  40.93590,   3.19486,  11.83540, -15.22450,  12.61880,   5.47592,  -5.59187,  89.76900,   2.27977, -99.21350, -60.32890, -13.58110, -24.43540,  -6.64220,  -5.00488, -53.15860,  32.33850,   5.68040, -22.48230,-177.03500,  -7.11601, -18.48320,   0.00294,  -0.03997,   5.92201,  -1.64904,  -1.45698, -44.14370,   0.39151,  -0.46956, -21.03270, 178.37800,  -1.83800,-173.12400,   0.02974,  -0.03372,  19.67560,  -4.69505, -13.13530, -68.32380,  -1.32716,  -2.23488, -23.22100
   0.26667,   0.00000,   0.00000,  -0.00000,  91.95770,  68.93520,  -1.29211,  93.25060,  83.23050, -90.46780,   5.74022,   0.71671,   5.52332,  -2.02754, -16.14290,  -3.80895,   1.13392, -29.88140,  -5.29372, -89.42690,  -4.09942, -97.03290, -75.63200, -14.00100,  41.52160,   3.02070,  11.23000, -15.16070,  13.24320,   5.48034,  -5.76065,  89.68410,   3.22997, -99.40940, -59.86350, -12.20580, -22.85380,  -6.53410,  -5.25189, -51.36500,  31.44700,   5.67955, -22.76740, 179.88000,  -9.74054, -20.45880,   0.00425,  -0.01595,  11.44410,   0.48842,  -0.77171, -40.75160,   0.07129,  -0.08015, -17.35960, 175.16500,  -1.93103,-173.46500,   0.01449,   0.01330,  22.63050,  -5.25836, -11.81190, -66.06220,  -0.93421,  -2.52968, -25.45340
   0.30000,   0.00000,   0.00000,  -0.00000,  96.08160,  68.16800,  -5.48895,  91.95950,  83.35030, -89.59320,   5.52173,   0.40762,   4.70747,  -1.53334, -16.18580,  -3.96131,   1.51557, -29.88860,  -4.99421, -89.55560,  -3.10322, -96.84670, -75.06940, -14.20880,  39.05180,   2.84560,  11.15700, -14.40660,  14.09930,   5.48017,  -5.75461,  89.54490,   4.77204, -99.54570, -58.74920, -10.75830, -18.35940,  -6.27247,  -5.58163, -48.49100,  31.09330,   5.67897, -22.99990, 176.71500, -11.60460, -21.29080,   0.02284,  -0.05499,  17.36520,   1.83308,   0.62394, -46.54030,   0.01440,  -0.01601, -16.73430, 172.47500,  -3.50128,-174.77700,   0.02809,  -0.01236,  27.04860,  -3.85272, -13.38130, -61.36540,   1.41420,  -1.83866, -29.49570
