time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  95.07080,  65.70270,  -6.68586,  77.03050,  85.19530, -74.62060,   1.65210,  -2.28393,   4.84890,  -0.53153, -22.53070,   4.83101,  -7.05239, -31.71070,   4.44463, -90.97770,   3.55575, -89.61430, -71.77020,  -0.36004,  11.52550,  -0.48720,   5.80654,   0.04540,  15.45720,   5.53865,  -3.80388,  87.23380,  12.38820, -92.30810, -59.29480,   3.15705,  -4.19422,   1.30814,   1.29023, -45.37130,  16.55980,   5.33005,  -0.78718,-174.95800,  -9.42486, -19.60720,   0.59805,  -0.23117,  68.20050, -10.08510,   9.72735, -54.77940,   0.14087,  -0.23510, -20.69590, 173.66600,   2.42743, 160.99300,   0.02684,  -0.02543,  29.37920,  -4.40989,  -8.69327, -62.16720,   0.03159,  -0.03533, -16.92230
   0.03333,   0.00000,   0.00000,  -0.00000,  96.79980,  66.49690,  -7.57608,  81.33170,  85.05930, -79.53270,   2.03056,  -1.57826,   3.62284,   0.11221, -22.54720,   4.70092,  -6.30823, -32.67170,   4.68191, -90.74530,   2.58009, -88.88080, -67.73890,  -4.96860,  17.00280,  -0.57215,   1.24572,   0.05346,  20.38450,   5.56486,  -3.99066,  87.52320,  11.20570, -92.45130, -58.95650,   4.31731,  -9.68470,   2.88369,   2.53763, -48.69410,  17.20460,   5.32364,  -0.60139,-174.90500, -10.18550, -22.22020,   0.57784,  -0.22143,  68.45510,  -7.83003,   7.69715, -56.83500,   0.13078,  -0.21692, -20.38430, 172.61500,   3.34676, 165.24700,   0.02383,  -0.02197,  25.97020,  -4.53516,  -8.56487, -62.04990,   0.00647,  -0.07224, -16.98540
   0.06667,   0.00000,   0.00000,  -0.00000,  97.96160,  66.44440,  -8.58685,  86.66600,  85.03460, -85.55400,   2.15509,  -0.63163,   2.23367,   0.55408, -22.34520,   4.65568,  -5.62803, -33.28330,   4.91526, -90.52960,   1.72795, -87.95850, -62.65790,  -8.58944,  22.25280,  -0.42868,   0.74282,   0.04020,  22.24590,   5.53165,  -4.23721,  87.79260,  10.09480, -92.59810, -58.96920,   4.57064, -14.99340,   2.54071,   2.17421, -49.48440,  17.20110,   5.31891,  -0.46504,-174.66900, -11.76850, -24.35700,   0.53715,  -0.23906,  65.52080,  -6.78677,   7.57314, -58.29800,   0.12970,  -0.21495, -20.35000, 171.71000,   5.07920, 168.33000,   0.02284,  -0.02415,  22.90970,  -4.38066,  -6.98226, -61.67100,  -0.10401,  -0.19282, -17.04390
   0.10000,   0.00000,   0.00000,  -0.00000,  98.02890,  65.93080,  -9.35543,  92.48200,  85.12750, -91.99640,   1.96854,   0.39739,   0.96349,   0.83861, -21.92120,   4.56921,  -5.27748, -33.57940,   5.29200, -90.36800,   1.12821, -86.93060, -58.15480,  -9.98595,  26.16040,  -0.27592,   0.17894,   0.02578,  21.43100,   5.51193,  -4.84339,  88.01230,   9.23035, -92.79120, -58.91210,   4.68694, -19.42210,   1.73374,   1.49518, -49.25750,  17.48630,   5.30472,  -0.06094,-174.20900, -13.69330, -26.34280,   0.46147,  -0.26136,  59.99460,  -6.23308,   8.41226, -59.28060,   0.13971,  -0.23301, -20.66010, 171.19400,   7.18534, 169.84100,   0.02343,  -0.02893,  20.81670,  -4.08265,  -4.64869, -61.51040,  -0.07846,  -0.18577, -17.14290
   0.13333,   0.00000,   0.00000,  -0.00000,  97.19160,  65.59670,  -9.51841,  96.93600,  85.18450, -96.94660,   1.79495,   1.16288,  -0.03947,   0.81381, -21.42760,   4.24508,  -5.02020, -33.57930,   5.94265, -90.26430,   0.77999, -86.28500, -54.96020, -10.38250,  28.83620,  -0.15945,  -1.56515,   0.01496,  21.18710,   5.49430,  -5.12403,  88.19470,   8.56648, -93.05240, -59.06600,   4.43960, -22.31280,   2.06020,   1.78371, -49.14990,  17.49540,   5.29868,   0.10952,-173.41000, -15.14050, -27.48310,   0.35358,  -0.27172,  51.93030,  -6.68801,   8.87982, -59.34900,   0.14189,  -0.23695, -20.72770, 171.07400,   8.48587, 170.72900,   0.02464,  -0.03449,  19.47250,  -4.06055,  -3.26987, -61.86980,  -0.03707,  -0.14265, -17.13140
   0.16667,   0.00000,   0.00000,  -0.00000,  95.42980,  65.59660,  -9.00971,  99.45940,  85.29120, -99.77990,   1.52858,   1.56450,  -0.66132,   0.70954, -20.97730,   3.89776,  -5.05187, -33.31360,   6.42615, -90.18160,   0.52829, -86.03090, -53.12210, -11.12310,  30.35210,  -0.12337,  -3.68580,   0.01188,  23.33660,   5.49926,  -5.58206,  88.28930,   8.22745, -93.21120, -59.17560,   4.46496, -23.73810,   2.31147,   2.02589, -48.80730,  17.70260,   5.29375,   0.24696,-172.36400, -15.57150, -27.85240,   0.22316,  -0.24171,  42.01560,  -6.54288,   7.91018, -59.12000,   0.14176,  -0.23671, -20.72390, 171.31700,   9.23315, 171.34100,   0.02494,  -0.03598,  18.55890,  -4.33781,  -2.60334, -62.66110,   0.04928,  -0.05531, -17.11860
   0.20000,   0.00000,   0.00000,  -0.00000,  93.01620,  65.69150,  -7.53703, 100.36000,  85.33930,-100.82200,   1.41111,   1.70108,  -0.94317,   0.53193, -20.57020,   3.48252,  -5.20736, -32.85750,   6.59191, -90.12170,   0.35545, -86.11210, -52.68960, -12.37020,  30.83250,  -0.17218,  -5.81742,   0.01631,  26.65340,   5.53663,  -6.68379,  88.31580,   8.19486, -93.34510, -59.44070,   4.72021, -23.60330,   2.33444,   2.08757, -48.23560,  17.69390,   5.28343,   0.53242,-171.04900, -14.51050, -27.37700,   0.11391,  -0.17094,  32.48950,  -3.74938,   5.55963, -59.65130,   0.15075,  -0.25313, -21.00530, 171.55800,   9.60857, 172.37400,   0.02278,  -0.02783,  18.00260,  -5.02159,  -2.25311, -64.00390,   0.05647,  -0.06349, -17.19880
   0.23333,   0.00000,   0.00000,  -0.00000,  90.19870,  65.50540,  -5.39590, 100.55000,  85.32900,-101.07500,   1.42699,   1.73857,  -1.07195,   0.31671, -20.23600,   3.16116,  -5.30279, -32.37460,   6.76836, -90.08570,   0.25201, -86.21600, -53.71040, -13.61360,  30.13530,  -0.25056,  -7.67681,   0.02380,  28.68740,   5.57120,  -7.48484,  88.32030,   8.40603, -93.65670, -60.31880,   4.85902, -21.72910,   2.26721,   2.07301, -47.59820,  17.41680,   5.28754,   0.41850,-169.53800, -13.27950, -26.76400,   0.06388,  -0.12409,  25.66800,  -2.48957,   2.76089, -59.20700,   0.15314,  -0.25756, -21.08080, 171.48400,   9.78136, 173.70200,  -0.00408,   0.05834,  17.79290,  -6.72184,  -1.46656, -65.46080,   0.07008,  -0.07898, -17.35030
   0.26667,   0.00000,   0.00000,  -0.00000,  87.75980,  64.87490,  -3.71025, 100.53200,  85.37260,-101.19300,   1.34377,   1.72783,  -1.34213,   0.20840, -20.01960,   3.06476,  -5.23106, -31.88060,   7.37350, -90.14080,   0.41616, -86.30540, -55.69910, -14.63890,  28.49060,  -0.29153,  -8.58234,   0.02796,  28.07130,   5.58494,  -7.67069,  88.25960,   9.04655, -94.06180, -61.26300,   5.25347, -18.55010,   1.41553,   1.35464, -46.28290,  16.90550,   5.30071,   0.05173,-169.02000, -13.64140, -27.10450,   0.05273,  -0.11105,  23.85280,  -2.47378,   0.11951, -59.59480,   0.15828,  -0.26709, -21.24420, 170.85400,   9.31035, 175.12300,  -0.04882,   0.20359,  17.35020,  -9.24421,  -0.78175, -66.73500,   0.07686,  -0.08675, -17.42650
   0.30000,   0.00000,   0.00000,  -0.00000,  87.38740,  64.12330,  -4.98699,  99.40490,  85.82580,-100.54900,   0.48578,   1.43648,  -2.29282,   0.41049, -19.83410,   3.37786,  -5.06692, -31.64080,   8.61856, -90.37690,   1.11089, -86.25920, -58.54980, -14.09490,  25.58750,  -0.30958,  -9.11125,   0.02980,  25.76260,   5.59542,  -7.89166,  88.04400,  10.48690, -94.37250, -61.81060,   5.99847, -13.99090,   0.57124,   0.58404, -44.40930,  15.89520,   5.30802,  -0.15424,-169.92500, -14.14800, -30.01080,   0.09891,  -0.18676,  27.33760,  -4.05574,  -0.45465, -55.57990,   0.16355,  -0.27687, -21.41040, 169.39100,   9.25198, 175.50500,  -0.04901,   0.21015,  16.69190, -10.56200,  -0.04161, -67.75700,   0.08062,  -0.09104, -17.46820
