time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  79.63970,  71.50890,  13.69730,  58.72360,  87.14920, -53.69090,  -2.72479,  -3.41940,   9.98729,  -6.60847, -10.25600, -13.35070,  -3.35263, -23.32640, -14.41510, -90.54290,   3.18367, -95.31830, -67.44930,  -9.88551,  18.28820,   0.82255,   9.58555,  -4.92559,   6.89131,   5.24556,   1.54953,  89.25070,   3.81199, -93.87110, -57.70540, -18.63110,   5.83001,   0.84132,   3.42605, -13.82160,  21.87880,   5.49767,  -6.43937,-175.54200,  -5.19482, -20.32930,  -0.30639,   0.10039,  71.21630,   5.35485,  -7.30865, -42.47930,   0.42785,  -0.51710, -21.46860,-168.94000,  10.24190, 169.02600,   0.30113,  -0.49121,  28.19240,   3.33647, -21.81280, -65.92450,   0.10456,  -0.10979, -17.41800
   0.03333,   0.00000,   0.00000,  -0.00000,  80.91140,  73.08970,  12.51500,  70.08840,  87.09580, -65.48740,  -2.19339,  -2.37691,   9.15668,  -6.54449, -11.07290, -13.31130,  -3.86168, -25.37810, -13.99520, -90.63490,   3.36548, -94.31140, -66.53680, -10.98220,  19.05000,   1.10966,  10.02560,  -6.34905,   7.85735,   5.25273,   1.36275,  89.36090,   3.46807, -94.55160, -58.31390, -18.55560,   3.60735,   0.84749,   3.57840, -13.35010,  22.08800,   5.48600,  -5.97906,-176.45300,  -1.07073, -25.01100,  -0.44362,   0.15343,  70.14710,   9.78027, -12.99290, -44.86350,   0.42683,  -0.51579, -21.45650,-170.24000,  10.73250, 169.82500,   0.24465,  -0.39075,  27.95960,   2.22247, -22.65360, -66.61730,   0.11967,  -0.12591, -17.54090
   0.06667,   0.00000,   0.00000,  -0.00000,  82.42660,  75.09480,  10.80070,  78.54720,  87.01420, -74.45390,  -1.84583,  -1.52842,   8.16091,  -6.62952, -11.99650, -13.12290,  -4.16187, -27.39220, -13.16580, -90.68650,   3.33119, -93.34910, -65.69430, -13.06060,  19.61570,   1.29705,   9.73475,  -7.62559,   8.46079,   5.26708,   0.97653,  89.47370,   3.01495, -95.09450, -58.93120, -18.55790,   2.01973,   0.92023,   3.89391, -13.32290,  21.75140,   5.47225,  -5.45383,-176.85900,   3.05359, -28.59500,  -0.40955,   0.17737,  65.53070,   9.44998, -15.02280, -46.79750,   0.41828,  -0.50454, -21.35350,-171.46700,  11.00830, 170.66000,   0.16618,  -0.25736,  27.04640,   1.20850, -23.85500, -66.95240,   0.11287,  -0.11866, -17.48580
   0.10000,   0.00000,   0.00000,  -0.00000,  83.51170,  77.11880,   9.04003,  86.42940,  87.02230, -82.81540,  -1.79075,  -0.67185,   7.21592,  -6.83864, -13.02010, -12.74870,  -4.31547, -29.34950, -11.95660, -90.74140,   3.35744, -92.54030, -64.90260, -14.94300,  20.32830,   1.75338,  10.63990,  -9.41157,   8.30402,   5.26908,   0.92317,  89.53910,   2.77644, -95.57010, -59.05930, -18.23640,   1.15005,   0.88869,   3.67250, -13.62900,  21.05910,   5.46128,  -5.04680,-176.98800,   6.20305, -31.22550,  -0.33502,   0.19476,  58.17820,   9.45785, -14.22760, -48.59470,   0.39478,  -0.47381, -21.07180,-172.27100,  10.88230, 171.12200,   0.09146,  -0.12251,  25.91660,   0.22338, -25.57110, -67.17500,   0.13129,  -0.13838, -17.63580
   0.13333,   0.00000,   0.00000,  -0.00000,  83.49640,  79.10670,   8.19263,  93.65730,  87.00350, -90.47470,  -1.78050,   0.11728,   6.36554,  -7.21867, -14.03400, -12.17300,  -4.40670, -31.25130, -10.49810, -90.80000,   3.44139, -91.90490, -64.22140, -16.00770,  21.05310,   2.38960,  11.93200, -11.40880,   8.24464,   5.27207,   0.84186,  89.54090,   2.86975, -95.90640, -58.84840, -18.04890,   0.51801,   0.99204,   4.03824, -13.82880,  20.68310,   5.45298,  -4.74629,-177.20500,   7.56299, -32.43780,  -0.24498,   0.20426,  48.23840,   9.43584, -14.03770, -50.31180,   0.38835,  -0.46547, -20.99530,-172.68200,  11.16120, 171.48700,   0.03794,  -0.01866,  24.79020,  -0.64434, -26.95850, -67.50540,   0.10496,  -0.11020, -17.42100
   0.16667,   0.00000,   0.00000,  -0.00000,  81.92210,  80.98490,   8.88104,  99.49110,  86.96620, -96.68700,  -1.79405,   0.76658,   5.61908,  -7.65151, -14.95970, -11.34220,  -4.50630, -33.00280,  -9.06186, -90.84730,   3.49414, -91.36050, -63.38070, -17.24010,  22.04610,   3.16464,  12.99010, -13.81610,   8.33840,   5.26269,   1.09534,  89.53050,   3.10592, -96.39930, -58.45300, -17.75720,   0.34252,   1.17493,   4.70708, -14.04420,  20.67070,   5.44056,  -4.30462,-178.21500,   6.12063, -31.61410,  -0.15576,   0.20101,  35.36640,   8.39621, -13.68910, -51.28070,   0.38310,  -0.45866, -20.93260,-172.72300,  11.27810, 171.76700,  -0.00569,   0.07516,  24.17830,  -1.69213, -28.43070, -68.35400,   0.11595,  -0.12194, -17.51070
   0.20000,   0.00000,   0.00000,  -0.00000,  77.01580,  82.68880,  13.28160, 103.64900,  86.82470,-101.11700,  -1.61834,   1.29103,   5.07995,  -8.11593, -15.85660, -10.30850,  -4.68202, -34.60740,  -7.84295, -90.88650,   3.48443, -90.71650, -62.39910, -18.43560,  23.30340,   4.27241,  14.06930, -17.08000,   8.49700,   5.24893,   1.46100,  89.54540,   3.18783, -96.87990, -58.30500, -17.83740,   0.34520,   1.34301,   5.43732, -13.90640,  20.45170,   5.44056,  -4.30536, 179.36600,   1.03088, -27.94780,  -0.07140,   0.17425,  19.65340,   5.97034, -11.32690, -51.83600,   0.37534,  -0.44863, -20.84030,-172.40500,  11.97470, 172.36100,  -0.03465,   0.13897,  24.32250,  -2.88676, -29.24370, -69.97620,   0.09048,  -0.09481, -17.30350
   0.23333,   0.00000,   0.00000,  -0.00000,  66.70110,  83.96270,  23.31290, 107.40600,  86.64780,-105.01000,  -1.40210,   1.81348,   4.81458,  -8.40037, -16.87540,  -9.11050,  -5.22010, -36.07670,  -6.87678, -90.89890,   3.37365, -90.07230, -61.21210, -20.11550,  24.54200,   5.52497,  14.97100, -20.52640,   9.01929,   5.26484,   1.03900,  89.56790,   3.16723, -97.22630, -58.27810, -17.72090,   0.36698,   1.26581,   5.38333, -13.26340,  20.05760,   5.43931,  -4.26114, 175.92800,  -6.42193, -24.88050,  -0.01362,   0.07524,   7.44171,   3.36289,  -4.86150, -53.75940,   0.37374,  -0.44659, -20.82150,-171.83800,  14.17340, 173.04200,  -0.04767,   0.16447,  25.45290,  -4.06425, -28.31590, -72.40230,   0.04394,  -0.04574, -16.92690
   0.26667,   0.00000,   0.00000,  -0.00000,  54.44910,  84.66180,  35.36720, 111.41600,  86.50990,-109.15900,  -1.31055,   2.36950,   4.54064,  -8.38007, -17.79150,  -7.92517,  -5.60752, -37.50240,  -5.84921, -90.95100,   3.45000, -89.57970, -59.61650, -21.88860,  25.90660,   6.82269,  15.35670, -24.31020,  10.05950,   5.27607,   0.73475,  89.58680,   3.24190, -97.73340, -58.15040, -17.55010,   0.96266,   1.19563,   5.31611, -12.70570,  18.98770,   5.43228,  -4.01728, 173.64900, -10.86470, -24.28410,   0.00066,  -0.02555,   2.51307,   2.35370,   0.77937, -57.18900,   0.37900,  -0.45337, -20.88390,-171.49300,  16.39510, 174.27600,  -0.04829,   0.16372,  26.33720,  -5.25261, -26.92950, -74.89540,  -0.02332,   0.01034, -16.57390
   0.30000,   0.00000,   0.00000,  -0.00000,  48.07780,  84.96600,  41.34560, 116.69900,  86.45110,-114.72400,  -1.47454,   3.02921,   3.98788,  -8.24014, -18.39410,  -6.97254,  -5.56904, -38.64870,  -4.74077, -90.98990,   3.48431, -89.12990, -58.29460, -23.18180,  26.78130,   8.41674,  16.13260, -28.03410,  12.53390,   5.30284,   0.00514,  89.61680,   3.33069, -98.43390, -58.07330, -16.53480,   1.81332,   1.05206,   5.08836, -11.70710,  18.22240,   5.43726,  -4.19019, 173.40300, -10.69120, -23.48540,  -0.00253,  -0.08995,   0.11671,   2.56439,   2.55088, -58.61970,   0.37757,  -0.45153, -20.86690,-171.92400,  18.52280, 176.15200,  -0.07257,   0.21364,  26.33130,  -6.30271, -24.95850, -77.00560,  -0.02426,   0.01066, -16.57380
