time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  85.67090,  79.16140,   4.69438,  48.22680,  85.66110, -47.70380,  -1.26846,  -5.82107,   0.98196,  -6.37495, -22.88710,  -1.72362,  -2.54652, -32.68520,   1.15715, -90.16330,   1.96158,-100.24000, -77.23460,  -2.52627,   2.52487,   1.42204,   6.56187, -12.25530,   7.71446,   5.07873,   5.59757,  89.00280,   4.20611, -91.64880, -69.81000,  -5.64574,  -1.28516,   1.08556,   2.59896, -22.70600,  14.78550,   5.35197,  -1.43679,-179.43500,  -9.36897, -23.18290,  -0.15693,   0.07123,  65.06210,   5.65429, -12.23910, -46.97120,   0.37435,  -0.44733, -20.82830,-173.45800,   6.88636, 170.22300,   0.08394,  -0.17194,  21.11080,   5.37255,  -6.28343, -61.92530,   0.12682,  -0.13358, -17.59940
   0.03333,   0.00000,   0.00000,  -0.00000,  90.22570,  79.05330,   0.21050,  51.76440,  85.69210, -51.61780,  -0.99182,  -5.34235,   0.24712,  -6.21297, -22.98140,  -1.58630,  -2.14066, -33.13670,   1.50175, -90.17120,   1.88603, -99.81370, -76.06870,  -5.13354,   6.85381,   1.22964,   5.73335, -12.12610,   7.31301,   5.08380,   5.48244,  89.13940,   3.67390, -91.80630, -69.46290,  -5.60351,  -5.85716,   1.19807,   2.48022, -25.80250,  15.36330,   5.34969,  -1.36781, 179.23100,  -9.78790, -26.01760,  -0.15258,   0.08971,  58.64660,   6.48279, -12.86740, -48.99380,   0.42503,  -0.51341, -21.43460,-174.81000,   5.87482, 172.78300,   0.06988,  -0.15089,  19.45540,   4.65223,  -6.97854, -62.70180,   0.15031,  -0.15887, -17.79150
   0.06667,   0.00000,   0.00000,  -0.00000,  92.68480,  79.00410,  -2.23252,  53.22390,  85.64930, -53.32430,  -0.80041,  -5.20094,  -0.23705,  -6.02158, -22.92650,  -1.47289,  -1.54788, -33.27440,   1.83328, -90.18050,   1.87252, -99.49570, -74.37960,  -7.36354,  11.59360,   1.16296,   5.34640, -12.29040,   6.84033,   5.10347,   5.03206,  89.23280,   3.26692, -91.77670, -68.86130,  -5.24864, -10.35310,   1.80810,   3.34807, -28.40200,  15.96290,   5.34891,  -1.34377, 178.38900, -10.39290, -27.07400,  -0.10954,   0.09053,  48.55490,   5.84591, -12.60230, -49.94760,   0.40870,  -0.49199, -21.23860,-175.56100,   3.96903, 174.95000,   0.05751,  -0.12257,  18.52880,   3.81790,  -8.79221, -63.81510,   0.14776,  -0.15610, -17.77050
   0.10000,   0.00000,   0.00000,  -0.00000,  92.01910,  78.72960,  -1.48697,  54.66600,  85.59380, -54.78240,  -0.58107,  -5.08693,  -0.25860,  -5.79252, -22.82850,  -1.29106,  -1.27832, -33.05700,   1.85525, -90.21810,   2.10175, -99.07780, -72.27720,  -8.93154,  16.30540,   1.15340,   5.33405, -12.22010,   6.42019,   5.13163,   4.37859,  89.31210,   2.89490, -91.62730, -68.09850,  -4.83225, -14.47410,   2.20334,   3.74227, -30.53010,  16.63170,   5.35356,  -1.48339, 177.96900, -12.06390, -25.82470,  -0.06541,   0.08542,  34.42380,   5.55563, -10.59800, -49.60310,   0.41657,  -0.50230, -21.33330,-175.56900,   1.79979, 176.83700,   0.05536,  -0.11515,  18.49810,   2.93779, -10.73060, -65.46430,   0.12874,  -0.13564, -17.61500
   0.13333,   0.00000,   0.00000,  -0.00000,  88.21920,  77.64470,   1.95097,  56.83960,  85.79250, -56.70220,  -0.71546,  -4.61205,   0.24602,  -5.56972, -22.57420,  -1.08975,  -1.02735, -32.84840,   1.67655, -90.28340,   2.45706, -98.41780, -70.12850, -10.03310,  20.59750,   1.17535,   5.79739, -11.48200,   6.69422,   5.14961,   3.95326,  89.36540,   2.67278, -91.63800, -67.25350,  -4.78265, -17.68680,   2.39545,   3.76618, -32.50240,  17.16470,   5.36091,  -1.70682, 177.72700, -15.34690, -22.27220,  -0.02932,   0.07729,  15.47490,   4.60973,  -6.28813, -46.81520,   0.38875,  -0.46599, -21.00030,-175.08300,   0.58398, 178.36200,   0.03827,  -0.06271,  18.70700,   2.31049, -10.70120, -67.40400,   0.15895,  -0.16819, -17.86220
   0.16667,   0.00000,   0.00000,  -0.00000,  83.81030,  75.99550,   5.81570,  59.28190,  86.12260, -58.73020,  -1.08001,  -4.00304,   1.06548,  -5.23876, -22.11930,  -0.99725,  -0.75335, -32.54890,   1.61726, -90.29370,   2.29454, -97.70210, -68.54420, -11.67760,  24.36370,   1.20560,   6.75756, -10.14150,   7.58064,   5.15771,   3.75896,  89.47190,   2.23423, -91.69610, -66.61730,  -4.59755, -20.10330,   2.70347,   4.00746, -34.05680,  17.80610,   5.36819,  -1.92997, 178.26700, -17.56940, -22.10790,  -0.00054,   0.00421,   4.73406,   1.14047,  -1.92835, -46.88820,   0.37982,  -0.45442, -20.89350,-174.40300,  -0.43749, 179.70100,   0.02638,  -0.02432,  19.39060,   1.61972, -10.21110, -69.77240,   0.12775,  -0.13457, -17.60690
   0.20000,   0.00000,   0.00000,  -0.00000,  84.16210,  74.86010,   5.15387,  59.11610,  86.28150, -58.54710,  -1.36468,  -3.86192,   1.09204,  -4.88821, -21.73190,  -0.79172,  -0.65614, -32.15140,   1.85012, -90.24740,   1.79312, -97.14260, -67.05550, -13.88520,  27.46440,   1.04353,   7.14755,  -8.32669,   8.50476,   5.15369,   3.85489,  89.47140,   2.21493, -91.57350, -65.90860,  -4.35608, -21.93470,   3.09301,   4.44693, -34.88100,  17.72340,   5.38938,  -2.59951, 179.24000, -15.12560, -22.71600,  -0.00027,  -0.00525,   0.11992,   1.20290,  -0.77827, -51.00670,   0.36177,  -0.43118, -20.67920,-175.33000,   0.01137,-178.96400,   0.00418,   0.03996,  20.68560,   0.80738,  -8.52215, -72.70110,   0.11808,  -0.12420, -17.52810
   0.23333,   0.00000,   0.00000,  -0.00000,  86.33040,  74.12370,   2.94511,  56.86930,  86.31780, -56.47090,  -1.58570,  -4.05663,   0.74074,  -4.53588, -21.42720,  -0.64071,  -0.47732, -31.77760,   2.24829, -90.21570,   1.53504, -97.00200, -65.38060, -15.88250,  30.17400,   0.70104,   6.42815,  -6.23320,   8.81737,   5.13496,   4.30019,  89.41130,   2.45085, -91.48960, -65.61640,  -4.68646, -22.79730,   3.30787,   4.70876, -35.15980,  17.20880,   5.40188,  -2.99930, 179.82300, -12.32440, -22.82380,  -0.00061,  -0.02515,   0.10074,   2.71850,  -1.63846, -55.79600,   0.36152,  -0.43085, -20.67620,-176.66400,  -0.46388,-176.55300,   0.02790,  -0.02767,  20.69380,   0.67139,  -8.08927, -74.71600,   0.16711,  -0.17704, -17.92940
   0.26667,   0.00000,   0.00000,  -0.00000,  90.11550,  74.02230,  -0.51551,  53.67810,  86.27340, -53.65980,  -1.76188,  -4.41514,  -0.03121,  -4.28881, -21.40190,  -0.55256,   0.01644, -31.52380,   2.60876, -90.24530,   1.75279, -97.03200, -64.13030, -16.06240,  31.44190,   0.33431,   5.59462,  -3.42332,   9.55943,   5.11992,   4.65075,  89.28010,   2.99873, -91.49430, -65.55970,  -5.46199, -21.72090,   3.14679,   4.41152, -35.56440,  17.49990,   5.40198,  -3.00201, 178.59600, -11.91110, -22.45700,  -0.00049,  -0.00419,   2.12217,   2.76816,  -1.97264, -48.23750,   0.37107,  -0.44311, -20.78920,-178.81300,  -0.78704,-175.30800,   0.02967,  -0.02276,  23.24780,  -0.87740,  -7.46728, -73.45690,  -0.03928,  -0.95866, -21.76860
   0.30000,   0.00000,   0.00000,  -0.00000,  96.02710,  73.49750,  -6.68542,  48.60520,  86.65430, -49.18800,  -2.77180,  -4.36945,  -1.27179,  -3.79583, -21.48280,  -0.45309,   0.66533, -31.36410,   2.80210, -90.28420,   2.01453, -96.96840, -63.14280, -16.09960,  31.85480,   0.11678,   6.45935,  -1.03987,  10.79670,   5.09179,   5.29361,  89.10070,   3.67131, -91.22620, -65.34670,  -5.79959, -18.91400,   2.75089,   3.90055, -35.24430,  18.33480,   5.42256,  -3.68308, 176.03000, -12.43280, -23.91500,   0.00407,  -0.02351,   7.25002,   3.23861,  -1.63214, -42.67100,   0.38525,  -0.46144, -20.95810, 178.11600,  -1.12973,-175.01600,   0.01946,   0.00497,  26.15760,  -1.67389,  -7.02615, -70.56090,   0.11776,  -1.78548, -25.37290
