time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  83.55670,  46.63350,  -1.28284,  81.90410,  80.87320, -83.04270,  10.28840,  -2.57857,  -2.04382,   0.25256, -16.98220,   2.07519,  -8.21248, -24.75910,  12.73820, -89.82320,  -0.59257, -88.38420, -57.46960,   2.41588, -15.85510,  -2.48707,  -2.68687, -42.81510,  22.54100,   5.55086,  -8.74699,  87.89630,  11.81640, -94.83060, -65.92090,  12.88330,   6.01382,   9.28890,  15.88800, -30.85900,   5.73112,   5.37717,  -2.21030,-178.07200, -11.37610, -20.09270,   0.02946,  -0.02845,  37.44840,   1.83297,  -5.82510, -72.42230,  -0.37506,  -0.52603, -17.81450,-178.27300,  11.89850, 148.62500,   0.10301,  -0.13457,  36.65570,  -8.59115,  -0.15173, -56.74580,   0.22487,  -0.26141, -19.10970
   0.03333,   0.00000,   0.00000,  -0.00000,  83.80340,  47.08150,  -1.97728,  80.44010,  80.89360, -81.45820,  10.17800,  -3.02646,  -1.76575,   0.53231, -17.07690,   2.09819,  -7.70740, -24.58740,  12.85510, -89.79270,  -0.69161, -88.31260, -56.53800,   2.08935, -17.53710,  -2.91124,  -2.92986, -44.85420,  22.32940,   5.55306,  -8.85145,  87.81100,  11.83630, -94.44400, -66.40370,  11.55210,   6.75176,   8.81817,  15.07800, -30.81320,   6.46790,   5.37354,  -2.09670,-178.94000, -11.11580, -18.63820,   0.01360,  -0.00692,  35.62290,   2.23729,  -5.84318, -72.53530,  -0.27892,  -0.42871, -17.92090,-174.45200,  13.67230, 148.18000,   0.06131,  -0.10712,  29.72020,  -9.44991,  -0.23253, -55.92150,   0.24633,  -0.28762, -19.35890
   0.06667,   0.00000,   0.00000,  -0.00000,  84.29070,  47.42510,  -2.66209,  79.62750,  80.78750, -80.55910,  10.34410,  -3.31604,  -1.56211,   0.83951, -17.19280,   2.13219,  -7.68346, -24.63840,  12.85180, -89.78610,  -0.70758, -88.17430, -55.73790,   1.79516, -19.36940,  -2.96088,  -2.83992, -46.23530,  22.36490,   5.55098,  -8.75298,  87.75730,  11.83130, -94.18640, -66.66240,  10.69790,   6.97330,   8.38712,  14.21630, -30.98220,   7.09170,   5.37619,  -2.17795,-179.93400, -11.52940, -17.43930,   0.00582,   0.00718,  34.74910,   2.78112,  -5.39371, -73.04700,  -0.26148,  -0.42870, -18.15270,-170.94800,  14.58480, 147.53800,   0.02561,  -0.05448,  23.56930,  -9.15000,  -0.59771, -53.78370,   0.23254,  -0.27074, -19.19850
   0.10000,   0.00000,   0.00000,  -0.00000,  84.87690,  48.10190,  -3.31652,  78.79660,  80.56680, -79.57540,  10.73240,  -3.65950,  -1.21342,   0.94442, -17.36640,   2.09248,  -7.82059, -24.85970,  12.78810, -89.74300,  -0.85837, -88.32560, -55.74280,   1.12871, -20.81580,  -2.48429,  -2.29440, -47.30800,  22.62000,   5.54964,  -8.69032,  87.75910,  11.77470, -94.14490, -66.65660,  10.46720,   6.67555,   8.14880,  13.61260, -31.31960,   7.39941,   5.37572,  -2.16445, 179.06200, -12.15320, -16.51100,   0.00125,   0.01517,  34.84300,   3.45787,  -4.38331, -74.10080,  -0.11412,  -0.27657, -18.23210,-168.20400,  15.03130, 146.35000,  -0.02905,   0.07086,  20.25920,  -7.12026,   1.43914, -52.94990,   0.22810,  -0.26533, -19.14700
   0.13333,   0.00000,   0.00000,  -0.00000,  85.41060,  49.14220,  -3.78231,  78.06540,  80.25880, -78.55880,  11.29820,  -4.01252,  -0.58950,   1.24018, -17.58430,   2.11569,  -8.66661, -25.22990,  12.48230, -89.72480,  -0.92661, -88.45220, -56.25460,   0.75614, -22.05290,  -2.22711,  -2.01178, -47.92350,  23.14570,   5.55089,  -8.74773,  87.76350,  11.73450, -94.13030, -66.21120,  10.87640,   5.82836,   8.22308,  13.50560, -31.75230,   7.27480,   5.37284,  -2.07387, 178.22300, -12.84950, -15.69530,   0.00129,   0.01715,  35.87870,   4.12697,  -2.93771, -75.50620,   0.07597,  -0.12204, -18.73830,-167.15200,  13.85290, 144.78200,  -0.05600,   0.16190,  20.96550,  -3.04299,   4.14259, -53.72610,   0.18387,  -0.21197, -18.63740
   0.16667,   0.00000,   0.00000,  -0.00000,  85.65530,  50.58460,  -4.24830,  77.40870,  80.05750, -77.40740,  11.66470,  -4.29891,   0.44206,   1.53745, -17.82990,   2.14675,  -9.71680, -25.60870,  11.93130, -89.76340,  -0.80437, -88.60400, -57.05040,   1.10498, -22.91060,  -2.35742,  -2.12545, -47.98550,  23.55910,   5.55536,  -8.96204,  87.72760,  11.84810, -94.06150, -65.13010,  11.73440,   4.65284,   8.44703,  13.60910, -32.26100,   6.81922,   5.36650,  -1.87711, 177.66900, -13.47890, -15.31890,   0.00681,   0.01460,  37.75330,   4.73216,  -1.25547, -76.92650,   0.11127,  -0.18241, -19.78820,-168.06100,  10.24950, 143.49300,  -0.00064,   0.01165,  24.39190,   6.54927,   5.63753, -53.75230,   0.17203,  -0.19786, -18.50210
   0.20000,   0.00000,   0.00000,  -0.00000,  85.37770,  52.28280,  -4.18677,  77.31870,  79.95710, -76.64670,  11.88070,  -4.34764,   1.79666,   1.66553, -18.29350,   2.34755, -10.23350, -26.03830,  11.28300, -89.83870,  -0.55107, -88.68270, -57.87850,   2.61251, -23.28880,  -2.21452,  -2.03496, -47.44270,  23.67370,   5.55599,  -8.99269,  87.58960,  12.30140, -93.82350, -63.41010,  12.75240,   3.57785,   8.67777,  13.63960, -32.91510,   6.30769,   5.36164,  -1.73059, 177.80600, -14.41500, -15.35930,   0.02020,  -0.00329,  40.97460,   4.67606,   1.34855, -77.63300,   0.17811,  -0.30434, -21.87750,-171.71300,   5.20845, 141.73700,   0.04390,  -0.06958,  30.04030,   5.44339,  -0.43314, -52.14720,   0.06246,  -0.07029, -17.26530
   0.23333,   0.00000,   0.00000,  -0.00000,  85.19660,  53.13420,  -2.98264,  78.86380,  79.56600, -77.59650,  12.77620,  -3.93608,   2.97606,   1.64882, -18.57380,   2.66132, -10.76750, -26.35220,  10.43820, -89.91100,  -0.30684, -88.81580, -59.15830,   4.62071, -22.50760,  -1.53612,  -1.43512, -46.95120,  23.42030,   5.55448,  -8.92159,  87.60730,  12.38670, -93.97720, -61.71720,  13.49140,   2.14727,   8.82394,  13.66740, -33.30780,   6.46262,   5.36478,  -1.82537, 178.69500, -16.72320, -15.83900,   0.07547,  -0.05116,  47.05390,   3.60344,   5.41327, -75.17670,   0.32053,  -0.60738, -26.90930,-174.22100,   2.85409, 141.54800,  -0.00926,   0.01568,  36.03890,   3.05804,  -3.79086, -55.04910,  -0.05589,   0.05986, -16.02210
   0.26667,   0.00000,   0.00000,  -0.00000,  85.08890,  53.67700,  -2.03051,  80.55500,  79.35190, -78.88050,  13.31040,  -3.37724,   3.74426,   2.22392, -18.86910,   3.36758, -11.33830, -26.63430,   9.87032, -89.90660,  -0.32419, -88.92850, -60.52340,   7.18323, -21.16270,  -0.64475,  -0.62750, -45.76860,  22.72620,   5.55414,  -8.90206,  87.61550,  12.36270, -93.99340, -60.27300,  14.23780,   0.22536,   8.92657,  13.78880, -33.38830,   6.69412,   5.35842,  -1.63219,-179.55200, -19.95650, -18.41310,   0.22270,  -0.14079,  54.98140,   0.97988,  12.21800, -67.06160,   0.47440,  -1.05100, -33.96650,-175.32700,   2.78263, 142.31200,  -0.05414,   0.06872,  40.16530,   1.63782,  -4.54640, -58.90140,  -0.06492,   0.04928, -16.57150
   0.30000,   0.00000,   0.00000,  -0.00000,  85.21660,  54.14630,  -1.70951,  81.58520,  79.43260, -79.75120,  13.20490,  -2.97403,   4.01334,   2.31444, -19.22900,   3.91430, -10.30780, -26.87430,   9.69006, -89.92530,  -0.25866, -88.89450, -61.41670,  10.23470, -19.25510,   0.17479,   0.18269, -43.82980,  21.58500,   5.55253,  -8.82238,  87.63600,  12.29660, -94.02950, -59.42930,  14.65080,  -1.62862,   9.39774,  14.37870, -33.68630,   7.24059,   5.34455,  -1.21480,-177.03500, -20.78060, -21.62800,   0.52988,  -0.27381,  62.09920, -10.34310,  18.28200, -56.29060,   0.41131,  -0.84727, -30.76250,-176.09200,   3.80742, 143.59000,  -0.08115,   0.08890,  42.40870,   0.77855,  -4.03784, -62.01510,  -0.06260,   0.04731, -16.57150
