time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.00170,  42.96770, -12.17410,  91.41670,  71.16900, -82.46030,  29.75420,   2.59337,  17.41800,   6.36915,  -9.83503,  13.02650,   2.81048, -12.97060,  12.30970, -90.27150,  -8.15893,-106.91200, -48.80100,   3.26857, -74.60380,   6.60794,  12.41600, -28.31520,  10.51690,   5.13895,   4.20709,  90.01230,   0.16788,-109.17600, -42.58500,  -5.59743, -31.59170,   5.22595,  13.55350, -21.32420,  16.52860,   5.35522,  -1.53449, 172.90600, -19.91490, -38.52480,   0.39367,  -0.24755,  59.12480,  -7.27098,   8.71385, -51.15860,   0.35533,  -0.42297, -20.60300, 173.58000, -20.75020, 142.54300,  -0.04072,   0.07196,  31.17250,  -3.17224,  -4.99842, -63.06780,  -0.59948,  -0.45587, -16.16890
   0.03333,   0.00000,   0.00000,  -0.00000,  84.96240,  43.84600, -12.50060,  91.41620,  71.05410, -82.67310,  29.98730,   2.57421,  16.99030,   6.40507,  -9.83135,  12.65110,   3.09390, -13.14780,  12.32040, -90.26710,  -8.22817,-106.86500, -49.48480,   1.97371, -75.43680,   6.87817,  12.61050, -28.92110,  11.01230,   5.12894,   4.44248,  90.00610,   0.08279,-109.19400, -42.46700,  -5.78758, -32.07790,   4.82381,  14.10220, -19.10810,  16.44140,   5.34195,  -1.13774, 174.09700, -18.56600, -40.67110,   0.38143,  -0.21947,  61.67790,  -4.78131,   3.85519, -52.35640,   0.37544,  -0.44877, -20.84130, 173.19800, -19.70230, 143.56900,  -0.00388,   0.00944,  31.26860,  -2.87248,  -4.99281, -63.55730,  -0.66629,  -0.53789, -16.25480
   0.06667,   0.00000,   0.00000,  -0.00000,  86.22890,  44.72900, -13.10060,  91.44750,  70.92030, -82.92440,  30.25650,   2.57626,  16.54290,   6.56775,  -9.98893,  12.34420,   2.98348, -13.11490,  12.12380, -90.26600,  -8.29095,-106.84400, -50.61660,   0.99259, -75.85320,   7.10111,  12.43630, -30.04770,  11.27340,   5.12836,   4.45612,  89.98440,  -0.21338,-109.18400, -42.31300,  -6.11927, -32.58690,   4.36522,  14.27580, -17.20450,  16.31680,   5.32426,  -0.61863, 175.12500, -17.49410, -42.40450,   0.30413,  -0.17852,  61.79780,  -0.53255,  -1.32888, -52.99240,   0.37506,  -0.44827, -20.83650, 172.54400, -18.32370, 144.57100,   0.00880,  -0.01172,  31.14270,  -2.91879,  -4.70287, -63.70000,  -0.83097,  -0.72996, -16.42370
   0.10000,   0.00000,   0.00000,  -0.00000,  87.58130,  45.66000, -13.93300,  91.20040,  70.80010, -83.03770,  30.51690,   2.37127,  15.86770,   6.61059,  -9.65301,  12.51460,   3.18875, -13.01860,  11.67960, -90.25930,  -8.65131,-106.72300, -51.77680,   0.25231, -75.43350,   7.52693,  12.28480, -31.83950,  11.83840,   5.13160,   4.37999,  89.98070,  -0.24094,-109.58800, -42.25230,  -6.69442, -33.07440,   4.02732,  14.48760, -15.72210,  16.30600,   5.30990,  -0.20644, 176.32900, -16.48470, -43.42910,   0.24775,  -0.16534,  59.06990,   1.91631,  -5.17190, -53.67380,   0.35169,  -0.41828, -20.56000, 171.59600, -17.31830, 145.52600,   0.02239,  -0.03737,  30.62240,  -3.10036,  -4.94920, -63.67730,  -1.04014,  -0.94849, -16.51800
   0.13333,   0.00000,   0.00000,  -0.00000,  88.82930,  46.57940, -14.80870,  91.21500,  70.67720, -83.26010,  30.76480,   2.36049,  15.44870,   6.64916,  -9.51297,  12.38210,   3.17393, -12.91660,  11.40450, -90.26570,  -8.55957,-106.78400, -52.47500,  -0.16333, -74.79920,   8.02748,  12.26350, -33.58200,  12.19710,   5.13732,   4.24525,  89.95130,  -0.60343,-109.61000, -42.12510,  -7.31983, -33.55560,   3.91984,  14.68460, -15.12960,  16.25880,   5.30678,  -0.11755, 177.64200, -15.64160, -43.45250,   0.21690,  -0.18161,  53.27270,   2.31170,  -6.66337, -54.16340,   0.35224,  -0.41899, -20.56650, 170.51900, -16.58810, 146.48600,   0.03023,  -0.06885,  29.75210,  -3.37997,  -5.40961, -63.51720,  -1.13370,  -1.06559, -16.64860
   0.16667,   0.00000,   0.00000,  -0.00000,  89.67730,  47.32600, -15.55980,  91.53020,  70.54250, -83.65120,  31.01770,   2.56983,  15.23570,   6.50802,  -9.48760,  12.13090,   3.12508, -12.70910,  11.02920, -90.29290,  -8.25688,-107.03800, -53.07400,  -0.39684, -73.77100,   8.65523,  12.39960, -35.33270,  12.40910,   5.13567,   4.28413,  89.91000,  -1.13708,-109.52500, -41.50320,  -7.71935, -33.89840,   4.01528,  14.64740, -15.51780,  16.14440,   5.30387,  -0.03696, 179.11700, -14.97540, -42.30240,   0.18993,  -0.21901,  44.34280,   1.20765,  -6.13693, -54.07780,   0.34062,  -0.40417, -20.42910, 169.58000, -15.90890, 147.30700,   0.05002,  -0.10520,  28.65810,  -3.90318,  -5.72754, -63.00350,  -1.16934,  -1.13422, -17.00220
   0.20000,   0.00000,   0.00000,  -0.00000,  89.95290,  47.66340, -15.95450,  91.98090,  70.35850, -84.21410,  31.36070,   2.87022,  14.92170,   6.39917,  -9.31603,  12.08020,   3.00369, -12.48250,  10.43830, -90.30490,  -8.17368,-107.14400, -53.76810,  -0.39823, -72.31400,   8.95949,  12.26720, -36.57610,  12.77480,   5.14344,   4.10092,  89.87580,  -1.54735,-109.58900, -40.55070,  -7.97934, -34.25570,   4.32416,  14.66800, -16.62990,  15.99460,   5.31068,  -0.22897,-179.21800, -14.43140, -39.57120,   0.13753,  -0.25352,  32.06150,  -0.41713,  -4.98947, -52.94390,   0.35344,  -0.42052, -20.58080, 168.86900, -15.25190, 147.71200,   0.07508,  -0.14411,  28.03010,  -4.51178,  -5.54053, -62.29660,  -1.20190,  -1.22229, -17.71700
   0.23333,   0.00000,   0.00000,  -0.00000,  89.65250,  47.58220, -15.86920,  92.27750,  70.08130, -84.75450,  31.90080,   3.06522,  14.36690,   6.25536,  -8.72439,  12.16120,   2.92987, -12.12410,   9.86842, -90.27870,  -8.29114,-106.93200, -54.48530,  -0.28032, -70.43490,   9.12847,  12.25850, -37.11820,  13.01610,   5.14718,   4.01099,  89.84760,  -1.71108,-110.09000, -39.39280,  -8.05566, -34.77990,   4.71961,  14.51760, -18.12390,  16.11020,   5.32301,  -0.58116,-176.64700, -12.88250, -35.00450,   0.08341,  -0.33060,  16.97560,  -3.30585,  -5.10286, -49.17830,   0.35459,  -0.42199, -20.59440, 168.23600, -15.05880, 147.63400,   0.08552,  -0.18028,  28.28540,  -5.27718,  -5.33141, -62.20330,  -1.21052,  -1.30787, -18.30570
   0.26667,   0.00000,   0.00000,  -0.00000,  90.65880,  47.32850, -17.72210,  91.90370,  70.18810, -84.79520,  31.72060,   2.71598,  13.62820,   6.50454,  -8.17729,  12.38460,   2.39429, -11.80470,   8.75034, -90.31110,  -8.05108,-107.22000, -54.97940,  -0.07620, -68.36470,   8.82618,  12.22750, -36.24670,  13.07420,   5.16222,   3.64956,  89.83580,  -1.77422,-110.28900, -37.56760,  -7.83635, -35.57390,   5.00833,  14.36570, -19.43750,  16.52490,   5.33556,  -0.94820,-175.49900, -10.00200, -33.74380,   0.06724,  -0.53617,   8.48907,  -7.33442,  -8.11147, -41.75040,   0.16262,  -0.18610, -18.37870, 166.20600, -14.15110, 146.81400,   0.10480,  -0.21548,  28.26050,  -6.13047,  -4.90305, -62.27710,  -1.33367,  -1.46883, -18.59310
   0.30000,   0.00000,   0.00000,  -0.00000,  91.63810,  46.73950, -19.08500,  91.40730,  70.10410, -84.74850,  31.92340,   2.31275,  12.82990,   6.53511,  -7.85200,  12.05600,   2.26019, -11.35260,   8.17563, -90.34380,  -7.49430,-107.63400, -54.52280,   0.26871, -66.44460,   7.86626,  11.92030, -33.77680,  13.17840,   5.17518,   3.33375,  89.82880,  -1.88010,-110.20500, -36.23280,  -8.08063, -37.11730,   5.32683,  14.52170, -20.40580,  16.60990,   5.33808,  -1.01939,-178.63200, -10.70280, -35.17020,   0.05948,  -0.38737,  10.76150,  -3.99132,  -6.36205, -43.40560,   0.08734,  -0.09848, -17.53690, 163.73600, -14.21530, 146.68800,   0.11786,  -0.24342,  28.09060,  -7.33002,  -5.12043, -62.34070,  -1.40263,  -1.62631, -18.86050
