time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  80.19730,  57.17320,  10.58350,  93.64110,  77.52570, -91.23180,  17.10490,   1.75362,   4.56271,   0.27557, -17.35010,  -0.72364,   4.95400, -24.95700,  12.20690, -90.59510,   5.28420, -98.56590, -56.11660,  23.24280, -27.22030,  -2.12569,  -3.41501, -31.92930,  19.11300,   5.58404, -10.42980,  89.47200,  11.92090,-102.44600, -52.45230,  16.14320, -19.55750,   3.98611,  16.44120, -13.83520,  11.60630,   5.19710,   2.79105,-169.02900, -14.34050, -16.86300,   0.63783,  -0.23894,  69.57480, -24.39870,  22.05480, -46.46330,   0.12369,  -0.20429, -20.16610,-171.61900,  11.84300, 157.47700,   0.09222,  -0.08439,  40.43560,   3.80026,  -2.23466, -66.64020,  -0.06427,   0.04514, -16.57210
   0.03333,   0.00000,   0.00000,  -0.00000,  80.61800,  55.91860,  10.82700,  94.96050,  77.48320, -92.94260,  17.14540,   2.29283,   3.69683,   0.25261, -16.97180,  -1.12192,   5.21405, -25.31010,  12.09490, -90.62870,   5.16427, -98.04990, -57.77390,  22.05000, -24.84620,  -2.30309,  -3.80484, -31.21950,  19.42610,   5.58826, -10.66470,  89.61510,  11.39320,-103.05300, -53.84260,  13.67840, -20.74100,   3.57289,  13.80450, -14.67400,  12.54940,   5.21474,   2.34785,-168.56800, -11.81260, -18.54170,   0.51473,  -0.19001,  69.77910, -17.34750,  15.37410, -52.46880,   0.11345,  -0.18624, -19.85450,-172.94100,  11.94750, 161.66500,   0.09535,  -0.10142,  36.93250,   3.13620,  -0.58513, -66.40410,  -0.05546,   0.03959, -16.57220
   0.06667,   0.00000,   0.00000,  -0.00000,  80.85410,  54.57900,  10.94150,  95.81700,  77.60850, -94.18480,  16.86600,   2.59990,   2.88418,   0.26344, -16.59680,  -1.52346,   5.33306, -25.33800,  11.70340, -90.65490,   5.06068, -97.61690, -59.78000,  20.32900, -21.95050,  -2.69547,  -4.72957, -29.72990,  19.09920,   5.58987, -10.75400,  89.69910,  10.85630,-103.40300, -55.10540,  12.20780, -21.56250,   3.13237,  10.15980, -17.25070,  12.20290,   5.26436,   1.04774,-167.58400,  -9.07323, -19.45390,   0.38747,  -0.16289,  67.21170, -11.09820,  10.69330, -57.00390,   0.10686,  -0.17473, -19.65520,-174.11500,  12.04870, 165.65400,   0.09156,  -0.11333,  32.99040,   2.47011,   1.14444, -65.81700,  -0.05056,   0.03678, -16.57230
   0.10000,   0.00000,   0.00000,  -0.00000,  81.11970,  53.02440,  10.91870,  96.37810,  77.76330, -95.16760,  16.54100,   2.76838,   2.02217,   0.00938, -16.11900,  -1.81621,   5.24902, -25.11940,  11.15780, -90.69180,   5.07265, -97.22390, -61.44250,  18.51540, -19.06860,  -2.97997,  -5.70044, -27.65990,  18.61550,   5.58652, -10.56670,  89.74260,  10.47240,-103.58400, -55.37990,  12.56060, -22.42090,   2.72219,   7.01843, -21.28280,  11.54210,   5.29977,   0.07732,-166.09100,  -6.51999, -19.43090,   0.30414,  -0.16120,  62.14380,  -7.51245,   6.93014, -59.61300,   0.10835,  -0.17729, -19.69940,-175.35000,  12.26870, 169.26800,   0.08812,  -0.12626,  29.32670,   1.77532,   3.14738, -65.22490,  -0.04985,   0.03698, -16.57220
   0.13333,   0.00000,   0.00000,  -0.00000,  81.22880,  51.27240,  10.74270,  96.77400,  77.97930, -95.98810,  16.10240,   2.85036,   1.17061,  -0.38102, -15.55740,  -1.99648,   4.75121, -24.76330,  10.74890, -90.74030,   5.19716, -96.88150, -62.67180,  16.69760, -16.26560,  -2.78724,  -5.94309, -25.18220,  18.21090,   5.58018, -10.22070,  89.76890,  10.30290,-103.70800, -54.57060,  14.28990, -23.40900,   2.63300,   5.38132, -26.14190,  11.75840,   5.32791,  -0.72268,-164.22000,  -4.75772, -18.76430,   0.24343,  -0.17141,  55.05140,  -5.68782,   3.63625, -61.36050,   0.10473,  -0.17101, -19.59130,-176.53500,  12.22210, 172.27200,   0.07276,  -0.11686,  26.04710,   0.92482,   5.15382, -64.65380,  -0.04072,   0.03082, -16.57240
   0.16667,   0.00000,   0.00000,  -0.00000,  81.40650,  49.29860,  10.25530,  96.98220,  78.28020, -96.62040,  15.50420,   2.83402,   0.33847,  -1.00058, -14.95310,  -2.19660,   4.14394, -24.28040,  10.29330, -90.80300,   5.47073, -96.63740, -63.52450,  15.20080, -13.47720,  -2.24208,  -5.47002, -22.32520,  17.95480,   5.57395,  -9.89120,  89.78900,  10.28540,-103.81800, -52.97430,  16.65130, -24.49070,   2.83237,   4.69522, -31.15920,  12.92360,   5.35932,  -1.65509,-162.38300,  -3.83893, -17.70650,   0.18459,  -0.17737,  46.53320,  -4.54769,   0.81953, -61.89720,   0.10612,  -0.17343, -19.63260,-177.80900,  11.63250, 174.22300,   0.05444,  -0.09638,  23.96170,  -0.14728,   6.82292, -64.45740,  -0.05522,   0.04293, -16.57170
   0.20000,   0.00000,   0.00000,  -0.00000,  81.16290,  47.31620,   9.98670,  96.70970,  78.62270, -96.62420,  14.84190,   2.62975,  -0.17141,  -1.72351, -14.24380,  -2.39450,   3.23907, -23.70030,   9.61720, -90.85140,   5.73221, -96.53720, -64.40910,  13.98200, -10.69640,  -1.60233,  -4.61263, -19.17300,  17.65980,   5.56718,  -9.54454,  89.81310,  10.14540,-103.93900, -51.33910,  18.75970, -25.71220,   3.25781,   4.54268, -35.71290,  13.88490,   5.38166,  -2.34813,-160.48200,  -2.92804, -16.55530,   0.12241,  -0.16053,  37.76930,  -3.29226,  -2.09352, -61.88500,   0.10689,  -0.17480, -19.65680,-178.94100,  10.75660, 175.21100,   0.04454,  -0.06452,  23.32800,  -1.38413,   8.25757, -64.85970,  -0.05574,   0.04441, -16.57140
   0.23333,   0.00000,   0.00000,  -0.00000,  80.69030,  45.47380,   9.98775,  95.98580,  78.93980, -96.03550,  14.24290,   2.27650,  -0.38388,  -2.40785, -13.66990,  -2.63984,   2.10626, -22.97470,   8.90751, -90.86580,   5.96285, -96.72280, -65.51990,  13.02630,  -8.05562,  -1.02394,  -3.60081, -15.87770,  17.28650,   5.55633,  -9.00584,  89.81840,   9.92663,-103.94600, -49.87210,  20.40800, -26.89650,   3.52276,   4.31211, -39.31930,  14.19240,   5.40346,  -3.05113,-159.10800,  -1.30311, -15.59200,   0.06897,  -0.12210,  30.22470,  -0.42499,  -6.25983, -60.48990,   0.10349,  -0.16887, -19.55380, 179.85700,   9.47484, 175.98100,   0.03402,  -0.03285,  23.29470,  -2.91845,   9.22996, -65.55810,  -0.05750,   0.04678, -16.57110
   0.26667,   0.00000,   0.00000,  -0.00000,  80.80210,  43.43970,   9.50532,  95.12480,  79.22920, -95.37990,  13.69920,   1.88973,  -0.73741,  -3.03489, -13.08090,  -2.99679,   1.00587, -22.13780,   8.37076, -90.85880,   6.20670, -97.10670, -66.81050,  12.11300,  -5.83977,  -0.45692,  -2.04894, -12.55110,  16.22010,   5.54217,  -8.33306,  89.83680,   9.75553,-104.03700, -48.37690,  21.54510, -28.11490,   3.46087,   3.89929, -41.65280,  13.77950,   5.41517,  -3.43688,-158.41600,  -0.32545, -16.16570,   0.09186,  -0.18096,  27.64470,  -3.97414,  -7.86577, -56.42810,   0.08708,  -0.14073, -19.06420, 177.92100,   7.80705, 176.58100,   0.01211,   0.01404,  23.35710,  -4.83129,  10.17360, -66.25800,  -0.04646,   0.03867, -16.57150
   0.30000,   0.00000,   0.00000,  -0.00000,  80.71470,  40.08550,  10.30140,  95.64390,  79.17810, -95.99780,  13.78590,   2.08623,  -0.96035,  -3.67539, -12.31160,  -2.81213,  -0.03591, -21.08210,   6.95764, -90.85410,   6.21105, -97.15440, -68.57800,  11.35520,  -3.99596,   0.01324,   0.08594,  -9.50524,  14.57410,   5.52179,  -7.42965,  89.86360,   9.23363,-104.15000, -47.12740,  22.84370, -29.59760,   3.29700,   3.62773, -42.32540,  13.48640,   5.42120,  -3.64046,-158.18900,  -2.25679, -14.70260,   0.15200,  -0.24739,  31.89040, -12.82530,  -4.29730, -60.96680,   0.03590,  -0.05639, -17.58200, 175.62000,   5.11096, 178.39500,  -0.00861,   0.05992,  23.65250,  -7.10996,  11.72090, -67.33040,  -0.04480,   0.03870, -16.57190
   0.33333,   0.00000,   0.00000,  -0.00000,  82.09540,  36.74170,   9.44557,  95.75580,  79.36900, -96.63560,  13.41170,   2.06638,  -2.00299,  -4.32201, -11.46920,  -2.59047,  -0.71352, -20.02090,   5.80160, -90.85930,   6.28883, -97.20380, -69.88170,  10.86390,  -2.66703,   0.27963,   2.25577,  -7.08344,  12.73620,   5.50008,  -6.53005,  89.86610,   9.24468,-104.16700, -45.92220,  23.98140, -31.13770,   3.54483,   4.05770, -41.20610,  13.29210,   5.42507,  -3.77016,-161.14200,  -6.58301, -15.66420,   0.18557,  -0.22503,  39.46580, -10.68530,  -3.04418, -66.22690,   0.01880,  -0.02928, -17.10050, 171.89100,   2.51541, 179.60200,   0.00686,   0.01419,  22.61880,  -9.74438,  13.53600, -67.36730,  -0.07966,  -0.06083, -16.51820
