time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  98.27180, -50.25200,   4.37311, 115.92100,  83.79750,-116.29100,   3.42182,   5.43021,  -0.90115,  -1.87168,   8.55208,   4.24114,  -8.55364,  12.61410,   2.43069, -90.71640,   1.96271, -84.94220, -64.05180,  -7.74901,  27.08660,  -0.28073,   0.53198,   0.02627,  18.96290,   5.42884,  -2.00007,  88.81640,   8.39505, -96.94570, -43.62960,  -8.07152, -16.40010,   0.85162,   0.94725, -41.98150,  13.96540,   5.32364,  -0.60117,-172.39500,   0.71265, -33.72890,   0.31183,  -0.19898,  57.83670, -10.79820,   9.81372, -53.63150,   0.13872,  -0.23119, -20.62930, 173.96100,  27.21050, 172.64300,   0.02955,  -0.03638,  22.32340,  -1.79402, -13.99080, -65.48010,   0.06756,  -0.07611, -17.32240
   0.03333,   0.00000,   0.00000,  -0.00000,  98.38740, -51.11050,   3.77275, 118.67500,  83.67480,-119.38400,   3.38730,   6.09021,  -1.59734,  -2.40028,   8.72431,   3.83543,  -9.53029,  12.32780,   1.44375, -90.53290,   1.43078, -84.57260, -63.92290,  -7.07305,  28.98480,  -0.28180,   0.09029,   0.02634,  20.21920,   5.44723,  -2.58296,  88.98330,   7.62334, -97.38120, -41.93610, -10.48650, -18.49330,   0.40479,   0.41758, -43.96690,  13.74690,   5.32862,  -0.74565,-174.55800,   0.49184, -35.03040,   0.21126,  -0.16128,  53.15310, -11.16440,  10.20730, -54.99410,   0.14277,  -0.23856, -20.75560, 174.57100,  26.64680, 174.02800,   0.01827,  -0.01094,  20.08630,  -1.63918, -13.89380, -65.63880,   0.07062,  -0.07960, -17.35650
   0.06667,   0.00000,   0.00000,  -0.00000,  98.08630, -51.66160,   2.77494, 120.71400,  83.61810,-121.67600,   3.28168,   6.54955,  -2.11049,  -2.90145,   8.73198,   3.63709, -10.22970,  12.15790,   0.27940, -90.39420,   1.05930, -84.58850, -64.11310,  -7.00907,  29.38570,  -0.35572,  -0.08297,   0.03317,  21.47220,   5.46322,  -2.55273,  89.09570,   7.00707, -97.62760, -40.94240, -12.41710, -19.63650,  -0.33282,  -0.32770, -45.48530,  13.92720,   5.33370,  -0.89409,-176.46100,   0.57015, -35.69430,   0.11767,  -0.11323,  46.78500, -11.35200,   9.81942, -56.17620,   0.13821,  -0.23031, -20.61450, 175.40200,  26.32310, 175.48700,   0.01284,   0.00258,  17.92350,  -1.54862, -13.82650, -66.23290,   0.08555,  -0.09670, -17.52320
   0.10000,   0.00000,   0.00000,  -0.00000,  97.26790, -52.09080,   1.23696, 122.42200,  83.69640,-123.57800,   2.96416,   6.80124,  -2.48748,  -3.34536,   8.71595,   3.66546, -10.66370,  12.23470,  -0.78649, -90.31620,   0.85858, -84.77850, -64.21240,  -7.66927,  28.82680,  -0.42120,   0.04579,   0.03934,  21.80730,   5.46337,  -2.04858,  89.17540,   6.47485, -97.72640, -41.07360, -13.56210, -19.97660,  -1.31058,  -1.23822, -46.57700,  14.30880,   5.33753,  -1.00720,-177.96600,   0.56675, -35.70500,   0.04630,  -0.05927,  39.16960, -11.51860,  10.21320, -57.11400,   0.13625,  -0.22673, -20.55200, 176.52300,  26.33130, 176.81000,   0.00722,   0.01881,  16.20610,  -1.79240, -13.48460, -67.62070,   0.07974,  -0.09004, -17.45860
   0.13333,   0.00000,   0.00000,  -0.00000,  95.81460, -53.03580,  -0.53593, 124.24600,  83.75020,-125.57300,   2.66857,   7.08707,  -2.81951,  -3.69100,   8.76832,   3.63944, -11.08050,  12.37240,  -1.10322, -90.29860,   0.81659, -84.91490, -64.42610,  -8.28946,  27.66930,  -0.41107,  -0.02213,   0.03843,  21.21480,   5.44956,  -1.69204,  89.22270,   6.33131, -97.98660, -42.19720, -13.99320, -19.59250,  -1.51228,  -1.39684, -47.32220,  14.44810,   5.34374,  -1.19037,-178.93800,  -0.39961, -34.71240,   0.00441,  -0.01203,  31.37750, -12.70630,  12.31290, -57.48960,   0.14358,  -0.24005, -20.78100, 177.44600,  25.83130, 178.05500,  -0.05344,   0.23133,  15.99620,  -4.27764, -12.51990, -69.69870,   0.10593,  -0.12022, -17.75210
   0.16667,   0.00000,   0.00000,  -0.00000,  93.83770, -54.85930,  -2.07328, 125.82000,  83.57540,-127.29300,   2.77404,   7.57725,  -3.13090,  -4.02457,   8.91698,   3.50002, -11.56530,  12.42600,  -0.97043, -90.43300,   1.18381, -84.90800, -64.96110,  -8.15370,  25.87840,  -0.32395,  -0.54038,   0.03032,  20.33330,   5.43485,  -1.88893,  89.25420,   6.51454, -98.45480, -43.92160, -13.37720, -18.74810,  -1.55134,  -1.42104, -47.54280,  15.05590,   5.34955,  -1.36310,-179.28500,  -2.22394, -32.62550,  -0.00865,   0.01373,  25.00180, -15.88630,  14.10970, -57.13930,   0.14819,  -0.24842, -20.92420, 178.27000,  24.85220, 179.48000,  -0.08651,   0.32805,  17.33310,  -5.44033, -11.36570, -72.42990,   0.11905,  -0.13548, -17.90010
   0.20000,   0.00000,   0.00000,  -0.00000,  92.39020, -56.86050,  -3.91225, 126.87900,  83.70390,-128.71500,   2.45181,   7.63625,  -3.83580,  -4.12834,   9.23076,   3.24054, -12.46340,  12.47750,  -0.62285, -90.79760,   2.15430, -84.68140, -65.49750,  -7.03556,  23.33570,  -0.19409,  -1.17264,   0.01814,  19.63510,   5.42026,  -2.34915,  89.22280,   7.43277, -99.01320, -45.64840, -11.31150, -17.47570,  -1.43165,  -1.32266, -47.24150,  15.61750,   5.35224,  -1.44419,-179.46600,  -2.83208, -32.90920,  -0.01497,   0.03295,  24.15090, -13.66930,  13.55940, -56.17670,   0.15184,  -0.25516, -21.04000, 179.14100,  23.56870, 179.90700,  -0.07270,   0.25346,  19.05510,  -4.99294, -10.79020, -75.08750,   0.11348,  -0.12901, -17.83770
   0.23333,   0.00000,   0.00000,  -0.00000,  92.04090, -58.76310,  -6.01878, 128.42300,  84.41910,-130.92000,   1.14866,   7.07791,  -5.06589,  -4.14498,   9.48184,   3.00598, -12.98560,  12.70120,  -0.30659, -91.24210,   3.25479, -84.10100, -66.01900,  -4.60661,  19.92170,  -0.06447,  -2.06510,   0.00603,  19.16030,   5.40778,  -2.79859,  89.11170,   8.90304, -99.27850, -47.62690,  -7.50643, -15.59320,  -1.03473,  -0.98793, -46.28760,  15.59530,   5.35532,  -1.53771,-178.60700,   0.25926, -36.45000,  -0.00718,   0.00912,  29.14800,  -4.85888,   9.19608, -51.94740,   0.05525,  -0.08772, -18.13510, 179.86600,  22.39020, 178.77500,   0.00898,   0.05153,  21.29220,  -3.64907, -10.46700, -77.25310,   0.12740,  -0.14522, -17.99460
   0.26667,   0.00000,   0.00000,  -0.00000,  93.87400, -60.14300,  -3.23771, 123.40600,  84.34260,-126.83600,   1.89223,   6.40149,  -6.96396,  -4.56790,   9.28621,   2.57970, -12.73660,  12.60780,  -0.80955, -91.48150,   3.97309, -84.53020, -66.24620,  -2.22263,  15.47440,  -0.04538,  -2.75372,  -0.94110,  17.99680,   5.40904,  -3.23474,  89.04700,   9.94917, -99.50030, -51.34830,  -4.29969, -11.79720,   0.41213,   0.40566, -45.53390,  14.44290,   5.35806,  -1.62006,-177.27400,   5.32283, -37.60840,  -0.00235,   0.00252,  37.95090,  -3.43006,   3.33056, -57.40870,   0.02514,  -0.03924, -17.27710, 177.58800,  21.69860,-179.72800,  -0.01319,   0.07540,  25.88130,  -3.96684,  -9.21093, -78.74690,   0.22176,  -0.25764, -19.07380
   0.30000,   0.00000,   0.00000,  -0.00000,  94.46770, -61.65790,  -1.90953, 120.92300,  83.97790,-125.00900,   2.82197,   6.35971,  -8.32722,  -4.59527,   8.91988,   1.25958, -13.46400,  12.05240,  -2.10619, -91.69390,   4.82873, -85.64200, -65.73000,   1.14837,   8.88088,  -0.21530,  -4.03218,  -3.04611,  16.72860,   5.40769,  -3.18825,  89.05340,  10.93610,-100.02300, -55.47600,  -1.81555,  -6.76448,   0.82457,   0.85336, -44.04160,  13.46960,   5.36813,  -1.93273,-177.13100,   5.19118, -36.34240,   0.01554,  -0.00129,  42.14030,  -2.95435,   2.35127, -61.73000,   0.00593,  -0.00916, -16.74120, 175.97500,  21.81640, 179.27900,   0.02012,   0.01719,  33.38710,  -4.45100,  -7.18305, -77.42750,   0.53559,  -0.66545, -22.85680
