time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  73.05830, -72.65650, -16.11520,  96.97970,  79.49670,-100.53500,  13.17710,   2.35864,  -7.38455,   8.11533,  18.49830,  -2.45532, -16.75830,  30.99240,   0.56241, -89.71990,  -0.69080, -82.92760, -65.69740,   0.87304,  -3.81128,  -5.36056,  -8.84248, -31.39780,  26.22770,   5.54948,  -8.68096,  89.43650,   2.82117, -93.70000, -64.46670,   9.40286,   6.73606,  13.07240,   5.39078, -67.97470,  19.12500,   5.48674,  -6.00920,-169.08500, -16.94680, -22.43380,   0.09591,  -0.07059,  50.49060,  -4.92886,   0.63946, -75.07070,   0.01415,  -0.02198, -16.97020, 174.76400,  26.25420, 162.89900,   0.67263,  -0.24025,  69.23160,  -8.26711,  -5.08003, -61.43010,   0.38931,  -0.46840, -21.05330
   0.03333,   0.00000,   0.00000,  -0.00000,  75.78440, -70.40930, -14.07480,  94.03430,  79.45030, -97.03190,  13.32590,   1.32341,  -6.15081,   8.64231,  18.18630,  -2.23602, -16.99140,  31.28130,   0.76447, -89.40600,  -1.53144, -83.79630, -64.63170,   1.40822,  -8.08381,  -9.26100, -12.39900, -37.21290,  25.93150,   5.57175,  -9.77665,  89.38340,   2.96395, -93.24060, -65.76310,  10.22040,   9.19875,  13.05390,   7.20188, -61.60300,  19.17120,   5.51859,  -7.30176,-168.83500, -16.31570, -19.42490,   0.09670,  -0.08438,  45.65580,  -5.27002,   2.32494, -73.62380,   0.02141,  -0.03336, -17.17290, 175.97600,  28.22200, 158.19000,   0.64286,  -0.27516,  66.03470, -10.12400,  -1.53007, -61.04880,   0.36364,  -0.43512, -20.74440
   0.06667,   0.00000,   0.00000,  -0.00000,  78.58320, -67.96540, -11.98660,  91.14040,  79.44120, -93.47570,  13.35800,   0.30217,  -4.70660,   9.36946,  17.67590,  -1.91053, -17.34440,  31.30000,   0.71172, -89.03470,  -2.56154, -84.34260, -63.83430,   2.38041, -12.43440, -10.11370, -11.48240, -41.86260,  26.96840,   5.57796, -10.10120,  89.34760,   2.97302, -92.61800, -66.68560,  11.16790,  11.06150,  12.77350,   9.04763, -55.25600,  18.03420,   5.52011,  -7.36649,-168.84200, -15.01340, -16.55060,   0.09062,  -0.09229,  40.74880,  -5.46352,   3.37467, -72.04870,   0.02828,  -0.04423, -17.36610, 176.89900,  29.93320, 154.46200,   0.53638,  -0.30211,  59.97890, -11.21530,   1.77817, -61.26580,   0.36416,  -0.43580, -20.75070
   0.10000,   0.00000,   0.00000,  -0.00000,  81.12930, -65.34760, -10.18220,  88.45170,  79.47390, -89.96360,  13.27230,  -0.63535,  -2.95015,  10.01270,  17.07570,  -1.59590, -17.33780,  31.10710,   0.07854, -88.65410,  -3.68873, -84.93830, -63.40820,   3.23694, -15.92600,  -9.16967,  -8.83654, -46.41990,  27.49310,   5.58017, -10.22090,  89.30700,   2.97521, -91.88190, -67.05050,  11.56640,  13.06160,  13.41970,  11.15870, -50.95720,  15.22420,   5.51266,  -7.05044,-168.82800, -13.43350, -13.98500,   0.07847,  -0.08991,  36.37200,  -5.62157,   4.32583, -70.73030,   0.03791,  -0.05959, -17.63850, 177.51500,  31.51480, 151.67500,   0.39883,  -0.30606,  51.93320, -11.60210,   3.02161, -60.89280,   0.37385,  -0.44831, -20.86650
   0.13333,   0.00000,   0.00000,  -0.00000,  83.92840, -62.77470,  -8.25753,  86.26420,  79.50780, -87.00020,  13.16790,  -1.38775,  -1.31194,  10.35970,  16.31750,  -1.35722, -17.65500,  31.03270,  -0.45507, -88.41220,  -4.49058, -85.50310, -62.48110,   4.10709, -19.04690,  -8.88420,  -7.21382, -51.22440,  27.85360,   5.58058, -10.24380,  89.17460,   3.27338, -90.84000, -66.83480,  11.57280,  14.87950,  14.32140,  13.13000, -48.33980,  11.93630,   5.49109,  -6.17715,-169.00800, -11.80730, -11.80140,   0.06037,  -0.07244,  32.76510,  -5.87202,   5.10271, -69.92380,   0.04380,  -0.06908, -17.80650, 177.48000,  32.63570, 149.80700,   0.26330,  -0.28328,  42.29850, -11.04230,   2.24675, -59.13460,   0.36327,  -0.43464, -20.73970
   0.16667,   0.00000,   0.00000,  -0.00000,  86.94390, -60.13870,  -6.27616,  84.12780,  79.58980, -84.15620,  12.95090,  -2.11010,   0.18269,  10.36550,  15.57120,  -0.70896, -17.13120,  30.98850,  -2.16484, -88.28510,  -5.02673, -86.13430, -61.80180,   4.30394, -21.13420,  -9.32442,  -6.24689, -56.46720,  28.25820,   5.57706, -10.05490,  88.98940,   3.68580, -89.65540, -66.35870,  11.06320,  16.28220,  14.64100,  14.41050, -46.39210,   8.48266,   5.46157,  -5.05747,-169.21900, -10.44920, -10.02100,   0.03668,  -0.03652,  29.96470,  -6.35283,   6.32342, -69.59150,   0.05245,  -0.08314, -18.05450, 176.81100,  33.31940, 148.75300,   0.16070,  -0.25413,  31.72030,  -9.95800,  -0.39098, -55.16610,   0.34772,  -0.41467, -20.55380
   0.20000,   0.00000,   0.00000,  -0.00000,  89.66440, -56.94670,  -3.91059,  81.32360,  79.45030, -80.59960,  13.12630,  -3.11659,   1.80704,  10.43010,  14.61660,  -0.57093, -16.39900,  30.60280,  -3.73590, -88.21200,  -5.47029, -86.86850, -61.84340,   3.91459, -21.93120, -10.49190,  -5.67852, -61.88430,  28.70140,   5.58056, -10.24220,  88.80360,   4.07793, -88.63400, -65.80400,  10.01310,  17.12420,  14.97120,  15.58340, -44.87080,   5.78313,   5.42783,  -3.86455,-168.84900,  -8.55834,  -7.96050,   0.00609,   0.02153,  28.31670,  -7.27464,   7.89355, -69.79680,   0.06722,  -0.10742, -18.48160, 175.65700,  35.46020, 148.91500,   0.09042,  -0.18966,  24.67650, -10.89420,  -3.04322, -55.95550,   0.36548,  -0.43750, -20.76580
   0.23333,   0.00000,   0.00000,  -0.00000,  91.44090, -52.97830,  -1.91766,  78.39110,  79.19930, -76.84620,  13.47960,  -4.22330,   3.59088,  10.90840,  13.48950,  -0.34718, -15.84390,  29.89920,  -5.12740, -88.25610,  -5.53036, -87.46740, -61.70990,   3.94333, -22.30540, -12.38020,  -5.43342, -66.66570,  29.42450,   5.58457, -10.46030,  88.44340,   4.96794, -87.57800, -64.93490,   8.94570,  17.53720,  14.86400,  16.37250, -43.27800,   4.67944,   5.41944,  -3.58012,-167.55100,  -5.64168,  -5.93175,  -0.02411,   0.08268,  27.60560,  -8.65221,   9.51610, -70.10220,   0.09317,  -0.15113, -19.24540, 175.98500,  41.62330, 147.63000,   0.08680,  -0.17715,  25.23570, -11.50500,  -3.32167, -57.12920,   0.35751,  -0.42724, -20.67090
   0.26667,   0.00000,   0.00000,  -0.00000,  91.92370, -49.36340,  -1.10191,  77.26210,  79.23480, -74.86470,  13.36690,  -4.58041,   5.33452,  11.64580,  12.09560,  -0.36877, -15.21520,  28.44620,  -5.62172, -88.37110,  -5.18633, -87.53700, -61.26100,   5.12102, -22.36140, -13.57090,  -4.98693, -70.19500,  29.49240,   5.58997, -10.76040,  87.77160,   6.56254, -86.19700, -63.59430,   8.54390,  17.64630,  14.01020,  16.52640, -41.25860,   4.33127,   5.41960,  -3.58518,-165.14600,  -2.18024,  -4.48200,  -0.04044,   0.11458,  27.67020, -10.75050,  10.64940, -69.76780,   0.14610,  -0.24460, -20.85930, 177.17100,  45.54920, 145.51100,   0.13232,  -0.20718,  31.68320,  -8.32573,  -5.50704, -59.70650,   0.37385,  -0.44832, -20.86700
   0.30000,   0.00000,   0.00000,  -0.00000,  91.00000, -47.47490,  -1.74977,  78.89440,  79.66940, -75.68590,  12.64440,  -3.80540,   6.84032,  13.35270,  11.16730,  -0.75332, -15.39440,  26.98060,  -6.08669, -88.58750,  -4.40823, -87.21300, -60.42730,   6.90602, -20.86750, -12.19000,  -3.81881, -72.86550,  28.90050,   5.58657, -10.57020,  86.92540,   8.63358, -85.31170, -62.00890,   7.71010,  17.60370,  13.53870,  17.17970, -39.19000,   4.32933,   5.41700,  -3.49828,-161.41900,  -0.39392,  -4.16860,  -0.02504,   0.08101,  29.38170, -13.03280,  11.71480, -67.70010,   0.24180,  -0.43142, -24.01320, 177.59700,  42.38800, 144.94000,   0.23997,  -0.29960,  37.99140,  -2.89750,  -5.91768, -56.62860,   0.24389,  -0.28464, -19.33060
