time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  64.74990, -70.09150, -23.26300, 168.86800,  84.59350,-165.26300,  -6.04306,  10.16070,   7.76967,  -7.48524,  17.90880,   2.86802,  -3.59690,  20.33410,  -3.56185, -89.22350,  -2.30093, -86.34530, -57.17330, -12.20810,  29.67490,   0.89191,   5.90756,  -8.60063,   2.96337,   5.27160,   0.85504,  89.66510,   4.22766,-100.46700, -48.73410, -24.94510,   7.26338,   1.10812,   4.70394, -13.28380,  29.14210,   5.41342,  -3.38195,-168.80000,  11.09700, -30.30030,  -0.52739,   0.10528,  77.24220,   6.73554, -16.47120, -49.12380,   0.40773,  -0.49068, -21.22680,-163.07100,   8.92454, 174.59800,   0.22621,  -0.43926,  24.23690,  10.50700,   2.07641, -69.83360,  -0.00405,   0.00322, -16.57370
   0.03333,   0.00000,   0.00000,  -0.00000,  65.75280, -70.88840, -22.53180, 169.36500,  83.88910,-165.97000,  -5.91504,  11.59080,   7.41482,  -7.60645,  18.53500,   2.55616,  -3.68816,  19.86250,  -3.98122, -89.16190,  -2.30642, -85.02250, -55.35990, -12.78350,  30.50960,   0.92120,   6.20659,  -8.45862,   2.93257,   5.26216,   1.10910,  89.78100,   3.70919,-101.61900, -49.70150, -25.45400,   5.10379,   1.31213,   5.46839, -13.52430,  29.48120,   5.39985,  -2.93232,-169.63000,  14.18250, -34.51740,  -0.49751,   0.12298,  74.38610,   6.44612, -16.73530, -51.05860,   0.38559,  -0.46187, -20.96220,-163.79400,   8.63055, 175.66300,   0.20044,  -0.40477,  23.28670,  10.47570,   2.23218, -70.01750,  -0.01695,   0.01363, -16.57340
   0.06667,   0.00000,   0.00000,  -0.00000,  66.78800, -71.53810, -21.81720, 169.70000,  83.21210,-166.49200,  -5.77896,  12.96130,   7.10074,  -7.80487,  19.16790,   2.04938,  -3.72538,  19.23550,  -4.35447, -89.17680,  -2.11936, -83.76650, -53.38530, -13.37230,  31.15960,   1.09475,   6.98697,  -8.92687,   3.12772,   5.24965,   1.44201,  89.87110,   3.41544,-102.83700, -50.26670, -25.36840,   3.39205,   1.36721,   5.64267, -13.65380,  29.93020,   5.38424,  -2.43307,-170.22100,  16.34960, -37.47020,  -0.41049,   0.14391,  68.57290,   5.97569, -16.08550, -52.36130,   0.39885,  -0.47912, -21.12050,-164.39200,   7.76400, 176.79100,   0.17186,  -0.36706,  22.01340,  10.25930,   1.76054, -69.92290,  -0.00704,   0.00570, -16.57370
   0.10000,   0.00000,   0.00000,  -0.00000,  68.01160, -71.86540, -21.09910, 170.58200,  82.62500,-167.56200,  -5.82198,  14.17470,   6.79314,  -7.92249,  19.62630,   1.49177,  -3.77697,  18.56240,  -4.65281, -89.23930,  -1.84686, -82.60600, -51.18270, -14.20300,  31.72810,   1.31490,   7.44255, -10.04690,   3.54608,   5.25058,   1.41736,  89.93400,   3.33597,-103.86600, -50.66550, -24.90580,   1.90445,   1.39520,   5.87673, -13.39000,  30.94390,   5.36474,  -1.82842,-170.94500,  17.30370, -39.08100,  -0.31372,   0.16565,  59.99210,   5.86031, -16.04320, -52.62440,   0.38416,  -0.46005, -20.94520,-164.91400,   6.81427, 177.81100,   0.14344,  -0.32784,  20.54790,   9.96201,   1.14633, -69.73680,   0.01017,  -0.01054, -16.65530
   0.13333,   0.00000,   0.00000,  -0.00000,  69.34860, -71.61710, -20.35480, 171.81700,  82.21420,-168.92600,  -6.04397,  15.04370,   6.61119,  -7.94776,  20.01890,   0.90080,  -3.59263,  17.78370,  -4.98672, -89.30450,  -1.60336, -81.54450, -49.21190, -14.96850,  32.23170,   1.80952,   8.48807, -12.07850,   4.28805,   5.25491,   1.30302,  89.99200,   3.11595,-104.85300, -51.19940, -24.98980,   0.91500,   1.43539,   6.20072, -13.07030,  31.35250,   5.35930,  -1.65800,-172.17900,  17.08620, -38.84370,  -0.22600,   0.17988,  48.92730,   5.69519, -15.65170, -53.21900,   0.40105,  -0.48197, -21.14680,-165.40900,   7.45562, 178.81900,   0.11114,  -0.27145,  18.97720,   9.85917,   1.59621, -69.82200,   0.01384,  -0.01436, -16.68490
   0.16667,   0.00000,   0.00000,  -0.00000,  70.59810, -71.03730, -19.58490, 172.86200,  81.85070,-170.07400,  -6.25916,  15.80750,   6.47974,  -7.91407,  20.17170,   0.28229,  -3.39048,  16.92880,  -5.22307, -89.35610,  -1.43277, -80.79550, -47.07790, -16.57950,  32.75270,   2.40983,   9.27671, -14.62980,   4.89046,   5.26129,   1.13243,  90.03110,   2.77920,-105.64200, -51.89950, -25.30200,   0.30052,   1.45558,   6.40371, -12.84330,  30.88580,   5.34242,  -1.14984,-174.37500,  15.51440, -36.25070,  -0.14211,   0.18074,  35.43660,   5.26081, -13.59650, -52.65480,   0.40154,  -0.48262, -21.15270,-165.70700,   8.17500, 179.95200,   0.08809,  -0.22881,  17.57740,   9.77729,   1.84069, -70.13100,   0.01798,  -0.01866, -16.71830
   0.20000,   0.00000,   0.00000,  -0.00000,  71.24270, -70.29120, -19.07830, 173.45800,  81.46430,-170.74300,  -6.36583,  16.60000,   6.39421,  -7.67572,  20.07620,  -0.21526,  -3.39421,  16.04440,  -5.37818, -89.26140,  -1.61692, -80.44590, -45.24940, -18.90700,  33.25190,   3.16080,   9.90876, -17.78800,   5.69828,   5.25332,   1.34273,  90.05370,   2.31600,-106.32900, -52.81610, -25.45170,   0.15988,   1.43585,   6.38110, -12.71810,  30.23510,   5.32053,  -0.51023,-178.00500,  11.37540, -31.43430,  -0.07609,   0.17277,  21.04360,   4.76391, -11.59040, -51.72460,   0.40131,  -0.48232, -21.15020,-165.73200,   8.97367,-178.42600,   0.06909,  -0.18713,  16.39980,   9.75685,   1.89392, -70.85400,   0.04724,  -0.04921, -16.95370
   0.23333,   0.00000,   0.00000,  -0.00000,  70.98480, -69.41720, -19.52250, 175.04300,  81.08510,-172.33900,  -6.81726,  17.38820,   6.49204,  -7.30334,  19.74040,  -0.45009,  -3.06370,  15.09980,  -5.29191, -89.02400,  -2.13270, -80.40240, -44.33820, -20.56180,  33.81080,   4.44876,  11.09360, -22.01140,   6.93927,   5.24738,   1.50291,  90.05940,   1.81901,-106.87100, -53.70420, -24.93170,   0.45447,   1.40325,   6.52992, -12.16510,  29.50300,   5.31781,  -0.43176, 177.74000,   4.79574, -26.03710,  -0.02598,   0.13555,   8.00569,   3.70317,  -8.66117, -51.25040,   0.41476,  -0.49992, -21.31140,-165.54500,  11.02720,-176.55900,   0.05421,  -0.15325,  15.20240,  10.08870,   3.24369, -71.80510,   0.12876,  -0.13567, -17.61520
   0.26667,   0.00000,   0.00000,  -0.00000,  71.91050, -68.05750, -19.17490, 177.18500,  81.01530,-174.61200,  -7.48482,  17.56700,   6.34222,  -6.80802,  19.43360,  -0.53255,  -2.72999,  14.21520,  -4.92189, -89.03270,  -2.08886, -80.14330, -42.80710, -22.15260,  34.34770,   5.57355,  11.39060, -26.29390,   7.72110,   5.25847,   1.20819,  90.06590,   1.81222,-107.08300, -54.17820, -23.78960,   0.57349,   1.34443,   6.86162, -11.12240,  28.41110,   5.30731,  -0.12819, 174.05000,   0.04492, -25.69590,  -0.00807,   0.05931,   6.13370,   4.31999,  -6.85559, -53.42120,   0.42770,  -0.51694, -21.46710,-165.41500,  12.99140,-176.07900,   0.06949,  -0.19518,  15.95850,  10.47200,   4.00570, -72.30190,   0.26521,  -0.28498, -18.74100
   0.30000,   0.00000,   0.00000,  -0.00000,  75.33190, -66.20330, -17.04440, 179.88000,  81.17390,-177.84400,  -8.26277,  17.31990,   5.36488,  -6.51043,  18.95050,  -0.50759,  -2.22764,  13.22640,  -4.20197, -89.43350,  -1.20143, -79.74830, -40.59550, -23.30100,  34.13010,   6.65867,  11.52210, -30.30190,   8.72108,   5.25486,   1.30431,  90.09160,   2.50503,-107.09500, -54.05450, -23.32760,   1.34092,   1.31607,   7.19706, -10.39920,  26.91980,   5.29866,   0.11150, 171.26100,  -0.62772, -25.08070,  -0.00725,   0.07387,   5.04751,  11.46160,  -4.61418, -50.84410,   0.43596,  -0.52786, -21.56690,-165.98200,  15.52920,-175.76300,   0.08379,  -0.24481,  15.97390,  10.87540,   4.91721, -71.86350,   0.47267,  -0.57087, -21.13550
