time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  84.88760, -52.55470,  -6.34444, 106.22300,  76.00760,-109.92100,  19.47010,   7.27885,  -8.67554,  -4.75776,   6.25350,   0.07193,   2.02440,   0.78709,  -1.00976, -89.33240,  -3.53753, -94.30520, -73.51180, -17.75310,  16.02560,   3.24115,  -3.48773,-137.05100,  13.25410,   5.31596,  -0.38035,  89.73810,  -3.53475,-109.24000, -77.41130,  -9.69868, -15.30770,   6.43112,  -5.18370,-128.71300,  48.15910,   5.65912, -15.95620,-167.37300,  11.31450, -35.76550,  -0.07332,   0.02904,  59.48880,  -5.49509,  -1.73172, -52.66570,   0.32653,  -0.38633, -20.26380,-164.26100,  18.71110, 161.74800,  -0.01809,   0.05771,  29.09200,   9.15827, -14.21600, -67.32390,  -0.46160,  -0.37680, -16.25280
   0.03333,   0.00000,   0.00000,  -0.00000,  85.24380, -53.15900,  -6.27681, 107.33500,  75.88980,-111.15500,  19.58510,   7.83900,  -9.02562,  -5.02995,   6.59647,   0.18358,   1.77264,   0.66792,  -1.20690, -89.34010,  -3.27898, -93.61310, -73.07270, -17.68800,  18.03840,   3.19526,  -3.41906,-136.89200,  13.17860,   5.31912,  -0.47059,  89.67220,  -3.90427,-109.80200, -78.01290,  -9.70070, -17.94970,   6.31178,  -5.16976,-129.16700,  47.70040,   5.65932, -15.98140,-169.12200,  11.20280, -36.72570,  -0.09676,   0.05480,  54.10110,  -6.06650,  -0.17604, -53.15050,   0.30846,  -0.36359, -20.05210,-164.21600,  20.04320, 162.31000,  -0.03052,   0.07953,  29.00130,   9.27921, -12.55640, -67.89360,  -0.44562,  -0.36877, -16.69580
   0.06667,   0.00000,   0.00000,  -0.00000,  85.61440, -53.72620,  -6.19178, 108.72800,  75.76350,-112.70300,  19.67420,   8.53652,  -9.46938,  -5.28444,   6.88288,   0.38030,   1.62730,   0.40374,  -1.16848, -89.35980,  -2.96747, -92.81750, -72.79260, -17.39230,  19.44000,   3.21913,  -3.42557,-136.73300,  13.24800,   5.32756,  -0.71525,  89.60470,  -4.09769,-110.51500, -78.61700,  -9.82563, -19.71140,   6.08046,  -5.08087,-129.73700,  47.62590,   5.65976, -16.02870,-170.96600,  10.79560, -36.63520,  -0.08880,   0.07723,  46.99330,  -7.16257,   1.76946, -53.08860,   0.31403,  -0.37055, -20.11680,-164.25900,  21.32020, 162.94500,  -0.04425,   0.10332,  28.90990,   9.32870, -10.94670, -68.49130,  -0.26632,  -0.16739, -17.29680
   0.10000,   0.00000,   0.00000,  -0.00000,  85.81530, -54.23850,  -6.18772, 110.28800,  75.63750,-114.35200,  19.71910,   9.32651,  -9.79200,  -5.53863,   7.21839,   0.49430,   1.69314,   0.20683,  -1.22415, -89.46230,  -2.34193, -92.06290, -72.32340, -17.29650,  20.74760,   3.34306,  -3.55060,-136.67400,  12.95720,   5.33348,  -0.88744,  89.55320,  -4.17825,-111.10900, -79.07000,  -9.73492, -20.82970,   6.17856,  -5.21331,-130.00600,  47.54010,   5.66081, -16.15390,-172.88100,   9.92055, -35.66440,  -0.08556,   0.09087,  38.82100,  -8.61609,   3.06218, -52.80290,   0.31980,  -0.37783, -20.18490,-164.31100,  22.26240, 163.69200,  -0.05501,   0.12274,  28.90250,   9.32748,  -9.81523, -69.00460,  -0.13821,  -0.07714, -17.96630
   0.13333,   0.00000,   0.00000,  -0.00000,  85.73990, -54.64770,  -6.35547, 111.81100,  75.50280,-115.89200,  19.75930,  10.11860,  -9.97107,  -5.72522,   7.65444,   0.60283,   1.54793,   0.16325,  -1.41166, -89.58330,  -1.70325, -91.24700, -72.08090, -17.25020,  21.82800,   3.17294,  -3.35395,-136.54300,  13.04230,   5.34084,  -1.10426,  89.50900,  -4.27284,-111.56100, -79.37510,  -9.36860, -21.34160,   6.28634,  -5.31736,-130.07100,  47.66860,   5.65994, -16.05120,-174.73700,   8.80762, -33.82370,  -0.03866,   0.09129,  29.81030, -10.29970,   3.22285, -50.88360,   0.32765,  -0.38773, -20.27670,-164.25800,  22.74130, 164.44300,  -0.06347,   0.13741,  29.18140,   9.41769,  -9.32066, -69.38580,  -0.09338,  -0.22781, -18.74170
   0.16667,   0.00000,   0.00000,  -0.00000,  85.76360, -54.67860,  -6.52524, 112.98500,  75.45030,-117.05800,  19.67540,  10.70280, -10.04950,  -5.89420,   7.95023,   0.63039,   1.45042,   0.10051,  -1.48615, -89.68430,  -1.22967, -90.59920, -72.09700, -17.34550,  22.59740,   3.02827,  -3.17931,-136.35300,  13.04830,   5.33956,  -1.06617,  89.48980,  -4.27227,-111.81700, -79.53970,  -8.96662, -21.31050,   6.42851,  -5.39553,-129.84500,  47.66070,   5.66055, -16.12360,-177.14200,   7.49634, -32.86050,  -0.09256,   0.20527,  22.86570,  -7.83778,   3.11633, -47.28760,   0.32317,  -0.38208, -20.22420,-164.21200,  23.13890, 164.82900,  -0.06497,   0.13782,  30.02220,   9.09192,  -9.17421, -69.75680,   0.04200,  -0.20180, -19.70220
   0.20000,   0.00000,   0.00000,  -0.00000,  86.11320, -54.34000,  -6.51520, 113.57700,  75.49840,-117.66500,  19.48760,  10.94520, -10.10350,  -6.00588,   8.15519,   0.67065,   1.46110,   0.10638,  -1.59607, -89.76520,  -0.88856, -90.19720, -72.35980, -17.57360,  23.01640,   3.15022,  -3.29531,-136.24600,  13.16280,   5.33899,  -1.04944,  89.48480,  -4.18796,-112.02000, -79.61670,  -8.57155, -20.80600,   6.88209,  -5.69854,-129.44200,  47.86840,   5.66050, -16.12300,-179.67200,   5.75718, -31.55690,  -0.09192,   0.28859,  16.82440,  -5.45290,   3.28819, -43.48630,   0.29943,  -0.35228, -19.94660,-164.29400,  23.89740, 164.90800,  -0.06367,   0.13142,  31.38900,   8.75790,  -8.91469, -70.07940,   0.27158,  -0.26184, -20.33440
   0.23333,   0.00000,   0.00000,  -0.00000,  86.65820, -53.87240,  -6.40786, 113.80000,  75.61250,-117.93500,  19.23650,  10.96640, -10.17520,  -6.15471,   8.35575,   0.81520,   1.57384,   0.24588,  -1.89895, -89.82510,  -0.65089, -89.95540, -72.84820, -17.83420,  22.98790,   3.02705,  -3.16390,-136.22600,  13.14960,   5.34311,  -1.17211,  89.49530,  -4.03060,-112.14300, -79.47870,  -8.10363, -19.87990,   6.78396,  -5.55341,-129.12800,  47.96070,   5.66126, -16.21830, 177.96300,   4.33344, -30.64370,  -0.08824,   0.34087,  13.93920,  -1.45605,   2.72864, -42.22780,   0.29720,  -0.34950, -19.92070,-164.56500,  25.05110, 164.96800,  -0.05664,   0.11575,  32.94580,   8.22540,  -8.25670, -70.18460,   0.61196,  -0.27273, -20.99980
   0.26667,   0.00000,   0.00000,  -0.00000,  87.66400, -53.44120,  -6.15899, 113.74700,  75.85170,-118.09800,  18.80880,  10.75780, -10.53060,  -6.09103,   8.50090,   1.04223,   1.42664,   0.34239,  -2.03254, -89.85450,  -0.53622, -89.81560, -73.43490, -17.97570,  22.36200,   2.84656,  -2.98846,-136.35700,  13.30900,   5.34497,  -1.22609,  89.52670,  -3.74634,-112.20600, -79.31200,  -7.66507, -18.66910,   6.94512,  -5.61506,-128.77200,  48.09060,   5.66108, -16.18910, 176.37100,   4.09968, -30.47990,  -0.08170,   0.29711,  14.51880,   5.60108,   2.53889, -41.67960,   0.28884,  -0.33909, -19.82360,-165.08100,  26.27460, 164.82100,  -0.04706,   0.09635,  34.65880,   7.70420,  -7.34196, -69.79310,   0.68642,  -0.78627, -22.38350
   0.30000,   0.00000,   0.00000,  -0.00000,  89.02990, -53.19590,  -5.51688, 113.40700,  76.10030,-118.15300,  18.42500,  10.39880, -11.22710,  -6.04991,   8.53107,   1.43997,   1.30470,   0.52258,  -2.07053, -89.87370,  -0.47026, -89.96310, -73.83610, -18.01960,  21.45900,   2.66547,  -2.82787,-136.66200,  13.51050,   5.34579,  -1.25084,  89.58450,  -3.24386,-112.30400, -79.14940,  -7.27128, -17.19010,   7.13628,  -5.70364,-128.44200,  48.16340,   5.66297, -16.41510, 177.13800,   6.92804, -31.90300,  -0.07966,   0.22774,  18.42890,   5.00013,  -1.09865, -42.14880,   0.18664,  -0.21462, -18.65030,-166.01000,  27.74460, 164.49900,  -0.02848,   0.06452,  36.98630,   7.25356,  -5.95139, -68.44140,   1.11967,  -1.37863, -26.46240
   0.33333,   0.00000,   0.00000,  -0.00000,  90.11560, -52.96350,  -4.24422, 112.50500,  76.07450,-117.67400,  18.65130,   9.96853, -12.02570,  -6.16584,   8.49391,   1.89003,   1.08649,   0.73292,  -1.99315, -89.83510,  -0.62836, -90.29230, -74.15030, -17.78120,  19.97570,   2.58680,  -2.75104,-136.73300,  13.80710,   5.34572,  -1.24966,  89.63780,  -2.76250,-112.47200, -79.30530,  -6.76241, -15.59950,   7.38730,  -5.83456,-128.09800,  48.22650,   5.66428, -16.57450, 178.04200,   9.97358, -32.35750,  -0.08030,   0.18276,  22.92360,   3.82281,  -4.03224, -45.17940,   0.12197,  -0.13847, -17.92230,-167.36500,  29.43430, 164.57700,   0.00539,   0.01860,  40.12710,   7.02132,  -4.32442, -65.20740,   1.65802,  -2.26512, -32.22220
   0.36667,   0.00000,   0.00000,  -0.00000,  90.69200, -52.55270,  -3.18639, 111.61000,  75.97090,-117.06000,  19.00600,   9.59717, -12.55940,  -6.05507,   8.21934,   2.14238,   0.83295,   0.78916,  -1.88947, -89.77070,  -0.90423, -90.76550, -74.85270, -16.83340,  17.41250,   2.71656,  -2.85241,-136.36500,  14.18270,   5.34517,  -1.23242,  89.67610,  -2.50156,-112.38000, -79.60680,  -6.31511, -13.77770,   7.47378,  -5.81094,-127.65900,  48.34980,   5.66600, -16.80320, 178.45400,  11.49470, -31.90020,  -0.08010,   0.15854,  26.40890,   2.86596,  -5.26901, -48.38340,   0.09257,  -0.10448, -17.59490,-168.40900,  30.92270, 164.02900,   0.05194,  -0.03170,  43.93910,   7.04755,  -3.12685, -59.69400,   2.22056,  -3.49028, -39.70480
