time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  78.41600, -59.46610,  -3.97536, 139.51300,  86.78570,-140.07800,  -3.57409,   4.94247,  -0.97736,  -8.37392,  12.83730,  -3.21400,  -8.42092,  14.61700,  -4.17179, -90.55790,   2.47467, -92.29250, -67.00260,  -4.03546,  10.43900,   2.17157,  10.44050, -11.81860,   7.38011,   5.00776,   7.14790,  89.82040,   1.70160, -98.97480, -72.15410,   1.81517,   2.53447,   3.60187,  12.52530, -16.19020,  12.30270,   5.34426,  -1.20385,-166.72800,  -0.72827, -17.89900,  -0.07626,   0.03198,  65.15450,   0.92823,  -7.21878, -53.62370,   0.46443,  -0.56577, -21.91190,-165.35400,  10.31910, 175.98900,   0.23706,  -0.44748,  24.85520,   7.92982,  -9.62337, -66.77980,  -0.03458,   0.02423, -16.57340
   0.03333,   0.00000,   0.00000,  -0.00000,  79.63540, -60.11000,  -3.39085, 147.17400,  86.17440,-147.95300,  -3.58484,   6.50304,  -1.35683,  -8.70683,  13.26650,  -3.07098,  -7.95173,  13.95970,  -4.65121, -90.69630,   2.78710, -90.96990, -68.09420,  -3.83738,  14.58200,   2.23502,   9.48261, -13.32810,   4.82861,   5.05742,   6.06705,  89.89260,   1.21385, -99.94400, -71.87240,   2.55458,   0.46817,   3.75478,  12.75330, -16.56080,  11.43390,   5.32132,  -0.53272,-169.00900,   0.71971, -21.36300,  -0.13618,   0.07102,  60.92320,   1.51497, -10.32950, -55.89060,   0.41629,  -0.50191, -21.32930,-166.15500,  11.14180, 176.84800,   0.20218,  -0.40094,  23.60510,   8.26606,  -8.18936, -66.87080,  -0.01608,   0.01134, -16.57370
   0.06667,   0.00000,   0.00000,  -0.00000,  80.66540, -60.82500,  -2.93587, 151.77600,  85.54700,-152.69700,  -3.50594,   7.93336,  -1.60165,  -8.90371,  13.86240,  -3.01640,  -7.84396,  13.43170,  -5.03348, -90.90660,   3.25104, -89.41040, -68.42460,  -4.81576,  18.94500,   2.38524,   8.73531, -15.33760,   2.94391,   5.10428,   5.00860,  89.94470,   0.76824,-100.88900, -71.18430,   3.70102,  -1.64006,   4.06453,  13.17610, -17.31820,  11.22290,   5.30116,   0.03977,-170.89500,   2.23772, -23.65850,  -0.14463,   0.09856,  54.07560,   1.37229, -12.61720, -57.24700,   0.41045,  -0.49426, -21.25970,-166.72900,  10.80010, 177.63600,   0.16900,  -0.35080,  22.39030,   8.34683,  -7.84247, -66.75820,  -0.06467,   0.04605, -16.57310
   0.10000,   0.00000,   0.00000,  -0.00000,  81.37560, -61.43650,  -2.84926, 155.33400,  85.00190,-156.35000,  -3.53382,   9.17936,  -1.75205,  -9.08514,  14.42440,  -3.09494,  -7.77099,  13.04480,  -5.08474, -91.12280,   3.64412, -87.86350, -67.51900,  -7.29481,  23.54940,   2.87699,   9.14093, -17.55300,   1.10956,   5.13854,   4.21197,  89.97320,   0.44453,-101.55500, -70.20220,   4.89435,  -3.80001,   4.33380,  13.40480, -18.10610,  11.46920,   5.31174,  -0.26018,-172.29800,   3.77168, -24.98930,  -0.11692,   0.10798,  45.07180,   0.87030, -13.37790, -57.06220,   0.42864,  -0.51819, -21.47850,-167.06800,  10.30120, 178.21400,   0.14336,  -0.31107,  21.26960,   8.39601,  -7.68392, -66.62580,  -0.06960,   0.04989, -16.57280
   0.13333,   0.00000,   0.00000,  -0.00000,  81.61210, -62.02540,  -3.37681, 158.78500,  84.51890,-159.82000,  -3.73465,  10.31700,  -1.73853,  -9.27512,  15.03950,  -3.22482,  -7.61243,  12.74820,  -5.23235, -91.30400,   3.85692, -86.30430, -65.62330,  -9.81620,  27.65110,   3.10492,   9.19946, -18.74160,  -0.14469,   5.15073,   3.92506,  89.99090,   0.17067,-101.96400, -69.12220,   5.73688,  -5.94690,   4.82362,  13.92800, -19.32350,  11.82000,   5.30369,  -0.03172,-173.34300,   4.82909, -25.45930,  -0.07747,   0.09882,  34.89570,   0.52869, -12.28120, -57.27380,   0.42769,  -0.51693, -21.46700,-167.12900,   9.59024, 178.47400,   0.11714,  -0.25936,  20.40650,   8.39582,  -7.68443, -66.61000,  -0.06617,   0.04778, -16.57290
   0.16667,   0.00000,   0.00000,  -0.00000,  81.73950, -62.56320,  -3.99029, 161.43700,  84.08890,-162.46300,  -3.93839,  11.30460,  -1.66959,  -9.19709,  15.71930,  -3.54031,  -7.74492,  12.54480,  -5.37363, -91.32590,   3.62979, -84.91700, -63.48700, -11.83480,  30.70700,   2.90898,   8.95583, -18.07740,   0.13174,   5.15392,   3.84880,  90.00390,  -0.08518,-102.39400, -68.08030,   6.11432,  -7.84414,   5.36183,  14.19660, -20.94490,  12.33050,   5.31089,  -0.23503,-174.50200,   5.00945, -24.94480,  -0.04279,   0.07841,  23.95730,   0.48352,  -9.25940, -55.86260,   0.42465,  -0.51291, -21.43010,-167.04200,   8.40357, 178.73700,   0.09721,  -0.21818,  19.65410,   8.31633,  -8.23156, -66.64880,  -0.10100,   0.07349, -16.57250
   0.20000,   0.00000,   0.00000,  -0.00000,  82.01110, -63.08440,  -4.38577, 163.30500,  83.72010,-164.35400,  -4.09219,  12.13030,  -1.66930,  -9.07896,  16.33860,  -3.79144,  -7.82781,  12.50710,  -5.52682, -91.23290,   3.17703, -83.77620, -61.12230, -13.14860,  32.77970,   2.46120,   8.56893, -16.09040,   0.91403,   5.13197,   4.37049,  90.01330,  -0.35884,-102.86900, -67.30820,   6.08565,  -9.61467,   5.89058,  14.25280, -22.74070,  12.37800,   5.31673,  -0.40231,-176.32400,   3.65577, -23.83020,  -0.01841,   0.05173,  13.39890,  -0.14716,  -5.81434, -52.50960,   0.40946,  -0.49295, -21.24750,-167.09800,   7.60629, 178.93900,   0.08731,  -0.19362,  19.45930,   8.26368,  -8.36667, -67.14240,  -0.10214,   0.07486, -16.57240
   0.23333,   0.00000,   0.00000,  -0.00000,  82.01610, -63.51130,  -5.04017, 165.07600,  83.41440,-166.10000,  -4.31401,  12.82470,  -1.56917,  -9.00343,  16.84930,  -3.94029,  -7.63633,  12.53620,  -5.66623, -91.06340,   2.62769, -82.95730, -58.91900, -13.36100,  34.05570,   2.09904,   8.61223, -13.75330,   1.25729,   5.09038,   5.33315,  90.02320,  -0.76298,-103.26100, -66.78470,   5.99867, -11.27910,   6.31978,  14.08210, -24.47780,  12.41310,   5.32590,  -0.66655,-178.81000,   0.48874, -23.76650,  -0.00576,   0.02161,   6.88717,  -2.20733,  -2.37656, -51.15090,   0.41318,  -0.49788, -21.29290,-167.08400,   7.28902, 179.34400,   0.07733,  -0.17011,  19.12760,   8.25513,  -8.15242, -67.79330,  -0.08864,   0.06532, -16.57260
   0.26667,   0.00000,   0.00000,  -0.00000,  81.72840, -63.78720,  -6.08459, 167.08600,  83.24120,-167.98000,  -4.70707,  13.26070,  -1.24776,  -8.72622,  17.29370,  -4.12512,  -7.44261,  12.70600,  -5.95164, -90.93490,   2.23749, -82.31620, -56.80590, -12.80310,  35.00620,   1.94023,   9.13895, -12.03990,   0.93250,   5.04494,   6.34995,  90.03200,  -1.17546,-103.43900, -66.22700,   6.15168, -13.04070,   6.67295,  13.81600, -26.10440,  12.13380,   5.31532,  -0.36129, 178.48600,  -2.73428, -25.21370,  -0.00240,   0.02016,   4.91375,  -3.17637,  -0.73861, -52.72950,   0.41143,  -0.49555, -21.27120,-166.88800,   7.12213,-179.95700,   0.06673,  -0.15221,  18.15960,   8.39136,  -7.64249, -68.25920,  -0.00887,   0.00656, -16.57380
   0.30000,   0.00000,   0.00000,  -0.00000,  81.27300, -63.90310,  -7.35531, 168.90200,  83.16110,-169.62700,  -5.12406,  13.48870,  -0.84914,  -8.58285,  17.67360,  -4.22871,  -7.15085,  12.85730,  -6.31795, -90.80350,   1.87616, -81.81070, -54.81140, -12.21240,  35.59500,   1.91013,   9.56376, -11.34970,   0.82336,   5.01070,   7.09061,  90.03400,  -1.28333,-103.48300, -65.33330,   6.50271, -14.80360,   7.13494,  13.80520, -27.68400,  11.76310,   5.31056,  -0.22498, 176.06000,  -4.93298, -26.19240,  -0.00125,   0.01050,   3.45758,  -2.51149,  -1.81556, -53.41140,   0.41619,  -0.50181, -21.32850,-166.78900,   7.97588,-178.88400,   0.04250,  -0.09466,  16.52710,   8.59919,  -6.34334, -68.65100,   0.06209,  -0.06480, -17.07360
   0.33333,   0.00000,   0.00000,  -0.00000,  80.42450, -64.14690,  -8.85346, 170.58800,  83.05010,-171.06200,  -5.52329,  13.75030,  -0.28624,  -8.34658,  17.93240,  -4.28647,  -6.91924,  12.96960,  -6.74713, -90.59190,   1.35907, -81.46330, -53.09810, -11.93270,  35.92970,   1.88292,   9.19532, -11.62470,   1.34133,   5.00498,   7.21377,  90.03420,  -1.35577,-103.55500, -64.61290,   6.46935, -16.20070,   7.66530,  13.80900, -29.42070,  11.19140,   5.30912,  -0.18435, 174.40600,  -6.40721, -26.83850,  -0.00008,   0.00292,   3.20860,  -2.65718,  -4.45815, -53.84350,   0.42711,  -0.51615, -21.45970,-166.57300,   9.07278,-177.67100,   0.03384,  -0.07838,  15.14560,   8.88047,  -4.68344, -69.03240,   0.18006,  -0.19110, -18.03550
