time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  90.57620,  -1.20900,   0.85585,  90.47930,  83.08020, -87.95190,   6.07631,   0.07830,   5.04494,  -2.58182,  -1.57295,  -0.22428,   0.67477,  -0.84619,  -4.82215, -91.10830,   4.49394, -91.13020, -59.45360,  14.75850,   6.10902,   3.23123,   2.81673, -48.95130,  11.15880,   5.56561,  -9.46683,  87.54230,   8.26107, -88.36890, -56.17240,  12.72290,   8.16691,   1.20501,   1.61331, -36.79470,  -2.85931,   5.57423,  -9.90734,-173.24700,  -5.86684, -20.23180,   0.39323,  -0.11368,  74.52630,  -5.95899,   5.83897, -36.04580,   0.17960,  -0.30718, -21.92560, 179.65500,  22.46040, 167.95900,   0.14627,  -0.21752,  28.97720,   3.09398,   6.01712, -66.83750,  -0.07226,   0.04840, -16.57220
   0.03333,   0.00000,   0.00000,  -0.00000,  92.25510,  -5.17831,   0.87224, 100.15400,  83.13680, -98.98660,   5.72598,   2.39301,   2.21176,  -1.98786,  -0.91030,  -0.20326,   0.63948,  -1.26816,  -4.08425, -91.12970,   4.04064, -89.36310, -61.24240,  12.27890,  10.81830,   0.14313,   0.13121, -47.34040,  10.50000,   5.56322,  -9.34489,  88.15920,   6.89345, -90.01120, -56.48990,  12.92740,   1.12826,   1.59592,   2.18363, -36.19310,  -2.46770,   5.56605,  -9.48998,-175.67000, -10.41700, -24.45200,   0.40932,  -0.13946,  71.91950,  -6.71723,   6.94561, -39.15260,   0.17636,  -0.30098, -21.82050, 176.46500,  21.79790, 173.67100,   0.07214,  -0.12161,  23.23020,   2.52288,   9.40577, -66.56900,  -0.00671,   0.00474, -16.57370
   0.06667,   0.00000,   0.00000,  -0.00000,  93.17790,  -9.35204,   0.22679, 108.75100,  83.12840,-108.69300,   5.25782,   4.40703,  -0.08641,  -1.76822,   0.16346,  -0.32462,   0.64092,  -1.47553,  -3.35455, -91.23500,   3.82364, -87.08620, -61.87430,   9.82405,  15.10110,  -0.68473,  -0.65542, -46.25230,  10.34300,   5.56105,  -9.23843,  88.64620,   5.80425, -91.84850, -55.25610,  13.92060,  -6.55732,   1.34290,   1.86609, -35.77360,  -2.28703,   5.55779,  -9.07872,-177.41300, -14.59280, -28.73240,   0.39174,  -0.17474,  66.86320,  -7.18156,   8.08659, -42.70620,   0.16611,  -0.28163, -21.49150, 174.45800,  20.20700, 177.70000,   0.04292,  -0.08669,  18.22740,   1.74751,  12.00310, -66.29400,  -0.00080,   0.00060, -16.57380
   0.10000,   0.00000,   0.00000,  -0.00000,  93.38520, -12.71120,  -0.61619, 113.96900,  83.03130,-114.73200,   5.02740,   5.66881,  -1.77466,  -1.67457,   1.31222,  -0.63984,   0.05863,  -1.55285,  -2.69101, -91.40930,   3.84581, -84.85830, -61.83990,   7.22584,  18.83960,  -0.25945,  -0.25774, -45.16700,  11.00240,   5.56622,  -9.49506,  88.96770,   5.12804, -93.60330, -51.94220,  15.31700, -14.96150,   1.16271,   1.63126, -35.51450,  -2.32567,   5.54695,  -8.56228,-178.46300, -17.27650, -32.42070,   0.31902,  -0.19870,  59.35210,  -6.43084,   8.52229, -46.20400,   0.17044,  -0.28980, -21.63050, 173.21100,  18.68490,-179.52300,   0.02011,  -0.03334,  15.05200,   0.92924,  13.76000, -66.76000,   0.02520,  -0.02815, -16.85170
   0.13333,   0.00000,   0.00000,  -0.00000,  92.88330, -14.85620,  -0.95859, 115.41300,  82.65830,-116.65000,   5.59249,   6.30983,  -2.78037,  -1.72578,   2.19133,  -1.26864,  -1.17048,  -1.76220,  -1.83183, -91.59280,   3.96245, -83.08020, -61.73040,   4.60366,  21.49760,  -0.29570,  -0.31268, -43.41670,  11.16810,   5.56939,  -9.65626,  89.12010,   4.95725, -94.92190, -46.53480,  15.92000, -23.39260,   1.39834,   1.92772, -35.99380,  -2.57448,   5.53970,  -8.22811,-178.28100, -18.20750, -34.19140,   0.22366,  -0.20612,  49.18090,  -6.05680,   7.77791, -48.78510,   0.16187,  -0.27376, -21.35730, 172.65600,  16.37150,-177.56600,  -0.00089,   0.04811,  15.07820,   0.27585,  13.61870, -68.94960,   0.03621,  -0.04054, -16.97360
   0.16667,   0.00000,   0.00000,  -0.00000,  91.63810, -15.90450,  -0.56459, 115.03500,  81.94070,-116.35500,   6.95587,   6.80738,  -3.05526,  -1.63880,   2.58747,  -1.94063,  -2.73454,  -2.17235,  -1.28721, -91.84660,   4.35627, -82.00280, -61.47420,   2.51433,  23.04440,   0.14860,   0.17086, -41.09260,  10.96870,   5.56287,  -9.32829,  89.20080,   4.93697, -95.79340, -40.75820,  14.78210, -30.41620,   1.52638,   2.01413, -37.20000,  -2.53854,   5.54065,  -8.27236,-176.49100, -17.65000, -33.35440,   0.12842,  -0.19177,  36.34320,  -6.09480,   6.77241, -49.96790,   0.15987,  -0.26999, -21.29310, 172.87700,  13.48420,-175.57100,  -0.02821,   0.13951,  17.60550,  -0.27072,  11.97610, -72.73640,   0.02093,  -0.02336, -16.80450
   0.20000,   0.00000,   0.00000,  -0.00000,  90.15880, -16.11950,   0.06321, 114.19700,  81.07630,-115.36400,   8.64081,   7.27113,  -2.88432,  -1.46741,   2.65660,  -2.42397,  -4.54249,  -2.56651,  -1.13019, -92.26410,   5.19308, -81.40490, -61.20400,   1.47601,  23.48080,   0.74350,   0.95210, -38.00730,  11.08280,   5.56203,  -9.28730,  89.22730,   5.02038, -96.23870, -35.66780,  12.14070, -35.19370,   1.21695,   1.49070, -39.26610,  -2.20419,   5.53818,  -8.15952,-174.02400, -15.53300, -31.45930,   0.05073,  -0.13875,  22.85520,  -5.54609,   5.56163, -50.25390,   0.15691,  -0.26451, -21.19950, 172.68600,  12.67440,-173.04200,  -0.08157,   0.26963,  20.94440,  -0.69756,  12.04360, -77.37480,   0.04444,  -0.04984, -17.06500
   0.23333,   0.00000,   0.00000,  -0.00000,  89.08860, -16.40720,   0.45123, 114.34400,  80.31150,-115.45900,  10.03730,   7.91532,  -2.92774,  -1.43962,   2.59743,  -2.65535,  -6.11098,  -2.97158,  -0.74968, -92.61680,   5.88076, -80.96040, -61.48080,   1.07369,  22.91550,   1.07594,   1.60036, -33.92880,  11.43800,   5.56197,  -9.28425,  89.32470,   4.74589, -96.89260, -33.33600,   8.39867, -37.10530,   1.07620,   1.20503, -41.82460,  -2.03565,   5.54159,  -8.31453,-172.42600, -13.70540, -29.84250,   0.01131,  -0.07538,  11.80420,  -4.43198,   3.92438, -52.09350,   0.15826,  -0.26702, -21.24210, 172.34200,  10.48620,-169.40500,  -0.10318,   0.31712,  21.69630,  -1.90401,  11.14170, -80.96540,   0.12330,  -0.14044, -17.94830
   0.26667,   0.00000,   0.00000,  -0.00000,  88.35240, -17.18180,   0.23927, 115.91400,  79.88860,-117.18300,  10.61310,   8.74568,  -3.35377,  -1.57834,   2.68126,  -2.66817,  -7.05039,  -3.19107,   0.03962, -92.74570,   6.13226, -80.82290, -62.19400,   0.24454,  22.49430,   1.65177,   2.88691, -29.80550,  11.41130,   5.55850,  -9.11359,  89.40600,   4.55523, -97.56320, -32.55050,   5.70170, -36.87550,   1.18396,   1.19833, -44.71170,  -1.26779,   5.54183,  -8.32568,-173.59800, -16.32180, -30.54340,   0.00266,  -0.04228,   8.00938,  -5.85278,   3.46006, -55.03840,   0.16041,  -0.27098, -21.31020, 171.46400,   8.31994,-164.84500,  -0.04395,   0.17663,  19.39510,  -3.61082,  11.00050, -82.28480,   0.30634,  -0.36216, -20.06220
   0.30000,   0.00000,   0.00000,  -0.00000,  88.28000, -16.88900,  -2.52102, 117.07000,  80.55650,-118.87900,   9.26627,   8.52491,  -4.31353,  -1.94492,   2.73265,  -2.66479,  -8.35623,  -3.40263,   1.67673, -92.94830,   6.63530, -80.97640, -62.36200,  -0.70358,  22.17840,   1.98805,   4.04953, -26.17840,  11.27590,   5.56464,  -9.41858,  89.38410,   5.13833, -98.15510, -32.70650,   4.27428, -35.25100,   1.89367,   1.73244, -47.42060,  -0.78138,   5.54344,  -8.39918,-177.20300, -17.79580, -38.62760,   0.01149,  -0.05550,  16.94870,  -2.27024,   1.94501, -53.14930,   0.15981,  -0.26988, -21.29130, 169.94900,   8.27596,-167.37500,  -0.06995,   0.21315,  24.04890,  -4.51302,  11.81600, -77.95140,   0.59811,  -0.99279, -27.10090
