time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.17870,   2.24214,  -0.66827,  88.04160,  81.52060, -89.07500,   9.17874,  -0.58912,  -2.01772,  -6.14224,  -1.34932,  -0.88179,   3.43445,  -4.18210,   0.69972, -90.36430,   2.65721, -97.19020, -72.08080,   0.31577,   5.98431,   0.61916,   0.97828, -32.34020,  23.48090,   5.53652,  -8.08643,  89.24020,   6.72071, -98.53420, -74.91930,   0.28154,  19.95260,  -2.98043,  -6.90741, -23.40130,  27.95310,   5.68176, -21.66070, 173.24900,   2.62156, -10.96980,   0.07007,  -0.08183,  27.03560,   4.75545,   0.65468, -66.83700,  -0.06660,   0.05847, -16.57490, 179.21200,   2.30056, 157.58000,  -0.36388,   0.14092,  68.16330,   9.99148, -22.88890, -36.95330,   0.57738,  -0.65019, -21.41390
   0.03333,   0.00000,   0.00000,  -0.00000,  92.17270,   2.58048,  -0.36130,  86.21850,  81.28030, -86.84280,   9.63078,  -1.15348,  -1.15031,  -5.59109,  -1.20011,  -0.99184,   3.46981,  -3.73015,   0.68661, -90.31710,   2.33950, -97.28030, -71.01710,   1.29831,   2.63747,   0.18391,   0.26555, -34.73790,  23.43690,   5.54414,  -8.43440,  89.19380,   6.64633, -98.06810, -75.61600,   0.24575,  21.37120,  -3.13536,  -7.18259, -23.65140,  27.40290,   5.68176, -21.65110, 174.54800,   1.18205,  -6.88978,   0.05458,  -0.06850,  24.50590,   4.97947,   2.17835, -68.24050,  -0.06354,   0.05596, -16.57510,-179.57200,   1.58154, 154.00200,  -0.35721,   0.16090,  65.13300,   9.36854, -24.90640, -42.75760,   0.47709,  -0.52905, -20.53920
   0.06667,   0.00000,   0.00000,  -0.00000,  91.55120,   3.18624,  -0.40788,  84.06750,  81.13410, -84.40080,   9.86937,  -1.82755,  -0.50838,  -5.30487,  -1.00811,  -1.12232,   3.68959,  -3.36118,   0.59391, -90.27710,   2.06013, -97.33590, -69.64170,   2.82038,  -0.77957,   0.32346,   0.41937, -37.61010,  23.72180,   5.54185,  -8.32673,  89.15240,   6.61499, -97.68100, -76.41210,   0.58809,  22.98080,  -3.24258,  -7.21952, -24.25960,  27.07550,   5.68168, -21.75130, 175.58300,   0.02550,  -2.87189,   0.03473,  -0.04485,  21.11750,   5.13977,   3.76826, -69.05180,  -0.05194,   0.04603, -16.57550,-179.04000,   1.02017, 151.53200,  -0.29488,   0.17592,  58.40140,   9.09381, -24.26250, -46.75150,   0.51124,  -0.56991, -20.83550
   0.10000,   0.00000,   0.00000,  -0.00000,  91.42090,   3.84584,  -0.71182,  82.12720,  81.07620, -82.32610,   9.91573,  -2.43319,  -0.18640,  -5.09698,  -1.02366,  -1.29157,   3.75170,  -3.02685,   0.54302, -90.21270,   1.64398, -97.62860, -68.50960,   3.72873,  -3.89060,   0.92547,   1.05816, -41.16020,  24.33900,   5.53870,  -8.18312,  89.11390,   6.54145, -97.26870, -77.25870,   1.12065,  24.55200,  -3.11537,  -6.79377, -24.69930,  26.53540,   5.68135, -22.00820, 176.04200,  -0.28981,   1.20473,   0.01998,  -0.02856,  16.97390,   5.09311,   4.54814, -69.32980,   0.02728,  -0.03041, -16.87510,-179.43900,   0.74204, 150.54100,  -0.18718,   0.16061,  48.10450,   7.78226, -22.15840, -49.46500,   0.47629,  -0.52813, -20.53250
   0.13333,   0.00000,   0.00000,  -0.00000,  91.86970,   4.58990,  -1.16208,  79.84980,  81.08930, -80.11720,   9.77993,  -3.12629,  -0.26694,  -5.15581,  -1.09031,  -1.39138,   3.98280,  -2.72550,   0.55344, -90.15080,   1.21845, -97.94790, -68.01570,   3.20916,  -6.38902,   1.23391,   1.22286, -45.25660,  24.46580,   5.53798,  -8.15232,  89.07460,   6.53740, -96.92540, -77.89850,   1.30142,  26.24030,  -3.23940,  -6.87778, -25.28940,  26.38960,   5.68095, -22.24210, 175.99900,  -0.73010,   4.64485,   0.01235,  -0.02012,  13.76830,   5.10965,   5.55747, -69.34710,   0.09527,  -0.10760, -17.62490, 179.49900,   1.43370, 151.75900,  -0.09047,   0.12515,  33.31530,   6.36270, -19.16890, -49.98710,   0.45836,  -0.50686, -20.37780
   0.16667,   0.00000,   0.00000,  -0.00000,  92.63110,   5.69428,  -1.85027,  76.73010,  81.16640, -77.16530,   9.43152,  -4.03853,  -0.53665,  -5.42387,  -1.21631,  -1.31312,   4.05358,  -2.46604,   0.54644, -90.10330,   0.91007, -98.52250, -67.95540,   2.01289,  -8.34025,   1.61370,   1.41033, -48.84730,  24.97950,   5.52857,  -7.73284,  89.04580,   6.45048, -96.56750, -78.35980,   0.81102,  27.66340,  -3.46407,  -7.21142, -25.73740,  26.35610,   5.68078, -22.31830, 175.85300,  -1.09144,   6.52504,   0.01709,  -0.04339,  13.21710,   5.27784,   6.97952, -69.75380,   0.18556,  -0.22471, -18.90410, 177.89200,   2.48230, 155.01000,  -0.02137,   0.05629,  14.40590,   3.79664, -15.88740, -45.69420,   0.44073,  -0.48607, -20.22610
   0.20000,   0.00000,   0.00000,  -0.00000,  92.90390,   6.99687,  -2.68728,  73.93650,  81.26050, -74.39650,   9.03494,  -4.81602,  -0.53885,  -5.92542,  -1.66509,  -1.18715,   3.92041,  -2.22146,   0.75165, -90.07900,   0.81224, -99.44320, -67.99760,   0.78402,  -9.87495,   1.65641,   1.33428, -51.16040,  25.13780,   5.52203,  -7.44960,  89.00740,   6.44260, -96.22210, -78.55900,  -0.00384,  28.25970,  -3.32382,  -7.02994, -25.37860,  26.17900,   5.68028, -22.53060, 176.59400,  -1.52196,   7.25660,   0.02903,  -0.07558,  14.96080,   5.49894,   8.71765, -71.12950,   0.31256,  -0.40635, -21.01670, 176.95900,   2.27892, 153.86000,  -0.00033,   0.01854,   5.98471,   5.50956, -13.92780, -41.40700,   0.40429,  -0.44344, -19.91400
   0.23333,   0.00000,   0.00000,  -0.00000,  92.80270,   8.36089,  -3.54454,  71.20300,  81.50290, -71.53980,   8.33394,  -5.45228,  -0.27582,  -6.33120,  -2.15111,  -1.20455,   4.12204,  -2.29816,   0.96021, -90.09270,   1.16516,-100.44300, -67.93200,   0.45120, -10.80060,   1.46420,   1.18702, -50.97600,  25.52870,   5.52228,  -7.45911,  88.94690,   6.70743, -96.05590, -78.42460,  -0.28556,  28.75410,  -3.26814,  -7.11867, -24.73240,  26.12580,   5.67960, -22.80130, 177.84300,  -1.39725,   7.93471,   0.04763,  -0.11786,  17.07990,   5.55976,   9.79975, -71.25730,   0.49235,  -0.71835, -24.98870, 177.62000,   4.08116, 153.44700,   0.00380,  -0.00759,   1.28047,   4.45616, -12.09540, -41.85520,   0.40788,  -0.44761, -19.94470
   0.26667,   0.00000,   0.00000,  -0.00000,  91.00910,   8.43782,  -4.57281,  71.61370,  81.99710, -71.32230,   7.45739,  -5.03019,   0.91053,  -6.99272,  -2.46974,  -1.38193,   4.26793,  -2.38875,   0.98285, -90.13100,   2.16402,-101.53500, -67.69110,   0.31609, -10.64430,   1.90927,   1.64788, -49.21990,  26.03800,   5.52339,  -7.50653,  88.89210,   7.31282, -96.36100, -77.77550,   0.00725,  28.70730,  -3.30451,  -7.44642, -24.00680,  26.51520,   5.67950, -22.83660,-178.98500,  -2.64095,   8.22144,   0.04997,  -0.10731,  18.87650,   5.35630,  10.88560, -68.50170,   0.77386,  -1.38351, -32.34080,-178.92200,   5.19210, 152.22300,   0.00066,  -0.01096,   2.26746,   6.37588,  -8.76269, -35.27570,   0.48602,  -0.53970, -20.61660
   0.30000,   0.00000,   0.00000,  -0.00000,  87.65360,   7.13528,  -6.33701,  74.12860,  82.80210, -72.78530,   6.14005,  -3.94519,   2.89626,  -7.79363,  -2.13621,  -1.33107,   4.01170,  -2.21401,   0.75759, -90.17000,   3.35344,-102.09700, -67.89750,  -0.04829,  -9.15194,   1.73123,   1.64407, -46.48320,  26.57550,   5.52827,  -7.71690,  88.92660,   7.88522, -97.22280, -76.83320,   0.96663,  27.54330,  -3.22993,  -7.72267, -22.77370,  27.07920,   5.67975, -22.73700,-174.61200,  -4.34699,   7.17492,   0.01680,  -0.00778,  20.56950,   4.55414,  11.26160, -61.25680,   1.27077,  -2.49637, -43.70430,-174.72100,   3.26202, 149.49800,   0.02449,  -0.16542,   7.58633,   6.47946,  -9.06218, -34.61730,  -0.08864,   0.09057, -15.86810
