time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  89.66450, -13.20900,  13.63520,  91.81970,  85.60210, -95.21310,   1.04870,   0.47784,  -6.78574,  13.85610,   2.39814,  -6.77783,   9.82977,   0.99621, -11.65290, -92.82370,   6.59015, -81.74400, -61.14870,  11.09310,   2.91971,  -0.30238,  -1.93657,  -8.86455,  14.76950,   5.45343,  -4.75259,  88.04380,   9.52908, -93.34270, -63.42880,   7.23105,   8.71549,   3.39387,   1.24927, -69.83310,  12.72350,   5.45484,  -4.81677,-173.24700,  -8.99297,   2.23317,   0.02389,   0.01279,  39.29360,  -2.48986,  -4.43845, -77.15880,   0.02768,  -0.04329, -17.34960, 167.43800,   8.67313, 170.02300,   0.58680,  -0.17975,  72.25660,  -3.25127,  -5.80757, -42.06460,   0.45372,  -0.55355, -21.83790
   0.03333,   0.00000,   0.00000,  -0.00000,  88.62990, -10.56140,  13.23140,  84.39050,  85.24030, -87.37020,   1.69478,  -0.77229,  -5.94254,  13.95840,   1.48105,  -6.45456,   9.44772,   0.60143, -10.94000, -92.56030,   6.12253, -82.25500, -57.72360,  12.72670,  -3.32951,  -0.71967,  -3.14486, -12.89170,  16.83890,   5.47970,  -5.72895,  87.90650,   9.40802, -92.39470, -65.67960,   8.96019,  13.45500,   3.05896,   1.51971, -63.60420,  10.97410,   5.47407,  -5.53162,-172.45800,  -7.63143,   5.45797,   0.00962,   0.03159,  35.84490,  -2.18591,  -3.15266, -77.35400,   0.01939,  -0.03017, -17.11640, 169.43400,  12.55500, 165.79300,   0.55891,  -0.18783,  70.82910,  -6.00752,  -4.66125, -43.69010,   0.44037,  -0.53573, -21.67420
   0.06667,   0.00000,   0.00000,  -0.00000,  87.72540,  -8.01284,  12.55560,  79.38640,  84.94250, -81.90060,   2.14381,  -1.73846,  -4.99114,  14.32040,   0.33124,  -5.93711,   9.48387,   0.06462,  -9.93586, -92.24620,   5.53592, -82.87380, -54.76240,  12.33500,  -9.28485,  -1.42884,  -4.56342, -17.39330,  17.79330,   5.49963,  -6.51776,  87.76240,   9.49222, -91.67070, -67.60340,  10.78480,  16.96450,   2.86395,   2.07522, -54.12940,   7.86624,   5.44535,  -4.42537,-171.87000,  -6.06686,   8.16253,   0.02365,   0.00809,  32.45220,  -1.64978,  -2.31288, -77.47030,   0.01997,  -0.03109, -17.13250, 172.12500,  16.16860, 162.08700,   0.44202,  -0.18833,  66.21760,  -5.95041,  -4.02508, -47.28250,   0.42835,  -0.51974, -21.52710
   0.10000,   0.00000,   0.00000,  -0.00000,  87.04240,  -5.37343,  11.92010,  74.67920,  84.65250, -76.74560,   2.50572,  -2.72876,  -4.06938,  15.05430,  -0.58187,  -5.61639,   9.64117,  -0.52451,  -8.93672, -91.97760,   5.04680, -83.57070, -51.99190,  11.41460, -14.37610,  -3.21798,  -7.84924, -22.35950,  17.64600,   5.51291,  -7.06232,  87.47260,  10.42880, -91.29660, -68.73880,  12.62140,  19.92100,   4.99432,   5.18473, -44.09870,   3.05945,   5.36433,  -1.78277,-171.90700,  -3.39399,  10.55510,   0.03008,  -0.00842,  29.38040,  -1.63996,  -2.68426, -77.46080,   0.02300,  -0.03587, -17.21770, 174.65400,  19.26970, 159.84900,   0.30481,  -0.18426,  57.83760,  -6.32595,  -4.12805, -50.22100,   0.41809,  -0.50616, -21.40210
   0.13333,   0.00000,   0.00000,  -0.00000,  86.64000,  -3.26180,  10.85100,  71.85960,  84.48730, -73.51160,   2.66916,  -3.35620,  -3.22309,  15.72040,  -1.33938,  -5.35494,   9.67450,  -0.99416,  -8.26975, -91.65000,   4.34675, -84.19140, -49.40720,  10.52110, -19.10250,  -5.54723, -10.91690, -27.14130,  17.67270,   5.52532,  -7.58937,  87.09460,  11.57380, -90.80420, -69.87020,  14.82670,  21.65300,   7.83317,  11.94280, -33.66830,  -0.35301,   5.36327,  -1.79184,-171.42000,  -2.26553,  11.72810,   0.02364,   0.00212,  27.91220,  -1.70808,  -1.76783, -77.70730,   0.03832,  -0.06028, -17.65070, 177.29400,  21.07240, 158.35400,   0.16603,  -0.14980,  45.93940,  -6.53128,  -4.36453, -50.84510,   0.41299,  -0.49942, -21.33990
   0.16667,   0.00000,   0.00000,  -0.00000,  86.84940,  -1.10912,   9.88207,  68.44080,  84.30920, -69.88900,   2.77550,  -4.11543,  -2.79449,  16.20150,  -1.80859,  -5.03050,   9.81912,  -1.41061,  -7.94064, -91.30210,   3.48638, -84.50650, -46.86160,   9.90111, -22.99640,  -7.64919, -12.60310, -31.61180,  19.17290,   5.55117,  -8.74115,  86.76150,  12.44100, -90.28450, -71.09640,  14.97990,  22.64280,   8.59930,  20.12350, -23.75520,  -2.49495,   5.38043,  -2.30791,-171.15300,  -1.51646,  12.24920,   0.01012,   0.03111,  27.83530,  -1.87268,  -0.21280, -77.54060,  -0.33891,  -0.58578, -19.12080, 179.17600,  22.48650, 158.34700,   0.06152,  -0.08521,  31.06730,  -5.89842,  -3.73106, -48.58110,   0.41010,  -0.49562, -21.30490
   0.20000,   0.00000,   0.00000,  -0.00000,  87.37560,   1.41793,   9.37140,  64.69900,  84.05270, -66.03370,   2.94059,  -5.02221,  -2.53871,  16.69860,  -2.49197,  -4.89125,   9.80534,  -1.60840,  -7.51921, -91.01640,   2.78130, -84.91910, -44.63710,   9.16442, -25.52800,  -8.73688, -12.41170, -35.56690,  21.40440,   5.57832, -10.10520,  86.59980,  12.49530, -89.64410, -71.46410,   9.80449,  23.55780,   7.68300,  28.47280, -15.81390,  -2.47273,   5.30694,  -0.14594,-170.86600,  -0.45861,  12.79070,  -0.02225,   0.09489,  28.66410,  -2.33701,   1.70970, -76.28650,  -1.04320,  -1.49656, -22.19000,-179.94800,  24.06860, 159.47300,   0.00036,   0.02579,  17.15930,  -8.77379,  -2.56596, -45.05580,   0.37104,  -0.44468, -20.83310
   0.23333,   0.00000,   0.00000,  -0.00000,  87.96670,   4.08357,   9.37680,  61.90880,  83.70350, -63.18330,   3.29442,  -5.87324,  -2.37867,  17.21810,  -3.14292,  -4.37950,   9.50197,  -2.00769,  -7.43984, -90.83440,   2.32859, -85.28110, -42.67570,   8.55918, -27.31250,  -9.46928, -12.03270, -38.66570,  23.40490,   5.60045, -11.36100,  86.60900,  11.98350, -89.07230, -70.70980,   0.97744,  24.92880,   5.34126,  32.22110,  -9.94731,   0.46898,   5.15671,   3.74290,-170.04100,   0.39077,  13.71140,  -0.04890,   0.14097,  30.36670,  -2.83428,   4.30769, -74.76910,  -0.17538,  -0.79283, -24.09930,-179.45300,  27.49590, 159.81000,  -0.02587,   0.14950,  12.53570, -12.45820,  -2.32656, -48.01440,   0.40618,  -0.49047, -21.25740
   0.26667,   0.00000,   0.00000,  -0.00000,  87.96330,   6.15276,   9.24473,  60.15800,  83.63150, -61.11270,   3.24734,  -6.29337,  -1.73017,  17.97480,  -3.78825,  -4.12084,   9.43607,  -2.50515,  -7.39473, -90.90910,   2.56985, -85.51130, -41.38980,   8.18221, -28.09990,  -9.54480, -11.39080, -40.40760,  24.57410,   5.61105, -12.02230,  86.56910,  11.75660, -88.60430, -68.91170,  -6.63381,  26.85910,   2.90828,  30.68810,  -5.68453,   1.98987,   5.10307,   5.04362,-168.35500,   1.06463,  14.03610,  -0.04250,   0.12385,  33.03860,  -3.08756,   6.64359, -72.30710,   0.36024,  -0.70637, -28.51150,-177.20200,  28.24540, 155.58800,  -0.09300,   0.28242,  20.64880,   0.06253,  -6.75101, -50.14820,   0.38237,  -0.45934, -20.96920
   0.30000,   0.00000,   0.00000,  -0.00000,  87.05590,   8.12501,   9.10986,  57.89480,  83.78330, -58.17100,   2.76669,  -6.58993,  -0.39312,  19.15690,  -4.31466,  -4.15558,   9.09689,  -3.13074,  -7.48859, -91.08850,   3.10810, -85.68960, -41.53050,   8.19859, -27.65730,  -9.65068, -11.20180, -41.20590,  25.00330,   5.61536, -12.30910,  86.44280,  11.73060, -87.99860, -67.84670,  -9.70764,  29.13100,   2.27745,  27.32340,  -4.95445,  -0.37841,   5.12590,   4.50392,-165.28100,   1.51275,  13.40580,   0.00228,   0.05313,  36.62750,  -2.95977,   9.38617, -67.46540,   0.51844,  -1.22431, -36.65330,-176.23400,  27.63520, 154.03500,   0.10299,  -0.16737,  27.72130,   6.05089,  -5.45070, -48.08890,   0.27165,  -0.31884, -19.65430
