time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  86.90840,  -0.22202,  -2.42868, 161.10600,  86.56210,-159.73600,  -5.63305,   6.33700,   3.05592, -11.91380,   0.92217,  -3.30755,  -3.34903,  -6.73670,  -2.52039, -90.57290,   1.74746, -86.84640, -52.16800, -26.79760,  26.83760,   7.03969,  14.60080, -26.09710,  14.69940,   5.28671,   0.44173,  89.38650,   3.50311, -95.06090, -59.80100, -25.87330,  16.22530,   1.94200,   5.85568, -18.39260,  28.31200,   5.42700,  -3.83588,-175.41700,   7.32546, -30.59660,  -0.54656,   0.20818,  68.21270,   8.21002, -16.49300, -47.85980,   0.44335,  -0.53767, -21.65630,-166.40200,  15.32050, 170.10300,   0.14236,  -0.33687,  19.97560,   7.79606, -10.18520, -65.58710,   0.06560,  -0.06850, -17.10190
   0.03333,   0.00000,   0.00000,  -0.00000,  87.70390,   0.26957,  -2.63256, 160.35800,  86.11830,-159.46300,  -5.23483,   7.20200,   2.12317, -12.29720,   0.59443,  -3.31191,  -3.40919,  -8.00410,  -1.90796, -90.65240,   1.92477, -86.27370, -50.74460, -27.97410,  27.20920,   8.42167,  15.40380, -29.13290,  15.61610,   5.28323,   0.53667,  89.52830,   2.96341, -95.95300, -59.66830, -26.49700,  14.89750,   2.20961,   6.26007, -19.49440,  27.87720,   5.41810,  -3.53420,-175.57800,  10.10710, -33.38010,  -0.47159,   0.23163,  62.76850,   8.43051, -17.77270, -49.24370,   0.47051,  -0.57398, -21.98640,-167.46000,  15.57910, 171.46200,   0.12023,  -0.29908,  18.86850,   7.28996, -10.54340, -66.05040,   0.04293,  -0.04468, -16.91890
   0.06667,   0.00000,   0.00000,  -0.00000,  88.29330,   0.85665,  -3.11188, 160.19800,  85.81030,-159.66900,  -4.98837,   7.81698,   1.40156, -12.76950,   0.25189,  -3.49078,  -3.49034,  -9.09636,  -1.36257, -90.81660,   2.32881, -85.67200, -49.21640, -29.70160,  27.72470,   9.80944,  15.96660, -32.14990,  16.11580,   5.26318,   1.08082,  89.64010,   2.47984, -96.73990, -59.31910, -26.80550,  13.95530,   2.50978,   6.52669, -21.09510,  27.44820,   5.40337,  -3.04664,-175.53100,  11.90580, -35.22020,  -0.34554,   0.23261,  54.73590,   7.52498, -17.30370, -50.55210,   0.45803,  -0.55721, -21.83420,-168.23900,  15.67930, 172.71800,   0.08769,  -0.22982,  17.38050,   6.83149, -10.91120, -66.27690,   0.04860,  -0.05062, -16.96460
   0.10000,   0.00000,   0.00000,  -0.00000,  88.60230,   1.56875,  -3.84266, 161.45800,  85.62470,-161.21500,  -5.02910,   8.26064,   0.85146, -13.12620,  -0.10484,  -3.54038,  -3.52028, -10.20200,  -0.72083, -91.00650,   2.79828, -85.20890, -47.72770, -31.57320,  28.68770,  11.32260,  16.22830, -35.61940,  16.64940,   5.24486,   1.56784,  89.67960,   2.38298, -97.34070, -58.38030, -26.78720,  13.50800,   3.03701,   7.33619, -22.56880,  26.93490,   5.38758,  -2.53762,-175.76600,  12.14260, -35.79520,  -0.23693,   0.22812,  44.21010,   7.48533, -16.46980, -51.25650,   0.45563,  -0.55402, -21.80510,-168.61200,  15.23930, 173.75500,   0.05894,  -0.16019,  15.82390,   6.31027, -11.91780, -66.43490,   0.03670,  -0.03817, -16.86870
   0.13333,   0.00000,   0.00000,  -0.00000,  88.58530,   2.34660,  -4.67414, 163.57700,  85.53240,-163.52500,  -5.27587,   8.55501,   0.50030, -13.38970,  -0.58029,  -3.37603,  -3.47313, -11.09710,  -0.11946, -91.10730,   3.03496, -84.94520, -46.74140, -33.10560,  29.74450,  12.73910,  16.27260, -38.89630,  17.59960,   5.24926,   1.45231,  89.70890,   2.28108, -97.72570, -57.52600, -26.49630,  13.22430,   3.59596,   8.27530, -23.59310,  26.80130,   5.37689,  -2.20035,-176.62600,  10.32550, -34.40510,  -0.12928,   0.20084,  30.63370,   6.47265, -13.28920, -50.57770,   0.45036,  -0.54698, -21.74110,-168.60700,  15.83820, 174.79400,   0.03015,  -0.07318,  14.25150,   5.94622, -11.87390, -66.81220,   0.04305,  -0.04482, -16.91990
   0.16667,   0.00000,   0.00000,  -0.00000,  88.34290,   2.97052,  -4.96860, 164.24900,  85.41300,-164.29900,  -5.30630,   8.82501,   0.31034, -13.35370,  -1.13681,  -3.00293,  -3.56179, -11.80900,   0.34049, -91.05710,   2.89460, -84.92920, -46.25620, -34.74650,  30.96250,  14.16170,  16.24800, -42.04380,  18.39640,   5.24115,   1.66394,  89.77730,   1.83563, -98.08100, -57.06300, -26.23390,  13.20840,   3.99183,   8.96796, -24.12200,  26.46220,   5.37970,  -2.28949,-178.64700,   6.54304, -30.32260,  -0.04961,   0.16120,  14.46570,   4.92112,  -8.24955, -48.63100,   0.43582,  -0.52766, -21.56500,-168.52200,  16.63850, 176.30400,   0.01263,  -0.00855,  13.38450,   5.50561, -11.60160, -67.83500,   0.05338,  -0.05565, -17.00320
   0.20000,   0.00000,   0.00000,  -0.00000,  87.84540,   3.40178,  -4.78329, 163.50900,  85.27100,-163.56000,  -5.11178,   9.06486,   0.30281, -13.01180,  -1.68221,  -2.52003,  -3.82644, -12.44720,   0.83465, -90.94060,   2.59455, -85.06630, -46.11000, -36.42780,  32.13240,  15.53020,  16.16000, -44.95520,  19.46790,   5.23186,   1.90734,  89.85820,   1.25809, -98.57030, -56.66200, -26.03730,  13.43190,   4.22973,   9.53910, -24.05560,  25.57170,   5.37758,  -2.22096, 179.16600,   2.68351, -28.74670,  -0.00611,   0.04486,   6.20912,   3.04810,  -3.17025, -52.05420,   0.43803,  -0.53060, -21.59180,-168.30400,  17.08400, 177.75100,  -0.00065,   0.04812,  14.27780,   4.81890, -11.68990, -70.04610,   0.06656,  -0.06951, -17.10960
   0.23333,   0.00000,   0.00000,  -0.00000,  87.31890,   3.83162,  -4.64615, 162.79300,  85.23350,-162.82800,  -4.97697,   9.10089,   0.32647, -12.77600,  -2.12268,  -2.09362,  -3.93464, -12.90770,   1.45920, -91.02330,   2.81781, -85.03230, -45.65500, -37.68700,  32.96580,  16.59730,  15.96180, -47.30430,  21.15610,   5.25724,   1.24732,  89.88220,   1.08387, -98.79630, -55.92920, -25.22620,  13.56960,   4.30744,  10.07470, -23.30080,  24.93290,   5.37281,  -2.07392, 177.97000,   1.17339, -27.39860,   0.00066,  -0.04797,   0.32800,   3.41452,  -1.15042, -55.34480,   0.44395,  -0.53845, -21.66340,-168.18500,  18.33790, 178.64700,   0.01591,  -0.00628,  16.26700,   4.53154, -10.95770, -71.56080,   0.06649,  -0.23379, -17.78040
   0.26667,   0.00000,   0.00000,  -0.00000,  87.02140,   4.03180,  -4.76034, 164.15100,  85.27610,-164.24000,  -5.21436,   9.08855,   0.23600, -12.38430,  -2.45691,  -1.64223,  -3.60230, -13.30180,   2.01014, -91.18330,   3.23251, -84.88230, -45.02990, -38.81240,  33.59410,  17.50660,  15.83230, -49.14210,  23.41650,   5.27981,   0.63228,  89.88830,   1.05106, -98.93240, -55.05650, -24.29540,  14.22400,   4.44290,  10.89620, -22.34990,  24.20240,   5.38475,  -2.44937, 177.48300,   0.76304, -27.60490,   0.00029,  -0.08595,   0.15128,   1.76718,  -1.83833, -57.09060,   0.43253,  -0.52332, -21.52530,-168.68600,  19.29700, 178.91700,   0.02937,  -0.03039,  19.45530,   3.21082,  -9.60345, -71.84060,   0.23131,  -0.45816, -21.19740
   0.30000,   0.00000,   0.00000,  -0.00000,  87.19750,   4.44864,  -5.11230, 167.25100,  85.41200,-167.56400,  -5.75565,   8.97443,  -0.17601, -11.79500,  -2.99018,  -1.16192,  -3.04210, -13.66520,   2.52644, -91.37760,   3.79359, -85.02480, -44.37780, -39.53200,  34.12080,  17.99010,  15.34550, -50.82150,  25.63220,   5.28376,   0.52825,  89.86900,   1.20422, -98.79400, -53.93290, -23.98850,  15.64460,   4.49735,  11.56150, -21.43200,  23.54470,   5.38865,  -2.57216, 176.22200,  -0.30983, -26.49360,   0.00011,  -0.02676,   0.49845,   1.63317,  -1.53843, -53.56440,   0.46718,  -0.56946, -21.94550,-169.65000,  19.78900, 179.48000,   0.05373,  -0.07912,  21.85560,   2.29068,  -8.64229, -70.24150,   0.37435,  -0.98623, -26.40650
