time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  93.52040,  -0.07707,   0.79629,  88.39520,  82.72530, -87.42470,   6.78205,  -0.41445,   1.96354,   1.26773,  -3.81252,   1.36734,  -6.45902,  -3.34724,  -1.70003, -90.58530,   1.72626, -86.26590, -69.25180,  16.02830,   7.58945,   3.07366,   4.21709, -36.13770,  12.90770,   5.60020, -11.35440,  87.74250,   9.57167, -91.66260, -50.45720,   4.17888,  -0.36731,   4.12890,   5.30105, -38.00910,   2.33908,   5.53655,  -8.08804,-173.37300, -14.11470, -20.32950,   0.50171,  -0.21184,  66.35010,  -5.40760,   6.30039, -56.86500,   0.12775,  -0.21152, -20.29090, 174.08000,  23.44510, 160.68100,   0.20273,  -0.19223,  43.21500,  -2.11436,  -2.08088, -72.58350,   0.08140,  -0.09193, -17.47690
   0.03333,   0.00000,   0.00000,  -0.00000,  93.50460,  -0.58734,   0.92570,  92.63560,  83.02070, -92.21700,   6.17588,   0.63428,   0.80211,   1.39600,  -4.10211,   1.18535,  -6.38380,  -4.66868,  -1.33803, -90.54010,   1.48876, -85.05820, -69.40810,  13.91850,   9.88131,   2.85746,   3.95851, -35.86720,  13.05880,   5.59663, -11.14290,  87.93770,   9.04162, -92.09450, -50.24570,   4.53922,  -2.55242,   4.20286,   5.18374, -39.13190,   2.51466,   5.53436,  -7.98824,-174.57800, -15.77770, -21.94370,   0.38804,  -0.21629,  60.06280,  -5.80892,   6.50913, -57.34650,   0.12681,  -0.20984, -20.26180, 173.31300,  24.14060, 165.03600,   0.16779,  -0.17816,  39.15510,  -2.29126,  -0.82717, -72.43970,   0.08677,  -0.09813, -17.53720
   0.06667,   0.00000,   0.00000,  -0.00000,  93.29220,  -1.43054,   0.63742,  98.08690,  83.30730, -98.17910,   5.49004,   1.88045,  -0.27431,   1.43699,  -4.19255,   1.18494,  -6.28855,  -5.98485,  -0.81980, -90.50400,   1.29685, -83.76290, -68.88420,  11.99630,  11.69050,   2.86964,   3.98922, -35.77370,  13.33600,   5.59542, -11.07210,  88.13770,   8.54323, -92.65480, -49.73620,   4.91491,  -4.56002,   4.10994,   4.92160, -39.95340,   2.89231,   5.53283,  -7.92234,-175.72400, -17.38980, -23.65390,   0.27647,  -0.20411,  52.66470,  -6.20414,   6.46897, -57.89120,   0.13049,  -0.21641, -20.37510, 173.02700,  23.53840, 168.38500,   0.11394,  -0.12648,  35.66310,  -2.80403,  -0.53137, -72.42240,   0.09395,  -0.10638, -17.61770
   0.10000,   0.00000,   0.00000,  -0.00000,  93.00980,  -2.25468,   0.08642, 102.87800,  83.53880,-103.44000,   4.85071,   2.88883,  -1.24510,   1.37272,  -4.18164,   1.12783,  -6.28098,  -6.93259,  -0.07314, -90.49330,   1.18559, -82.40510, -67.96740,   9.99756,  13.24590,   2.70152,   3.75468, -35.77460,  13.77120,   5.59382, -10.98060,  88.34820,   7.99099, -93.28080, -48.96590,   5.35702,  -6.67177,   3.84843,   4.53387, -40.40470,   3.13915,   5.53176,  -7.87349,-176.84400, -18.10120, -25.35050,   0.17406,  -0.17120,  44.41430,  -6.29457,   6.20064, -58.12960,   0.13548,  -0.22538, -20.52930, 172.99000,  22.25330, 170.85300,   0.05594,  -0.04883,  33.14620,  -3.56192,  -0.95336, -72.85200,   0.10742,  -0.12196, -17.76900
   0.13333,   0.00000,   0.00000,  -0.00000,  92.56730,  -2.90332,  -0.46652, 106.50000,  83.65680,-107.44600,   4.43583,   3.62462,  -2.03080,   1.09789,  -4.09922,   1.10066,  -6.21216,  -7.58556,   0.68069, -90.44820,   1.01704, -81.21730, -67.01410,   7.76498,  14.60950,   2.77368,   3.83105, -35.94540,  14.07090,   5.58845, -10.67530,  88.53800,   7.43377, -93.84090, -48.02720,   5.65896,  -8.74372,   4.01005,   4.65247, -40.84360,   3.09625,   5.52987,  -7.78948,-177.58300, -17.68950, -26.85540,   0.09540,  -0.12496,  36.06030,  -6.00119,   5.61170, -58.01680,   0.15139,  -0.25432, -21.02540, 172.98100,  21.30350, 172.88600,   0.02476,   0.00139,  31.64630,  -4.33618,  -1.06181, -73.78960,   0.09254,  -0.10477, -17.60200
   0.16667,   0.00000,   0.00000,  -0.00000,  91.92550,  -3.70691,  -0.88581, 110.20300,  83.62180,-111.41600,   4.26403,   4.43549,  -2.58904,   0.91371,  -4.03111,   1.13012,  -6.37879,  -8.07490,   1.32748, -90.41140,   0.89792, -80.38500, -66.14770,   5.71052,  15.85600,   2.87185,   3.96050, -35.99020,  14.60660,   5.58329, -10.39140,  88.65730,   7.04774, -94.18560, -46.78240,   5.82057, -10.47830,   4.23184,   4.80167, -41.48520,   3.22624,   5.52023,  -7.37223,-177.66100, -16.75210, -28.00370,   0.04564,  -0.07950,  28.12750,  -5.77715,   5.00029, -57.38680,   0.14764,  -0.24745, -20.90790, 172.83400,  20.70230, 174.79900,  -0.01743,   0.07418,  31.00130,  -5.15366,  -0.61672, -75.18460,   0.10467,  -0.11876, -17.73800
   0.20000,   0.00000,   0.00000,  -0.00000,  91.44840,  -4.80820,  -1.64491, 113.44800,  83.59930,-114.98300,   4.06235,   5.13603,  -3.25035,   0.69973,  -3.84378,   1.13702,  -6.72493,  -8.21964,   1.96512, -90.42730,   0.90431, -79.70900, -65.31250,   3.88774,  16.95920,   2.64192,   3.69281, -35.61790,  15.18700,   5.58011, -10.21870,  88.72320,   6.94085, -94.55030, -45.50330,   5.72805, -12.02960,   4.19970,   4.69740, -41.89070,   3.33946,   5.52027,  -7.37309,-177.75000, -15.94970, -30.12270,   0.02622,  -0.05998,  22.26100,  -5.09932,   4.63726, -54.73410,   0.15526,  -0.26147, -21.14770, 172.46100,  19.99940, 175.96700,  -0.05313,   0.13582,  30.99660,  -6.03887,   0.10658, -76.79310,   0.11118,  -0.12633, -17.81150
   0.23333,   0.00000,   0.00000,  -0.00000,  90.73800,  -6.16448,  -2.06101, 115.46500,  83.45200,-117.23100,   4.16451,   5.67771,  -3.73741,   0.43482,  -3.51566,   1.20224,  -7.06221,  -8.10794,   2.42218, -90.40190,   0.83314, -79.24800, -64.84400,   2.34642,  18.13480,   2.10375,   3.02202, -34.86460,  15.43300,   5.57677, -10.04000,  88.79800,   6.82996, -94.99380, -44.72530,   5.32320, -13.30180,   4.23043,   4.66093, -42.31990,   3.36389,   5.51886,  -7.31238,-177.49300, -16.24220, -32.07790,   0.01876,  -0.04994,  19.37010,  -5.44123,   4.68831, -52.80560,   0.14605,  -0.24453, -20.85800, 171.99000,  19.13720, 177.40400,  -0.03724,   0.11006,  31.61360,  -6.36236,   0.92284, -78.86400,   0.12952,  -0.14770, -18.01860
   0.26667,   0.00000,   0.00000,  -0.00000,  90.20640,  -7.34993,  -2.98480, 116.42200,  83.43620,-118.51300,   4.11945,   5.89938,  -4.39184,   0.21740,  -3.07567,   1.37950,  -7.71362,  -7.74024,   2.83514, -90.40550,   0.83728, -79.16010, -64.50360,   1.08310,  18.86860,   1.32536,   2.02438, -33.21910,  15.19730,   5.58392, -10.42460,  88.80190,   7.04637, -95.32520, -44.17570,   4.78632, -14.30420,   4.24081,   4.60960, -42.70690,   3.39751,   5.51968,  -7.34819,-178.05500, -17.33070, -35.87310,   0.02681,  -0.06728,  21.61110,  -4.58473,   4.79359, -51.89650,   0.15254,  -0.25644, -21.06160, 171.47700,  18.36120, 178.21800,   0.07970,  -0.07449,  32.52390,  -5.92411,   1.29400, -81.16300,   0.13356,  -0.15243, -18.06440
   0.30000,   0.00000,   0.00000,  -0.00000,  89.65730,  -8.75634,  -4.12811, 117.20200,  83.45640,-119.69400,   4.02903,   6.05519,  -5.19561,   0.01086,  -2.65013,   1.59787,  -8.41226,  -7.25950,   3.61209, -90.48550,   1.00531, -79.22420, -64.22750,   0.55056,  19.31600,   0.66548,   1.08462, -31.52640,  15.34340,   5.58408, -10.43590,  88.77680,   7.46732, -95.67010, -44.06740,   4.32618, -14.76110,   4.20365,   4.48542, -43.22930,   3.60607,   5.52132,  -7.41774,-178.18100, -18.15590, -40.86210,   0.07252,  -0.13353,  29.44310,  -3.16666,   5.37231, -47.85340,   0.15534,  -0.26161, -21.15000, 170.60300,  17.29350, 179.00600,   0.08348,  -0.07587,  33.39080,  -7.03004,   2.25624, -82.73340,   0.16066,  -0.18435, -18.37220
