time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.66720,   1.21348,  -6.91971, 122.74800,  86.78750,-122.21700,  -2.37951,   3.42755,   1.13221, -16.07100,  -1.73222,  -2.47962,  -8.25176,  -7.26070,  -3.76909, -89.60820,  -1.89431, -93.31320, -70.37410, -28.30570,  14.53950,  -0.11330,   2.59825,   0.01058,  16.19260,   5.20503,   3.13669,  89.91150,   0.75061, -98.27600, -69.10750, -19.56490,  -1.84683,   2.65611,   4.48996, -30.62400,  24.14780,   5.48063,  -5.77412,-179.19100,   0.19036, -25.34670,  -0.33583,   0.14741,  65.17110,   6.76464,  -8.15543, -40.87530,   0.47571,  -0.58095, -22.04970,-172.36200,   3.48771, 166.22300,   0.03501,  -0.04690,  22.17730,   4.67236,  -4.59381, -61.48030,   0.17444,  -0.35845, -21.25210
   0.03333,   0.00000,   0.00000,  -0.00000,  89.43500,   0.58797,  -7.67650, 130.14300,  86.46560,-130.32000,  -2.35821,   4.57151,  -0.26079, -16.21100,  -1.98700,  -2.46146,  -8.66775,  -8.04083,  -4.51416, -89.51000,  -2.18140, -92.33490, -62.63670, -32.40370,  23.18730,  -0.01037,  -0.72273,  -0.77358,  17.36080,   5.18135,   3.18400,  90.04660,  -0.39591, -98.28790, -69.42050, -21.27620,  -4.36930,   3.76456,   4.29576, -41.31160,  24.50150,   5.47431,  -5.53059, 178.28900,   0.71916, -29.61970,  -0.31965,   0.17906,  59.62550,   8.03345, -11.82290, -43.66930,   0.37954,  -0.45404, -20.89010,-174.43700,   4.11822, 169.62900,   0.02204,  -0.03292,  17.22760,   5.40193,  -3.81889, -56.44790,  -0.09855,  -1.18102, -22.55230
   0.06667,   0.00000,   0.00000,  -0.00000,  90.51610,  -0.34713,  -8.73950, 136.31800,  86.22890,-136.97400,  -2.52991,   5.51151,  -1.19001, -16.26110,  -1.79591,  -2.42655,  -8.89243,  -8.73882,  -4.70988, -89.45930,  -2.13229, -90.76670, -55.20190, -33.09600,  30.59880,  -0.07121,  -1.16280,  -3.52002,  18.81230,   5.18841,   3.00821,  90.13810,  -1.20837, -98.47880, -69.17170, -22.02440,  -7.55348,   2.59144,   2.26176, -48.96120,  25.75930,   5.50717,  -6.82087, 176.68300,   0.43869, -32.21680,  -0.24835,   0.19886,  49.92060,   8.87056, -12.22430, -46.24540,   0.46309,  -0.56400, -21.89580,-175.74800,   3.89998, 172.24000,   0.00900,  -0.00272,  12.91650,   6.58168,  -3.58581, -51.75110,   0.72779,  -0.89513, -23.01800
   0.10000,   0.00000,   0.00000,  -0.00000,  91.01200,  -1.10837,  -9.43947, 140.26900,  85.99160,-141.20500,  -2.59658,   6.24785,  -1.73042, -15.96450,  -1.61239,  -2.33816,  -8.83056,  -9.28728,  -4.58070, -89.34840,  -2.33752, -89.42090, -49.53490, -31.76270,  36.12560,  -0.08809,  -0.85623,  -5.86696,  20.67430,   5.18635,   3.05735,  90.22110,  -2.01978, -98.75060, -69.29110, -23.26500, -11.09130,   1.96449,   1.42182, -54.13560,  26.04650,   5.52847,  -7.72774, 175.82700,  -0.58970, -32.16360,  -0.13154,   0.16612,  36.29640,   7.24876,  -8.42570, -49.08410,   0.46015,  -0.56007, -21.86010,-176.35100,   3.26015, 174.79800,  -0.00196,   0.04832,   9.60750,   8.59734,  -4.16957, -48.00440,   1.04137,  -1.26483, -25.69510
   0.13333,   0.00000,   0.00000,  -0.00000,  90.70550,  -1.75615,  -9.35042, 142.85200,  85.61300,-143.78300,  -2.41673,   7.07408,  -1.71553, -15.17660,  -1.67954,  -2.29737,  -8.26018,  -9.73534,  -4.34832, -89.10190,  -3.09550, -88.81220, -45.13900, -30.62620,  40.53150,  -0.29339,  -2.22106,  -7.52252,  23.66780,   5.16833,   3.49356,  90.32610,  -3.02863, -98.85070, -70.01570, -24.38160, -14.57470,   1.81329,   1.16365, -57.34450,  26.59420,   5.52493,  -7.57325, 175.94200,  -2.01009, -29.50860,  -0.05009,   0.11154,  20.57440,   5.21753,  -2.21834, -51.52330,   0.45948,  -0.55917, -21.85190,-176.00600,   0.85157, 177.22000,  -0.00881,   0.09481,   8.81166,  10.14190,  -6.56815, -46.29790,   1.30494,  -1.66171, -28.34130
   0.16667,   0.00000,   0.00000,  -0.00000,  89.99020,  -2.49750,  -8.85299, 144.63100,  85.21120,-145.34000,  -2.18049,   7.86924,  -1.27111, -13.80770,  -1.77121,  -2.33985,  -7.59151,  -9.99981,  -4.06692, -88.78710,  -4.15427, -88.70760, -41.99090, -30.14390,  43.94920,  -0.28249,  -1.93166,  -8.32567,  27.16650,   5.11925,   4.65162,  90.42700,  -4.07276, -99.00890, -70.78570, -24.90350, -18.35950,   1.39426,   0.88631, -57.58570,  27.92970,   5.52990,  -7.79109, 177.49500,  -1.33391, -27.03660,  -0.01049,   0.04355,   7.57448,   2.86190,   0.50826, -53.09070,   0.45930,  -0.55890, -21.84960,-175.56400,  -0.93725, 178.89800,  -0.00816,   0.07896,  11.30090,   9.45495,  -7.35623, -47.95540,   1.54129,  -2.05510, -30.88890
   0.20000,   0.00000,   0.00000,  -0.00000,  89.73290,  -2.91405,  -8.49901, 144.45300,  85.02470,-144.99400,  -1.94899,   8.13997,  -0.94444, -12.68510,  -1.58971,  -2.55916,  -6.83712, -10.22490,  -3.85300, -88.75100,  -4.28004, -88.71470, -40.31970, -28.97220,  45.69600,  -0.13763,  -0.94655,  -8.27295,  30.18740,   5.05557,   6.10742,  90.42490,  -4.09706, -99.07380, -71.21470, -25.21210, -22.04670,   2.02592,   1.33095, -56.73000,  28.59660,   5.51315,  -7.07430, 179.55400,   2.02811, -28.95190,   0.00002,  -0.00454,   5.36754,   4.26987,  -2.08241, -57.57670,   0.44343,  -0.53776, -21.65710,-176.03700,  -0.10628, 179.78900,   0.00225,   0.03376,  15.53290,   7.91744,  -5.33847, -51.43140,   1.76994,  -2.47803, -33.55670
   0.23333,   0.00000,   0.00000,  -0.00000,  89.79970,  -3.11984,  -8.24961, 143.96700,  85.03470,-144.45200,  -1.89624,   8.06942,  -0.83606, -11.93550,  -1.50641,  -2.45206,  -5.65156, -10.15070,  -3.96069, -88.94260,  -3.65358, -88.84590, -39.34430, -28.07570,  46.29220,  -0.03663,  -0.28249,  -7.36786,  32.61800,   5.02216,   6.84021,  90.34250,  -3.20583, -98.89940, -71.63430, -24.79060, -24.62410,   2.04739,   1.43088, -55.07590,  29.10370,   5.51705,  -7.23081,-179.66800,   3.65278, -30.20410,   0.00195,  -0.01172,   5.60140,   4.45072,  -4.40008, -59.53370,   0.44528,  -0.54022, -21.67950,-176.67600,   0.87358,-179.31500,   0.00967,   0.01814,  19.89000,   7.78104,  -4.14496, -54.06410,   2.04865,  -3.06881, -37.18040
   0.26667,   0.00000,   0.00000,  -0.00000,  90.24460,  -3.19548,  -7.91465, 144.89000,  85.13740,-145.53800,  -2.13455,   8.00946,  -1.14759, -11.22750,  -1.73570,  -1.99452,  -4.01760,  -9.96505,  -3.98505, -89.26180,  -2.64376, -89.39370, -39.36710, -27.30450,  45.49830,   0.03209,   0.32319,  -5.67630,  33.36590,   4.99063,   7.51852,  90.21340,  -1.95953, -98.78270, -72.49730, -24.06040, -24.45900,   1.68991,   1.28272, -52.82690,  29.94000,   5.54195,  -8.33069, 179.61000,   3.30407, -30.94540,  -0.00523,   0.01220,   9.23310,   4.47021,  -3.29946, -58.03230,   0.44621,  -0.54146, -21.69080,-177.24800,   0.86377,-177.98200,   0.00842,   0.02687,  23.89430,   8.45231,  -5.07934, -54.05610,   2.38531,  -3.95379, -42.43280
   0.30000,   0.00000,   0.00000,  -0.00000,  91.22960,  -3.02748,  -7.96401, 148.74700,  85.50830,-149.82900,  -3.04340,   7.77856,  -1.96044, -10.59300,  -2.09470,  -1.44815,  -1.95821,  -9.65761,  -3.41663, -89.66350,  -1.26827, -90.14240, -40.85020, -26.10500,  43.29220,  -0.02070,  -0.32856,  -3.68480,  31.91440,   4.97976,   7.74625,  90.03960,  -0.35356, -98.59900, -73.26300, -22.86860, -20.92510,   2.16437,   1.78117, -50.58800,  29.61160,   5.54301,  -8.37962, 178.15400,   2.64412, -34.93590,   0.02615,  -0.06420,  21.01340,   1.72261,  -1.70215, -57.19870,   0.47337,  -0.57781, -22.02130,-178.54300,   1.65111,-177.05700,  -0.01090,   0.06331,  27.52240,   9.69574,  -5.60144, -49.87330,   2.78152,  -5.60449, -51.86200
