time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  87.09400,  -4.94869,   1.62257, 129.12400,  86.87120,-128.34400,  -2.94051,   3.87408,   1.66051,  -1.86750,   1.01855,  -1.01557,  12.76730,  -2.02074,  -1.38811, -89.87560,  -1.84588,-101.14500, -19.45910,  24.58570, -41.32020, -75.80710,  -9.53684, -87.60140, -14.28980,   4.84507,  10.45610,  89.98090,  -2.07821,-105.52600, -23.98830,  35.79520, -42.43000, -63.36560, -20.26560, -80.15000, -12.36200,   4.94249,   8.51928,-177.45700,   2.25992, -23.57380,  -0.60988,   0.17658,  73.19890,   8.71774, -12.13420, -37.44510,   0.49090,  -0.60152, -22.23590,-167.41700,   8.83501, 169.46000,   0.11908,  -0.18125,  26.53670,   8.83326,  -7.86449, -65.86110,  -0.00165,   0.00124, -16.57380
   0.03333,   0.00000,   0.00000,  -0.00000,  89.73330,  -5.53666,   1.08827, 135.44200,  86.64490,-135.77300,  -3.04882,   4.81050,  -0.53598,  -2.09566,   1.02984,  -0.81100,  12.58190,  -2.41917,  -1.05434, -89.82620,  -2.36338,-100.79300, -20.32470,  22.82340, -43.77330, -77.27970, -12.87120, -87.12180, -14.20290,   4.86707,  10.02890,  89.95230,  -2.43589,-106.12100, -25.56020,  33.75920, -43.12270, -64.57390, -22.86130, -79.53590, -12.51550,   4.95282,   8.30693,-179.87000,   4.05562, -28.31490,  -0.56246,   0.22309,  67.66430,  11.24240, -16.78120, -39.78400,   0.43300,  -0.52396, -21.53120,-170.91200,   9.70571, 173.42300,   0.06848,  -0.11616,  22.01860,   8.27842,  -6.26925, -66.06450,  -0.00368,   0.00267, -16.57390
   0.06667,   0.00000,   0.00000,  -0.00000,  91.45250,  -6.02350,   0.33171, 139.76000,  86.53160,-140.86800,  -3.23842,   5.39908,  -2.06460,  -2.58245,   1.09776,  -0.66291,  12.28730,  -2.68414,  -0.69930, -89.79240,  -2.67515,-100.56100, -21.15000,  20.95020, -45.66180, -77.29270, -15.60940, -86.52780, -14.23360,   4.87257,   9.92146,  89.92050,  -2.73302,-106.66600, -26.18360,  31.83580, -44.64180, -65.84450, -25.73510, -78.98220, -12.92650,   4.96166,   8.12521, 179.11200,   5.54949, -31.38960,  -0.42697,   0.25602,  58.18210,  12.01880, -18.59410, -40.74600,   0.46202,  -0.56254, -21.88270,-173.23800,  10.94930, 177.43800,   0.03219,  -0.06129,  16.67420,   8.48321,  -4.93461, -65.69410,   0.01194,  -0.01237, -16.66950
   0.10000,   0.00000,   0.00000,  -0.00000,  91.93650,  -6.60267,  -0.14333, 141.94700,  86.36350,-143.33700,  -3.21823,   5.85756,  -2.61668,  -3.17098,   1.15265,  -0.58865,  11.78820,  -2.85268,  -0.48894, -89.79220,  -2.62704,-100.47500, -21.87150,  18.98250, -47.28740, -77.02480, -18.31080, -85.85950, -14.55130,   4.86341,  10.10010,  89.88610,  -3.01477,-107.16400, -26.51720,  29.88290, -46.29860, -67.50050, -28.54190, -78.80570, -12.99710,   4.97421,   7.86311, 179.33300,   5.64394, -31.98310,  -0.24581,   0.23223,  45.27590,  10.38230, -16.87570, -43.46160,   0.43305,  -0.52400, -21.53150,-174.07400,  10.66980,-179.64500,   0.01963,  -0.03608,  13.79760,   8.30973,  -5.57605, -64.76720,  -0.39838,  -0.61282, -17.59220
   0.13333,   0.00000,   0.00000,  -0.00000,  91.35790,  -7.19933,  -0.39428, 142.58000,  86.19440,-143.84300,  -3.08005,   6.16163,  -2.36240,  -3.83014,   1.25185,  -0.56339,  11.21550,  -2.91025,  -0.25070, -89.79290,  -2.63607,-100.50700, -22.96370,  16.87940, -48.61490, -76.50310, -20.90100, -85.10580, -14.56540,   4.85786,  10.20840,  89.83520,  -3.33206,-107.83300, -27.63680,  27.60470, -47.40160, -68.02210, -30.88240, -78.29610, -13.20830,   4.97791,   7.78631, 179.71900,   3.53890, -30.00190,  -0.11017,   0.18285,  28.90810,   8.66827, -13.20310, -45.89900,   0.42720,  -0.51629, -21.46110,-173.70400,   9.23905,-176.99100,   0.01517,  -0.02512,  12.50700,   7.85009,  -7.20870, -65.26300,  -0.55653,  -0.89729, -18.25700
   0.16667,   0.00000,   0.00000,  -0.00000,  89.82920,  -7.49338,  -0.44794, 142.61500,  86.08690,-143.34000,  -2.98207,   6.28390,  -1.28832,  -4.17160,   1.24649,  -0.61550,  10.48140,  -3.04722,  -0.04000, -89.77850,  -2.76714,-100.42100, -24.70670,  14.96470, -50.10180, -76.28830, -23.76880, -84.38380, -14.31410,   4.84887,  10.38230,  89.77640,  -3.79585,-108.37400, -29.50850,  25.26260, -48.05370, -68.21110, -33.03240, -77.70670, -13.43550,   4.97703,   7.80418, 179.02300,  -2.19955, -25.32300,  -0.02801,   0.12995,   9.16830,   5.38894,  -8.44605, -47.29140,   0.41046,  -0.49427, -21.25960,-172.82700,   9.65936,-174.71400,   0.02119,  -0.04257,  13.63220,   6.93573,  -6.86575, -68.18870,  -0.37279,  -0.83212, -18.68240
   0.20000,   0.00000,   0.00000,  -0.00000,  87.91800,  -7.22574,  -0.22289, 142.26800,  86.02120,-142.21700,  -2.90689,   6.28623,   0.26289,  -4.17318,   0.96200,  -0.76916,   9.74277,  -3.28246,   0.09082, -89.76700,  -3.10607,-100.70700, -27.02360,  13.41460, -51.64600, -76.34130, -26.77610, -83.75240, -13.88940,   4.84641,  10.43070,  89.71100,  -4.49264,-108.68400, -31.46470,  23.17300, -48.15520, -69.53610, -34.75700, -77.98970, -12.87210,   4.96940,   7.96399, 178.54400,  -6.87895, -26.26670,   0.00023,   0.00681,   3.12947,  -2.28224,  -5.14404, -54.16790,   0.42948,  -0.51927, -21.48840,-172.11600,  11.84400,-173.16600,   0.03970,  -0.07331,  17.72160,   5.68892,  -5.11462, -72.67690,  -0.19496,  -0.82141, -19.56420
   0.23333,   0.00000,   0.00000,  -0.00000,  87.13430,  -5.76368,  -0.32880, 140.36400,  86.21340,-139.87700,  -2.96620,   5.78426,   1.12512,  -4.42458,   0.44382,  -0.98209,   8.99562,  -3.62101,   0.15224, -89.83400,  -2.58375,-101.32200, -28.68140,  12.03230, -53.29120, -76.31160, -29.80050, -83.09830, -13.36510,   4.84109,  10.53280,  89.73680,  -4.17168,-108.61400, -32.21420,  20.92330, -48.23030, -69.32200, -36.26010, -77.41540, -13.24530,   4.95716,   8.21829, 176.64700,  -8.16654, -27.84900,   0.00253,  -0.07461,   0.17551,   1.20600,  -2.65964, -57.94210,   0.39706,  -0.47678, -21.09920,-172.40300,  13.88110,-172.49800,   0.06291,  -0.09618,  22.09270,   4.56004,  -4.49679, -75.14020,  -0.07729,  -1.11694, -22.35600
   0.26667,   0.00000,   0.00000,  -0.00000,  86.62730,  -5.39360,  -0.59902, 143.86700,  86.15890,-143.10200,  -3.28554,   6.12775,   1.70874,  -4.56260,  -0.08090,  -0.97208,   8.16715,  -4.06736,   0.23372, -89.86410,  -2.63026,-102.03900, -30.96780,  11.17080, -54.49830, -76.47060, -32.07760, -82.71800, -12.19330,   4.83331,  10.68290,  89.72770,  -4.22813,-108.68800, -34.02080,  18.83520, -47.71860, -69.10650, -37.79670, -76.83210, -13.37350,   4.95200,   8.32396, 173.48800, -12.80950, -28.58050,   0.00002,  -0.04341,   0.02871,  -0.72683,  -0.48629, -57.01120,   0.40303,  -0.48456, -21.17060,-173.08200,  14.16040,-171.74900,   0.07271,  -0.08197,  26.25650,   3.40254,  -3.87485, -74.46480,   0.17976,  -1.70229, -28.73240
   0.30000,   0.00000,   0.00000,  -0.00000,  87.63010,  -4.82561,  -1.60845, 150.40100,  86.41560,-150.05800,  -4.25648,   6.19262,   0.91786,  -5.16531,  -0.33910,  -0.61183,   7.80860,  -4.45648,   0.56725, -89.87570,  -2.65681,-102.32000, -32.87770,  11.03020, -54.98990, -76.69890, -33.49810, -82.56640, -11.55510,   4.84536,  10.45100,  89.74870,  -3.64339,-108.95000, -36.02750,  17.51800, -46.95560, -70.10050, -39.51710, -77.02880, -12.93400,   4.95584,   8.24506, 169.16800, -13.69910, -32.44460,  -0.02699,   0.19021,   8.17396,  11.24520,   1.53249, -53.89080,   0.45393,  -0.55175, -21.78450,-175.50300,  14.65790,-171.55200,   0.05244,  -0.02417,  29.70980,   2.43648,  -2.62024, -70.63120,   0.51558,  -2.90176, -35.57220
