time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.88280,  -4.83149,   2.51627,  81.00600,  84.70650, -81.91330,  -0.26954,  -0.75435,   0.44595,  -2.20037,   0.04086,  -1.06322,   0.07957,   7.07827,  -0.22638, -90.00670,   9.88332, -86.45670, -70.76590, -32.60640,   0.61387,  -0.00003,   0.00001, -28.25480,  14.27390,  33.41230,   1.68127,  89.80260,   7.84868, -85.19980, -64.94840, -22.61810,   7.03316,   0.00090,  -0.00022, -19.92140,  16.87770,  22.89110, -12.65380, 174.88500,   0.33800,  -5.52892,   0.00002,   0.00000,  17.61470,   3.18691,  -1.17034, -58.40670,  -0.97222,  -4.01616, -18.01740, 177.95300,  -2.42846, 156.78600,   0.00000,   0.00000,  57.47180,   5.42439,  -0.03561, -47.74520,   0.48946,  -1.07007, -24.06150
   0.03333,   0.00000,   0.00000,  -0.00000,  90.94030,  -2.76840,   2.88221,  69.50980,  83.68570, -70.55630,   0.05609,  -2.08810,   1.53736,  -1.56709,   0.02706,  -0.98874,   0.20081,   7.27885,  -0.33471, -89.95360,   9.95101, -86.76870, -73.09690, -31.52860,  -4.42704,  -0.00003,   0.00001, -29.68260,  15.91420,  36.18940,   0.36695,  89.77700,   7.82279, -85.02910, -62.73150, -23.28750,  10.85260,   0.00090,  -0.00021, -19.16380,  17.06800,  20.72380, -11.98760, 175.97100,   0.27338,   0.39512,   0.00002,   0.00000,  13.11020,   3.46321,   0.62932, -58.00160,  -1.12833,  -4.46811, -18.43140, 179.35400,  -2.00165, 153.76300,  -0.00000,   0.00000,  50.49710,   5.48865,  -1.54097, -53.87050,   0.33288,  -1.68229, -23.97600
   0.06667,   0.00000,   0.00000,  -0.00000,  90.42530,  -0.62973,   2.93997,  59.77850,  82.81000, -61.67600,   0.53890,  -3.39140,   2.51982,  -1.35416,   0.01794,  -0.75849,   0.04873,   7.33568,  -0.28390, -89.89810,   9.95941, -87.09500, -74.54910, -29.29510,  -8.79233,  -0.00003,   0.00001, -31.39560,  17.64030,  37.79100,  -0.76753,  89.74850,   7.75507, -84.83510, -60.79650, -23.73470,  14.46730,   0.00091,  -0.00020, -18.68810,  16.84980,  19.25300, -11.23100, 176.88500,   0.22379,   4.92899,   0.00002,   0.00000,  10.40960,   3.42263,   2.47578, -57.95420,  -1.31249,  -4.76440, -19.19820,-179.86500,  -1.66332, 152.49600,  -0.00000,   0.00000,  39.98620,   4.63081,  -2.59388, -57.92970,   0.10981,  -2.38415, -23.31960
   0.10000,   0.00000,   0.00000,  -0.00000,  90.49130,   1.21435,   2.55345,  51.13410,  82.32720, -54.45430,   1.04766,  -4.46183,   3.24676,  -1.45772,   0.01217,  -0.47813,  -0.27288,   7.27800,  -0.16510, -89.84030,   9.90255, -87.43630, -74.79470, -26.23520, -12.34280,  -0.00003,   0.00001, -33.03220,  19.35400,  38.33640,  -1.38037,  89.72300,   7.72295, -84.66290, -59.03650, -23.98860,  18.02330,   0.00091,  -0.00020, -18.57040,  16.56690,  17.91930, -10.36140, 177.40600,   0.10172,   7.84076,   0.00002,   0.00000,   9.93376,   3.11946,   4.18219, -58.56740,  -1.49726,  -4.69182, -20.40350,-179.77600,  -1.30469, 152.33100,   0.00000,   0.00000,  27.49890,   2.76529,  -3.18985, -59.89810,   0.00107,  -2.64237, -22.68230
   0.13333,   0.00000,   0.00000,  -0.00000,  90.85410,   2.40106,   2.02402,  44.71870,  82.15390, -49.51120,   1.46796,  -5.13001,   3.67891,  -1.78064,   0.00649,  -0.20864,  -0.66355,   7.18460,  -0.08206, -89.78800,   9.79991, -87.75100, -74.00280, -22.93480, -15.14080,  -0.00003,   0.00001, -34.16940,  21.13510,  38.20510,  -1.91251,  89.69730,   7.82429, -84.50520, -57.33230, -23.99340,  21.23040,   0.00091,  -0.00020, -18.47420,  16.19280,  17.00570,  -9.53933, 177.76800,  -0.24918,  10.26090,   0.00002,   0.00000,  10.32970,   2.35738,   5.73592, -59.22090,  -1.64837,  -4.06221, -22.23060,-179.86500,  -1.03424, 153.18500,   0.00000,  -0.00000,  14.74780,   0.83635,  -3.58161, -60.35600,   0.07860,  -2.15193, -22.25970
   0.16667,   0.00000,   0.00000,  -0.00000,  91.25160,   3.08769,   1.42066,  39.42740,  82.17970, -45.46450,   1.61205,  -5.54952,   3.96328,  -2.24165,   0.00053,  -0.01332,  -1.01754,   7.17074,  -0.07592, -89.75270,   9.72762, -87.96520, -72.76550, -19.85480, -17.05500,  -0.00003,   0.00001, -34.67290,  22.54700,  37.52790,  -1.95203,  89.66580,   8.02788, -84.32290, -55.72900, -23.96200,  23.58220,   0.00091,  -0.00020, -17.91970,  15.75050,  16.76020,  -8.81028, 178.14000,  -0.61079,  12.70790,   0.00002,   0.00000,  10.71570,   1.16127,   7.09986, -59.20470,  -1.79664,  -2.91886, -25.01550,-179.84000,  -0.94458, 153.47800,  -0.00000,   0.00000,   6.19657,   0.07964,  -3.69378, -60.22700,   0.30607,  -1.12492, -22.19120
   0.20000,   0.00000,   0.00000,  -0.00000,  91.59140,   3.60767,   0.71525,  33.21150,  82.31130, -40.12610,   1.32201,  -5.95196,   4.23806,  -2.80768,  -0.00038,   0.00795,  -1.23179,   7.27698,  -0.14952, -89.74600,   9.76690, -88.00230, -71.62400, -17.47740, -17.77630,  -0.00003,   0.00001, -34.76800,  22.99670,  36.70230,  -0.91121,  89.62180,   8.18039, -84.05820, -54.28060, -23.89190,  25.06280,   0.00089,  -0.00018, -16.96650,  15.14070,  17.03700,  -8.28402, 178.57700,  -0.91671,  14.96710,   0.00002,   0.00000,  11.35030,   0.08215,   8.41332, -57.65380,  -2.11886,  -1.50867, -29.95970,-179.65100,  -0.97380, 153.64800,  -0.00000,   0.00000,   2.68859,   0.46282,  -3.48500, -59.50370,   0.44322,  -0.56426, -22.31880
   0.23333,   0.00000,   0.00000,  -0.00000,  91.70340,   4.12305,   0.14138,  26.25450,  82.42970, -33.42180,   0.69223,  -6.37294,   4.56726,  -3.45616,   0.01240,  -0.20507,  -1.20656,   7.41579,  -0.35217, -89.78060,   9.90630, -87.78780, -71.13790, -15.98830, -17.26570,  -0.00003,   0.00001, -34.46030,  23.08920,  36.32340,  -0.27431,  89.56240,   8.19905, -83.67790, -53.00210, -23.53970,  25.90880,   0.00084,  -0.00017, -16.06520,  14.24740,  17.34410,  -7.90103, 179.17000,  -1.04481,  16.84270,   0.00002,   0.00000,  12.68020,  -0.47643,   9.43940, -53.21460,  -2.74015,  -0.07193, -38.07180,-179.13800,  -0.97506, 152.95500,  -0.00000,   0.00000,   5.73980,   1.46238,  -2.91660, -57.78040,   0.26014,  -1.70165, -23.18900
   0.26667,   0.00000,   0.00000,  -0.00000,  91.31310,   4.57517,  -0.19776,  19.89690,  82.58220, -26.41250,  -0.02387,  -6.66552,   4.90910,  -4.09505,   0.03835,  -0.53547,  -0.97826,   7.46652,  -0.74346, -89.84400,  10.00170, -87.40960, -71.68350, -15.57020, -15.72450,  -0.00003,   0.00001, -33.61580,  22.95440,  36.36630,  -0.39522,  89.49970,   8.18227, -83.26970, -52.00750, -22.90820,  26.06600,   0.00084,  -0.00016, -15.50430,  13.20100,  17.32990,  -7.25043,-179.91900,  -0.79430,  18.08790,   0.00003,   0.00000,  14.56530,  -1.76505,  10.18840, -44.27530,  -3.16764,   1.64369, -47.05600,-178.09400,  -0.88972, 150.84900,   0.00000,  -0.00000,  14.04890,   2.73162,  -2.34712, -54.14520,  -0.06125,  -3.33147, -24.07310
   0.30000,   0.00000,   0.00000,  -0.00000,  90.36380,   4.83670,  -0.25050,  16.02590,  82.87490, -21.10690,  -0.59648,  -6.64569,   5.12792,  -4.54004,   0.05972,  -0.75185,  -0.80369,   7.32454,  -1.23141, -89.89470,   9.93603, -87.11540, -72.83560, -15.94270, -13.50610,  -0.00003,   0.00001, -32.14920,  22.06380,  35.81700,  -0.05031,  89.46180,   8.27463, -83.04450, -51.64790, -22.45870,  25.19950,   0.00081,  -0.00016, -15.30170,  12.18020,  17.38490,  -6.37332,-178.62000,  -0.31618,  18.97840,   0.00003,   0.00000,  15.49430,  -4.57964,  11.01580, -29.57130,  -2.47181,   3.58207, -49.58030,-176.48200,  -0.62189, 150.14800,   0.00000,  -0.00000,  20.97060,   3.80956,  -1.92341, -51.04580,  -0.13287,  -3.13775, -22.45280
