time,joint_Root.z,joint_Root.x,joint_Root.y,Hips.z,Hips.x,Hips.y,Spine.z,Spine.x,Spine.y,Chest.z,Chest.x,Chest.y,Neck.z,Neck.x,Neck.y,Head.z,Head.x,Head.y,Shoulder_L.z,Shoulder_L.x,Shoulder_L.y,UpperArm_L.z,UpperArm_L.x,UpperArm_L.y,LowerArm_L.z,LowerArm_L.x,LowerArm_L.y,Hand_L.z,Hand_L.x,Hand_L.y,Shoulder_R.z,Shoulder_R.x,Shoulder_R.y,UpperArm_R.z,UpperArm_R.x,UpperArm_R.y,LowerArm_R.z,LowerArm_R.x,LowerArm_R.y,Hand_R.z,Hand_R.x,Hand_R.y,UpperLeg_L.z,UpperLeg_L.x,UpperLeg_L.y,LowerLeg_L.z,LowerLeg_L.x,LowerLeg_L.y,Foot_L.z,Foot_L.x,Foot_L.y,Toes_L.z,Toes_L.x,Toes_L.y,UpperLeg_R.z,UpperLeg_R.x,UpperLeg_R.y,LowerLeg_R.z,LowerLeg_R.x,LowerLeg_R.y,Foot_R.z,Foot_R.x,Foot_R.y,Toes_R.z,Toes_R.x,Toes_R.y
   0.00000,   0.00000,   0.00000,  -0.00000,  91.60970,   2.17874,  -0.89894,  89.20970,  77.27880, -90.15160,  17.67150,  -0.42578,  -1.82114, -10.51030,  -3.34320,  -0.90599,  -2.23297,  -5.96163,   0.77815, -89.88920, -12.79260,-104.50000, -89.17310,  10.82910, -22.83710,   0.47273,   0.71357, -33.53880,  54.73120,   5.14978,   3.94572,  89.60480, -11.73950,-106.94200, -95.85820,  -2.57686, -24.72480,  -1.80814,  -4.79923, -20.66140,  61.82550,   5.60267, -11.51700, 173.95700,   5.06118, -24.20120,   0.05498,  -0.02064,  45.10980,   4.71852,  -2.44460, -71.67860,  -0.01589,   0.01394, -16.57680,-178.23600,  -3.14276, 143.94700,  -0.58782,   0.15013,  74.79680,  10.08230, -20.64760, -44.01850,   0.46902,  -0.51948, -20.46960
   0.03333,   0.00000,   0.00000,  -0.00000,  90.51700,   1.77071,  -1.03481,  89.71680,  77.34500, -90.36080,  17.54310,  -0.17765,  -1.26288, -10.14330,  -3.25035,  -0.73057,  -2.42113,  -5.70635,   0.74013, -89.89780, -12.79960,-104.53900, -88.69940,   9.48987, -22.95190,   1.08083,   1.71383, -32.24060,  56.32420,   5.09468,   5.23126,  89.62430, -12.05610,-106.79800, -96.00550,  -2.12298, -25.41610,  -1.92077,  -5.28696, -19.99250,  62.70270,   5.59735, -11.18570, 175.18900,   5.32547, -21.17560,  -0.01642,   0.04601,  44.36360,   4.21317,  -3.34708, -74.12650,  -0.05145,   0.04484, -16.57530,-177.85200,  -5.62462, 142.16300,  -0.47892,   0.20090,  66.28510,  10.56360, -22.43790, -47.60880,   0.50423,  -0.56148, -20.77450
   0.06667,   0.00000,   0.00000,  -0.00000,  89.44780,   0.82303,  -1.59783,  90.69570,  77.57410, -91.13490,  17.08550,   0.26114,  -0.91893, -10.10540,  -2.91944,  -0.63160,  -2.45147,  -5.57056,   0.60159, -89.82180, -12.82530,-104.19700, -88.59180,  10.40930, -23.43050,   0.42789,   0.70933, -31.09860,  56.32620,   5.07700,   5.63446,  89.53080, -12.02480,-107.25100, -96.10390,   0.25207, -25.77870,  -1.86521,  -5.14262, -19.94900,  61.01470,   5.60671, -11.75930, 176.36800,   4.75152, -18.04290,  -0.03020,   0.05619,  42.54560,   3.84856,  -3.87984, -76.08560,  -0.06071,   0.05226, -16.57490,-177.92700,  -8.08860, 141.83400,  -0.30416,   0.21372,  53.76150,   9.60364, -22.94540, -49.58870,   0.47337,  -0.52465, -20.50720
   0.10000,   0.00000,   0.00000,  -0.00000,  88.83680,   0.34122,  -2.60110,  91.22840,  77.92340, -91.50880,  16.38350,   0.48882,  -0.63187, -10.43700,  -2.66447,  -0.62552,  -2.63163,  -5.53232,   0.07451, -89.79560, -12.75060,-104.07400, -88.96710,  12.48930, -23.55650,  -0.08395,  -0.13666, -31.43440,  53.94110,   5.13630,   4.24746,  89.47510, -11.98980,-107.52500, -96.07500,   3.70595, -25.83630,  -1.54999,  -4.09046, -20.77030,  59.01010,   5.61411, -12.22970, 177.04900,   4.18255, -14.81300,  -0.06336,   0.09414,  39.72620,   3.63352,  -4.23744, -77.54750,  -0.01382,   0.01178, -16.57670,-178.59300,  -9.12185, 143.53700,  -0.14127,   0.17643,  36.95570,   8.11092, -21.65870, -49.13610,   0.43756,  -0.48232, -20.19870
   0.13333,   0.00000,   0.00000,  -0.00000,  88.80400,   0.63862,  -3.37374,  90.77120,  78.21180, -90.93450,  15.80880,   0.30131,  -0.36880, -10.79900,  -2.64357,  -0.76705,  -2.92796,  -5.40096,  -0.42182, -89.81990, -12.87970,-104.19200, -89.79690,  14.65800, -23.73100,  -0.24804,  -0.39756, -31.96490,  51.90590,   5.19419,   2.86179,  89.44690, -12.41150,-107.57200, -97.23860,   5.08615, -25.75600,  -1.27962,  -3.24607, -21.49580,  57.91000,   5.62589, -13.04260, 177.12700,   3.64100, -11.36170,  -0.06072,   0.09452,  37.06990,   3.60158,  -4.19380, -78.03410,   0.05366,  -0.07477, -17.71160,-179.82400,  -8.67009, 147.33700,  -0.03155,   0.07686,  18.80610,   3.71519, -18.59920, -47.83620,   0.40099,  -0.43960, -19.88590
   0.16667,   0.00000,   0.00000,  -0.00000,  88.61440,   1.19794,  -4.06132,  90.42700,  78.54030, -90.40480,  15.15270,   0.16993,   0.02169, -10.66410,  -2.72576,  -0.87630,  -3.33208,  -5.43739,  -0.56027, -89.86090, -13.29330,-104.39500, -90.63560,  15.72240, -23.72640,  -0.61117,  -0.96005, -32.49120,  51.51740,   5.22209,   2.15882,  89.44380, -12.91410,-107.48700, -98.72400,   4.12877, -25.72460,  -1.40757,  -3.61731, -21.27860,  57.64520,   5.62579, -13.02720, 177.71600,   2.28623,  -9.41496,   0.02457,  -0.01695,  37.24370,   3.94409,  -2.64597, -76.20500,   0.26920,  -0.42928, -22.72710,-179.75900,  -8.26520, 150.14000,  -0.00893,   0.05714,   7.66907,   4.09280, -16.27250, -49.12780,   0.42175,  -0.46380, -20.06340
   0.20000,   0.00000,   0.00000,  -0.00000,  87.85450,   1.64497,  -4.92554,  91.16510,  79.03810, -90.80240,  14.15230,   0.46071,   0.66871, -10.26980,  -2.81282,  -1.09847,  -3.08625,  -5.63795,  -0.48813, -89.89540, -13.43090,-104.55000, -90.79750,  14.96230, -23.47300,  -0.54647,  -0.85578, -32.54950,  51.20700,   5.23543,   1.81324,  89.45760, -12.94870,-107.41900, -98.85370,   2.47561, -25.09780,  -1.83862,  -4.70779, -21.34130,  58.21730,   5.62016, -12.63780, 179.57000,  -0.38907,  -9.19010,   0.02919,  -0.02200,  39.96850,   4.45270,   0.35542, -70.66850,   0.74433,  -1.21110, -33.83070,-177.53600,  -6.66049, 148.07800,   0.00081,  -0.00565,  10.79680,   6.16203, -15.66600, -45.27380,   0.47765,  -0.52973, -20.54410
   0.23333,   0.00000,   0.00000,  -0.00000,  87.09470,   2.12255,  -5.18980,  91.75280,  79.39620, -91.06840,  13.42870,   0.67550,   1.28953,  -9.95668,  -2.78910,  -1.37164,  -2.27840,  -5.63551,  -0.52909, -89.94000, -13.06820,-104.73400, -90.51240,  12.73590, -22.57900,  -0.36940,  -0.57082, -32.89500,  52.99650,   5.19247,   2.89147,  89.46210, -12.78090,-107.43000, -98.60250,   1.05065, -24.43080,  -1.47291,  -3.83992, -20.99000,  60.01560,   5.61347, -12.18790,-177.85400,  -3.12921, -11.27740,  -0.02804,   0.03746,  46.81840,   2.56113,   4.81459, -62.27670,   2.44138,  -2.20354, -41.18380,-175.74100,  -5.59280, 145.43100,   0.00893,  -0.02611,  19.32820,   5.36639, -14.36300, -39.92710,   0.29792,  -0.32166, -19.01450
   0.26667,   0.00000,   0.00000,  -0.00000,  86.90230,   2.10424,  -4.03743,  91.99790,  79.06840, -91.18780,  14.07960,   0.79786,   1.52229,  -9.93773,  -2.56967,  -1.62954,  -2.29568,  -5.30679,  -0.62192, -89.98900, -13.00960,-104.95100, -90.14570,  11.88160, -22.72910,   0.98996,   1.58439, -32.01780,  54.68400,   5.14687,   4.01803,  89.43070, -13.16180,-107.49900, -97.70600,   2.72316, -24.79930,  -1.50927,  -4.17056, -19.90890,  60.12650,   5.60951, -11.92920,-176.33800,  -2.48813, -14.88600,   0.00189,   0.00322,  56.63090,  -1.95244,   7.10239, -49.00150,   1.74077,  -3.16945, -43.12800,-174.81400,  -6.54828, 143.53200,  -0.03442,   0.06428,  31.81370,   3.61165, -15.57410, -49.37140,   0.14178,  -0.14965, -17.72160
   0.30000,   0.00000,   0.00000,  -0.00000,  86.87400,   1.60889,  -2.12180,  91.95510,  78.23910, -91.13930,  15.73770,   0.84756,   1.51620, -10.05910,  -2.15818,  -1.58905,  -2.92308,  -4.87515,  -0.69288, -89.95710, -13.11810,-104.81100, -89.02770,  14.41860, -24.44590,   0.03959,   0.06649, -30.48240,  53.69300,   5.16090,   3.67760,  89.32940, -13.36390,-107.89900, -97.49840,   5.05141, -26.02750,  -1.64651,  -4.68444, -19.37900,  59.43230,   5.61419, -12.23790,-175.92500,   0.33505, -20.41900,  -0.01465,   0.00219,  68.60050,  -6.70481,   5.37979, -37.53700,   0.54497,  -0.67577, -22.90470,-173.84800,  -7.13111, 144.70500,  -0.09398,   0.13218,  39.78990,   2.33270, -16.24180, -56.71600,  -0.04874,   0.03726, -16.57290
